|character|text|type
0||"Rev. 04/29/87 (Blue)
ABOVE THE LAW
Screenplay by
STEVEN PRESSFIELD and RONALD SHUSETT
and ANDREW DAVIS
Story by
ANDREW DAVIS and STEVEN SEAGAL
FINAL DRAFT
March 27, 1987"|unknown
1||"WARNER BROS. INC.                       © 1987
4000 Warner Boulevard                   WARNER BROS. INC.
Burbank, California 91522               All Rights Reserved"|location
2||"ABOVE THE LAW
FADE IN:"|unknown
3||1   TITLES SEQUENCE - MONTAGE WITH SCORE|location
4||"PHOTOGRAPHIC STILLS show us NICOLA TOSCANI as a city boy in
various growing-up SHOTS, circa 1950's -- with street chums
wearing a Wyatt Earp T-shirt, in a communion suit. Then:
in his first qi, a youngster studying the martial arts; he
grows, we see news clippings of him winning trophies, his
name on contest posters, SHOTS of him in action. Then:
Japan. Nico now in his teens, studying with real masters,
being dumped on his butt, posing smiling beside Japanese
martial artists, then himself as an instructor. Now: a
few military uniforms enter the picture, we see security
clearance documents with Nico's picture and name on them.
Then Nico near draft age with an American friend NELSON
FOX on some kind of training base. TITLES END.
DISSOLVE TO:"|unknown
5||2   EXT. JUNGLE - DAY|location
6||"Blowing through the roof of a dense jungle straight AT
CAMERA, HELICOPTER ROTORS RISE to a DEAFENING PITCH.
SUPER:  Viet - Cambodian Border, 1972. Jungle foliage
whips in the fierce downdraft as --"|unknown
7||"3   ""HUEY"" GUNSHIP"|location
8||"with US Army markings becomes discernible. The chopper
lowers toward a crude landing zone hacked out of the
wilderness. We GLIMPSE Cambodian troops and several
machine gun positions around the LZ."|unknown
9||4   EXT. JUNGLE - TWO ARMED AMERICANS - DAY|location
10||"watch from the edge of the landing zone. We recognize Nico
and Fox, now in their twenties, dressed in the nonmilitary
jungle attire that usually marks a CIA ""spook."""|unknown
11||5   HELICOPTER|location
12||"touches down. THREE OLDER AMERICANS -- rough-looking, in
their mid-thirties, all carrying some kind of medical bags
-- disembark into the HOWLING ROTOR BLAST. They hit the
ground nimbly, as if they've done it many times before."|unknown
13||6   LEADER OF THREE|location
14||wears a khaki cowboy hat and packs a pearl-handled .45.|unknown
15||7   NICO AND FOX|location
16||"don't know whether to react with laughter or uneasiness.
2.
FOX
You ever see chemical interrogation
before?
Nico's eyes stay on the approaching ""cowboy,"" KURT ZAGON,
for whom he plainly feels an instant animosity.
NICO
These assholes are agency?"|unknown
17||8    NICO'S POV|location
18||FOLLOWS the medical bag in the cowboy's hand.|unknown
19||9    BACK TO FOX AND NICO|location
20||"FOX
We're all C.I.A. But these guys are
from a page that ain't on the map."|unknown
21||10   EXT. JUNGLE - LATE AFTERNOON|location
22||"Nico in the point,   leading Fox and the three CIT (Chemical
Interrogation Team)   men down an unmarked, twisting trail.
We see from Nico's   gait that he is athletic, a born leader
and totally at home   in the jungle."|unknown
23||11   TRAIL - LATE AFTERNOON|location
24||"snakes along a ridge line, high enough to give us a view and
let us know these guys are way out in the boonies.
ZAGON
How long till we're across the border?
NICO
We've been over for the past hour.
The group continues along the ridge.
CUT TO:"|unknown
25||12   EXT. JUNGLE - NIGHT|location
26||The sky glows from nearby bomb attacks.|unknown
27||13   NICO|location
28||"listening hard -- and even sniffing the air -- glances back
at Zagon, who stands impatiently, drawing on a cigarette.
ZAGON
What are you looking at, hotshot?
NICO
(indicates cigarette
glow)
Why don't you light a bonfire?
3.
Irritably, Zagon ditches his smoke.
ZAGON
Just drive the taxi, ace.
As the party moves out, Fox flashes Nico a look as if to say,
""Don't fuck with these guys."""|unknown
29||14   EXT. CAMBODIAN BASE CAMP - NIGHT|location
30||"A pocket-fortified position. Armed Cambodian lookouts,
several hooches, radio equipment. Nico leads the party in
through the perimeter. Zagon eyes the layout like he's seen
100 of them. Fox indicates a hooch.
FOX
(to Zagon)
They're in there.
The three CIT men start for the hooch. Nico casts a concerned
glance around at the base camp troops, looking sloppy as hell.
NICO
I don't trust these yo-yo's."|unknown
31||15   FULL SHOT - BASE CAMP|location
32||"We see Nico moving like a shadow from one defensive position
to another, checking the perimeter. We can vaguely hear him
ROUSTING the Cambodian lookouts, speaking in dialect."|unknown
33||16   DEFENSIVE POSITION - NICO|location
34||hears a SOUND, looks back toward the hooch.|unknown
35||17   NICO'S POV - HOOCH|location
36||"Two Asian prisoners, stripped to the waist, babbling in-
coherently, are dragged out the back by a pair of Cambodian
guards and hustled off into the darkness. VOICES can be
heard inside the hooch. A single lantern glowing inside
gives the hut a creepy, frightening aspect."|unknown
37||18   BACK TO NICO|location
38||"He's extremely uneasy about what's about to happen inside the
hooch."|unknown
39||19   INT. HOOCH - CLOSE ON RICKETY CARD TABLE - NIGHT|location
40||"on which are spread a terrifying array of syringes, drug vials
and surgical instruments. Zagon's hand picks up a hypodermic,
squirt-tests it.
4."|unknown
41||20   TWO ASIAN PRISONERS|location
42||"are on their knees, shirtless, handcuffed with heavy nylon
tape to a stake driven into the ground in the center of the
hooch. One of the subordinate CIT men moves in, grabs the
first prisoner by the shoulders. Zagon injects the first
prisoner. Instantly the man begins shivering, convulsing.
Zagon watches with professional satisfaction.
ZAGON
That's the nice thing about modern
technology. You don't have to wait
for results.
He moves close to the first prisoner.
ZAGON
(to first prisoner)
Where is it, Charley? You got six tons
of our shit --
The prisoner tries to speak, but he's in such torment all
that comes out is a blood-curdling wail --"|unknown
43||21   EXT. BAST CAMP - NICO|location
44||"hears this horrifying cry.   He starts swiftly toward the
hooch --"|unknown
45||22   INT. HOOCH - INTERPRETER|location
46||"has moved as close to Zagon and the first prisoner as a fight
referee to two boxers. The prisoner is convulsing wildly.
Zagon grabs him fiercely by the hair.
ZAGON
Don't you die on me, fucker --
FOX
(from the side)
What the hell's wrong?
ZAGON
(throws the prisoner
down)
This pussy can't hold his liquor.
The first prisoner is plainly in a death spasm."|unknown
47||23   NICO|location
48||"enters at this point. He takes in the scene quickly, moves
to a spot beside the entrance. Zagon doesn't look at Nico,
but it's plain he is aware of Nico's presence. It is as if
he wants to prove something to this muscular kid -- and prove
it to the others, too.
ABOVE THE LAW - Rev. 4/17/87                         5."|unknown
49||24   FIRST PRISONER|location
50||dies in agony on the ground.|unknown
51||25   SECOND PRISONER|location
52||"watches with eyes like flint. He is in his mid-forties,
scarred, missing several fingers. Probably a colonel or
higher, he looks like he's been fighting these round-eyes
since the French in the 50's. He is plainly one tough
customer. The second prisoner meets Zagon's eyes, as if
daring him to use the drugs on him, too. Zagon eyes the
prisoner with barely contained hatred. The prisoner doesn't
back down an inch.
ZAGON
(to second prisoner)
So my little doctor bag doesn't                      *
scare you, eh? Well I don't need                     *
it to open your yap.                                 *
Zagon reaches to a scabbard on his Western belt, pulls out a
fearsome serrated blade -- a cross between a bowie knife and
a scalpel. He steps toward the prisoner, displaying the
blade in the lantern light."|unknown
53||26   NICO|location
54||"watches impassively.
ZAGON (O.S.)
(to prisoner)
Where's our load, you sack of slime?
What did you do with my shit? --"|unknown
55||27   ZAGON|location
56||"punches  the prisoner full in the face, holding the knife
handle  in his fist to double the force of the blow and to
terrify  him with the proximity of the blade. The prisoner
crashes  sideways, face bloody --
ZAGON
I'm gonna teach you good. I'm gonna
teach you never to fuck with my
opium --"|unknown
57||28   FOX AND TWO CIT MEN|location
58||seem to know exactly what this is about.|unknown
59||29   NICO|location
60||"didn't know, but the new kid on the block is catching on fast.
Nico has difficulty containing his emotion. Zagon stands
over the prisoner, as if daring him to get back up.
6."|unknown
61||"The prisoner gets back to his knees, bloody eyes meeting
Zagon's with defiance --"|location
62||ZAGON|unknown
63|unknown|(to prisoner)|speech
64||"You're a hard nigger, aren't you, boy?
You took it from the Chinks... you took
it from the French. You'll be fucked
if some Yankee peckerwood's gonna start
your gums flapping --"|unknown
65||"Nico watches Zagon move the knife blade closer to the
prisoner."|location
66||"ZAGON
-- Well, you're gonna chirp for me,
tough guy. You're gonna sing like a
choir --"|unknown
67||Nico takes a step toward Zagon.|location
68||"NICO
What the fuck does this have to do
with military intelligence?
ZAGON
Your orders are 'assist and observe'
cherry --"|unknown
69||Zagon turns to face Nico --|location
70||FOX|unknown
71|unknown|(to Nico)|speech
72||Back off, partner --|unknown
73||"Zagon turns from Nico. He moves close to the second prisoner,
close as a lover, displaying the blade in the lamplight."|location
74||ZAGON|unknown
75|unknown|(to second prisoner)|speech
76||"I'm gonna start carving at your ankles.
We'll throw your feet in that box right
over there. Then I'm gonna take off
your arms --"|unknown
77||"One of the CIT men yanks the prisoner's leg forward, clamping
it to the ground with his hands. The prisoner still hasn't
flinched. He seems as locked into this dance of death as
Zagon."|location
78||"NICO
(can't take
much more)
Fox --
FOX
Shut up, Nico.
7.
ZAGON
You can disappear as easy as this
slope, kid --
Zagon starts for the prisoner. Here comes the blade.
Suddenly -- Nico grabs Zagon's shoulder. Zagon spins with
terrifying quickness, cocking the blade to slash at Nico.
Before Zagon's blow even starts, Nico slams him with a
ferocious elbow shot right under the jaw. Zagon literally
comes off the ground, Nico's blow is so terrific. Zagon drops
in an unconscious heap. In a flash the two other CIT men
move to jump Nico. Smash! The second CIT man is swallowing
his teeth. Fox leaps in the way of the third, shoves Nico
out of the hooch --"|unknown
79||30   EXT. HOOCH - NIGHT|location
80||"Fox wrestles Nico away from the hooch --
FOX
Are you crazy?!!
(as Nico jerks free)
What the fuck's the matter with you?!!!
Nico is shaking with rage and fear. He takes several steps
away from the hooch, then draws up abruptly. Nico pulls his
.45 from his holster, pops the safety, starts back for the
hooch --
FOX
Nico!
NICO
I don't cap him now, he's gonna do me
later.
The last CIT man appears, gun drawn, in the hooch doorway.
Fox grabs Nico, hauls him back again --
FOX
I'll cover this. Get back to the
L.Z. --
(as Nico resists)
-- I'll fix it! Get out! Get the
fuck outa here!
The CIT man calls out to the Cambodian troops, in dialect,
pointing at Nico. The soldiers start toward Nico, as if to
seize him. Fox, too, starts yelling to the troops in dialect,
apparently countermanding the orders of the CIT men. The
troops, confused, hold up for a moment.
FOX
(to Nico)
I'll call for a chopper... get outa
here!
ABOVE THE LAW - Rev. 4/29/87                        8.
Nico gives a last look, turns and takes off down the jungle
trail. Fox seems abandoned. The DISTANT BOMBING CONTINUES.
Nico disappears into the darkness.
FADE TO BLACK.
FADE IN ON:"|unknown
81||31   CHURCH STEEPLE - DAY|location
82||"TILT DOWN to reveal St. Elizabeth's, a huge parish church in
an Italian/Latino neighborhood in Chicago. The church looks
festive, we see a few formally-dressed people hurrying in,
then a squad car pulls up. The cops run upstairs as if
they're late --"|unknown
83||32   INT. ST. MARY'S - DAY|location
84||"A baptism in progress. Nico -- 15 years older than when we
last saw him, is standing beside SARA, his lovely wife        *
-- watching a 60-ish priest, FATHER GENARRO, finish the
final ritual on Nico's infant son Julian. The priest
straightens the baby's baptismal garment, tugging the cloth
around the little fellow's crotch. Smiles from friends and
relatives clustered proudly around. Several cops, some in
uniform are amongst them. Nico grabs his son from Genarro
with a theatrical protective motion, tugs up the little boy's
garment, kisses him smack on the bare butt. Laughter from
all as Nico holds the lad high and proud. He puts his arm
around Sara.                                                  *"|unknown
85||33   EXT. NICO'S HOUSE - BACK YARD - DAY|location
86||"Huge trays of Italian delicacies are carried out into the
sunlight by several ""old country""-type women. Wine is
poured from generous carafes. Friends and relatives are
everywhere, laughing and enjoying themselves; apparently
the party has come here straight from the church. Presents
for the new baby are being opened by Nico's wife, Sara,        *
and Nico's mother, ROSA.
SARA                                   *
Mama, look at this -- all done by hand.
Sara lifts a cute baby outfit.                                 *
ROSA
Nico had one just like this.   Thank
you, Cora.
Cora, an aunt, proudly smiles."|unknown
87||34   NICO|location
88||"Holding the baby. Realizes that his little son has pooped
in his pants. He turns for help to Sara.                       *
ABOVE THE LAW - Rev. 4/29/87                           9.
NICO
I think we got a little problem here.
SARA                                  *
(winking at the women)
I carried him for the last nine months,
you take him for the next diaper.
Assorted uncles and aunts watch with amusement as Nico tries
awkwardly to deal with the problem.
NICO
(to all)
That's what you get for not marrying a
Sicilian.
Sara lets Nico struggle a moment, then takes over.               *
SARA                                     *
My brave husband. He's not afraid of
thieves and muggers, but he's terrified
when his son poops in his pants.
Toscani relatives look on with approval at the happy couple
and their baby."|unknown
89||35   ANOTHER PART OF BACK YARD|location
90||"Three Chicago cops, LUKICH and HENDERSON in plain clothes
and LIEUTENANT STROZAH in uniform wolf some Italian goodies
while eying the group of celebrating relatives.
LUKICH
(indicates Nico
across the patio)
Toscani holds the record... for havin'
more relatives under federal indictment
than any other cop in Chicago."|unknown
91||36   TWO OF NICO'S UNCLES|location
92||"BRANCA and LUIGI, who   look like they have been on the other
side of a cop's work,   are in turn eying Lukich and Henderson
-- plus a cluster of   other cops in civvies hovering around
the buffet table like   vultures.
BRANCA
Look at these stiff dicks. A free meal
and they come out like flies."|unknown
93||37   STREET OUTSIDE NICO'S HOUSE - DAY|location
94||"An unmarked police car pulls up. DOLORES JACKSON (""Jax""),
another undercover cop, tall, black, and elegant, enters
the driveway leading to Nico's back yard --
ABOVE THE LAW - Rev. 4/29/87                         10."|unknown
95||38   BACK YARD|location
96||"Jackson enters. She's impeccably dressed and radiates
intelligence. She's greeted warmly by Lukich, Henderson,
Strozah, and a couple of other cops.
STROZAH
I didn't do nothing, Counselor.    I'm
clean.
JACKSON
Eight more days, Lieutenant. You
better start preparing your defense.
HENDERSON
Baby, I'm gonna put you on retainer.
LUKICH
You passed the bar? I make it a
point never to pass the bar.
Jackson sees Nico and Sara across the yard, waves and          *
starts toward them --"|unknown
97||39   BACK TO BRANCA AND LUIGI|location
98||"Luigi indicates Jackson as she crosses the patio.
LUIGI
Now this cop.    She can bust me any
day."|unknown
99||40   NICK, SARA AND ROSA (NICO'S MOTHER)                            *|location
100||"Jackson comes up, makes a theatrical appreciation of Nico's
stylish attire, kisses Sara and greets Nico's mom warmly.      *
She starts oohing and ahhing over the baby."|unknown
101||41   VARIOUS SHOTS|location
102||"Young kids playing on the lawn, more guests arriving, Father
Genarro dancing with an elderly matron. We see that Nico's
friends are an electric mix. Cops, art-y types, people of
varied ages and professions."|unknown
103||42   BACK TO JACKSON|location
104||"Holding the baby.
JACKSON
Look at this little bundle.    What a
cupcake!
NICO
You give up being the D.A. and hurry
up and find the right fella, Jax.
You might have time for one of these
yourself.
ABOVE THE LAW - Rev. 4/29/87                        10A.
SARA                                    *
Nico, will you let the woman
catch her breath?"|unknown
105||43   JAPANESE WOMAN (DR. WATANABE)                                  *|location
106||"moves in shyly on the fringe of the cluster. While Jackson
and Sara continue their ""mom"" talk, Nico edges off toward      *
Watanabe, shaking her hand with real pleasure.                 *
NICO
Watanabe!   Say hey, Doc.
They begin jabbering in Japanese.
We will meet Watanabe again later. She's a brainy-looking      *
woman -- reserved, a bit mysterious -- who talks quietly and   *
intensely in Japanese with Nico like they're old friends who
go back a long way.
ABOVE THE LAW - Rev. 4/17/87                        11.      *"|unknown
107||44   EXT. TOSCANI FRONT PORCH - LATER|location
108||"Branca, Luigi and several other Toscani patriarchs smoke
cigars and sip beer in a cluster. Nico holds Julian.
BRANCA
You're a father now. Are you gonna
take me up on my offer?
NICO
I'm happy, Branca.    I like what I do.
Branca glances seriously to the other uncles, then, with a
smile, pats Nico's cheek.
BRANCA
Look at this face! Six-foot-four,
pretty as the statue of David. And
he's a cop!
Branca laughs. From a distance, Watanabe watches, missing
nothing. Across the porch, Lukich and several other cops
observe and try to listen.
BRANCA
This face should be sticking up from
a white shirt. It should be a banker,
a businessman, someone who earns a
decent living for his family!
NICO
We're happy.
LUIGI
Nickels and dimes. Your wife's a
woman with class. What did she run
-- a ballet school...?
NICO
An art gallery.
BRANCA
Same thing. She wants a husband who
carries a briefcase, not a shoulder
holster.
Jackson watches Nico trying to keep his good humor. This
is serious stuff, despite the light tone. Branca's eyes
meet Nico's.
ABOVE THE LAW - Rev. 4/29/87                        12.
BRANCA
You wanted to get shot, you got shot.
You wanted to get knifed, you got
knifed. You've had your fun. Basta!
Enough!
UNCLE GUISEPPE
Let your family help you, Nico.
NICO
(lightly)
Uncle Gio, that kind of help I don't
need. I'd rather get shot by someone
I don't know.
Jackson and Lukich crack up. The others follow.   For the
moment, the tension is dispelled."|unknown
109||45   INT. NICO'S HOUSE - UPSTAIRS - DAY|location
110||"Nico comes out of the bedroom, adjusting his shoulder
holster, tugging his jacket over it. He sees his mother
standing near the head of the stairs, just outside
another bedroom door. Concern on her face.
NICO
What are you doing in here, Mama?
Go join the party...
Nico comes down the hall, tucking in his shirt -- stops
to give his mother a squeeze. O.S. from the bedroom:
the sound of QUIET SOBBING. Nico glances in."|unknown
111||46   INT. NURSERY - DAY                                           *|location
112||"Sara and another woman sit on the bed, comforting a 60-ish   *
grandmother Zingaro, who is crying. Nico comes in. He
kneels before MRS. ZINGARO, concerned.
NICO
Mrs. Z.
(tries to be light)
Is this a way to act on the day of
my son's baptism?
The poor woman can't meet Nico's eyes."|unknown
113||"It's Lucy.   She's gone again.
Nico glances from Sara to Rosa.                              *
Mrs. Zingaro shakes her head, choked with pain. Nico
holds her, looking over her shoulder toward Sara.            *
NICO
It's that kid from the bar on Damen?
The one with the drugs?
ABOVE THE LAW - Rev. 4/29/87                          13.
Sara doesn't know. Nico does.     He comforts Mrs. Zingaro   *
another moment, then stands.
NICO
Listen to me, Mrs. Z. Are you
listening?
(as the woman nods
miserably)
I have to go to work now. But
I'll come by tonight. You'll be
at the bakery?
MRS. ZINGARO
Si, Nico.
NICO
We'll talk, okay? We'll find a
way to take care of this.
Nico kisses Mrs. Z. He takes Sara's hand in goodbye,         *
starts for the door."|unknown
114||47   EXT. NICO'S HOUSE - DAY|location
115||"Festivities still in progress. Nico passes through,
nodding, thanking people for coming, taking farewells.
Jackson waits for him, glancing at her watch."|unknown
116||48   INT. UNMARKED CAR - MOVING|location
117||"Nico is driving.   Jackson checks in on the radio.
JACKSON
(into mike)
Unit Ten Tango X-ray.    We're up
and clear."|unknown
118||49   EXT. VARIOUS STREETS - UNMARKED CAR|location
119||moves into the central city.|unknown
120||50   POV THROUGH CAR WINDOWS - STREETS - MOVING|location
121||"Bad-looking hombres on stoops, street corners.
NICO (O.S.)
I promised the Lieutenant, I'm
gonna take care of you. Broken
windows and lost kittens for your
last week.
WIDEN SHOT to include Nico and Jackson.
JACKSON
And then you're gonna come visit
me in a nice, clean, air conditioned
office --
ABOVE THE LAW - Rev. 4/29/87                          14."|unknown
122||51   EXT. STREET - BUCKSHOT'S LIQUORS - DAY                        *|location
123||The unmarked car pulls up outside a liquor store and bar.|unknown
124||52   INT. UNMARKED CAR|location
125||"as it parks. Jackson gives Nico a look:     ""What are we
stopping at this dive for""?
NICO
I gotta take a quick leak. Stay
put.
He gets out of the car, starts for the bar."|unknown
126||53   INT. BUCKSHOT'S LIQUORS - DAY                                 *|location
127||"Dim, smoke-choked, dangerous characters at the bar.    Nico
enters.
ABOVE THE LAW - Rev. 4/17/87                            15.
His silk shirt and sport coat clash with the druggy, working-
class attire of the bar's denizens. Hard faces check him out
subtly, ignore him. Nico approaches the bartender, shows a
photograph. The bartender (BAD DUDE) shakes his head.
BAD DUDE                                 *
Why the fuck don't you assholes                        *
leave me alone?                                        *
He continues mouthing off to Nico. Nico moves to one stool,     *
then another; the same exchange is repeated."|unknown
128||54   FAVOR ONE PARTICULARLY TOUGH CUSTOMER                           *|location
129||A hulking bruiser with an earring.   He watches as --|unknown
130||55   NICO|location
