|character|text|type
0||"Written by
Elan Mastai & Michael Roesch
FADE IN:
1                                                                     1"|unknown
1||"EXT. FOREST - NIGHT
A dense forest on a dark, misty night.
YOUNG EDWARD CARNBY (age 10), small, thin, and terrified,
runs for his life."|location
2||2|unknown
3||The forest is pitch black. Young Edward ducks between trees,|stage direction
4||"under branches, not stopping for anything, GASPING for
breath. He doesn't turn to look behind him. He just runs as
fast as he can.
P.O.V. CREATURE:
Tomething chases Young Edward through the dark forest. Its
P.O.V. is skewed, inhuman. It is gaining on him.
As Young Edward runs, beams of light become visible through
the closely packed trees. Something is up ahead, something
bright. Edward runs towards it.
Young Edward bursts out into a clearing in the woods, running
towards the bright light.
P.O.V. CREATURE:
The light stops whatever is chasing Young Edward at the edge
of the forest. What is making the light isn't visible, only
Young Edward's silhouette running towards the blinding light.
EXT. FOREST - LATER THAT NIGHT"|location
5||1A                                                                    1A|unknown
6||"SUPER: 20 YEARS AGO
The beams of a dozen flashlights cut through the mist of the
dark forest.
A dozen uniformed DEPUTIES move through the forest, shining
their flashlights around, searching."|location
7||The trees tower over them. A low fog hangs in the air. The|stage direction
8||"flashlight beams can barely penetrate it.
EXT. ORPHANAGE - NIGHT                                           2
A large and stately old house stands on the edge of town. A
small, dense forest stretches out behind it.
The sign on the front reads: OUR LADY OF PERPETUAL LIGHT
ORPHANAGE."|location
9||"(CONTINUED)
2."|unknown
10||"CONTINUED:
Several patrol cars are parked along the Orphanage's gravel
driveway. DEPUTIES mill around the front lawn.
Another patrol car pulls up. Out of it steps the SHERIFF
(late 40s). DEPUTY ADAMS (mid-30s) approaches him."|location
11||"SHERIFF
What's going on, Adams?
DEPUTY ADAMS
Twenty kids live at this orphanage,
Sheriff. All twenty have gone missing."|unknown
12||"SISTER CLARA (mid-40s), an anxious-looking nun, stands on the
front porch, wrapped in a shawl. She speaks with two
DEPUTIES. The Sheriff walks up and listens in."|location
13||"SISTER CLARA
After the power went out, I went to check
on the children. But their beds were
empty. Every one of them. They just
disappeared..."|unknown
14||EXT. FOREST - LATER|location
15||3                                                                     3|unknown
16||"The Deputies sweep through the forest with their flashlights.
The trees are close together, blocking out the moonlight. A
thick mist hangs in the trees.
As Deputy Adams moves through the forest, he sees a bright
light streaming through the trees up ahead.
EXT. FOREST CLEARING"|location
17||3A                                                                   3A|unknown
18||"Deputy Adams comes through the trees and emerges into a
clearing in the woods.
He sees a Shed in the clearing up ahead. A bright light is
posted over the Shed's front entrance."|location
19||4|unknown
20||"EXT. SHED - MOMENTS LATER                                        4
Deputy Adams shines his flashlight around the outside of the
Shed.
He sees that the door is open just a crack. On the door is a
sign marked: DANGER, along with the symbol for ELECTRICITY.
INT. SHED - MOMENTS LATER"|location
21||5                                                                     5|unknown
22||Deputy Adams enters the Shed.|location
