|character|text|type
0||BREAKDOWN|stage direction
1||"by
Jonathan Mostow
March 1996
Revised First Draft"|unknown
2||FOR EDUCATIONAL|stage direction
3||PURPOSES ONLY|unknown
4||"FADE IN:
EXTREMELY TIGHT ON ELECTRONIC GUTS
of a video camera. The screwdriver blade of a Swiss Army
knife ENTERS FRAME, methodically tightening a row of
screws.
PULL BACK to reveal:"|stage direction
5||EXT. BOMBARDED NEIGHBORHOOD (WAR-TORN COUNTRY) - DAY|location
6||"On the backslope of a mound of rubble, a three-man TV
crew (field producer, reporter, and cameraman, all
wearing flak jackets) waits while the cameraman, JEFFREY
TAYLOR, works to repair his malfunctioning minicam.
Throughout this sequence, ROD, the reporter, types on a
laptop computer, oblivious to what is happening around
him.
HOWARD, the field producer, lies on his stomach, peering
cautiously over the crest of the rubble through
binoculars.
Beyond him we see an empty street. It is lined with
buildings blasted by shells: a sawtooth wall in the
f.g., a ruined high-rise at the end of the street,
billboards in an unrecognizable foreign language."|stage direction
7||"HOWARD
How about it, Jeff?"|unknown
8||Jeff finishes his repair job, snaps the minicam closed.|stage direction
9||"JEFF
Done."|unknown
10||"Jeff slips the knife back in his pocket, scrambles over
the loose bricks and stones to a position next to Howard."|stage direction
11||EXT. SAWTOOTH WALL - DAY|location
12||"A frightened woman lurks nervously in the shelter of the
wall. She is young, in her early twenties, with shining
dark hair down to her shoulders. She's carrying an
armload of books."|stage direction
13||EXT. MOUND OF RUBBLE - DAY|location
14||Jeff focuses the minicam.|stage direction
15||2.|unknown
16||"MINICAM POV
FRAMED in the viewfinder we see the frightened woman."|stage direction
17||HOWARD (O.S.)|unknown
18|unknown|Nice legs.|speech
19||"Jeff ignores Howard, PANS the minicam DOWN the street.
In the viewfinder we see the flash of sun on metal."|stage direction
20||EXT. RUINED HIGH-RISE - DAY|location
21||"A row of blasted windows. In one of the windows, a
sniper crouches. Sunlight glitters on his rifle barrel."|stage direction
22||EXT. MOUND OF RUBBLE|location
23||"JEFF
(matter-of-fact)"|unknown
24|unknown|Sniper.|speech
25||HOWARD|unknown
26|unknown|Where?|speech
27||JEFF|unknown
28|unknown|"High-rise. Top floor.        Window in
the middle."|speech
29||"(looking through
his binoculars)"|unknown
30|HOWARD|"Stay on him. Stay on him.        Now go
back to the woman. Now!"|speech
31||Jeff swings the minicam and --|stage direction
32||EXT. SAWTOOTH WALL - MINICAM POV|location
33||"-- the image blurs, then holds steady on the frightened
woman. Nervously, she peeks around the corner."|stage direction
34|HOWARD (O.S.)|Back to the sniper.|speech
35||EXT. MOUND OF RUBBLE|location
36|HOWARD|"Stay tight on the sniper.
Jesus -- look at him! He's about
fourteen! Don't lose this!"|speech
37||Jeff kneels on the ridge, minicam on his shoulder.|stage direction
38||3.|unknown
39||EXT. RUINED HIGH-RISE - POV THROUGH VIEWFINDER|location
40||"Jeff's minicam ZOOMS IN ON the sniper. The sniper sees
the woman peeking and gets his rifle in firing position."|stage direction
41||JEFF|unknown
42|HOWARD|He sees her.|speech
43||EXT. MOUND OF RUBBLE|location
44|HOWARD|"Stay on her. If she runs, widen
and try to get her and sniper in
the same frame."|speech
45||"Jeff turns his head away from the camera and stares at
Howard."|stage direction
46|JEFF|I said he sees her.|speech
47||HOWARD|unknown
48|JEFF|I heard you.    Stay on her.|speech
49||"Jeff looks to Rod for support but he's busy typing,
oblivious.
Jeff hesitates, then lifts the minicam to his eye again."|stage direction
50||EXT. RUINED HIGH-RISE|location
51||The sniper, taking aim.|stage direction
52||EXT. SAWTOOTH WALL|location
53||"The frightened woman decides to make a dash for it.   She
takes off her high-heeled shoes, inhales deeply,
gathering herself to run."|stage direction
54||EXT. MOUND OF RUBBLE|location
55||Jeff watches through his viewfinder:|stage direction
56||(under his breath)|unknown
57|JEFF|No... no...|speech
58||EXT. STREET|location
59||"The frightened woman bolts, sprinting barefoot across the
cobblestones, skirt lifted, slender legs flashing."|stage direction
60||4.|unknown
61||EXT. MOUND OF RUBBLE|location
62||Jeff jumps to his feet, waves the minicam, shouting:|stage direction
63||JEFF|unknown
64|JEFF|Sniper!   Sniper! Sni--|speech
65||"STREET
The woman looks up in Jeff's direction, confused,
breaking stride --
We hear a burst of automatic gunfire --
RUINED HIGH-RISE
In the window, the winking muzzle-flash of the sniper's
AK-47.
STREET
The woman's body jolts from the impact of the bullets.
The books go flying from her hand. She spins to the
pavement, her hair billowing.
JEFF
just stands there, a shattered expression. The camera
hangs at his side. He stares at the dead woman as a pool
of dark blood expands around her body."|stage direction
66||CUT TO:|unknown
67||EXT. LOGAN INTERNATIONAL AIRPORT (BOSTON) - RUNWAY -|location
68||"NIGHT
A 747 touches down on the tarmac."|stage direction
69||CUT TO:|unknown
70||EXT. INTERNATIONAL TERMINAL - NIGHT|location
71||"A late-model Jeep Cherokee is parked at the arrival curb.
AMY TAYLOR, Jeff's wife, peers out from behind the wheel,
scanning the crowd.
HER POV
Jeff, carrying a single bag slung over his shoulder,
emerges from the terminal."|stage direction
72||5.|unknown
73||"BACK TO SCENE
Amy gets out of the car, grinning. Jeff sees her and
hurries over. He drops his bag and they fall into each
other's arms, kissing hungrily. These are two people
passionately in love with each other."|stage direction
74|AMY|God, I missed you.|speech
75||JEFF|unknown
76|AMY|Me too.|speech
77|AMY|"Let's get out of here. Where's
your equipment? Don't tell me you
checked it?"|speech
78||(holds up his bag)|unknown
79|JEFF|This is it.|speech
80||AMY|unknown
81|JEFF|No camera?|speech
82||Jeff shakes his head no.|stage direction
83||AMY|unknown
84|JEFF|No nothing?|speech
85||Again Jeff shakes his head.       Amy arches an eyebrow.|stage direction
86||AMY|unknown
87|JEFF|Ah ha.|speech
88||CUT TO:|unknown
89||INT. JEFF AND AMY'S APARTMENT - NIGHT|location
90||"A modest apartment in the Back Bay neighborhood. Not
much furniture, but lots of books and CD's. On the
walls, blow-ups of arty photographs -- Amy in modeling
poses, plus many black-and-white scenery stills.
Jeff's bag is unopened on the floor. We see two nearly
full wine glasses on a table. The CAMERA TRACKS DOWN a
hallway TO the open bedroom door."|stage direction
91||INT. BEDROOM - NIGHT|location
92||"More framed photographs.
Amy lies in bed, curled up against a pillow. The sheets
are tangled in post-coital disarray, the only sign of
disorder in this neatly arranged room."|stage direction
93||6.|unknown
94||"CLOSER
Amy stirs, reaching her hand out toward the other side of
the bed, which is empty. She opens her eyes, surprised
to find herself alone."|stage direction
95||AMY|unknown
96||Jeff?|location
97||"No reply.
Something catches her attention from across the room.
She rises, pulls a loose robe around herself and pads
over to a closed door. She knocks softly."|stage direction
98||AMY|unknown
99||Can I come in?|location
100||JEFF (O.S.)|unknown
101||"Sure.
INT. DARKROOM - NIGHT"|location
102||"A walk-in closet has been converted into a small
photographic darkroom. Moist 8 X 10 prints hang from a
clothesline, bathed in a warm red glow. The images are
moody black and white landscapes.
Jeff stands over the developer, timing a print. Amy
enters through a thick black curtain behind him. He
doesn't look up."|stage direction
103||AMY|unknown
104||Couldn't sleep?|location
105||"Jeff shakes his head. Amy looks over his shoulder at a
landscape photograph in the developing tray."|stage direction
106||AMY|unknown
107||"I remember when you took that. We
had fun on that trip, didn't we?"|location
108||Jeff nods.    Amy looks at him.     After a beat:|stage direction
109||AMY|unknown
110||You want to talk about it?|location
111||JEFF|unknown
112||There's nothing to talk about.|location
113||AMY|unknown
114||C'mon, Jeff.|location
115||"(CONTINUED)
7."|unknown
116||CONTINUED:|stage direction
117||JEFF|unknown
118||"I told you. I quit.   Walked out.
end of story."|location
119||AMY|unknown
120||That's   it?|location
121||Jeff nods.|stage direction
122|AMY|"Whatever happened back there
wasn't your responsibility. You
can't keep beating yourself up
over it."|speech
123||He says nothing.|stage direction
124|AMY|"What do you think? You could have
stopped that girl from getting
killed?"|speech
125|JEFF|You don't understand...|speech
126||He stops, lifts his eyes.|stage direction
127|JEFF|It was different this time.|speech
128||"He breaks off and pushes through the curtain.    She
watches him go."|stage direction
129||CUT TO:|unknown
130||INT. LIVING ROOM - KITCHEN AREA - NIGHT|location
131||"Jeff pours himself a glass of milk. Amy enters, stands
on the other side of the counter. Jeff doesn't meet her
eyes. After a beat:"|stage direction
132||"JEFF
I talked to Reynolds.
(a beat)
He thinks I could still get the
job at the San Diego station.
AMY
Oh, Jeff, you didn't...
(CONTINUED)
8."|unknown
133||CONTINUED:|stage direction
134||JEFF|unknown
135||"Think of it. Low pressure, a
steady paycheck. So I shoot city
council meetings -- how bad could
it be?"|location
136||She looks at him, concerned.|stage direction
137||AMY|unknown
138||"Is that what you really want -- or
are you just running away?"|location
139||"JEFF
Who's running? It's good money,
full benefits. I'm tired of
freelance. We could finally put
some money in the bank.
AMY
You know I'll never stand in your
way. But you've worked so hard.
Are you sure you want to throw it
away?
JEFF
Throw what away? Don't you get
it? I don't do anything. I sit,
I watch, I film -- I let it
happen.
AMY"|unknown
140||"You're supposed to let it happen.
It's your job."|location
141||JEFF|unknown
142||No, Amy.   It's my excuse.|location
143||She looks at him, not understanding.       He hesitates.|stage direction
144|JEFF|"That girl... it's like I was
paralyzed. I wanted to do
something, but I didn't. I just
stood there and watched her get
killed."|speech
145||He looks at her, emotional.|stage direction
146||JEFF|unknown
147||"Please, babe, I need this.     Say
yes and we'll take as long    as you
want -- drive cross-country    and
make a vacation out of it.     What
do you say?"|location
148||"(CONTINUED)
9."|unknown
149||"CONTINUED:
Amy looks at him, considering. We hear a faint RUSH OF
WIND. Then it gets LOUDER... LOUDER... and --"|stage direction
150||CUT TO:|unknown
151||EXT. CREDIT MONTAGE - VARIOUS LOCATIONS - LOW ANGLE -|location
152||"DAY AND NIGHT
The metallic grill of the Cherokee explodes INTO FRAME as
the car whooshes over us, hurtling down the Massachusetts
Turnpike.
In a SERIES OF SHOTS, with CREDITS OVER, we see landmarks
form the cross-country trip: a Pennsylvania Dutch
farmhouse, a smoke-spewing factory in Ohio, the
Mississippi River, Kansas wheat fields, Loveland Pass and
the Continental Divide."|stage direction
153||DISSOLVE TO:|unknown
154||EXT. OPEN DESERT - DAY|location
155||"The middle of nowhere. Sand, weeds and sagebrush. A
two-lane highway stretches to the horizon like a ribbon
of asphalt.
The Cherokee cruises along the road. Its Massachusetts
plates seem out of place in this stark landscape.
There are no other vehicles.
MOVING CLOSER, we see that Jeff is driving.    Amy is sound
asleep in the reclined passenger seat.
In back, luggage, moving boxes, camera cases."|stage direction
156||INT. JEEP CHEROKEE - DAY|location
157||"The AIR CONDITIONING WHISPERS. On the console are two
empty Styrofoam McDonald's coffee cups and a state-of-
the-art Nikon Camera.
Jeff stretches in the driver's seat. He forces his eyes
open, fighting sleep. He reaches for the coffee cup...
it's empty. He glances into the back of the Jeep. There
is a thermos of coffee on the back seat.
Keeping one hand on the wheel, he reaches for the thermos
and fumbles it to the floor. He strains to reach it. He
doesn't notice..."|stage direction
158||10.|unknown
159||EXT. HIGHWAY - 200 YARDS AHEAD|location
160||"A slow-moving Dodge Ram pickup truck is approaching the
highway along a small road that cuts across the desert
floor.
The pickup, equipped with oversized tires, roll bar, and
a CB whip antenna, bounces over the uneven terrain and
turns onto the highway, stopping just before entering
Jeff's lane."|stage direction
161||INT. CHEROKEE - DAY|location
162||"Jeff glances up just in time to see the Ram lurch into
the road in front of him. Jeff drops the thermos and
spins the wheel!
Amy's eyes fly open --"|stage direction
163||EXT. HIGHWAY - DAY|location
164||"The Cherokee goes into a wild looping skid. The Ram
jerks to a halt as the Cherokee whips past, averting a
collision by inches."|stage direction
165||INT. CHEROKEE - DAY|location
166||"Jeff expels a breath. Amy turns to see the pickup
stopped in the road. She looks at him, concerned."|stage direction
167||AMY|unknown
168|JEFF|Jesus, Jeff...|speech
169||JEFF|unknown
170|JEFF|"Sorry.     I took my eyes off the
road."|speech
171||"(seeing thermos
on floor)"|unknown
172|AMY|"Maybe it's time we took a break,
you know?"|speech
173||"Jeff nods, looks in the rearview mirror.
HIS POV - PICKUP
halted in the middle of the road. Inside, dimly-visible
through tinted windows, are two figures in cowboy hats.
The driver leans out the window and gives Jeff the
finger."|stage direction
174||11.|unknown
175||"BACK TO JEFF
angry at himself.    He looks over at Amy."|stage direction
176|JEFF|I'll pull over next chance we get.|speech
177||(a beat)|unknown
178|JEFF|Sorry...|speech
179||He glances in the rearview again, still a bit shaken.|stage direction
180||CUT TO:|unknown
181||EXT. GAS STATION - DAY|location
182||"A small desert gas station/mini-mart just off the
highway. A sign over the building: ""Last Gas For 30
Miles."" The Cherokee is parked at the pumps, hood
raised.
Jeff comes out of the mini-mart, carrying a   plastic quart
of oil. He unscrews the cap and starts to    fill the
crankcase, careful not to spill on the new   engine. In
the b.g., Amy is visible inside the store,   browsing a
magazine rack."|stage direction
183||INT. CONVENIENCE MART - SAME TIME|location
184||"Amy thumbs through a cheap tourist guide, The Desert
Southwest. A TRUCK DRIVER stands nearby, perusing the
magazines. He glances in Amy's direction, notices what
she's reading."|stage direction
185||TRUCKER|unknown
186|JEFF|On vacation?|speech
187||"Amy looks up at him. He's 50ish, plain-looking,
friendly, wearing a ""U.S.A."" logo baseball cap."|stage direction
188||AMY|unknown
189|JEFF|Sort of.    We're moving, actually.|speech
190||TRUCKER|unknown
191|JEFF|Whereabouts?|speech
192||"Amy hesitates. She's not used to talking with strangers,
but the guy seems harmless enough."|stage direction
193|AMY|"California. We thought we'd take
the scenic route."|speech
194||"(CONTINUED)
12."|unknown
195||CONTINUED:|stage direction
196||"TRUCKER
Huh. In that case, you oughta try
the Pass Road, 'bout thirty miles
west. Real pretty, makes a loop
through the hills, then hooks back
up with the highway."|unknown
197||Amy smiles politely, moves toward the cash register.|stage direction
198||"Thanks. I'll mention it to my
husband."|unknown
199||The Trucker tips his cap.|stage direction
200||"TRUCKER
Okay, then. Good luck.   Enjoy the
rest of your trip."|unknown
201||EXT. GAS STATION - DAY|location
202||"As Jeff continues pouring the oil, he doesn't notice the
mud-streaked Dodge Ram pickup pulling up to the pumps
behind him. The driver, EARL, climbs out. The other man
remains in the cab with the smoked windows rolled up.
Earl is a beefy man about Jeff's age. He wears a sweat-
stained Western hat, cowboy boots and a T-shirt with the
sleeves cut out to display his tattooed biceps. He
saunters over to the Cherokee, stands there a beat,
looking over Jeff's shoulder.
Jeff senses something behind him, turns. His eyes widen
as he sees Earl, recognizes the pickup as the one he
nearly hit a few minutes before. Earl stares at him,
unsmiling."|stage direction
203||"EARL
(flatly)
Nice car."|unknown
204||"Jeff is in an awkward position. He's got a half-full
upside-down bottle of oil in his hands. If he lifts it
now, he'll spill on the engine. He turns his gaze back
to the engine, decides to keep pouring."|stage direction
205||"JEFF
Thanks."|unknown
206||"Earl steps around to the open passenger window, peers in.
Jeff watches him, wary."|stage direction
207||"(CONTINUED)
13."|unknown
208||CONTINUED:|stage direction
209||EARL|unknown
210||"Air, C.D., leather -- I guess you
sprung for the whole nine yards."|location
211||JEFF|unknown
212||I guess.|location
213||EARL|unknown
214||"Then again, out here, what you
really need's a C.B. radio."|location
215||JEFF|unknown
216||Is that right?|location
217||"The oil bottle empties    out. Relieved, Jeff pulls it away
and screws back on the    crankcase cap. He shuts the hood
with a thunk and moves    around to the side of the car to
remove the gas nozzle    from the tank. Earl blocks his
path."|stage direction
218||EARL|unknown
219||"'Course, if you use a C.B., you
gotta have a handle."|location
220||Jeff says nothing.      This is not a friendly conversation.|stage direction
221||EARL|unknown
222||How about Shit-for-Brains?|location
223||(beat)|unknown
224||"You damn near killed us back
there, boy."|location
225||"JEFF
Look, I'm sorry, I didn't see you.
You pulled out in front of me.
EARL
The hell I did. I saw what
happened."|unknown
226||"Looking past Earl, Jeff sees Amy come out of the mini-
mart with a bag of groceries. He speaks carefully,
anxious to avoid a confrontation."|stage direction
227||"JEFF
How about if we just forget it,
okay? I'm sorry it happened. I
don't want any trouble.
EARL
(snorting)
Yeah.     I bet you don't.
(CONTINUED)
14."|unknown
228||"CONTINUED:
Earl glares at Jeff before turning away.    He passes Amy,
gives her a broad smile."|stage direction
229||EARL|unknown
230||"Howdy, ma'am. Caught this fellow
tryin' to steal your Cherokee."|location
231||"Amy takes in the situation. She nods politely. Earl
continues into the mini-mart. She approaches Jeff,
puzzled."|stage direction
232||AMY|unknown
233||What was that about?|location
234||JEFF|unknown
235||"Nothing. Guy in the truck.
Thinks I tried to hit him."|location
236||"Jeff glances apprehensively at the man in the pickup, who
has not moved during the scene. He looks back at the
mini-mart."|stage direction
237||JEFF|unknown
238||C'mon, let's go.|location
239||AMY|unknown
240||You want me to drive?|location
241||JEFF|unknown
242||Later.   Just get in.|location
243||AMY|unknown
244||Is something wrong?|location
245||JEFF|unknown
246||No, let's just go.|location
