|character|text|type
0||"""DIE HARD""
Screenplay
by
Jeb Stuart
Revisions by
Steven E. DeSouza
based on the novel
Nothing Lasts Forever
by
Roderick Thorp"|unknown
1||"WITH REVISION #1  (Blue)    WITH REVISION #5  (Goldenrod)
November 2, 1987            November 5, 1987
WITH REVISION #2  (Pink)    WITH REVISION #6  (Salmon)
November 4, 1987            November 17, 1987
WITH REVISION #3  (Green)   WITH REVISION #7  (Blue)
November 4, 1987            November 23, 1987
WITH REVISION #4  (Yellow)  WITH REVISION #8  (Pink)
November 5, 1987            November 30, 1987"|stage direction
2||"SECOND REVISED DRAFT
October 2, 1987"|unknown
3||A Gordon Company/Silver Pictures Production|location
4||"""DIE HARD"""|unknown
5||FADE IN|stage direction
6||1       405 FREEWAY - LOS ANGELES - EARLY EVENING              1|location
7||"Christmas tinsel on the light poles.  We ARE LOOKING east past
Inglewood INTO the orange grid of L.A. at night when suddenly
we TILT UP TO CATCH the huge belly of a landing 747 -- the
noise is deafening."|stage direction
8||2       INT. 747 - PASSENGERS - SAME                           2|location
9||"The usual moment just after landing when you let out that sigh
of relief that you've made it in one piece.  As the plane TAXIS
to its gate, they stir, gather personal belongings."|stage direction
10||3       ON JOHN MCCLANE                                        3|location
11||"mid-thirties, good-looking, athletic and tired from his trip.
He sits by the window.  His relief on landing is subtle, but
we NOTICE.  Suddenly, he hears --"|stage direction
12||"SALESMAN'S VOICE
You don't like flying, do you?"|unknown
13||"McClane turns, looks at the Babbit clone next to him.  Caught,
he tenses, holds his armrests in exaggerated fear."|stage direction
14||"MCCLANE
No, no, where'd you get that idea?
SALESMAN
(smiling)
Ya wanna know the secret of successful
air travel?  After you get where you're
going, ya take off your shoes and socks.
Then ya walk around on the rug barefoot
and make fists with your toes.
MCCLANE
Fists with your toes.
SALESMAN
Maybe it's not a fist when it's your
toes...I mean like this...work out
that time zone tension.
(demonstrating)
Better'n a cup of coffee and a hot
shower for the old jet lag.  I know
it sounds crazy.  Trust me.  I've
been doing it for nine years."|unknown
15||"The plane stops.  Passengers rise, start to take down overhead
luggage.  McClane does this, but as he opens the door above,
the businessman BLANCHES seeing:"|stage direction
16||3-A     HIS P.O.V. - MCCLANE'S BARETTA PISTOL                  3-A|location
17||Peeking out from his jacket.|stage direction
18||3-B     BACK TO SCENE                                          3-B|location
19||Recognizing the look, McClane smiles reassuringly.|stage direction
20||"MCCLANE
It's okay.
(showing badge)
I'm a cop.
(pause)
Trust me.  I've been doing it for
eleven."|unknown
21||"The businessman relaxes, moves off.  McClane now wrestles down
the biggest Teddy Bear FAO Schwartz had to offer.  Balancing
this, he moves down to another overhead, takes out a topcoat
and an overnighter.  Barely managing all this, he turns,
COLLIDING WITH:"|stage direction
22||3-C     A PRETTY STEWARDESS                                    3-C|location
23||She bumps noses with the bear, gives a look.|stage direction
24||"STEWARDESS
(smiling, about the bear)
Maybe you should have bought her a
ticket.
MCCLANE
Her?"|unknown
25||He scrutinizes the nether regions of the bear, shrugs.|stage direction
26||"MCCLANE
She doesn't complain.
STEWARDESS
(eying him)
Neither would I."|unknown
27||"McClane smiles, with just enough of a sigh to know he's as
wistful about things-that-might-have-been as she is...moves
down the aisle."|stage direction
28||CUT TO:|unknown
29||4       INT. THE NAKATOMI BUILDING (LOS ANGELES) - EVENING     4|location
30||"CLOSE ON A bottle of Dom Perignon as the cork explodes across
a large office floor decorated for Christmas.  A Japanese man,
mid-fifties standing on a desk holds up the bottle triumphantly
and looks out at an adoring audience of junior executives and
office personnel.  He is JOSEPH TAKAGI, Sr V.P. of Sales for
Nakatomi, a multinational corporation."|stage direction
31||"TAKAGI
Ladies and gentlemen...I congratulate
each and every one of you for making
this one of the greatest days in the
history of the Nakatomi corporation..."|unknown
32||"In the b.g., obviously still at work, an attractive BUSINESSWOMAN
in her mid-thirties, studying a computer printout, heads toward
her office.  Falling into step with her is HARRY ELLIS,
thirty-seven, V.P. of Sales.  Well-dressed, with stylish,
slicked-back hair, he looks and acts very smooth."|stage direction
33||"ELLIS
What about dinner?
WOMAN (HOLLY)
Harry, it's Christmas Eve.  Families...
Stockings...chestnuts...Rudolph and
Frosty...those things ring a bell?"|unknown
34||She turns into:|stage direction
35||5       HER OFFICE                                             5|location
36||"Her name is HOLLY GENNARO MCCLANE, though the nameplate on her
door stops after the first two.  She puts the printout down
on her secretary's desk."|stage direction
37||"ELLIS
(in reply)
I was thinking more of roaring
fireplaces...mulled wine and a nice
brie..."|unknown
38||Holly ignores the come-on, turns to her secretary.|stage direction
39||"HOLLY
Ginny, it's 6:40, you're making me
feel like Ebeneezer Scrooge.  Go on,
join the party, have some champagne."|unknown
40||"Ginny slowly manipulates herself out of her seat.  She is
enormously pregnant."|stage direction
41||"GINNY
(grateful)
Thanks Ms. Gennaro.
(worried)
Do you think the baby can handle
a little sip?
HOLLY
(eyeing her)
Ginny, that baby's ready to tend bar.
ELLIS
(not giving up)
How about tomorrow night?"|unknown
42||"Holly just points to the door.  He follows Ginny out, clearly
not giving up.  Just then the party on Holly's phone picks up
and we:"|stage direction
43||INTERCUT:|unknown
44||6       INT. NICE HOUSE IN SANTA MONICA                        6|location
45||"where a five-year old LUCY MCCLANE races her YOUNGER BROTHER
to the phone, winsthe wrestling match, and answers with a sense
of importance.  An Xmas tree is in the b.g."|stage direction
46||"LUCY
McClane residence.  Lucy McClane
speaking."|unknown
47||"Holly suddenly smiles.  It is the first time we've seen her
smile and it speaks volumes about the person hidden under a
tough business exterior."|stage direction
48||"HOLLY
(with affection)
Hello, Lucy McClane.  This is your
mother."|unknown
49||"She looks up and watches Ellis leave.  He ""shoots"" her with a
""catch ya later"" wink."|stage direction
50||"LUCY
Mommy!  When are you coming home?!
HOLLY
Soon.  You'll be in bed when I get
there, though.
LUCY
Will you come say 'good night'?
HOLLY
Don't I always, you goose?
(enjoying Lucy's giggle)
Now put Paulina on the line, and
no searching the house for presents!
LUCY
(caught)
I didn't look in the front closet
under the steps!  Is Daddy coming
home with you?
JOHN, JR.
(hearing this, jumping up
and down)
Yeah!  Daddy!  Daddy!  Daddy!
(on second thought)
And a Captain Power!
HOLLY
(a little tightly)
Well, we'll see what Santa and Mommy
can do.  Goose, put Paulina on, okay?"|unknown
51||"Lucy hands the phone to a young Salvadorian woman, PAULINA,
the housekeeper."|stage direction
52||"PAULINA
Hello, Mrs. Holly.  You coming home
soon?
HOLLY
I'm working on it.
(beat)
Did Mr. McClane call?                               *
PAULINA
No ma'am."|unknown
53||Holly hides a trace of disappointment.|stage direction
54||"HOLLY
Well...maybe there wasn't time before               *
the flight.  You should probably make
up the spare room just in case.
PAULINA
(smiling)
Yes, Mrs. Holly.  I do that already.                *"|unknown
55||Holly's smile comes through again.|stage direction
56||7       INT. LAX - EVENING                                     7|location
57||"McClane, wearing his wool topcoat and carrying the biggest
stuffed animal FAO Schwartz had in stock and his hangup bag,
comes down the American Airlines ramp and into the terminal.
He avoids one near-collision involving his stuffed animal, an
act which drives him into another fender bender with a CUTE
GIRL who looks like she's ready for high tide at Zuma.  As she
smiles, weaves onward, McClane looks at his own Arctic gear
and then the girl as she kisses a similarly garbed boyfriend."|stage direction
58||"MCCLANE
(sotto, to himself)
California."|unknown
59||He looks around the terminal at:|stage direction
60||7-A     HIS P.O.V. - TERMINAL                                  7-A|location
61||"FAMILY REUNIONS are going on all around his as grandparents
greet grown children and their children, YOUNG WIVES greet
uniformed SOLDIERS, our Babbit businessman greets a pleasant
wife and two pleasant kids.  It's all very traditional, very
touching and not the least bit corny."|stage direction
62||7-B     BACK TO SCENE                                          7-B|location
63||"McClane watches, moved by the sight, then looks around the
waiting area, just on the chance his family might be waiting.
Instead he spots a thin, gangling black kid, ARGYLE, in an
ill-fitting chauffeur's uniform.  As he waits he beats out a
rhythmn on a ""Nakatomi Corporation"" card with J. McCLANE written
on it in magic marker.  McClane pauses in front of him, unsure."|stage direction
64||"MCCLANE
I'm John McClane.
ARGYLE
(introducing himself)
Argyle.  I'm your limo driver.  Hey,
nice bag."|unknown
65||"He turns and starts walking.  McClane paces him, still juggling
bag and giant animal."|stage direction
66||"MCCLANE
Argyle.  Don't you take this stuff?
ARGYLE
(stops)
Do I?  I'm sorry.  You're gonna have to
help me, man.  This is my first time
driving a limo.
MCCLANE
That's okay.  This is my first time
riding in one.
CUT TO:"|unknown
67||8       WITH THE LIMO - DUSK                                   8|location
68||"TILT UP from the Lincoln emblem on the car.
Both Argyle and McClane are in the front seat."|stage direction
69||"ARGYLE
Just kick back and relax, man.  We
got everything you need:  CD, CB,
TV, VHS, telephone, full bar."|unknown
70||He looks in the back seat, which is occupied by the bear.|stage direction
71||"ARGYLE
If your friend is hot to trot...I
know a couple of mama bears.
(turning to McClane)
...Or is he married?
MCCLANE
Married."|unknown
72||"McClane tries to get comfortable, scowls as a RUSTLING NOISE
reveals wrappers and styrofoam from Taco Bell.  He scowls at
Argyle."|stage direction
73||"ARGYLE
The girl was off today.  Hey, I
didn't expect you to sit up front.
(back to the topic)
So, your lady live out here?
MCCLANE
The past six months.
ARGYLE
(thinking about that)
Meanwhile, you still live in
New York?
MCCLANE
You're nosey, you know that, Argyle?
ARGYLE
Hey, I'm sorry.  When I was a
cabdriver, see, people expected a little
chit chat, a little eccentricity and
comaraderie, I forgot how stuck up you
limo guys were, so excuse me.
MCCLANE
(amused)
It's okay, it's okay.
ARGYLE
(instantly)
So, you divorced of what?"|unknown
74||McClane gives up.|stage direction
