|character|text|type
0||"DUNE
SEVENTH DRAFT
DAVID LYNCH
December 9, 1983"|unknown
1||1.   ARRAKIS - A SCENE FROM SPACE|location
2||"Also known as DUNE, home of the Fremen, former
Zenzunni wanderers."|stage direction
3||1A.  INT. ROCK LEDGE - SIETCH TABR - NIGHT|location
4||"BLACK
FADE IN to the dark eyes of the mysterious face of
the REVEREND MOTHER RAMALLO, who sits against smooth
black rock. Her eyes are deep blue-within-blue and
her skin is a haunting translucent white. Her voice
ECHOES as if in a great cavern."|stage direction
5||REVEREND MOTHER RAMALLO|unknown
6|unknown|We are the secret of the Universe.|speech
7||RESPONSE OF TWENTY THOUSAND VOICES|unknown
8|unknown|Bi-la kaifa.|speech
9||REVEREND MOTHER RAMALLO|unknown
10|unknown|"We are the secret of the Universe. We know
of spice...the spice called melange...the
greatest treasure in the Universe. It
exists on only one planet - ours Arrakis,
Dune. We know of spice and the Bene
Gesserit sisterhood's selective breeding
plan of ninety generations to produce the
Kwisatz Haderach, the one the spice will
awaken."|speech
11||RESPONSE OF TWENTY THOUSAND VOICES|unknown
12|unknown|Bi-la kaifa.|speech
13||REVEREND MOTHER RAMALLO|unknown
14|unknown|And now the prophecy...|speech
15||"Silence...then a powerful low organ NOTE resounding
in the cavernous space."|stage direction
16||REVEREND MOTHER RAMALLO (CONT'D)|unknown
17|unknown|"He will come...the voice from the outer
world, bringing the holy war, the Jihad,
which will cleanse the Universe and bring
us out of darkness. He will have been born
of a Bene Gesserit mother."|speech
18||"The Reverend Mother continues speaking of the
Prophecy, but we do not hear it. The huge wind organ
BLOWS louder and louder, obscuring her voice.
The picture FADES."|stage direction
19||1B.  KAITAIN - A SCENE FROM SPACE|location
20||"Home planet of House Corrino and Shadam IV, Emperor
of the known universe."|stage direction
21||2.   INT. DROP - NIGHT|location
22||"FADE IN to:
...interior of one drop of water. The image changes
subtly."|stage direction
23||2A.  EXT. - DROP - NIGHT|location
24||"PULL BACK to a shot revealing the outside of the
drop. There is a distant ROARING and within the drop
we can see the distorted image of a space ship
landing on a sophisticated landing field."|stage direction
25||"3.   (Deleted)
3A. EXT. LANDING FIELD - EMPEROR'S PALACE - NIGHT"|location
26||"On the dark landing field, chemicals spill out of
the ship in troughs and tank-suited Guildsmen begin
to swarm out of a hatch opening."|stage direction
27||"4. through 6.  (Deleted)
7.   INT. THRONE ROOM - EMPEROR'S PALACE - NIGHT"|location
28||"The EMPEROR is surrounded by crowds of COURTIERS in
his Throne Room.
Suddenly a GUARD enters from a small door and
quickly crosses to ANOTHER GUARD. A warning SOUND
begins. The Emperor turns nervously. Guards quickly
begin to clear the large room. Several women are
rushed toward us to a door beyond. One of the woman,
IRULAN, stops and turns back for a worried, caring
look to her father, the Emperor."|stage direction
29||IRULAN|unknown
30|unknown|Father.|speech
31||EMPEROR|unknown
32|unknown|Irulan.|speech
33||"She sees that SARDAUKAR OFFICERS are surrounding him
now, speaking to him. Irulan turns and leaves. The
Emperor moves away from his officers to the center
of the now-empty room. He drops his golden robe from
his shoulders. He stands in his elegant black
uniform, thinking.
The Reverend Mother is ushered in and the Sardaukar
Officers leave her alone with the Emperor."|stage direction
34||"EMPEROR
(quickly)"|unknown
35|unknown|"A Third Stage Guild Navigator will be here
within minutes!"|speech
36||REVEREND MOTHER|unknown
37|unknown|We felt his presence.|speech
38||EMPEROR|unknown
39|unknown|"I shall want telepathy during his visit
and a report when we're finished."|speech
40||REVEREND MOTHER|unknown
41|unknown|"Their minds are so.... They move in
strange directions...."|speech
42||EMPEROR|unknown
43|unknown|Yes?|speech
44||REVEREND MOTHER|unknown
45|unknown|"Forced spice evolution of humans changes
many things.... I must sit close to him."|speech
46||EMPEROR|unknown
47|unknown|"He will not permit anyone but me to see
him. You must be outside this room.... Do
what you can."|speech
48||REVEREND MOTHER|unknown
49|unknown|I am your Truthsayer, my lord...|speech
50||(sensing something outside the room)|unknown
51|unknown|He is here, my lord.|speech
52||"Under the carved inscription ""Law is the Ultimate
Science"", the doors to the Emperor's chambers slide
open and FIFTY GUILDSMEN wheel in a forty-foot long
giant black box. One of the Guildsmen addresses the
Emperor through a translating device."|stage direction
53||TANKED GUILDSMEN #1|unknown
54|unknown|The Bene Gesserit witch must leave.|speech
55||The Emperor looks to the Reverend Mother.|stage direction
56||EMPEROR|unknown
57|unknown|Leave us.|speech
58||REVEREND MOTHER|unknown
59|unknown|Yes, my Lord.|speech
60||"EMPEROR
(after she has gone)"|unknown
61|unknown|We are alone...|speech
62||8.   INT. HALLWAY - EMPEROR'S PALACE - NIGHT|location
63||"The Reverend Mother enters through doors and takes a
seat on a chair just outside the door. She closes
her eyes."|stage direction
64||9.   INT. THRONE ROOM - EMPEROR'S PALACE - NIGHT|location
65||"Inside the Emperor's chamber, the TANK-SUITED
GUILDSMEN are arranging themselves in a ""V""
formation around the box. Suddenly the box opens,
slowly and beautifully revealing a huge, thick glass
tank. Inside the tank floats a THIRD STAGE NAVIGATOR
twenty feet long, much like a cross between a pasty,
pale human being and a fleshy grasshopper.
The tank is filled with swirling orange spice-gas,
and Guildsmen continuously vacuum up the toxic
chemical spills dripping from under the tank.
Suddenly the Guild Navigator swims towards the
Emperor. His head is enormous and fleshy, like a
huge grasshopper head -- the eyes are totally deep
blue. His voice is a high, fleshy whispering and an
intricate electrical apparatus in the front of the
tank translates into English and broadcasts it into
the room."|stage direction
66||NAVIGATOR|unknown
67|unknown|We have just folded space from Ix...|speech
68||"EMPEROR
(extremely nervous)"|unknown
69|unknown|Yes?... How was your journey?|speech
70||"NAVIGATOR
(after a long pause)"|unknown
71|unknown|Many machines on Ix... new machines.|speech
72||EMPEROR|unknown
73|unknown|Oh yes?|speech
74||NAVIGATOR|unknown
75|unknown|"Better than those on Richesse.. You are
transparent... I see many things... I see
plans within plans."|speech
76||EMPEROR|unknown
77|unknown|"Is there a problem?... Usually there is a
problem when one of you makes a visit."|speech
78||No answer.|stage direction
79||"NAVIGATOR
(finally)"|unknown
80|unknown|The answer is within the problem...|speech
81||10.  INT. HALLWAY - EMPEROR'S PALACE - NIGHT|location
82||"Outside the Emperor's chamber the Reverend Mother
sits, her eyes closed, straining."|stage direction
83||"11.  INT. THRONE ROOM - EMPEROR'S PALACE - REVEREND
MOTHER'S MENTAL IMAGE - NIGHT"|location
84||"A very blurred scene of the Emperor with the Guild
Navigator. She is not getting the English version
but a much different language version which is
fascinating to listen to. A lilting, sing-song
monologue."|stage direction
85||12.  INT. THRONE ROOM - EMPEROR'S PALACE - NIGHT|location
86||NAVIGATOR|unknown
87|unknown|"I see two Great Houses -- House Atreides,
House Harkonnen -- feuding... I see you
behind it."|speech
88||EMPEROR|unknown
89|unknown|Yes.|speech
90||"The Navigator breathes the spice-gas heavily and
swishes gently in his tank."|stage direction
91||NAVIGATOR|unknown
92|unknown|You must share with us.|speech
93||EMPEROR|unknown
