|character|text|type
0||"ARAC ATTACK
(Eight Legged Freaks)
by"|unknown
1||Jesse Alexander & Ellory Elkayem|stage direction
2||"July 2000 Draft
FOR EDUCATIONAL
PURPOSES ONLY
ARAC ATTACK!"|unknown
3||FADE IN:|stage direction
4||EXT. DESERT - NIGHT|location
5||A rabbit hops across rough terrain.|stage direction
6||EXT. HIGHWAY (DESERT) - NIGHT|location
7||"Three trucks from Chemical Technologies carry barrels of
toxic waste. They pass a sign: PROSPERITY, NEVADA, POP
454."|stage direction
8||INT. THIRD TRUCK (HIGHWAY, DESERT) - NIGHT|location
9||A sleepy trucker called PIG PEN drives the third truck.|stage direction
10||"SELF-HELP TAPE (V.O.)
I will be self-assured and
confident around women.
PIG PEN
I will be self-assured and
confident around women."|unknown
11||EXT. HIGHWAY (DESERT) - NIGHT|location
12||"The rabbit stops at the edge of the road. The first
truck speeds past. Then the second. The rabbit crosses
the highway in front of the third."|stage direction
13||INT. THIRD TRUCK (HIGHWAY, DESERT) - NIGHT|location
14||"SELF-HELP TAPE (V.O.)
I will not fear the unexpected.
PIG PEN
I will not fear the unexpected."|unknown
15||The rabbit appears in the road, frozen by headlights.|stage direction
16||Ahhhhhhhhhh!|unknown
17||"Pig Pen jams on his brakes and swerves to avoid the
bunny."|stage direction
18||EXT. HIGHWAY (DESERT) - NIGHT|location
19||The truck slews crazily.    Missing the bunny by a whisker.|stage direction
20||2.|unknown
21||INT. THIRD TRUCK (BRIDGE, DESERT) - NIGHT|location
22||"Pig Pen sees a bridge ahead. If he doesn't regain
control, he will crash. At the last second, he gets the
rig together."|stage direction
23||EXT. BRIDGE (DESERT) - THIRD TRUCK - NIGHT|location
24||"The rim of a wheel tags the curb. One of those toxic
waste barrels falls out of the back and plunges to the
water below."|stage direction
25||EXT. DRAINAGE DITCH - NIGHT|location
26||"A biohazard warning label is legible as the barrel slips
beneath the surface. Glowing toxic waste seeps from a
gash in its side. Spreading through the pool like neon
ink."|stage direction
27||EXT. DRAINAGE DITCH - DAY|location
28||"The ditch is littered with garbage. The DRONE of
INSECTS. No visible traces of toxic waste. A butterfly
net sweeps through the air to capture an oversized
horsefly.
JOSHUA TAFT (70s), scrutinizes the bug. This old codger
is more comfortable studying bugs than socializing with
people."|stage direction
29||JOSHUA|unknown
30||Hey, Mike.   Check this one out.|location
31||"MIKE PALMER (12) steps over for a look.     Puberty hit hard
and fast for this bright, little nerd."|stage direction
32||MIKE|unknown
33||He's huge!|location
34||JOSHUA|unknown
35||"They've been like this all week.
Must be something extra tasty in
the water."|location
36||MIKE|unknown
37||Like what?|location
38||JOSHUA|unknown
39||"Dead coyote. Snake maybe. Back
in the 'Nam we'd eat python with a
dash of habanero sauce. Mighty
satisfying."|location
40||"(CONTINUED)
3."|unknown
41||CONTINUED:|stage direction
42||MIKE|unknown
43|PIG PEN|You ate snake?|speech
44|JOSHUA|"When you're thirty klicks out from
the nearest firebase. Humpin'
through the wake-up with your
finger on the trigger. Charlie
doesn't give you time to stop for
cutlet."|speech
45||"As Mike skims his own net over the water, he glimpses a
familiar barrel at the bottom of the pool. The brightly-
colored biohazard warning label is clearly visible."|stage direction
46||EXT. ROAD - JOSHUA'S HOUSE - DAY|location
47||"Two bicycles are parked outside a cabin in the middle of
nowhere."|stage direction
48||INT. JOSHUA'S HOUSE - DAY|location
49||"The decor is an odd mix of Vietnam era war relics and
homegrown scientist. Charlie the Parrot sits on a perch."|stage direction
50|CHARLIE (V.O.)|Charlie, don't surf!|speech
51||JOSHUA|unknown
52|CHARLIE (V.O.)|Quiet, bird.     We're working.|speech
53||"Mike and Joshua stand near the spider tanks. A dozen
aquariums on low shelves. Each glass tank replicates a
specific environment: jungle, desert, cavern, pond, etc."|stage direction
54||(dims tank lights)|unknown
55|JOSHUA|"The sun is going down, my
nocturnal hunters. It's time to
come out and feed."|speech
56||Mike watches Joshua deposit bugs into each spider tank.|stage direction
57||MIKE|unknown
58|JOSHUA|"Yeah. They're definitely getting
bigger."|speech
59|JOSHUA|"I've calculated a growth factor of
twelve percent over the last
forty-eight hours. But that seems
to be accelerating."|speech
60||"(CONTINUED)
4."|unknown
61||CONTINUED:|stage direction
62|MIKE|"All from eating these bugs?   Maybe
I should try some."|speech
63||"Mike pauses at the desert tank, watching a cricket search
for food. A trap-door spider pops out of its camouflaged
den like a jack-in-the-box. The arachnid yanks the
cricket below and replaces the roof in a nanosecond.
Mike looks in another tank where ogre-eyed spitting
spiders shoot blasts of paralyzing goo at hapless
insects."|stage direction
64|MIKE|Run, little guys.|speech
65|JOSHUA|They can't outrun the food chain.|speech
66|MIKE|I could get away.|speech
67|JOSHUA|"Imagine yourself the size of that
fly. A scytodes spitter would be
as big as a Cadillac. You'd be
spider chow, kid."|speech
68||"Mike looks in a tank where jumpers chase fleeing
crickets. He moves toward another tank that is covered
with a towel."|stage direction
69|MIKE|Are the new tarantulas in here?|speech
70|JOSHUA|"Took me forever to get a breeding
set of Chilean reds. I must have
bribed every customs agent from
Vegas to Santiago."|speech
71||"Joshua unveils the    tank. Dirt floor. Several burrow
entrances. Joshua     pours in the bugs. A large, male
tarantula comes out    of a burrow. It pounces on a bug,
then wraps its prey    in webbing, turning the insect into a
mummy-like bundle."|stage direction
72|MIKE|That is too cool.|speech
73|JOSHUA|"Male tarantulas compete for the
female's attention."|speech
74||"(CONTINUED)
5."|unknown
75||CONTINUED:|stage direction
