|character|text|type
0||"JIMMY AND JUDY
Written by
Randall K. Rubin & Jon Schroder
CAMERA ON:"|unknown
1||"I/E. BACKYARD - SUBURBAN HOUSE - JUDY'S BEDROOM - NIGHT
POV of a HOME VIDEO CAMERA shooting into the window of
teenage girl's bedroom.
The door inside opens. In walks JUDY OAKS-KELLEN (18), a
blond haired, mousy girl, wearing only a T-shirt and panties.
As she heads to the mirror we hear...
Sound of skin smacking against skin and heavy breathing.
Whoever operates the camera is definitely CHOAKIN' THE
GOPHER.
Judy combs her hair in the mirror, oblivious.
The camera operator is in a whack off frenzy as he..."|stage direction
2||CAMERA OPERATOR (O.C.)|unknown
3|unknown|Oh, mmph.|speech
4||"He's climaxed.
The sounds have stopped, but the tape keeps rolling.    Judy
stops combing her hair as...
Camera shuts down."|stage direction
5||CAMERA ON:|unknown
6||EXT. HIGH SCHOOL - THE TRACK - DAY|location
7||"Camera shoots from inside a car hidden camera style as Judy
runs laps during her gym class. Judy, again, has no idea
that she is being filmed as camera zooms in tight.
She's tired, sweating profusely, and looks completely
miserable. She stops running, exhausted, as the other kids
pass her.
Suddenly, a very Butch looking female GYM TEACHER (40) walks
over and begins BERATING Judy. The Gym Teacher's face turns
red as she spews insults inches away from Judy's face.
We can't hear what she's saying, but whatever it is, it's
cruel, harsh, and very intense. Exhausted and humiliated,
Judy holds back tears as...
Camera shuts down."|stage direction
8||"CAMERA ON:
2."|unknown
9||"I/E. JIMMY'S HOUSE - BACKYARD/KITCHEN/LIVING ROOM - DUSK
Late summer evening. Camera Operator wipes dirt from the
lens with his shirt revealing his face for the first time as
he looks at camera. This is the first time we get even a
glimpse of JIMMY WRIGHT (21). His looks are striking, even a
bit awkward, but not at all unappealing.
He throws a mischievously evil look at the lens, then settles
his face back to normal. He spins the camera away, pointing
it at the back of his house.
Through the kitchen window, Jimmy zooms in on his mother
(JIMMY'S MOM) (40's) idyllic version of a mom in new
millennium suburban housewife clothes. She's on the phone,
preparing dinner."|stage direction
10|JIMMY (O.C.)|"Hey Mom, heard you and Dad doing
the nasty last night. Thanks for
that one. By the way, who the fuck
is Nancy?"|speech
11||"Camera whips over to JIMMY'S DAD in the LIVING ROOM, well
dressed, rich looking and fat in his late 40's, watching
baseball on TV, tired after a long day's work. He drinks
from a tumbler of expensive scotch neat with an ice cube,
munching on mixed nuts from a crystal bowl."|stage direction
12|JIMMY (O.C.)|"Hey Dad, Mom's on the phone telling
her friends that you're hung like a
light switch."|speech
13||"Dad reaches into his pants to give his balls a good scratch.
Jimmy gives the play by play like a baseball announcer."|stage direction
14|JIMMY (O.C.)|"Oh Daddy, there he goes. He makes
the reach and... yes! Both balls
at the same time! One heck of a
double play!"|speech
15||"Eyes on the TV, Dad takes his hands out of his pants and
sniffs them."|stage direction
16|JIMMY (O.C.)|And the sniff to finish it off.|speech
17||"Satisfied, Dad reaches in and grabs a handful of nuts as he
continues to watch TV. We zoom out to see both Mom and Dad,
each through different windows."|stage direction
18||3.|unknown
19|JIMMY (O.C.)|Fucking freak show.|speech
20||CAMERA ON:|unknown
21||INT. JIMMY'S HOUSE - JIMMY'S BEDROOM - NIGHT|location
