|character|text|type
0||"BLACK SCREEN
SUPER: New Line Cinema Presents
SUPER: A Wingnut Films Production
BLACK CONTINUES... ELVISH SINGING....A WOMAN'S VOICE IS
whispering, tinged with SADNESS and REGRET:"|stage direction
1||(Elvish: subtitled)|location
2|GALADRIEL (V.O.)|"""I amar prestar sen: han mathon ne nen,
han mathon ne chae...a han noston ned
wilith."""|speech
3||(English:)|location
4|GALADRIEL (V.O.)|"The world is changed: I feel it in the
water, I feel it in the earth, I smell it
in the air...Much that once was is lost,
for none now live who remember it."|speech
5||SUPER: THE LORD OF THE RINGS|stage direction
6||EXT. PROLOGUE -- DAY|location
7||"IMAGE: FLICKERING FIRELIGHT. The NOLDORIN FORGE in EREGION.
MOLTEN GOLD POURS from the lip of an IRON LADLE."|stage direction
8|GALADRIEL (V.O.)|"It began with the forging of the Great
Rings."|speech
9||"IMAGE: THREE RINGS, each set with a single GEM, are received
by the HIGH ELVES-GALADRIEL, GIL-GALAD and CIRDAN."|stage direction
10|GALADRIEL (V.O.) (CONT'D)|"Three were given to the Elves, immortal,
wisest...fairest of all beings."|speech
11||IMAGE: SEVEN RINGS held aloft in triumph by the DWARF LORDS.|stage direction
12|GALADRIEL (V.O.) (CONT'D)|"Seven to the Dwarf Lords, great miners
and craftsmen of the mountain halls."|speech
13||"IMAGE: NINE RINGS clutched tightly by the KINGS OF MEN...as
if holding-close a precious secret."|stage direction
14|GALADRIEL (V.O.) (CONT'D)|"And Nine...nine rings were gifted to the
race of Men who, above all else, desire
power."|speech
15||"(CONTINUED)
2."|unknown
16||CONTINUED:|stage direction
17|GALADRIEL (V.O.) (CONT'D)|"For within these rings was bound the
strength and will to govern each race."|speech
18||FADE TO BLACK|unknown
19|GALADRIEL (V.O.) (CONT'D)|But they were all of them deceived.|speech
20||"FADE UP: An ancient PARCHMENT MAP of MIDDLE EARTH...moving
slowly across the MAP as if drawn by an unseen force the
CAMERA closes in on a PLACE NAME...MORDOR."|stage direction
21|GALADRIEL (V.O.) (CONT'D)|...for another ring was made.|speech
22||"TEASING SHOTS: SAURON forging the ONE RING in the CHAMBERS of
SAMMATH NAUR."|stage direction
23|GALADRIEL (V.O.) (CONT'D)|"In the land of Mordor, in the fires of
Mount Doom, the Dark Lord Sauron forged
in secret a Master Ring to control all
others."|speech
24||"IMAGE: The ONE RING reflecting FIERY LAVA!   FIRE WRITING
emerges on the plain BAND OF GOLD."|stage direction
25|GALADRIEL (V.O.) (CONT'D)|"...and into this Ring he poured his
cruelty, his malice and his will to
dominate all life."|speech
26||IMAGE: THE ONE RING falls through SPACE and into flames...|stage direction
27|GALADRIEL (V.O.) (CONT'D)|One Ring to rule them all...|speech
28||"IMAGE: A GREAT SHADOW falls across the MAP...closing in
around the realm of GONDOR...
IMAGE: SCREAMING VILLAGERS, MEN, WOMEN, AND CHILDREN, RUN
from their homes, pursued by ARMIES OF HIDEOUS ORCS."|stage direction
29|GALADRIEL|"One by one the Free lands of Middle earth
fell to the power of the ring."|speech
30||FADE TO BLACK|unknown
31|GALADRIEL (V.O.) (CONT'D)|But there were some...who resisted.|speech
32||"(CONTINUED)
3."|unknown
33||"CONTINUED:
FADE UP: ISILDUR, son of the KING OF GONDOR, leads an ARMY
ACROSS the PLAINS OF DAGORLAD..."|stage direction
34|GALADRIEL (V.O.) (CONT'D)|"A last alliance of Men and Elves marched
against the armies of Mordor."|speech
35|GALADRIEL (V.O.) (CONT'D)|"On the slopes of Mount Doom they fought
for the freedom of Middle- Earth."|speech
36||"TEASING SHOTS: THE BATTLE OF DAGORLAD...THE ELF LORD, ELROND,
commands rank after rank of ELVEN ARCHERS...ORCS RETREATING
before the ARMY of the LAST ALLIANCE...ELENDIL holds aloft
the great sword....NARSIL!"|stage direction
37|GALADRIEL|Victory was near!|speech
38||"IMAGES: THE HUGE, DARK FIGURE OF SARURON, bearing the ONE
RING on his finger, looms over the field of battle..."|stage direction
39|GALADRIEL (V.O.) (CONT'D)|"But the power of the Ring could not be
undone."|speech
40||"IMAGE: SAURON lays waste to the armies of the LAST ALLIANCE.
With desperate courage, ELENDIL leads a charge...THE BLACK
MACE OF SAURON LASHES OUT!! IMAGE: ELENDIL'S body falls like
a crumpled rag doll... IMAGE: ISILDUR cradles the body of his
father in his arms. The SHADOW OF SAURON falls over him..."|stage direction
41|GALADRIEL (V.O.) (CONT'D)|"It was in this moment..when all hope had
faded, that Isildur, son of the king,
took up his father's sword."|speech
42||"ISILDUR snatches up the BROKEN BLADE OF NARSIL..The BLADE
severs SAURON'S FINGERS... AND THE ONE RING FLIES from his
body."|stage direction
43|GALADRIEL (V.O.) (CONT'D)|"Sauron, the enemy of the Free Peoples of
Middle Earth, was defeated. SAURON'S
ARMOR clatters to the ground. His body"|speech
44||"GONE....VAPORIZED! CLOSE ON: ISILDUR picks up the SEVERED
FINGER and removes the ONE RING...transfixed!"|stage direction
45|GALADRIEL (V.O.) (CONT'D)|"The Ring passed to Isildur...who had this
one chance to destroy evil forever."|speech
46||"(CONTINUED)
4."|unknown
47||"CONTINUED:
IMAGE: GLADDEN FIELD...ISILDUR leads a small column of men
through DARKENING WOODS...the ONE RING glinting on a CHAIN
around his neck."|stage direction
48||"GALADRIEL (V.O.) (CONT'D)
But the hearts of Men are easily
corrupted. And the Ring of Power has a
will of its own."|unknown
49||"SUDDENLY!    ARROWS FLY!   They are ambushed by ORCS...ISILDUR
SCREAMS!"|stage direction
50||FADE TO BLACK|unknown
51||"FADE UP: ISILDUR MATERIALIZES UNDER WATER...as THE RING slips
slowly from his finger. Ripples of LIGHT play across
ISILDUR'S PALE FACE...he is DEAD."|stage direction
52||"GALADRIEL (V.O.) (CONT'D)
It betrayed Isildur to his death."|unknown
53||"IMAGE: THE RING falls through the MURKY WATERS of the RIVER
ANDUIN."|stage direction
54||"GALADRIEL (V.O.) (CONT'D)
And some things that should not have been
forgotten...were lost.
FADE TO BLACK
GALADRIEL (V.O.) (CONT'D)
History became legend...legend became
myth."|unknown
55||"FADE UP: The waters of the ANDUIN RIVER lie dark and
undisturbed."|stage direction
56||"GALADRIEL (V.O.) (CONT'D)
And for two and a half thousand years the
Ring passed out of all knowledge."|unknown
57||"IMAGE: SILT SWIRLS...A THIN WHITE HAND reaches
down...grasping the RING..."|stage direction
58||"GALADRIEL (V.O.) (CONT'D)
Until, when chance came, it ensnared a
new bearer!"|unknown
59||IMAGE: THE THIN WHITE HAND opens to reveal one ring.|stage direction
60||"GOLLUM (V.O.)
My Precious...
5."|unknown
61||IMAGE: MIST SHROUDED MOUNTAINS...|stage direction
62|GALADRIEL (V.O.)|"The Ring came to the creature Gollum, who
took it deep into the tunnels of the
Misty Mountains."|speech
63||"IMAGE: THE GLOOM of a MOUNTAIN CAVERN..a MURKY POOL of
WATER...in the DARKNESS the SHADOWY OUTLINE of an EMACIATED
FIGURE."|stage direction
64|GALADRIEL (V.O.) (CONT'D)|"And there, it consumed him. A RASPY VOICE
mutters in the half light..."|speech
65|GOLLUM|It came to me. My own.     My love...|speech
66||(ecstatic whisper)|location
67|GOLLUM|My preciousness.|speech
68|GALADRIEL (V.O.)|"The Ring brought to Gollum unnatural long
life. For five hundred years it poisoned
his mind. And in the gloom of Gollum's
cave..."|speech
69||"FADE TO BLACK
GALADRIEL (V.O.)   (CONT'D)"|unknown
70|GALADRIEL (V.O.)|It waited.|speech
71||"FADE UP: Bathed in COLD MOONLIGHT, the WORLD lies DARK and
STILL...the unsettled quiet before the storm..."|stage direction
72|GALADRIEL (V.O.) (CONT'D)|"Darkness crept back into the forests of
the world. Rumor grew of a Shadow in the
East...whispers of a nameless fear. And
the Ring of Power perceived...its time
had now come. It abandoned Gollum."|speech
73||"SLOW MOTION: unseen by its KEEPER..THE RING falls to the
MUDDY FLOOR of a MOUNTAIN TUNNEL..."|stage direction
74|GALADRIEL (V.O.) (CONT'D)|"But something happened then the Ring did
not intend..."|speech
75||FADE TO BLACK|unknown
76||IMAGE: FUMBLING in the dark, a SMALL HAND closes over the|stage direction
77||6.|unknown
78||RING.|stage direction
79||"GALADRIEL
It was picked up by the most unlikely
creature imaginable...
BILBO
(to himself)
What's this?"|unknown
80||"A YOUNGISH LOOKING BILBO BAGGINS peers down at what lies in
his hand...PERPLEXED by what he has found."|stage direction
81||"GALADRIEL (V.O.)
A Hobbit....Bilbo Baggins of the Shire.
BILBO
(surprised)
A Ring."|unknown
82||"SUDDENLY!   A VOICE SCREAMS...ITS ANGUISH RINGING through the
COLD, DANK TUNNELS..."|stage direction
83||"GOLLUM (V.O.)
Lost!   Lost! My Precious is lost!!"|unknown
84||Frightened Bilbo quickly POCKETS the ONE RING and hurries on.|stage direction
85||DISSOLVE TO:|unknown
86||"WIDE ON: THE CAMERA SOARS AWAY FROM THE MOUNTAINS.      MOVING
FASTER AND FASTER...THEIR DARK GREEN FORESTS AND JAGGED
WHITE PEAKS RECEDING INTO THE SHROUD OF MIST"|stage direction
87||"GALADRIEL (V.O.)
For the time will soon come when Hobbits
will shape the fortunes of all.
FADE TO BLACK
FADE IN:"|unknown
88||EXT. HOBBITON WOODS -- DAY|location
89||"ANGLE ON: TWO HOBBIT FEET
resting on a small rock...rising out of the LONG, OVERGROWN
GRASSES SUPER: THE FELLOWSHIP OF THE RING SUPER: THE
SHIRE....60 YEARS LATER CAMERA TRACKS TO: a Figure lies
beneath the dappled sunlight of an old tree."|stage direction
90||"(CONTINUED)
7."|unknown
91||"CONTINUED:
White flowers are scattered among the Well seeded grasses.
An idyllic setting at the end of a long hot summer... the
figure is reading a book. ON THE SOUNDTRACK: In the distance,
growing louder..over the Gentle clip clop of an approaching
cart and horse can be heard the HUMMING OF A DEEP VOICE to
the tune of ""The Road Goes Ever On and On...""
SUDDENLY! The figure in the grass sits up...looking straight
at camera is a handsome young HOBBIT, with dark curly hair
and deep blue eyes. This is FRODO BAGGINS...his EYES alight
with EXCITEMENT! Tossing away the long stem of grass in his
mouth, Frodo runs off."|stage direction
92||CUT TO:|unknown
93||EXT. SHIRE LANE -- DAY|location
94||"The cart rattles along a leafy lane, driven by a stooped
figure in Grey.
INTERCUT WITH; SHOTS OF FRODO RUNNING... CAREERING DOWN A
HILL. . .JUMPING OVER LOGS... DODGING TREE BRANCHES."|stage direction
95||ANGLE ON:|unknown
96||"The shambling OLD PONY snorts and rears as... SUDDENLY FRODO
appears on a bank above the cart."|stage direction
97|FRODO|You're late.|speech
98||CLOSE ON: GANDALF glowers at the young Hobbit...|stage direction
99|GANDALF|"A Wizard is never late, Frodo Baggins,
nor is he early. He arrives precisely
when he means to."|speech
100||"They look at each other a moment..then both start laughing as
FRODO'S face breaks into a smile and he leaps on to the front
seat of the cart."|stage direction
101|FRODO|It's wonderful to see you, Gandalf!|speech
102||"Next to Gandalf, we see how small Hobbits are...Frodo is 3
foot 6 inches tall."|stage direction
103|GANDALF|"You didn't think I'd miss your Uncle
Bilbo's birthday?"|speech
104||"CUT TO:
8."|unknown
105||EXT. HOBBITON FIELDS -- DAY|location
106||"Wide on: The cart rattles past a FIELD LUPIN being tended by
HOBBITS."|stage direction
107||"FRODO
What news of the outside world? Tell me
everything!
ANGLE ON:"|unknown
108||Gandalf looks down at Frodo, a twinkle in his eye.|stage direction
109||"GANDALF
What, everything? Far too eager and
curious for a Hobbit. Most unnatural..."|unknown
110||"Wide on: The cart rattles over a Stone bridge towards a Busy
Hobbit Marketplace."|stage direction
