|character|text|type
0||"Man On Fire
by"|unknown
1|unknown|Brian Helgeland|speech
2||"Based on the novel by
A.J. Quinnell"|unknown
3||February 10, 2003|location
4||(V 2.0)|unknown
5||"Property of New Regency Productions, Inc.
Work in Progress 2/10/03                                    1.
""Man On Fire""
OPENING TITLE SEQUENCE"|stage direction
6||EXT.   MEXICO CITY - DAY|location
7||"High over the city on a bright Sunday morning, the sun
pounding its way through the orange haze of smog. As we
descend toward the clots of traffic blocking the streets:
the sounds of a Mass being sung.
A CATHOLIC CHURCH
The big wooden doors open to release the parishioners
inside. Feature a tall, lanky 18-YEAR-OLD. Holding his
GIRLFRIEND'S hand, anxious for Sunday to really begin.
They don't notice the traffic suddenly thin, like a
faucet's been cranked down. They move toward a Mercedes
500. As a CHAUFFEUR holds the back door open for them...
A GRAND MARQUIS
Squeals around the corner, lurches to a stop alongside
the Mercedes. FOUR MEN get out flashing  badges. In a
moment they're hustling Eighteen toward the car, stiff-
arming the chauffeur. As the girlfriend  cries and the
gossip among the parishioners begins...
The Grand Marquis pulls away."|stage direction
8||INT.   GRAND MARQUIS - DAY|location
9||"They shove eighteen down to the floor of the backseat.
These guys are not the police.
A switchblade is flicked open. Practiced hands slit the
boy's Sunday suit from the base of his neck to his heels.
Eighteen yelps as the blade draws blood across one calf.
Duct tape is wrapped around his hands, eyes, and head."|stage direction
10||EXT.   WOODED AREA - DAY|location
11||"The Marquis is parked across from another CAR. FOUR NEW
GUYS wait as Eighteen is hauled out of the Marquis. His
clothes drop away like a snake shedding its skin. He
stands naked, bound and blind. Eighteen is handed over
from one group to the other."|stage direction
12||INT. TELEPHONE - UPSCALE HOME - MEXICO CITY - DAY|location
13||"The phone rings. A bomb going off. Eighteen's
distraught FATHER (family photos of the boy on the wall)
answers.
Work in Progress 2/10/03                                    2.
REVERSE TO REVEAL a battery of POLICE and NEGOTIATORS in
the room with him. One of them listens in, waves fingers
at him as the negotiations begin."|stage direction
14||INT.   VIDEO SURVEILLANCE OF AN 8' X 4' CELL - DAY|location
15||"A wall smeared with God-knows-what. Facing   it, Eighteen
stands naked blindfolded and shivering. The   back of his
leg still bleeds. He shifts nervously as a   little JACK
RUSSELL TERRIER eagerly licks the blood off  his calf.
A MAN ('The Dreamer'), we don't see his face, negotiates
by cell phone. Voice calm. As he runs numbers, he slaps
his thigh. Jack Russell trots over, gets an ear
scratched.
At a motion from the man, Eighteen is taken down to the
ground. Straddled by two men, his head is mummified in
tape leaving one ear exposed.
CUT TO T.V. - Rosanna Garcia Guerrero, editor of REFORMA
newspaper, being interviewed, ""...organized crime
syndicates...growth of kidnapping in Mexico over the last
two years."""|stage direction
16||EXT.   UPSCALE HOUSE - DAY|location
17||"As a hand removes a ziplock baggie from the mailbox. A
glimpse of something we don't want to see. An ear
partially obscured by sweating plastic and a blood smear."|stage direction
18||EXT.   CITY SQUARE - MEXICO CITY - NIGHT|location
19||"A MERCEDES driving around the square, Eighteen's father
waving a white shirt out the window like a surrender
flag."|stage direction
20||EXT.   BRIDGE - NIGHT (3 AM)|location
21||"Footbridge over railway sandwiched between freeway.
Empty train blazes through. Dangerous, deserted downtown
neighborhood. Looks more like ""war torn Beirut"", burnt
out cars and trash. The 18 year old's father, naked to
the waist, walks from the family Mercedes over the
footbridge carrying a pillowcase full of cash to a semi-
derelict car on the opposite side with a white piece of
fabric taped in the rear windshield and trunk open. He
slams the pillow case in the trunk and leaves."|stage direction
22||EXT.   DOWNTOWN MEXICO CITY - TWILIGHT|location
23||"RUSH HOUR. A red stream of headlights separated from a
white stream of taillights by a narrow median.
Work in Progress 2/10/03                                        3.
HORNS blare as a CAR stops. Eighteen, still blindfolded,
is dumped on the median. The car pulls away.
He stands there in the whirlwind. Pathetically SCREAMING
for help. More horns, shouts, no help.
END MAIN TITLES.   Goes to black."|stage direction
24|CREASY'S VOICE|"Ezekiel 25:17 Blessed is he who in the
name of charity and good will shepherds
the weak through the valley of darkness
for he is truly his brother's keeper and
the finder of lost children."|speech
25||DISSOLVE TO:|unknown
26||INT.   AGO'S - MEXICO CITY - DAY|location
27||"Samuel Valencia Ramos and his lawyer Jordan Kalfus in the
privacy of an alcove table. Jordan is well heeled, well
connected and well oiled. In that order. Samuel, at 40,
already has the patrician look that has served the male
members of his family for generations. They discuss the
kidnapping, a headline on the paper Jordan tosses aside."|stage direction
28|JORDAN|"The family paid the ransom and he was
returned two days later."|speech
29||(laughs; chews)|unknown
30|JORDAN|"His father still hasn't gotten up the
nerve to ask him if they fucked him up
the ass."|speech
31|SAMUEL|"And now every mother with money in Mexico
City wants bigger and better bodyguards.
My own wife included."|speech
32|JORDAN|If she pisses you off, you get another one.|speech
33||(laughs grimly)|unknown
34|SAMUEL|Do you know what she told me last night?|speech
35||FLASH TO:|unknown
36||INT.   SITTING ROOM - RAMOS VILLA - MEXICO CITY - NIGHT|location
37||"Samuel sits at his baby    grand piano playing a gentle
rendering of 'Delibes'.     His American wife LISA stands
away from him. Just the     sight of her back reveals a
pitch perfect petulance.    She tells him:
Work in Progress 2/10/03                                       4."|stage direction
38|LISA|"A man's worth can be judged by what he
has or what he owes. Only the amount
matters."|speech
39|SAMUEL|"And bankruptcy. Where will that put me
in the social strata?"|speech
40|LISA|"I'm only asking for one thing. And it's
not an extravagance. It's not even for
me; it's for our daughter."|speech
41||SAMUEL|unknown
42|LISA|Our daughter.|speech
