|character|text|type
0||NEW YORK MINUTE|stage direction
1||"by
Emily Fox
revisions by
Mark Steilen
REVISED SECOND DRAFT
February 27, 2003"|unknown
2||FADE IN:|stage direction
3||EXT. SUBURBAN STREET - DAWN|location
4||"CLOSE ON the anxious, sweating, frightened face of DREW
MacLEOD, 17, running to save her life. Think Dustin
Hoffman in Marathon Man -- someone, something -- is after
her but UNSEEN.
She glances fearfully behind at her mysterious pursuer,
her BREATHING becoming more labored.
Cutting through a deserted park, she leaps a bench.
Above her, the thin morning sun has only begun to lighten
the leaves.
Around the corner, she's back on a sidewalk lined with
beautiful homes, all quiet at dawn, the only noise her
racing FOOTSTEPS and quickening BREATHS.
DREW'S POV - HER OWN FRONT DOOR
and safety loom half a block down. She pours on the
effort, hurdles a hedge, jumps the stairs and makes the
door, rips it open, bolts inside and SLAMS it shut.
ANGLE ON THE SHRUB
where, with the CAMERA AT GROUND LEVEL, a GOLDEN
RETRIEVER PUPPY, unable to leap the hedge, PLOWS INTO IT
HEADFIRST and disappears. YELP!"|stage direction
5||INT. MacLEOD HOUSE - FOYER - CONTINUOUS ACTION|location
6||"Drew, wheezing from the exertion, pulls an ASTHMA INHALER
from her pocket, takes a hit, then peeks out the window
in the front door and sees...
DREW'S POV
The puppy squeezes through the hedge, wiggling its bum to
extricate itself. A SIX-YEAR-OLD GIRL picks it up, hugs
it close:"|stage direction
7|SIX-YEAR-OLD GIRL|Where are you going, Jelly Bean?|speech
8||"CUT TO:
2."|unknown
9||INT. MacLEOD HOUSE - PARKER'S ROOM - MORNING|location
10||"CLOSE ON A JAPANESE EXECUTIVE (with a CLOCK in his belly)
which suddenly begins SCREAMING IN JAPANESE, ITS JAW
WAGGING.
From under piles of clothes and sheets, PARKER MacLEOD,
17, Drew's twin sister, opens one eye, shuts OFF the
shrieking ALARM CLOCK.
With a SIGH, she throws her feet  over the edge of the
bed. Her room is a train wreck.    Grabbing a MatchBox 20
T-shirt from the pile on the bed,  she gives it a sniff.
Good enough. Pulling it on, she   pauses, looks a bit
concerned down at her navel.
A recent belly-button piercing looks a little red. She
touches it. Ouch. When a RINGING is heard, she begins
tossing clothes, blankets, shoes, trying to unearth the
source.
She pulls her BLACKBERRY from under the covers:
THOREAU 786:   MADE CRITICAL ERROR LAST P.M.
Parker snickers, types her return from...
NOTATWIN:   CONFESS
THOREAU 786:   DROPPED TRIPLE DEPTH CHARGE AFTER DINNER.
NOTATWIN:   THAT MUCH CAFFEINE IS ILLEGAL IN UTAH.
THOREAU 786: THEN BOUGHT 'NO MONEY DOWN' REAL ESTATE
COURSE AROUND 3:00 A.M.
This makes her smile.
NOTATWIN:   A CAREER MAN.   I LIKE THAT."|stage direction
11||CUT TO:|unknown
12||INT. MacLEOD HOUSE - BATHROOM - MORNING|location
13||"Drew stands before the mirror, perfecting perfection. In
a tasteful suit, hair just so, she opens the drawer...
... which is hyper-organized, everything in a little
labeled nook. She pulls out tweezers and we see beneath
where it says, ""tweezers.""
She leans into the mirror very close, spots a stray
eyebrow hair, plucks it. Pulling back, she raises her
other eyebrow. Huh. Now they're not even."|stage direction
14||"(CONTINUED)
3."|unknown
15||"CONTINUED:
She leans in again and plucks one from the other eyebrow.
Uh-oh. This is like when your mom cuts your hair and
keeps cutting to get it even until you're shaved. She
reaches for the other side... but suddenly catches
herself and stops. Deep breath. Let's not get too
psychotic.
She dunks the tweezers in the alcohol jar, then replaces
them.
Checking her teeth, she spots a stuck bit.       Grabbing her
WATER PICK she begins cleaning her teeth."|stage direction
16|PARKER (O.S.)|Morning.|speech
17||"Startled, Drew shoots herself in the eye with the water
pick. Parker's ENTERED from her side. Drew shuts off
the water pick, dries her face."|stage direction
18|PARKER|Why the young executive look?|speech
19|DREW|I have my interview at NYU today.|speech
20||"Parker, sleepy, stretches, unaware she's exposing her new
belly ring."|stage direction
21|DREW|No way Mom knows about that.|speech
22||"Self-consciously, Parker drops her arms, pulls her shirt
down."|stage direction
23|PARKER|"And she never will. At least
until after I'm married."|speech
24|DREW|Didn't it hurt?|speech
25|PARKER|Like hell.|speech
26||Drew shivers.|stage direction
27|DREW|Piercings are so... unhygienic.|speech
28||A little BEEP BEEP from her preset WATCH ALARM goes off.|stage direction
29||"(CONTINUED)
4."|unknown
30||CONTINUED:|stage direction
31|DREW|Breakfast.|speech
32||"Drew turns on her heel and EXITS. When Parker sets her
Blackberry down we get our first glimpse of...
... HER SIDE OF THE    BATHROOM which resembles a post-
apocalyptic toiletry    landscape. There's a very clear
line of demarcation    on the counter like the demilitarized
zone separating the    Koreas.
Parker reaches among the rubble for her toothbrush but
notices another message on her Blackberry:
THOREAU 786:     KNOW WHAT TODAY IS?
NOTATWIN:     ANOTHER DAY IN HELL?
THOREAU 786:     TWO WEEKS SINCE OUR FIRST CHAT.
NOTATWIN:     OUR ANNIVERSARY.    HOW SWEET.
THOREAU 786: SINCE IT'S A SPECIAL OCCASION, MY REAL
NAME'S WARREN COLLIER. IF YOU'RE EVER IN THE CITY, I'D
LOVE TO MEET. GOTTA GO.
Accompanying the text, a PICTURE Warren has sent finishes
downloading -- eighteenish, the shaggy chic, Calvin Klein
model-type."|stage direction
33||(suddenly wide-awake)|unknown
34|PARKER|Hellooo, Warren.|speech
35||"Distracted, Parker drops her toothbrush, which bounces
off the counter and PLOPS into the toilet.
ON THE TOILET BOWL -- there it is, slowly sinking.
Parker is stone-faced. She looks to her sister's side of
the counter where a fresh brush sits in the flowered
holder. She's considering... she's reaching... then...
nah.
Instead, she squeezes the tube straight into her mouth,
brushes with a finger and spits."|stage direction
36||INT. MacLEOD HOUSE - KITCHEN - MORNING|location
37||"Drew's seated, napkin on lap, eating granola and studying
her open DAYBOOK."|stage direction
38||"(CONTINUED)
5."|unknown
39||"CONTINUED:
DR. QUINN MacLEOD, dressed professionally and obviously
together even at this hour, pours coffee for herself and
her husband, PROFESSOR CHARLEY MacLEOD, who ENTERS still
in his ratty old bathrobe and outrageous bed-head.
As a matter of routine, Quinn holds out his cup and he
takes it, kisses her and sits down to the paper."|stage direction
40||DREW|unknown
41|PARKER|Morning, Dad.|speech
42||CHARLEY|unknown
43|PARKER|Morning, baby.|speech
44|DREW|How's the book coming?|speech
45||"CHARLEY
(sigh)"|unknown
46|DREW|"Well, sweety, my writing process
is a lot like a giant
hydroelectric dam. For a long
time I just let the great ideas
build up and build up until the
sheer weight of them spills over
and the words just come pouring
out."|speech
47|DREW|Still stuck, huh?|speech
48||CHARLEY|unknown
