|character|text|type
0||Written by|location
1||"Thomas Lennon & Robert Ben Garant
Previous Revisions by
Jason Fulardi, Scott Alexander & Larry Karaszewki"|unknown
2||March 3rd, 2004|stage direction
3||FADE IN:|unknown
4||EXT. PACIFIC OCEAN - DAY|location
5||"A fishing boat pushes over choppy water. FOUR GUN TOTING
MEN on Jet Skis wearing black wet suits and goggles
escort the boat. Flying above it is a HELICOPTER."|stage direction
6||INT. FISHING BOAT/CONTROL DECK - CONTINUOUS|location
7||"A SERBIAN MAN captains the wheel. SERB 2 scans the
horizon with binoculars. He checks the GPS system, then
his watch, then speaks into his throat mic. All italics
are Serbian w/ subtitles:"|stage direction
8||Fifteen minutes to delivery.|unknown
9||EXT. PACIFIC OCEAN - CONTINUOUS|location
10||The JET SKIER in the lead weighs in on a radio.|stage direction
11||INT. SEA HAWK 1 - CONTINUOUS|location
12||The HELICOPTER PILOT weighs in.|stage direction
13|PILOT|All clear from above.|speech
14||EXT. SKY - CONTINUOUS|location
15||The camera descends as the boat passes, and dives beneath|unknown
16||the surface.|stage direction
17||EXT. PACIFIC OCEAN - CONTINUOUS|location
18||The droning of engines becomes less pronounced. Foam|unknown
19||"from the boat and skis bubbles.
Calm. Then from out of nowhere five NAVY SEALs wearing RE-
BREATHERS appear, in neat formation like the Blue Angels.
JET PROPELLED BACKPACKS push the SEALs through the water.
The LEAD SEAL: SHANE WOLFE, points upwards. All eyes
follow his finger to the underbelly of the boat above.
From his belt, Shane takes a steel wand with an adhesive
disc attached, aims it at the fleeing boat and FIRES.
A cable shoots up -- THUD... The disc sticks to the
boat's hull. Shane pushes a button on the wand retracting
the cable and drawing himself closer.
Dangling from the cruiser, Shane fixes a BOMB to the
hull. He releases himself from the boat and speeds away --"|stage direction
20||2.|unknown
21||"BOOM. A dense explosion sends ripples through the water
and ELECTRICITY crackling around the boat."|stage direction
22||INT. FISHING BOAT/CONTROL DECK - CONTINUOUS|location
23||"A SURGE of ELECTRICAL FORCE blasts from the control
panel. SPARKS fly.
The two Serbian Men jolt backwards -- WHAM -- and hit the
wall. All the needles inside all the dials go LIMP. The
roar of the engines DIES and the boat STOPS."|stage direction
24||EXT. PACIFIC OCEAN, UNDER THE BOAT - CONTINUOUS|location
25||Shane slips inside the hull, through the new hole.|stage direction
26||INT. SEA HAWK 1 - CONTINUOUS|location
27||The chopper slows to a hover.   The Pilot looks below.|stage direction
28|PILOT|What's happening?|speech
29||EXT. PACIFIC OCEAN - CONTINUOUS|location
30||"The jet skiers protectively circle the injured boat in a
SYNCHRONIZED SWIMMING move, and the Jet Ski drivers are
simultaneously YANKED below the surface: a split second
later they're replaced by our SEALS (ALSO IN BLACK WET
SUITS AND GOGGLES) -- the switch happens in less than a
second, way too fast for anyone to notice."|stage direction
31||INT. FISHING BOAT/CONTROL DECK - CONTINUOUS|location
32||The shaken Serbs climb to their feet.|stage direction
33|SERBIAN 2|What happened?|speech
34||"They look around, and see the SEALS, on the jet skis: In
the masks they are indistinguishable from the GUN-TOTTING
MEN they switched paces with. All seems clear. Serb 1
pushes on the throttle... nothing."|stage direction
35|SERBIAN 1|We've been hit. We're taking on water.|speech
36||"Suddenly the boat lists -- and water pours in, under the
cabin door. They spring into action!"|stage direction
37|SERBIAN 1 (CONT'D)|Grab the professor, quick!|speech
38||3.|unknown
39||EXT. DECK - CONTINUOUS|location
40||"Serb 1 rushes out, shouting orders: He alerts four ARMED
GUARDS and the Jet Ski drivers (now our Seals)."|stage direction
41|SERBIAN 1|Something must be below us! Shoot! Shoot!|speech
42||"The Armed Guards fire relentlessly into the water. Serb 2
rushes below deck."|stage direction
43||INT. SHIP'S HOLD - CONTINUOUS|location
44||"PROFESSOR CHARLES PLUMMER, bound to a chair and gagged,
tries to YELP as the room begins to flood with water."|stage direction
45||INT. SHIP'S CORRIDOR - SIMULTANEOUS|location
46||"Serb 2 runs down steps to the lowermost hold. He tries to
force the door open. When it finally opens, he is forced
back by a three foot wall of water."|stage direction
47||INT. SHIP'S HOLD - CONTINUOUS|location
48||"Professor Plummer panics, as the water rises up to his
mouth He struggles, but can't get free. Up to his nose,
over his head.... He's gone.
Then Shane Wolf rises out of the water, hauling the
Professor up. He cuts the Professor's GAG. Plummer
screams. Shane removes his mouth piece. Shane doesn't
seem the slightest bit fazed by the circumstances."|stage direction
49|SHANE|"Lieutenant Shane Wolfe, United States
Navy. I'm gonna get you outta here. But
you have to do exactly what I say, when I
say it. My way -- no highway option. Do
you copy?"|speech
50||(Plummer nods, terrified.)|unknown
51|SHANE|Where's the briefcase?|speech
52||"The Professor gestures across the room, where a metal
BRIEFCASE is floating. Shane calmly HANDCUFFS it to his
own waist. As the water rises, to the roof."|stage direction
53|PLUMMER|How did you know where I...|speech
54||"Shane sticks the mouth piece into Plummer's mouth, giving
him his oxygen."|stage direction
55||EXT. ON THE DECK - SIMULTANEOUS|location
56||4.|unknown
57||"The Armed Guards stop shooting into the water. One of
our SEALS calls out to them, in PERFECT SERBIAN:"|stage direction
58|SEAL|KEEP SHOOTING!|speech
59||The Guards fire again. The SEAL speaks into his neck mic.|stage direction
60|SEAL (CONT'D)|"Give it a second, they're almost out of
ammo."|speech
61||"The Seal calls out: ""shoot more, more!"" They do, until
there's nothing but empty CLICKS from their guns."|stage direction
62|SEAL (CONT'D)|"Now Lieutenant. Chopper's four meters at
your 10 o'clock."|speech
63||INT. SHIP'S HOLD - CONTINUOUS|location
64||Just before the water envelopes him and Plummer...|stage direction
65||(into his mic)|unknown
66|SHANE|"I've got the Prof and the case. First
round's on me back at Virginia Beach."|speech
67||"Shane takes a deep breath, and pulls himself, the
Professor and the briefcase UNDER the water."|stage direction
68||EXT. OCEAN'S SURFACE - MOMENTS LATER|location
69||"Shane and the Professor rise to the surface as the boat
falters behind them. Shane pulls out a retractable
CROSSBOW. It clicks open and he shoots a CABLE into the
belly of the helicopter above him."|stage direction
70|SHANE|Hold on.|speech
71||INT. HELICOPTER - A SECOND LATER|location
72||"Shane appears at the Pilot's door, holding the Professor.
Shane addresses the Pilot in perfect SERBIAN."|stage direction
73|SHANE|You know how to swim?|speech
74||"The Pilot nods, terrified. Shane TOSSES the Pilot out.
Shane swings into the hot seat and grabs the controls,
pulling the Professor in behind him."|stage direction
75||5.|unknown
76||"ON THE SURFACE OF THE WATER - CONTINUOUS
The SEALS on the Jet Skis SALUTE Shane in the chopper,
then disappear gracefully back into the water."|stage direction
77||INT. HELICOPTER - CONTINUOUS|location
78||"Shane smiles, clearly he loves this kind of day. He looks
beside him, the Professor looks terrified. The Professor
takes out his mouth piece."|stage direction
79|PLUMMER|"Oh my God. I can't believe you... how'd
we... That was the most incredible..."|speech
80||"Shane sticks the mouth piece back in the Professors'
mouth, shutting him up."|stage direction
