|character|text|type
0||"PRINCE OF THIEVES
Story by
Pen Densham
Screenplay by
John Watson
Pen Densham
FIRST DRAFT"|unknown
1||"Trilogy Entertainment Group
in association with:                    July 10, 1990
WARNER BROS. INC.                       © 1990
4000 Warner Boulevard                   WARNER BROS. INC.
Burbank, California 91522               All Rights Reserved"|stage direction
2||PRINCE OF THIEVES|unknown
3||"FADE IN:
SUNSET
The glowing orb ripples like a blood-red eye.
BLACK, ROBED FIGURE
A face of the ages. Dark, wrinkled skin. Wizened,
almond eyes. He howls at the sun. His voice ECHOES
across the sky. The Moslem call to prayer.
Hundreds of feet below his tower, a mud-walled city of
minarets and mosques. A human ants' nest. Scurrying to
their devotions."|stage direction
4||"EXT. TWELFTH-CENTURY ARAB CITY - ESTABLISHING SHOT
INT. DUNGEONS - SUNSET"|location
5||"Pervasive blackness. Moans of men in pain. Dripping
water. Rats. Filth. The nadir of human degradation.
Bedraggled white men, POWs from the Crusades, caged
together with Arab cutthroats. Jailers wrench two
crusaders from their cell. ROBIN OF LOCKSLEY and PETER
DUBOIS. Their appearance reeks of long imprisonment, but
remnants of their noble heritage still glimmer in their
faces. Peter is so frail he can barely walk."|stage direction
6||INT. TORTURE CHAMBER - SUNSET|location
7||"A furnace. Torture instruments glow red hot. Chained
victims. A massive INTERROGATOR scrutinizes the two
white men. Indicates a rat-faced lowlife, who points at
Peter, jabbering in Arabic."|stage direction
8||"INTERROGATOR
He says you stole his bread.
PETER
It is a lie. I caught him
stealing ours."|unknown
9||The lowlife jabbers some more.    The Interrogator debates.|stage direction
10||"INTERROGATOR
Cut off the infidel's hand."|unknown
11||The jailers haul Peter to the chopping block.|stage direction
12||"(CONTINUED)
2."|unknown
13||CONTINUED:|stage direction
14|ROBIN|No!... I took the bread.|speech
15|PETER|That's not true.|speech
16|ROBIN|"They're not interested in truth.
You are too weak, Peter. You
would not live through it."|speech
17||The Interrogator stares into Robin's eyes.|stage direction
18|INTERROGATOR|"Sacrifice for the weaker? How
noble... As you wish... Cut off
this one's hand as well!... But
first..."|speech
19||"He indicates an Arab prisoner, who is dragged forward.
His struggling hand is laid on the executioner's block."|stage direction
20|INTERROGATOR|Show them the courage of Allah.|speech
21||"The prisoner's face braces for the pain. A red-hot
scimitar flashes down. The hand flips into a basket.
Twitching.
Robin is next. His composure fails. He flops to his
knees, crying. The Interrogator laughs. The jailers
unlash the thongs on Robin's hand. They stretch it out,
forcing it down. Robin goes limp, sobbing. Peter
catches his eye... Robin winks.
The scimitar. Drawn from the coals. Spitting flame.
Arcs down. Robin is suddenly galvanized."|stage direction
22|ROBIN|And this is English courage.|speech
23||"He hurls his holders aside. Swings upward, driving his
fast into the executioner's throat. Grabs the sword.
Slash. His thongs melt like butter. A jailer leaps at
him. Steaming, the scimitar slices into the man's chest.
Despite his bindings, Peter wrestles the Interrogator.
Knife pressed to his throat, Peter is forced against the
furnace. At the last second, he flips the man into the
fire. Screaming."|stage direction
24|PETER|That's for five years of hell.|speech
25||"(CONTINUED)
3."|unknown
26||"CONTINUED:
A jailer aims a scalding blade at Robin's back."|stage direction
27||VOICE (O.S.)|unknown
28|PETER|Behind you!|speech
29||"Warned, Robin ducks away.    Slams the jailer's head into
the wall.
Peter frees himself, but they are still outnumbered.
While fighting, Robin acknowledges the man who shouted
the warning. An imposing, shaven-headed SARACEN.
Heavily-muscled arms and chest, covered in tattoos. Even
his bald head is ornamented."|stage direction
30|ROBIN|You speak English?|speech
31|SARACEN|The king's own. Set me free.|speech
32||PETER|unknown
33|SARACEN|No, Robin.|speech
34|SARACEN|"For pity's sake. Mine is a
sentence of death."|speech
35||Robin sidesteps, propelling a guard into a pit.|stage direction
36|PETER|Don't trust him.|speech
37||"Two more guards attack, yelling fury.    Robin eyes the
curved scimitar."|stage direction
38|ROBIN|"What I would give for an English
sword. This is a pruning hook."|speech
39||"A guard swings at him with a giant axe.    Robin slashes...
shears the axe handle in two."|stage direction
40||ROBIN|unknown
41|ROBIN|Hmm!   Not bad.|speech
42||"He runs the man through. Peter loses his sword. His
opponent moves in for the kill... Peter grabs tongs from
the fire and smolders his opponent with a backhand.
Commotion outside.    RAISED VOICES and RUNNING FEET."|stage direction
43|SARACEN|"Free me and I will show you a way
out."|speech
44||"(CONTINUED)
4."|unknown
45||CONTINUED:|stage direction
46|ROBIN|Why should we trust you?|speech
47|SARACEN|If you don't, you are dead men.|speech
48|ROBIN|He makes a point.|speech
49||The door bursts open.    More guards rush in.|stage direction
50||ROBIN|unknown
51|ROBIN|A good point.|speech
52||He slashes the man free.|stage direction
53||PETER|unknown
54|ROBIN|Robin!|speech
55|ROBIN|"Whatever blood is in his veins, he
does not deserve to die here."|speech
56||SARACEN|unknown
57|ROBIN|This way!|speech
58||"He beckons them to the back.     A hidden door leads into a
tunnel."|stage direction
59||INT. SEWERS - NIGHT|location
60||"They wade through foul water up to their waists. The
Saracen leads... A snake lashes out for his face. Robin
lops off its head."|stage direction
61|SARACEN|You are fast, my friend.|speech
62|ROBIN|"Five years I've waited for the
smell of free air. That makes a
man fast."|speech
63||"Guards drop down from above, carrying torches.    Blocking
the way."|stage direction
64|SARACEN|You will need to be yet faster.|speech
65||"A narrow opening to their left... they splash through.
Half running, half crawling in the dank water. Fire
arrows land around them. The orange smoke is choking."|stage direction
66||"(CONTINUED)
5."|unknown
67||CONTINUED:|stage direction
68||SARACEN|unknown
69|SARACEN|Poison air.   Hold your breath.|speech
70||"Flames illuminate the walls, alive with a loathsome mass
of crawling slime. Peter falls. A pursuer descends on
him, thrusting a blazing torch at his face. The Saracen
intercepts the blow. Grabs the man's neck, SNAPPING it
with one mighty twist."|stage direction
71||(coughing)|unknown
72|PETER|Thanks. I misjudged you.|speech
73|SARACEN|Save your breath.|speech
74||"Gasping for air, they find the tunnel veers steeply down-
ward. A slippery, granite tube. Losing purchase, they
slide headlong. Sharp, rusted spikes jut out from the
walls ahead.
Robin grabs at the walls to break the fall. No use.
They're picking up speed. He turns his sword crossways,
bracing it against the sides of the tunnel, as a brake.
Sparks fly. The sword cuts into Robin's chest... but it
works."|stage direction
75|SARACEN|Allah be praised.|speech
76|ROBIN|Amen, brother.|speech
77||"A bloodcurdling scream. A pursuing guard tumbles down
the sewer chute. The three men press themselves against
the wall. The man hurtles by... is impaled on the
spikes.
A draft of fresh air from the roof of the tunnel. Using
the spiked guard as a ladder, Robin climbs. Removes a
grating."|stage direction
78||EXT. ARAB STREET - NIGHT|location
79||"Robin's head appears... ducks back down, as a squad of
mounted soldiers thunders right over him... he reappears.
All clear. They're outside the prison wall. Robin helps
Peter up."|stage direction
80|ROBIN|God willing, we may now be safe.|speech
81||"(CONTINUED)
6."|unknown
82||"CONTINUED:
Swoosh. An arrow pierces through Peter's chest -- fired
from the prison wall. He reels... Robin leads him under
the wall for protection. Shouts of alarm. Soldiers
approaching."|stage direction
83||ROBIN|unknown
84|ROBIN|Come, Peter.    We must hurry.|speech
85||Raising his sword, Peter faces the oncoming soldiers.|stage direction
86||PETER|unknown
87|ROBIN|It is mortal.    Leave me.|speech
88|ROBIN|Hold on to my shoulder.|speech
89||Peter shakes him off.|stage direction
90|PETER|"My mother... my little sister.
Tell them I love them. Tell them
I died a free Englishman."|speech
91||Robin looks despairingly to the Saracen.|stage direction
92|SARACEN|"His wound is by the heart.    We
cannot save him."|speech
93||"Robin knows it's true. Peter pulls an insignia ring from
a hidden pouch in his clothes. Thrusts it into Robin's
hand."|stage direction
94|PETER|"Take this to my sister. Swear you
will protect her for me... Swear
it, Robin!"|speech
