|character|text|type
0||"June 19, 2007
WHITE Revision   -   6-6-07                                  1.
1   INT. DERELICT BUILDING - DAY                                      1
WE MEET: MUMBLES(late 30s) and ONE TWO (late 30s). They are
listening to a sales pitch from two REAL ESTATE AGENTS.
We SEE all the relevant pictures of their pitch explaining a
changing city, LONDON.
SLICK ESTATE AGENT (V.O.)
Two years ago this property cost one
million pounds.
(we SEE building)
Today, it costs five million.
The camera WHIP PANS over to another part of the building to
see the other ESTATE AGENT giving his pitch. The camera
will keep this back and forth for the duration of the scene.
OTHER SLICK ESTATE AGENT (V.O.)
How did this happen?
(CUT TO relevant"|unknown
1||pictures as he speaks)|location
2||"Attractive tax opportunities for
foreign investment, restrictive
building consent and massive hedge
fund bonuses,...
(beat)
London, my good man, is fast becoming
the financial and cultural capital
of the world.
SLICK ESTATE AGENT
And of course the Russians have come
to town.
OTHER SLICK ESTATE AGENT
Makes it hard to compete with an ex-
Soviet oligarch that has six billion
dollars in his back pocket. They
don't haggle the price, they double
the price.
SLICK ESTATE AGENT
Russians come, prices rise, and it
doesn't stop. It only goes one way.
OTHER SLICK ESTATE AGENT
Up.
SLICK ESTATE AGENT
I can't teach you how to skin a cat,
but I can tell you a lot about the
money in bricks and mortar.
(MORE)
(CONTINUED)
ROCKNROLLA
PINK Revision    -   6-20-07                                   1A.
1   CONTINUED:                                                           1
SLICK ESTATE AGENT (CONT'D)
Like he said, it's going one way.
You need to see a lawyer.
(CONTINUED)
ROCKNROLLA
PINK Revision    -   6-19-07                                2.
1   CONTINUED: (2)                                                   1
One Two and Mumbles look at one another.
ONE TWO
We need to see a Lawyer.
2   INT. LAWYER'S OFFICE                                             2
CUT TO a modern looking LAWYER'S office.   We SEE the LAWYER
advising MUMBLES AND ONE TWO.
LAWYER TYPE
They say it's only going one way.
3   EXT. STREET - DAY                                                3
ONE TWO and the LAWYER are here looking at the building, it
is a bit dilapidated and bleak.
LAWYER TYPE
It looks like a great deal.
4   INT. LAWYER'S OFFICE                                             4
We cut back into the office where the LAWYER lays out the
building plans.
LAWYER TYPE
These are the plans,...it costs ten
and it'll be worth twenty with
planning. But first you gotta give
the councilor a drink.
5   INT. COUNCILOR'S OFFICE                                          5
CUT TO the desk of a COUNCILOR (mid thirties middle
management)who is receiving a brown envelope from the LAWYER.
COUNCILOR
(off the envelope)
Tell them they'll get the planning,...
6   INT. LAWYER'S OFFICE                                             6
We CUT BACK to our LAWYER now smug.    One Two and Mumbles are
standing in front of him.
LAWYER TYPE
You'll get the planning. Take care
of the councilor and it will move
like shit through a goose.
ROCKNROLLA"|unknown
3||PINK Revision   -   6-20-07                               2A.|stage direction
4||"6A   INT. SPEELER                                                    6A
ONE TWO"|unknown
5|"ROCKNROLLA
Written by
Guy Ritchie"|We need help.|speech
6||MUMBLES|unknown
7|"ROCKNROLLA
Written by
Guy Ritchie"|Lenny Cole?|speech
8||ONE TWO|unknown
9|"ROCKNROLLA
Written by
Guy Ritchie"|Dog number one,...|speech
10||MUMBLES|unknown
11|"ROCKNROLLA
Written by
Guy Ritchie"|"But he moves fast and he loves bricks
and mortar."|speech
12||7    INT. LENNY COLE'S OFFICE                                        7|unknown
13||"MEET LENNY COLE(50s, dark, a little tubby), Mumbles and One
Two are here. Lenny's office is kitsch, he fancies himself
as a man of class."|stage direction
14||LENNY COLE|unknown
15|"ROCKNROLLA
Written by
Guy Ritchie"|"I do move fast and I love bricks and
mortar, properties are always the
safe bet, but you better know what
you're doing 'cos this ain't soft
money. You trip up,..."|speech
16||(beat)|location
17|"ROCKNROLLA
Written by
Guy Ritchie"|"And it's not me that's gonna get
hurt. You got security?"|speech
18||MUMBLES|unknown
19|"ROCKNROLLA
Written by
Guy Ritchie"|We got property.|speech
20||LENNY COLE|unknown
21|"ROCKNROLLA
Written by
Guy Ritchie"|Don't let me down boys.|speech
22||(beat)|location
23|"ROCKNROLLA
Written by
Guy Ritchie"|Come on then, give us your hand.|speech
24||They shake hands and sign the papers.|stage direction
25||ROCKNROLLA|unknown
26||PINK Revision   -   6-19-07                                     3.|stage direction
27||8    INT. COUNCILOR'S OFFICE                                              8|unknown
28||"The Councilor is the phone to the Lawyer.      He speaks in hushed
tones clandestine like."|stage direction
29||(into phone)|location
30|COUNCILOR|"Can't talk now, but there has been a
problem. I can't get you the
planning."|speech
31||9    INT. LAWYER'S OFFICE                                                 9|unknown
32||The Lawyer is on the phone with Mumbles and One Two.|stage direction
33||(into phone)|location
34|LAWYER TYPE|"I'm sorry boys, can't get the
planning."|speech
35||9A   INT. SPEELER                                                         9A|unknown
36||One two is on the phone.      He looks over to Mumbles.|stage direction
37|ONE TWO|He can't get the planing.|speech
38|MUMBLES|He can't get the planing?|speech
39||10   EXT. DERELICT BUILDING                                               10|unknown
40||"Lenny is looking out to One Two and Mumbles who are standing
outside his car looking very white. Lenny screams from the
back seat."|stage direction
41|LENNY COLE|"What do you mean you can't get the
fuckin planning?"|speech
42||(pointing)|location
43|LENNY COLE|"There is seven million of my cash in
there, without planning it's worth
five,...you owe me. I take the
building, you lose your share, but I
am still outta pocket two large ones.
Find it."|speech
44||"The window goes up and the car pulls off.      Lenny picks up
his phone, he dials huffing and puffing."|stage direction
45||ROCKNROLLA|unknown
46||WHITE Revision   -   6-6-07                                  4.|stage direction
47||"11   INT. LENNY'S CAR -- CONTINUOUS                                    11
LENNY COLE
Is that you Councilor?
(Lenny smiles)
I hear you got that car you was
after,....now, sort the planning
out.
COUNCILOR (V.O.)
Sorted Lenny."|unknown
48||"He puts the phone down and looks over smiling.     MEET ARCHY
(Lenny's right hand man, 50s)."|stage direction
49||"LENNY COLE
What's wrong with you Arch?
ARCHY
That's a bit strong isn't it Len?
They come from the same place as
you, you'll clean 'em out.
LENNY COLE
Same place as me? Do I look like an
immigrant Archy?
(beat)
No one gave me a leg up, did they?
They need a bit of fear, 'cos
otherwise they're gonna come up
against me,...need a little lesson
don't they?
12   INT. SPEELER                                                      12"|unknown
50||One Two and Mumbles are here, it's quiet until,..|stage direction
51||"ONE TWO
We gotta sell.
MUMBLES
And be left with what?
ONE TWO
Just gotta start again,...."|unknown
52||FADE OUT.|stage direction
53||13   INT. CORRIDOR OF SPORTS ARENA                                     13|unknown
54||"Start CREDITS over sports arena entrance.
Lenny is being walked down a corridor, the      walls are lined
with photographs of old soccer stars."|stage direction
55||"(CONTINUED)
ROCKNROLLA"|unknown
56||PINK Revision   -   6-20-07                             4A.|stage direction
57||13   CONTINUED:                                                     13|unknown
58||"On each side of him are two ESCORTS(ex-military types, heavy
looking). As they pass each door, we realize where ever he
is going, it has to be important. The ESCORTS talk in to
their microphones and to the different GUARDS on each door
way."|stage direction
59||"(CONTINUED)
ROCKNROLLA"|unknown
60||WHITE Revision   -   6-6-07                                5.|stage direction
61||13   CONTINUED: (2)                                                   13|unknown
62||"Every now and then we see the SPORTS ARENA in the back ground.
At last we reach the main door to the head office."|stage direction
63||14   INT. HEAD OFFICE                                                 14|unknown
64||"As the door is opened we see a small crowd of MEN in suits
gathered around a kind-looking MAN with bright blue eyes.
He nods a couple of times.
We CUT TO the front of Lenny who is clearly impressed, Mr.
Blue eyes pays him no attention. The small crowd of business
MEN shake hands and head to the door at which Lenny is waiting
patiently."|stage direction
65||15   INT. SPORTS ARENA -- DAY                                         15|unknown
66||"CLOSE UP on the back of URI (Russian Jew, 40s, slick, and
well groomed, he is our Mr. Blue Eyes) overlooking his sports
arena. We stay on the back of Uri's head while he is talking
to Lenny."|stage direction
67||URI|unknown
68|LENNY COLE|Glad you could join us here Lenny.|speech
69||LENNY COLE|unknown
70|LENNY COLE|It's nice to see you Uri.|speech
71||URI|unknown
72|LENNY COLE|Good.|speech
73||(there is a pause)|location
74|LENNY COLE|"I can see we are very much alike you
and I Lenny. We like to get things
done."|speech
75||(beat)|location
76|LENNY COLE|What's it going to cost me?|speech
77||LENNY COLE|unknown
78|LENNY COLE|"First, let me make clear how much we
can help you benefit from this deal.
With out me, it will take you five
to ten years to get the permission
to erect your arena."|speech
79||(beat)|location
80|LENNY COLE|"Second, with Government policy as it
so stands we both know it's unlikely
that you'd ever get that consent."|speech
81||(beat)|location
82|LENNY COLE|"Thirdly, in legal fees, transactions
and building consent, you'd be paying
6 to 12 million without any real
guarantee of that result."|speech
83||We CUT TO Uri unfazed, he just wants the figure.|stage direction
84||"(CONTINUED)
ROCKNROLLA"|unknown
85||PINK Revision    -   6-20-07                           5A.|stage direction
86||15   CONTINUED:                                                   15|unknown
87||"So Lenny,..... how much?
(CONTINUED)
ROCKNROLLA"|unknown
88||PINK Revision    -   6-19-07                               6.|stage direction
89||15   CONTINUED: (2)                                                  15|unknown
90|LENNY COLE|Seven million Euros.|speech
91||Still unfazed.|stage direction
92|URI|"I expect a guarantee that I have
consent within six months and no red
tape."|speech
93|LENNY COLE|"That's right Uri, you can consider
that done."|speech
94||Pause while tension stews, then,...|stage direction
95|URI|Drink!     Follow me.|speech
96||16   INT. SPORTS ARENA - PRIVATE BAR                                 16|unknown
97||"Uri walks to the bar. Lenny follows trying to contain his
excitement, he's out of his league, a ""welcome to the
billionaires club"" look has struck him pink. Lenny passes a
PICTURE that's sat on an EASEL."|stage direction
98|LENNY COLE|"Oh, that's a nice picture Uri, hasn't
it got, errrh depth?"|speech
99||"Uri is at the bar now. He has placed one large tumbler down
and is pouring a very very large measure out."|stage direction
100|URI|"That picture has brought me nothing
but luck Lenny,..it's my lucky
picture."|speech
101||(he has a good idea)|location
102|URI|"You like? Take it for a while, maybe
it will give you luck."|speech
103|LENNY COLE|Oh I couldn't Uri,...|speech
104||Still absorbed with the painting.|stage direction
105|URI|"Now we're partners, I insist. I
will get it sent around to your house
and you can give it back to me when
our deal is finalized."|speech
106||"Lenny looks at the bar. Uri motions, there is a SMALL KEG
of WHISKEY on the bar and only one large glass."|stage direction
107||"(CONTINUED)
ROCKNROLLA"|unknown
108||PINK Revision    -   6-20-07                                 6A.|stage direction
109||16   CONTINUED:                                                         16|unknown
110||I thought you lot drunk Vodka.|unknown
111||Whiskey is the new Vodka.|unknown
112||"You not joining me Uri?
(CONTINUED)
ROCKNROLLA"|unknown
113||WHITE Revision   -   6-6-07                                    7.|stage direction
114||16   CONTINUED: (2)                                                      16|unknown
115|URI|I don't drink.|speech
116|LENNY COLE|Oh,...cheers then,...|speech
117|URI|To success.|speech
118||Lenny awkwardly starts to glug as Uri looks on.|stage direction
119||17   INT. LENNY'S CAR - DAY                                              17|unknown
120||"Lenny enters the back seat of his car, Archy is waiting for
him in the back."|stage direction
121|ARCHY|"You all right there Len?      You look a
little pink."|speech
122||(Flustered)|location
123|LENNY COLE|"Turbo, get us a perrier and a wet
wipe live-o."|speech
124||Lenny's panting.|stage direction
125|LENNY COLE (CONT'D)|"Tried to poison me the dirty
Cossack..."|speech
126||"TURBO (Lenny's driver) is fumbling around in the front seat
trying to get ice into a glass from the cooler that sits
beside him."|stage direction
127|LENNY COLE (CONT'D)|"Stop messing about and give us the
bottle Turbo."|speech
128|ARCHY|So, how's the billionaires club?|speech
129||"Lenny grabs the drink, desperately takes a big glug of water
and wipes his face."|stage direction
130|LENNY COLE|"That Communism didn't seem to slow
'em down did it? We've hit the big
time here Archy boy!"|speech
131||(beat)|location
132|LENNY COLE|"What's wrong? Where's the old Archy
smile?"|speech
133||"(CONTINUED)
ROCKNROLLA"|unknown
134||PINK Revision    -   6-20-07                              7A.|stage direction
135||17   CONTINUED:                                                      17|unknown
136||"You wanna watch out there. Times
are changing, they don't have too
much respect for the old school.
(CONTINUED)
ROCKNROLLA"|unknown
137||WHITE Revision   -   6-19-07                                8.|stage direction
138||"17   CONTINUED: (2)                                                   17
LENNY COLE"|unknown
139|ARCHY|Shut up Archy,...|speech
140||(under his breath)|location
141|ARCHY|"No school like the old school,...I
still run this town see? That's why
he came to me right? Got that?"|speech
142||ARCHY|unknown
143|ARCHY|Yeah, got that.|speech
144||18   INT. SPORTS ARENA - PRIVATE BAR                                  18|unknown
145||"Uri looks at VICTOR (Uri's right hand man).   They're looking
down at Lenny's disappearing car."|stage direction
146||VICTOR|unknown
147|ARCHY|"You think you should have leant him
your lucky picture?"|speech
148||URI|unknown
149|ARCHY|"It makes the peasant feel royal,...
don't spoil it, we need him at the
moment. I want that consent."|speech
150||(beat)|location
151|ARCHY|"Call the accountant and get her to
clear the money."|speech
152||19   INT. ACCOUNTANT TAX OFFICES                                      19|unknown
153||"A man and woman sit on one side of a desk, MEET STELLA AND
BERTIE. Bertie is 45 and handsome in a dark posh sort of
way. Stella is 32, film star. Sitting opposite them are
two TAX MEN(civil servant types, grey, middle aged, a little
tubby and bald). There's a stand off."|stage direction
154||STELLA|unknown
155|ARCHY|Look, can we shut the door?|speech
156||There's a pause while the TAX MAN looks at his colleague.|stage direction
157||TAX MAN|unknown
158|ARCHY|Shut the door.|speech
159||His colleague gets up and shuts the door.|stage direction
160||STELLA|unknown
161|ARCHY|"Let's put our cards on the table.
We both know you aren't going to get
the full forty out of my clients."|speech
162||TAX MAN|unknown
163|ARCHY|"This is the tax office and in the
end we get what we want."|speech
164||"(CONTINUED)
ROCKNROLLA"|unknown
165||PINK Revision    -   6-19-07                                  9.|stage direction
166||19   CONTINUED:                                                         19|unknown
167||"Save that speech for the tourists
Charlie and let's strike a deal -
take the twenty now and let it go.
Otherwise, they'll move the company
off shore tomorrow and you'll spend
the next twenty years chasing an
imaginary forty million around every
republic that grows bananas."|unknown
168||Bertie lifts out papers from his brief case.|stage direction
169||I see why you married her now Bertie.|unknown
170||"The two TAX MEN look at each other, they're thinking the
same thought."|stage direction
171||20   INT. CHAUFFEUR DRIVEN MERCEDES - EVENING                           20|unknown
172||"I told you we'd make a great team,..
You know why you get those deals?"|unknown
173||She looks relatively bored.|stage direction
