|character|text|type
0||"Screenplay by
Rick Berman, Ronald D. Moore, Brannon Braga
FINAL DRAFT
March 16, 1994"|unknown
1||FADE IN:|stage direction
2||1   EXT. SPACE (VFX-I)                                           1|unknown
3||"A vast and sparkling starfield. A pinpoint of LIGHT
appears and starts moving toward the camera... a small
and distant cylindrical object tumbling end over end,
but we can't determine exactly what it is yet..."|stage direction
4||2   EXT. WHEATFIELD - DAY                                        2|unknown
5||"A vast and undulating sea of wheat. We become aware
that there are two HEADS sticking out of the stalks of
wheat: two men are standing and looking up at the
sky. As we move towards them,  we begin to hear their
conversation...and we can see that the two men are
SCOTTY and CHEKOV, dressed in civilian clothing."|stage direction
6||(points to sky)|unknown
7||"There he is -- there, to the
South!"|location
8||(peers upward)|unknown
9||"What are ye, blind? That's a
bird."|location
10||As they stare up at the sky...|stage direction
11||3   EXT. SPACE (VFX-I)                                           3|unknown
12||"The cylinder tumbling through space is now closer, and
we can now see that it is a BOTTLE of some sort, and it
is tumbling directly toward the camera..."|stage direction
13||4   EXT. WHEATFIELD- DAY                                         4|unknown
14||As before, Chekov and Scotty staring at the sky.|stage direction
15||(concerned)|unknown
16||"Repelling the Crystalline
Trench... rafting down lava
flows... orbital skydiving. it's
like the man is running a bloody
decathlon across the galaxy."|location
17||Suddenly we hear a double SONIC BOOM.|stage direction
18||(re: sound)|unknown
19||"That should be him now. I think
he's just crossed the sound
barrier."|location
20||They shield their eyes against the sun and look up.|stage direction
21||5   EXT. SPACE (VFX-I)                                           5|unknown
22||The bottle gets CLOSER...|stage direction
23||6   EXT. WHEATFIELD - DAY                                        6|unknown
24||"A man in a high-tech body harness and parachute LANDS
in the wheat flat on his back. His body-suit is
charred, scorched, wisps of smoke still curling off of
it. There are small thrusters attached to his backpack
and boots. Scotty and Chekov move to him. The man
removes his helmet. Revealing that it is KIRK. He
smiles broadly, like a child who has just come off a
roller-coaster."|stage direction
25||"Right on target! I jump out over
the Arabian Peninsula... and I end
up here, right on the dime."|location
26||Kirk gets to his feet.|stage direction
27||"Actually, Captain, your precise
target area was thirty-five
meters..."|location
28||(points)|unknown
29||That way.|location
30||Thanks for pointing that out.|location
31||"Kirk starts to pull off his suit, reacts to a sudden
pain in his back."|stage direction
32||Oh...|location
33||"I've warned ye about that back of
yours. You should have a doctor
take a look at it."|location
34||"Kirk waves him away, and continues to remove his
harness."|stage direction
35||6A   EXT. SPACE (VFX-I)                                          6A|unknown
36||"The tumbling bottle rushes past, and we can now see
that it is a CHAMPAGNE BOTTLE - Dom Perignon, 2265.
Follow the bottle as it tumbles through space..."|stage direction
37||6B   EXT. WHEATFIELD - DAY                                       6B|unknown
38||Kirk, Scotty and Chekov as before.|stage direction
39||"Tomorrow I want to make a tri-
elliptical jump. That's where you
jump out over Northern China, and
make three complete orbits before
you start re-entry..."|location
40||"Captain. Perhaps you have
forgotten that tomorrow is the
christening ceremony."|location
41||"This strikes a nerve with Kirk -- we see a flash of
hesitation and irritation cross his face."|stage direction
42||I'm not going.|location
43||(beat)|unknown
44||Scotty, help me with this chute.|location
45||"What do you mean, you're not
going? We promised."|location
46||"When I retired, I swore I'd never
set foot on a starship again, and
I meant it."|location
47||Captain...|location
48||(firm)|unknown
49||"I don't want to hear anymore about
it. I'm not going, and that's
final."|location
50||7   EXT. SPACE (VFX-I)                                           7|unknown
51||"The champagne bottle SMASHES onto the bow of a
Federation starship(Excelsior class) sitting in its
dock in orbit around Earth."|stage direction
52||7A   EXT. SPACE (VFX-I)                                          7A|unknown
53||"FOLLOW the shards of glass from the bottle as they
spread over the ship...revealing the name on the hull:
U.S.S. ENTERPRISE NCC-1701-B."|stage direction
54||8   ANGLE ON SPACEDOCK WINDOW                                    8|unknown
55||"A large picture window overlooking the starship in its
berth. The window is filled with people in Starfleet
uniforms, applauding the christening of the ship (but
we hear nothing)."|stage direction
56||8A   INT. SPACEDOCK OBSERVATION ROOM (VFX-I)                     8A|unknown
57||"The people are still applauding and we can see that
they are looking out over the ship in its berth."|stage direction
58||8B   EXT. SPACE - ENTERPRISE-B IN SPACEDOCK (VFX-I)              8B|unknown
59||The great ship sits in spacedock.|stage direction
60||9   INT. ENTERPRISE-B - BRIDGE                                   9|unknown
61||"CLOSE ON A SET OF TURBOLIFT DOORS as they slide open to
reveal Kirk, Scotty and Chekov. A bright light shines
into their faces and they react. MOVE TO REVEAL -
that the bright light is coming from a futuristic
CAMERA with a small bank of lights attached to it. The
camera is a holographic recorder with two lenses and is
worn on an operator's head. There are four JOURNALISTS
clustered in front of the Turbolift -- one associated
with the camera, the others using PADDS to make
notations.
Also clustered around the door are the BRIDGE CREW of
the Enterprise-B. Everyone is APPLAUDING as Kirk and
the others blink under the bright lights and ENTER the
Bridge."|stage direction
62||(overlapping)|unknown
63||"Captain Kirk, how does it feel
to be back on the Enterprise
Bridge... Captain, can I have a
Minute... Captain Scott, do you
have any comment on... Commander
Chekov... etc."|location
64||CAPTAIN JOHN HARRIMAN pushes through the crowd.|stage direction
65||"Excuse me, excuse me...there will
be plenty of time for questions
later..."|location
66||"The journalists edge away, and the cameraman moves to
get a good angle."|stage direction
67||(continuing, to all)|unknown
68||"I'm Captain John Harriman. I'd
like to welcome you all aboard."|location
69||It's our pleasure.|location
70||"Harriman is young, confident, eager -- this is his
first command and he takes it very seriously."|stage direction
71||"I just want you to know how
excited we all are to have a group
of living legends with us on our
maiden voyage."|location
72||(beat)|unknown
73||"I remember reading about your
missions when I was in grade
school."|location
74||"The original Enterprise officers all stop and give him
a look. Harriman looks a little embarrassed -- he
didn't mean to insult them. But Kirk gives him a
little smile, lets it roll off."|stage direction
75||Well... may we have a look around?|location
76||Please... please.|location
77||"Chekov sees someone in the background, calls out to
her."|stage direction
78||Demora!|location
79||Chekov moves off.|stage direction
80||(breezy)|unknown
81||"So, Captain... this is the first
Starship Enterprise in thirty
years without James T. Kirk in
command. How do you feel about
that?"|location
82||"The Journalist has unknowingly touched a nerve. Kirk's
eyes flash for a moment -- the longer he's on this
Bridge, the more he realizes he doesn't feel good about
it at all. He tries to shrug it off with a smile."|stage direction
83||"Just fine. I'm glad to be here to
send her on her way..."|location
84||"He tries to move away from the Journalist, who dogs
him."|stage direction
85||"What have you been doing since you
retired?"|location
86||I've been... keeping busy.|location
87||"At this point, Chekov approaches with a young, (mid-
twenties) attractive, Asian female Ensign named DEMORA."|stage direction
88||(to Kirk)|unknown
89||"Excuse me, Captain. I'd like you
to meet the Helmsman of the
Enterprise-B. Ensign Demora Sulu --
Captain James Kirk."|location
90||"It's a pleasure to meet you, sir.
My father's told me some...
interesting stories about you."|location
91||"Kirk is shocked. For a long moment, he stares at her
in amazement."|stage direction
92||"Your father... Hikaru Sulu is your
father?"|location
93||Yes, sir.|location
94||"You met her once before, but she
was..."|location
95||"Chekov holds out his hand and indicates a very short
height."|stage direction
96||"But that wasn't so long ago... it
couldn't have been more than..."|location
97||Twelve years, sir.|location
98||"Yes... well... congratulations,
Ensign. It wouldn't be the
Enterprise without a Sulu at the
helm."|location
99||Thank you, sir.|location
100||(to Chekov)|unknown
101||"Let me show you the new inertial
guidance system."|location
102||"Demora and Chekov move off and Kirk looks after them
for a long beat. The expression on his face changes
from shock to sadness... Something is clearly
bothering him.
Scotty moves over to Kirk, with a smile on his face."|stage direction
103||(to Kirk)|unknown
104||Damn fine ship if you ask me...|location
105||"But Kirk's mind is still on Demora. He watches her as
she moves to the Helmsman's position."|stage direction
106||You know, Scotty... it amazes me.|location
107||And what would that be, sir?|location
108||"Sulu. When did he find the time
for a family?"|location
109||"It's like you always said -- if
something's important enough, you
make the time."|location
110||Kirk nods absently. Scotty realizes something...|stage direction
111||"So... that's why you've been
running around the galaxy like an
eighteen-year-old. Finding
retirement a little lonely, are we?"|location
112||Kirk gives him a look.|stage direction
113||"With that kind of tact, I'm glad
you're an engineer and not a
psychiatrist."|location
114||Harriman interrupts.|stage direction
115||"Excuse me, gentlemen... if you'll
take your seats."|location
116||Oh... of course.|location
117||10   NEW ANGLE                                                   10|unknown
118||"Revealing that three CHAIRS have been neatly arranged
to one side.
Scotty, Kirk and Chekov all take their seats. The
Journalists take positions on the opposite side of the
Bridge. Harriman moves to the command chair and the
rest of the Bridge crew go to their stations."|stage direction
119||(to all)|unknown
120||"Prepare to leave spacedock. Aft
thrusters ahead one quarter, port
and starboard at station keeping."|location
121||(beat)|unknown
122||"Captain Kirk, I'd be honored if
you would give the order to get
underway."|location
123||No... no. Thank you.|location
124||Please, I insist.|location
125||"All eyes on Kirk -- he has little choice. He stands
uncomfortably. There is a moment of anticipation."|stage direction
126||(to all)|unknown
127||Take us out.|location
128||"Everyone breaks into APPLAUSE. Kirk sits down in
acute embarrassment and  annoyance."|stage direction
129||(sotto)|unknown
130||Very good, sir.|location
131||(sotto)|unknown
132||Brought a tear to my eye.|location
133||"CUT TO:
11    EXT. SPACE- ENTERPRISE-B (VFX-I)                            11"|unknown
134||"The great ship majestically LEAVES the dock, and heads
out into open space, passing DIRECTLY OVERHEAD."|stage direction
135||12    INT. ENTERPRISE-B - BRIDGE                                  12|unknown
136||A short time later. Harriman turns to his guests.|stage direction
137||"Well... we've just cleared the
asteroid belt. Our course will
take us out beyond Pluto and then
back to spacedock. Just a quick
run around the block."|location
138||(beat)|unknown
139||"If we have time, we'll conduct a
few tests of the warp --"|location
140||"Suddenly the communications console starts to BEEP.
The COM OFFICER hits a few commands in response."|stage direction
141||(to Harriman)|unknown
142||"We're picking up a distress call,
Captain."|location
143||This grabs everyone's attention.|stage direction
144||On speakers.|location
145||"We hear the voice of a crewmember who sounds panicked
and urgent."|stage direction
146||(fritzed)|unknown
147||"This is the transport ship Lakul.
We're caught in some kind of
energy distortion. We can't break
free... need immediate help...
It' tearing us --"|location
148||"The voice is drowned out by STATIC. The SCIENCE
OFFICER checks something on his console. The
Journalist with the Holo-camera turns on his light and
pans it around to capture the action."|stage direction
149||"The Lakul is one of two ships
transporting El-Aurian refugees to
Earth."|location
150||"Harriman blinks a couple of times, surprised at this
unexpected turn of  events. Kirk watches him intently.
Harriman clears his throat, then turns to Demora."|stage direction
151||Can you locate them?|location
152||"The ships are bearing at three one
zero mark two one five. Distance:
Three light years."|location
153||"Signal the closest starship.
We're in no condition to mount a
rescue... We don't even have a
full crew aboard."|location
154||The NAVIGATOR checks his console.|stage direction
155||We're the only one in range, sir.|location
156||"The Holo-camera light is shined on Harriman as he
shifts in his seat, hesitant to take the plunge. Kirk
is drumming his fingers impatiently on his leg.
Finally, Harriman takes a breath and straightens his
jacket a bit."|stage direction
157||"Well, then... I guess it's up to
us."|location
158||(to Demora)|unknown
159||"Helm, lay in an intercept course
and engage at maximum warp."|location
160||"Kirk fidgets in his chair, itching to get in on the
action - his instincts taking over. Scotty shoots him
a side-long glance."|stage direction
161||"Is there something wrong with your
chair, Captain?"|location
162||Kirk gives him a look.|stage direction
163||13   EXT. SPACE - ENTERPRISE-B (VFX-I)                           13|unknown
164||The ship snaps into warp.|stage direction
165||14   INT. ENTERPRISE-B - BRIDGE                                  14|unknown
166||A few minutes later. Demora is watching her console.|stage direction
167||"We're within visual range of the
energy distortion, Captain."|location
168||On screen.|location
169||15   INCLUDE VIEWSCREEN (VFX-I)                                  15|unknown
170||"Which now shows a HUGE RIBBON OF CRACKLING ENERGY
directly ahead of the Enterprise-B.
Everyone reacts to the bizarre sight."|stage direction
171||What the hell is that?|location
172||(off console)|unknown
173||I've found the transport ships.|location
174||15A   INCLUDE VIEWSCREEN (VFX-I)                                 15A|unknown
175||"The Viewscreen now shows TWO TRANSPORT SHIPS trapped
like insects in the violent torrent of energy. The
ships are being buffeted and thrown about by large
TENDRILS of CRACKLING ENERGY."|stage direction
176||(cont'd)|unknown
177||"Their hulls are starting to buckle
under the stress -- they won't
survive much longer."|location
178||"The ship suddenly SHAKES. The Navigator works his
console."|stage direction
179||"We're encountering severe
gravimetric distortions from the
energy ribbon."|location
180||"We'll have to keep our distance...
we don't want to get pulled in
too..."|location
181||"Harriman frowns at the screen, trying to figure out
what to do. Kirk can barely contain himself -- to him
the answer is obvious. He blurts out the answer --"|stage direction
182||Tractor beam...|location
183||"Scotty quickly elbows him in the side -- this isn't
Kirk's ship. Kirk shuts up.  Harriman glances at Kirk."|stage direction
184||We don't have a tractor beam.|location
185||"You left spacedock without a
tractor beam?"|location
186||"It won't be installed until
Tuesday."|location
187||(beat)|unknown
188||"Ensign Sulu... try generating a
subspace field around the ships.
That might break them free."|location
189||Aye, sir.|location
190||"When Kirk hears this order, he shakes his head slightly
and mouths the word ""no"" under his breath. He knows
that won't work."|stage direction
191||"(continuing; shakes her
head)"|unknown
192||"There's too much quantum
interference, Captain."|location
193||"Harriman frowns again, trying to come up with another
solution, but it isn't easy -- it's his first day in
command; his ship is under-manned and ill-prepared.
It's a nightmare come true. Kirk is itching to get in
On this, his fingers digging into the arms of his chair --
but he restrains himself."|stage direction
194||"What about... venting plasma from
the warp nacelles? That might
disrupt the ribbon's hold on the
ships."|location
195||"Aye, sir.. releasing drive
plasma..."|location
196||"A tense beat. Harriman glances over at the
journalists, then glances over at Kirk. Kirk gives him
a pained smile, trying to be encouraging even though he
knows this is not the right course of action."|stage direction
197||(continuing)|unknown
198||"It's not having any effect, sir.
I think --"|location
199||"Sir! The starboard vessel's hull
is collapsing --"|location
200||15B   INCLUDE VIEWSCREEN (VFX-I)                                 15B|unknown
201||"Suddenly the right-hand ship on the screen is engulfed
by a fiery TENDRIL of energy and it EXPLODES. The
other ship continues to be thrown about and buffeted.
Everyone reacts with shock on the Bridge."|stage direction
202||"How many people were aboard
that ship?"|location
203||Two hundred sixty-five.|location
204||"Harriman pales at the sight... seems shell-shocked by
the destruction of the ship. He's overwhelmed now, at
a genuine loss as to what to do next."|stage direction
205||(urgent)|unknown
206||"The Lakul's hull integrity is down
to twelve percent, sir."|location
207||"Harriman looks over at Kirk, who has remained quiet
during this entire sequence only through great effort
and out of deference to the young Captain. This is a
delicate moment -- Harriman doesn't want to look
incapable, but at the same time, he needs help."|stage direction
208||"Captain Kirk... I would appreciate
any... suggestions you might have."|location
