|character|text|type
0||"THE ABYSS
AN ORIGINAL SCREENPLAY
BY"|unknown
1||"August 2, 1988
Director's Revision
THE ABYSS"|unknown
2||"OMITTED                                                                 1
OMITTED                                                                 2
TITLE: THE ABYSS -- ON BLACK, DISSOLVING TO COBALT BLUE"|stage direction
3||EXT. OCEAN/UNDERWATER -- DAY                                            3|location
4||"Blue, deep and featureless, the twilight of five hundred feet down.
PROPELLER SOUND.  Materializing out of the blue limbo is the enormous but
sleek form of an Ohio-class SSBN ballistic missile submarine."|stage direction
5||INT. U.S.S. MONTANA -- DAY                                              4|location
6||"In the attack center, darkened to womb-red, the crew's faces shine with sweat
in the glow of their instruments.  The SKIPPER and his EXEC crowd around
BARNES, the sonarman."|stage direction
7|CAPTAIN|"Sixty knots?  No way, Barnes... the reds don't
have anything that fast."|speech
8|BARNES|"Checked it twice, skipper.  It's a real unique
signature.  No cavitation, no reactor noise...
doesn't even sound like screws."|speech
9||"He puts the signal onto a speaker and everyone in the attack room listens to
the intruder's acoustic signature, a strange THRUMMING.  The captain studies
the electronic position board, a graphic representation of the contours of
the steep-walled canyon, a symbol for the Montana, and converging with it, an
amorphous trace, representing the bogey."|stage direction
10|CAPTAIN|What the hell is it?|speech
11|EXEC|"I'll tell you what it's not, it's not one of
ours."|speech
12|BARNES|"Sir!  Contact changing heading to two-one-four,
diving.  Speed eighty knots!  Eighty knots!"|speech
13|EXEC|Eighty knots...|speech
14|BARNES|"Still diving, depth nine hundred feet.  Port
clearance to cliff wall, one hundred fifty feet."|speech
15||(simultaneously)|unknown
16|FRANK|"Still diving, depth nine hundred feet.  Port
clearance to cliff wall, one hundred fifty feet."|speech
17||"Tension builds in the attack room as the Montana surges to intercept the
intruder.  The exec tensely watches the vector-graphic readout for the side-
scan sonar array.  The sub is running uncomfortably close to the cliff walls."|stage direction
18||(low, to Captain)|unknown
19|EXEC|It's getting tight in here.|speech
20|CAPTAIN|"We can still give him a haircut.  Helm, come
right to oh six niner, down five degrees."|speech
21|HELMSMAN|"Coming right to oh six niner, sir.  Down five
degrees."|speech
22|NAVIGATOR|"Port side clearance one hundred twenty feet
narrowing to seventy-five.  Sir, we have a
proximity warning light."|speech
23|EXEC|That's too damn close!  We've gotta back off.|speech
24|BARNES|"Range to contact, two hundred.  Contact junked to
bearing two six oh and accelerated to... one
hundred thirty knots, sir!"|speech
25||(really freaked now)|unknown
26|EXEC|Nothing goes one thirty!|speech
27||Suddenly the control room lights dim almost to blackness.|stage direction
28||EXT. U.S.S. MONTANA                                                     5|location
29||"We see only the effect, not the source, as a large diffuse light passes
rapidly under the sub's hull.  Moments later a shockwave, like an underwater
sonic boom, impacts the sub, slamming it sideways."|stage direction
30||INT. U.S.S. MONTANA                                                     6|location
31||The bride crew are knocked off their feet, as the ship is buffeted.|stage direction
32|EXEC|Turbulence!  We're in its wake!|speech
33||SIRENS.  Everyone shouting at once.  The power flickers low.|stage direction
34|CAPTAIN|Helm, all stop!  Full right rudder!|speech
35|HELMSMAN|"All stop.  Full right rudder.  Hydraulic failure.
Planes are not responding, sir!"|speech
36||"Power returns in time for the sonarman to get a glimpse at the side-scan
display... AS THE SHEER CLIFF WALL LOOM BEFORE THEM."|stage direction
37|HELMSMAN|Hydraulics restored, sir.|speech
38||EXT. U.S.S. MONTANA                                                     7|location
39||"The cliff wall materializes out of the blue limbo off the port bow with
nightmarish slow-motion.  The sub slams into it with horrific force, scraping
along and bouncing off.  One tail stabilizer is sheared off and the big screw
prangs the wall with an earsplitting K-K-KWANG!"|stage direction
40||INT. PORT TO TORPEDO ROOM                                               8|location
41||"With the outer tube-doors torn off, seawater slams in, busting the inner
hatches.  Two-foot thick columns of water, like fire-hoses of the gods,
blast into the room.  Everything vanishes instantly in white spray."|stage direction
42||INT. CONTROL RM/ATTACK CENTER                                           9|location
43||"Everyone is hurled off his feet.  The planesman flights to recover control of
the yoke."|stage direction
44|CAPTAIN|"Collision alarm!  Collision alarm!  Lighten
her up, Charlie!"|speech
45|NAVIGATOR|The torpedo room is flooded, sir!|speech
46|CAPTAIN|Blow all tanks!  Blow everything!|speech
47|HELMSMAN|Passing twelve hundred feet...|speech
48|EXEC|Blowing main tanks!|speech
49|HELMSMAN|Twelve hundred fifty feet...|speech
50||EXT. MONTANA                                                            10|location
51||"The great sub is being hauled down by the mass of its flooded bow section,
its flanks rushing past us like a freight train headed for Hell."|stage direction
52||INT. MONTANA CONTROL ROOM                                               11|location
53||The command crew fights futility for control, everyone shouting and terrified.|stage direction
54|EXEC|Main forward tanks ruptured!|speech
55|HELMSMAN|Passing thirteen hundred feet...|speech
56|EXEC|Too deep to pump auxiliaries!|speech
57|CAPTAIN|All back full!  All back full!|speech
58|HELMSMAN|"Answering all back full.  Passing thirteen hundred
fifty feet... fourteen hundred... fourteen
fifty..."|speech
59||The Captain locks eyes with the Exec amid the din...|stage direction
60|CAPTAIN|We're losing her.  Launch the buoy!|speech
61||"The Exec opens the door to a small box and punches a button.  A red light
comes on.  The Captains takes a deep breath."|stage direction
62||EXT. MONTANA                                                            12|location
63||"A tiny transmitter is ejected from the sub's hell and begins its long ascent
to the surface.  A second later the sub slams down like a piledriver onto a
ledge, tearing open its pressure hull."|stage direction
64||INT. MONTANA                                                            13|location
65||"VARIOUS QUICK CUTS, just flashes and impressions, as...
Seawater blasts down the corridors --
Explodes across the control room, hurling men like dolls --
Floods the cavernous missile bay in seconds --
Bursts through hatches into the reactor room --
Blasts men OUT OF FRAME in a micro-second."|stage direction
66||EXT. OCEAN/UNDERWATER                                                   14|location
67||"In the cobalt twilight we see the Montana slide down the sea cliff, its hull
SCREECHING like the death agonies of some marine dinosaur.  Descending in an
avalanche of silt, it finally disappears into the blackness below... a
blackness which continues almost straight down, 20,000 feet to the bottom of
the Cayman Trough.  The abyss."|stage direction
68||EXT. OCEAN SURFACE -- DAY                                               15|location
69||"Above, in the world, the Caribbean rolling gray under a stormy sky.  The
Montana's emergency buoy pops to the surface, transmitting."|stage direction
70||"CUT TO:
EXT. OCEAN/20 MILES AWAY -- DAY                                         16"|location
71||"LONG LENS SHOT: three massive Navy Sea King helicopters thundering straight
at us, FILLING FRAME.
REVERSE, as they barrel OVER CAMERA toward a lone civilian ship... an ugly
but very sophisticated deep-sea drilling support ship, the BENTHIC EXPLORER.
It is a twin-hulled monstrosity with a central opening in its deck, around
which crouch enormous cranes, winches and other arcane equipment.
The first Sea King settles onto the helipad, disgorging a contingent of Naval
officers, technicians, and a squad of armed seamen.  A pantomime in the
rotorwash, we see the Benthic Petroleum ""company man"" KIRKHILL greeting
COMMODORE DEMARCO, the on-scene commander."|stage direction
72||INT. BENTHIC EXPLORER/BRIDGE -- DAY                                     17|location
73||"The bridge is state-of-the-art, with computers and sophisticated navigation
and communications gear, looking like mission control with its bank of video
monitors.  The Drilling Operations Supervisor, LELAND MCBRIDE, and BENDIX,
the crew chief, watch the invaders swarming the deck below."|stage direction
74|MCBRIDE|Does not look good at all.|speech
75||"TIGHT ON VIDEO SCREEN (MINUTES LATER) showing divers working in total
blackness around some sort of installation on the bottom of the ocean.  They
move through the harsh floodlights in dreamlike slow motion, looking like
space-suited figures with their helmets and umbilical hoses."|stage direction
76|DEMARCO (V.O.)|No light from the surface.  How deep are they?|speech
77|MCBRIDE (V.O.)|Seventeen hundred feet.|speech
78||"WIDER, showing the Navy contingent crowding the control room.  DeMarco is
hardcore military, brusque and efficient.  Kirkhill is a small man with
pinched features, wearing a shirt and tie, which on a drill ship means
company man and/or dickhead."|stage direction
79|DEMARCO|I need them to go to over two thousand.|speech
80|KIRKHILL|They can do it.|speech
81||(to McBride)|unknown
82|KIRKHILL|Get Brigman on the line.|speech
83||"CUT TO:
EXT. UNDERWATER -- DAY (TOTAL DARKNESS)                                 18"|location
84||"1700 FEET BELOW.  A submersible oil-drilling platform, DEEPCORE II, an island
of light in the vast blackness.  Its main framework connects two ""tri-
modules"" consisting of three cylinders each.  These contain living and work
areas in a pressurized environment.  An umbilical cable, thick as a man's
thigh, runs up from the oil rig into the darkness, to the Benthic Explorer
at the surface.  In a bubble-like dome port window we see the rig foreman, or
""toolpusher,"" BUD BRIGMAN.  He's talking (via headset) with two divers
working outside... 'CATFISH' DE VRIES, AND LEW 'BIRD-DOG' FINLER."|stage direction
85|BUD|Hey, you guys are milking that job.|speech
86||(Kentucky drawl)|unknown
87|CATFISH|"That's cause we love freezin' our butts off out
here sooo much, boss."|speech
88||OMITTED                                                                 19|stage direction
89||INT. DRILL ROOM                                                         20|location
90||"Bud turns from the window and crosses the drill floor.  The working heart of
the rig.  THUNDEROUS MECHANICAL ROAR.  The drill crew, in hardhats and mud-
plastered overalls, tend the massive spinning turn-table in the center of the
chamber.  The semi-automated system requires only five men to operate.  The
others are LUPTON MCWHIRTER, DWIGHT PERRY, JAMMER WILLIS, and TOMMY RAY
DIETZ.  Bud hears his names called above the din by Jammer, a massive
roughneck/diver who stands a good head taller than the rest."|stage direction
91||(yelling)|unknown
92|JAMMER|"Bud!  Hippy's on the bitch-box.  It's a call
from topside.  That new company man."|speech
93|BUD|"Kirkhill?  That guy doesn't know his butt from
a rathole.  Hey, Perry!"|speech
94||One of the roustabouts, a wiry Texan, turns to him.|stage direction
95|BUD|"Do me a favor and square away the mud hose and
those cable slings.  This place is starting to
look like my apartment."|speech
96||"Perry chuckles and sets to the task cheerfully.  Bud EXITS, ducking his head
through a low watertight hatch."|stage direction
97||INT. CORRIDOR/TOOLPUSHER'S OFFICE                                       21|location
98||Bud tromps down the narrow corridor, his work boots gonging on steel.|stage direction
99|P.A. (HIPPY'S VOICE)|BUD, PICK UP THE TOPSIDE LINE URGENT.|speech
100|BUD|I'm coming.  Keep your pantyhose on.|speech
101||"He enters his office, a tiny cubicle with stacks of paperwork, dust-
gathering tech manuals and waterstained Penthouse fold-outs.  He picks up the
phone... punches down a line."|stage direction
102|BUD|Brigman here.  Kirkhill?  What's going on?|speech
