|character|text|type
0||THE ARMY OF DARKNESS|unknown
1||"Property of:
Western Renaissance Pictures, Inc.
6381 Hollywood Blvd., Suite 680
Hollywood, California 90028"|location
2||"Screenplay by Sam Raimi and Ivan Raimi
January 3, 1991
Registered with the Writers Guild of America, 1991
c 1991 by Sam and Ivan Raimi.  All rights reserved.
Shooting Script  2/26/91
1	  GRAINY BLACK AND WHITE - CLOSE-UP - A MAN'S DESPERATE FACE	 1"|location
3||"This is Ash, mid twenties, square jaw firmly set and a pair of
haunted eyes which dart about quickly in fear. Ash speaks to
the CAMERA with urgency:"|stage direction
4|ASH|"Why would you say that I am
insane?  I wouldn't say that I've
lost my mind simply because I've
heard the voices and seen the
godless things moving in the
woods. If anything, I think more
clearly now than ever before. I
know now that there is such a
thing as a living Evil. A dark
and shapeless thing that lives
not in the spaces we know, but
between them. In the Dark. In the
night. And it wants the exact same
thing as you and I: a chance at
warm life on this Earth. It
doesn't care that is already had
that chance ...once. Now listen
closely because there isn't much
time. Listen and believe, because
it's all true."|speech
5||DISSOLVE TO:|unknown
6||2	  EXT. A LOG CABIN - NIGHT								2|location
7||"nestled in a dark forest. Through the window, we see the tiny
figure of Ash picking up a book from a desk."|stage direction
8|ASH (V.O.)|"I first saw the damn thing at that
blasted cabin. The Necronomicon.
An ancient Sumarrian text, bound
in human flesh and inked in human
blood. It contained bizarre burial
rites, prophesies...and
instruction for demon
resurrection. It was never meant
for the world of the living."|speech
9||DISSOLVE TO:|unknown
10||3	  INT. CABIN - NIGHT									 3|location
11||Ash flips through the pages from the BOOK OF THE DEAD.|stage direction
12|ASH (V.O.)|"The book awoke something dark in
the woods."|speech
13||SUPERIMPOSE:|unknown
14||4	  BOOK OF THE DEAD - CAMERA PANNING STRANGE SCRIPT			 4|location
15||"inscribed on the pages.  Illustrations of demonic faces with
white eyes."|stage direction
16||5	  EXT. WOODS - NIGHT									 5|location
17||"We take the point of view of a wind-like demon, swooping low
through the woods toward the cabin.  CAMERA rips through the
cabin door and comes upon a SCREAMING Ash."|stage direction
18|ASH (V.O.)|"It got into my hand and it went
bad."|speech
19||6	  CLOSE ON ASH'S POSSESSED HAND							6|location
20||twisting into a claw, before the flashing thunder clouds.|stage direction
21|ASH (V.O.)|So I lopped it off at the wrist.|speech
22||7	  INT. CABIN - NIGHT									 7|location
23||ASH severs his hand from his wrist with the chainsaw.|stage direction
24||8	  BLOOD RED CLOUDS									   8|location
25||sweep past the moon.|stage direction
26|ASH (V.O.)|"In order to rid myself of the foul
thing, I read from a passage in
the book that was supposed to open
a hole.  A hole in Time that would
send the Evil back. And it worked."|speech
27||9	  A BANDAGED, ONE HANDED ASH							   9|location
28||recites the incantation from the Necronomicon.|stage direction
29||10	 EXT. CABIN - NIGHT									 10|location
30||"The Time vortex is created.  Trees and a 1973 Delta 88
Oldsmobile are sucked up into the funnel cloud."|stage direction
31|ASH (V.O.)|"...I just didn't plan on coming
along."|speech
32||11	 EXT. CABIN - NIGHT									 11|location
33||"Ash, now armed with shotgun and chainsaw, is swallowed by the
funnel-cloud of the Time vortex."|stage direction
34||12	 INT. TIME VORTEX									   12|location
35||"Ash is rocketing through a funnel of swirling clouds.  He is
swept away from us, hand over foot, through the dark void of
Time."|stage direction
36||13	 ANIMATION - A TENDRIL OF SMOKE						    13|location
37||"swirls through blackness as a chorus of women's voices build
to eerie crescendo, from a musical note to a SCREAM.  The smoke
swirls, pulls in upon itself, like a thing alive, and forms the
words:"|stage direction
38||The smoke is wisked away, then reforms as...|stage direction
39||The title billows past CAMERA REVEALING...|stage direction
40||14	 INT. TIME VORTEX									   14|location
41||"A GRANDFATHER CLOCK
its hands winding backwards at an insane rate, spins angrily
past, revealing other debris that has been swept up into this
funnel cloud. Tumbling weightless through this void we find..."|stage direction
42||15	 ASH												 15|location
43||"He SCREAMS but there is no sound. No scream. Only the steady
BEATING of his heart."|stage direction
44||16	 ANGLE ON ASH FRONT SCREEN PROJECTION					   16|location
45||"He shields his eyes from a sudden bright light.  The funnel
cloud electrifies."|stage direction
46||17	 ASH'S BODY										    17|location
47||RIPS at the fabric of Time.|stage direction
48||18	 EXT. CLOUDY SKY - DAY								   18|location
