|character|text|type
0||"THE AVENGERS
Written by
Joss Whedon"|unknown
1||"""And there came a day, a day unlike any other, when Earth's
mightiest heroes and heroines found themselves united against a
common threat. On that day, the Avengers were born--to fight the
foes no single superhero could withstand! Through the years,
their roster has prospered, changing many times, but their glory
has never been denied! Heed the call, then--for now, the Avengers
Assemble!""
BURNING BLUE FLAMES. A smoky cube shape emerges - THE TESSERACT.
Filling the screen with BLACKNESS."|stage direction
2||EXT. THRONE ROOM, SPACE ­ NIGHT|location
3||"Kneeling behind a THRONE, a CLOTHED, ARMORED FIGURE known as THE
OTHER, bows."|stage direction
4|CUT TO:|"THE OTHER (V.O.)
The Tesseract has awakened. It is on a
little world. A human world. They would
wield its power,..."|speech
5||"THE OTHER faces a HORNED SHAPED SHADOW. LOKI. Loki is handed the
CHITAURI SCEPTER, a long golden handle, fitted with a blue gem
encircled with silver blades."|stage direction
6|CUT TO:|"THE OTHER (V.O.)
But our ally knows its workings as they
never will. He is ready to lead. And
our force, our Chitauri, will follow."|speech
7||"HIGH WIDE ON: TENS OF THOUSANDS of CHITAURI stand ready in a
seething mass of neat rows and columns....the ground simply
QUAKES."|stage direction
8|CUT TO:|"THE OTHER (V.O.)
The world will be his. The universe
yours. And the humans, what can they do
but burn?"|speech
9||EXT. S.H.I.E.L.D. PROJECT P.E.G.A.S.U.S FACILITY ­ NIGHT|location
10||"Out in the NEW MEXICO desert, a remote research facility is in a
state of panic. It's an evacuation. A SWOOPING helicopter flies
in.
CHAOS. Men in suits run around like in the typical `we have to
leave' fashion. Soldiers on foot jump onto Humvees, accelerating
the hell out of there. A VOICE bellows from hidden loudspeakers."|stage direction
11||EXT. HELICOPTER PAD ­ CONTINUOUS|location
12||"Standing a few yards from the landing pad, A Fed in a suit with
badass shades, peers at the helicopter as it lands. This is
SHIELD AGENT PHIL COULSON.
Walking out of the helicopter is SHIELD AGENT MARIA HILL, SEXY,
FIERCE AND DETERMINED. Following her, SHIELD DIRECTOR NICK FURY
climbs out. Hill and Fury approach Agent Coulson."|stage direction
13|NICK FURY|How bad is it?|speech
14||AGENT PHIL COULSON|unknown
15|NICK FURY|That's the problem, sir. We don't know.|speech
16||INT. FACILITY FLOOR ­ NIGHT|location
17||"Agent Coulson leads Hill and Fury through the radiation section
of the facility. Hundreds of technicians and other staff run
around, taking only the essentials."|stage direction
18||AGENT PHIL COULSON|unknown
19|NICK FURY|"Dr. Selvig read an energy surge from
the Tesseract four hours ago."|speech
20|NICK FURY|"NASA didn't authorize Selvig to test
phase."|speech
21||AGENT PHIL COULSON|unknown
22|NICK FURY|"He wasn't testing it, he wasn't even in
the room. Spontaneous advancement."|speech
23||AGENT MARIA HILL|unknown
24|NICK FURY|It just turned itself on?|speech
25|NICK FURY|What are the energy levels now?|speech
26||AGENT PHIL COULSON|unknown
27|NICK FURY|"Climbing. When Selvig couldn't shut it
down, we ordered the evac."|speech
28|NICK FURY|"How long to get everyone out?
AGENT PHIL COULSON
Campus should be clear in the next half
hour."|speech
29|NICK FURY|Do better.|speech
30||CONTINUOUSLY HEADING DOWN TO RADIATION FACILITY FLOOR|stage direction
31||AGENT MARIA HILL|location
32|NICK FURY|Sir, evacuation may be futile.|speech
33|NICK FURY|"We should tell them to go back to
sleep?"|speech
34||AGENT MARIA HILL|location
35|NICK FURY|"If we can't control the Tesseract's
energy, there may not be a minimum safe
distance."|speech
36|NICK FURY|"I need you to make sure that PHASE 2
prototypes are shipped out."|speech
37|AGENT MARIA HILL|"Sir, is that really a priority right
now?"|speech
38|NICK FURY|"Until such time as the world ends, we
will act as though it intends to spin
on. Clear out the tech below. Every
piece of PHASE 2 on a truck and gone."|speech
39|AGENT MARIA HILL|"Yes, sir.
(to standing agents)
With me."|speech
40||INT. NASA SPACE RADIATION FACILITY, VACUUM CHAMBER ­ CONTINUOUS|location
41||"Fury enters the lab facility where the Tesseract is being held
by a COMPACT MUON SOLENOID COIL CHAMBER."|stage direction
42|NICK FURY|Talk to me, doctor.|speech
43||"DR. ERIK SELVIG emerges from behind the CMS machine, concerned.
The Tesseract is glowing unusually brighter and flare rings
shoot out at random."|stage direction
44|SELVIG|Director.|speech
45|NICK FURY|Is there anything we know for certain?|speech
46|SELVIG|Tesseract is misbehaving.|speech
47|NICK FURY|Is that supposed to be funny?|speech
48|SELVIG|"No, it's not funny at all. The
Tesseract is not only active,
she's...misbehaving."|speech
49|NICK FURY|How soon until you pull the plug?|speech
50|SELVIG|"She's an energy source. If we turn off
the power, she turns it back on. If she
reaches peak level..."|speech
51|NICK FURY|"We've prepared for this, doctor.
Harnessing energy from space."|speech
52|SELVIG|"We don't have the harness. Our
calculations are far from complete. Now
she's throwing off interference,
radiation. Nothing harmful, low levels
of gamma radiation."|speech
53|NICK FURY|That can be harmful. Where's Barton?|speech
54|SELVIG|The Hawk? Up in his nest, as usual.|speech
55||"We see CLINT BARTON, dressed in black tactical gear, is up on
the railings watching them below, Fury calls Barton on his
earpiece."|stage direction
56|NICK FURY|Agent Barton, report.|speech
57||"BARTON rappels down from the catwalk. Walks up to Fury. They
both walk around the facility in a discreet manner."|stage direction
58|NICK FURY|"I gave you this detail so you could
keep a close eye on things."|speech
59|CLINT BARTON|Well, I see better from a distance.|speech
60|NICK FURY|"Are you seeing anything that might set
this thing off?"|speech
61|"NASA SCIENTIST
(TO SELVIG)"|Doctor, it's spiking again.|speech
62|CLINT BARTON|"No one's come or gone. It's oven is
clean. No contacts, no I.M.'s. If there
was any tampering, sir, it wasn't at
this end."|speech
63|NICK FURY|At this end?|speech
64|CLINT BARTON|"Yeah, the cube is a doorway to the
other end of space, right? The doors
open from both sides."|speech
65||"DR. SELVIG clacks away at the keyboard and sees on the
monitoring his worst nightmares. Suddenly- the Tesseract
THUNDERS and SHAKES the entire facility. Big enough where both
Agents Hill and Coulson can feel and they're at different ends
of the facility.
The flaring rings and glow of the cube spout out brighter and
louder, like a boiling pot of water. The Tesseract's energy
builds up into a BEAM much like the Bifrost Bridge, which HITS
at the end of a platform that is wired to the CMS device. The
great maelstrom beam FIRES the TESSERACT energy. The beam then
forms a VORTEX, which then opens up a PORTAL.
A BLACK HOLE IS CREATED. From the portal, the blackness of
SPACE, beautiful and mysterious, strewn with a billion stars
appears and a GUST of BLUE ENERGY CLOUDS fill the room, blinding
everyone.
The Tesseract's energy forms into a cloud that reaches to the
top the facility's vacuum chamber ceiling. It's abnormally
quiet. Then... HEAVY BREATHING is heard from the platform.
SHIELD GUARDS slowly approach, weapons in hands. A figure is
kneeling on the platform, smoke coming off it. It's LOKI.
Smiling in his mischievous manner, he raises his head. The smile
dies down. He looks deep into the eyes of Fury, Barton and
Selvig. He stands up, holing the scepter."|stage direction
66|NICK FURY|Sir, please put down the spear!|speech
67||"Loki looks at his spear then suddenly points it at where Fury
and Barton are standing and SHOOTS OUT A BLUE EXPLODING LIGHT
TOWARDS THEM. BARTON TACKLES Fury and they both barely miss
Loki's fired shot.
ALL HELL BREAKS. Machine gun fire is shot at Loki, but the
bullets bounce off him like a boss. Loki jumps high from the
platform and ATTACKS those firing at him.
In the blink of an eye, Loki takes down several guards with his
KNIVES and ENERGY BLASTS from the scepter. He stops and waits to
see who will attack him next. Honestly, the whole lab has almost
gone to shit.
Barton tries to stand up. Loki quickly walks towards him. Barton
raises his gun, but Loki grabs Barton's hand."|stage direction
68|LOKI|You have heart.|speech
69||"Loki points the head of his spear at Barton's head. Barton's
eyes suddenly glow BLACK. The ability to control Barton's mind
is now in Loki's hand. Barton puts his piece away and stands
straight.
As Loki is busy using his abilities to control the minds of
several S.H.I.E.L.D. personnel, Fury takes the Tesseract,
placing it back into its case and tries to leave the lab.Then..."|stage direction
70|LOKI|Please don't. I still need that.|speech
71|"NICK FURY
(TURNING)"|This doesn't have to get any messier.|speech
72|LOKI|"Of course it does. I've come too far
for anything else. I am Loki of Asgard,
and I am burdened with glorious
purpose."|speech
73|SELVIG|Loki? Brother of Thor?|speech
74|NICK FURY|We have no quarrel with your people.|speech
75|LOKI|An ant has no quarrel with a boot.|speech
76|NICK FURY|You planning to step on us?|speech
77|LOKI|"I come with glad tidings, of a world
made free."|speech
78|NICK FURY|Free from what?|speech
79|LOKI|"Freedom. Freedom is life's great lie.
Once you accept that, in your heart..."|speech
80||"Like a gunslinger, Loki turns to face Selvig who's
standingbehind him and places his spear against Selvig's heart.
Selvig's eyes glow BLACK."|stage direction
81|LOKI|You will know peace.|speech
82|NICK FURY|"Yeah, you say peace, I kind of think
you mean the other thing."|speech
83||"From the vacuum chamber ceiling, Tesseract's energy cloud
RAPIDLY builds into what may be an implosion."|stage direction
84|CLINT BARTON|"Sir, Director Fury is stalling. This
place is about to blow. Drop a hundred
feet of rock on us. He means to bury
us."|speech
85|NICK FURY|Like The Pharaohs of Odin.|speech
86|SELVIG|"He's right. The portal is collapsing in
on itself. You got maybe two minutes
before this goes critical."|speech
87|LOKI|Well, then...|speech
88||"Loki, looking at Barton, who doesn't even hesitate, SHOOTS FURY
WHO FALLS TO THE GROUND. Barton grabs the case containing the
Tesseract and leaves the lab with Loki, Selvig and the other
S.H.I.E.L.D personnel Loki is controlling."|stage direction
89||INT. P.E.G.A.S.U.S BUNKER, ENTRANCE OF EXITING TUNNEL ­ NIGHT|location
90||"Loki, Barton, Selvig and the other S.H.I.E.L.D personnel are in
the parking lot of the facility, quickly gathering certain
weapons. Agent Hill watches in confusion, referring to Loki."|stage direction
91|CLINT BARTON|"(pointing to the Loki team)
Need these vehicles.
AGENT MARIA HILL
Who's that?"|speech
92|CLINT BARTON|He didn't tell me.|speech
