|character|text|type
0||Screenplay by Don Macpherson|unknown
1||1	BLUE SKY WITH CLOUDS|location
2||PAN DOWN to reveal:|stage direction
3||2	EXT - SALTFLATS - DAY|location
4||"A flat horizon, stretching to infinity.
A 360 degree pan reveals: nothing.  Deserted, no hiding places.  No animals, no
humans, no objects.  Except in mid distance --"|stage direction
5||3	RED PHONE BOX|location
6||"brightly painted, traditional, comforting, belongs in a village green.  Perfectly
ordinary -- except for its location.
Silence.  Only the wind over the plain.  Except --
The PHONE RINGS.
RING-RING ... a mellow, old-fashioned tone.  We wait for someone to answer it.  But
of course nothing and nobody for miles.  Except --"|stage direction
7||4	IN DISTANCE|location
8||"a CAR ENGINE ... A puff of smoke on the horizon ... VA-VA-VOOM of high geared
acceleration, as INTO VIEW
ZOOM! --"|stage direction
9||5	CAR|location
10||"speeding like a bullet.  Driven at maximum, breakneck speed, 125 mph.  A petite open
top '65 Lotus Elan, all streamlined curves, full throttle, it nears the phone box, and --
SCREECHES to a halt.
Dust clears, ENGINE NOISE FADES.  From the seat, hops --"|stage direction
11||6	KINKY BOOT|location
12||"in black leather.
Buckled.  Strap at ankle.  Crunching into the ground.
PAN UP TO:"|stage direction
13||7	BEAUTIFUL WOMAN|location
14||"late 20's.  In CLOSEUPS of -- Tight black leather catsuit.  A flash of auburn hair.
Black leather like a second skin.  Smoothed over legs, thighs.  Buckled at wrists, straps
at ankles, zips --
Pulled up over flesh.  This is EMMA PEEL, scientist.  Sexual, invulnerable, cool.  Very
cool.  She locks up at clouds in the sky.  Then steps across to the phone box.  Picks up
the phone."|stage direction
15|EMMA|How now brown cow ...|speech
16||(pause)|unknown
17|EMMA|"The rain in Spain falls mainly
on the plain ..."|speech
18||(pause)|unknown
19|EMMA|"The quick brown fox jumped over
the lazy --"|speech
20||From the receiver, an irritated official voice.|stage direction
21||(filtered)|unknown
22|VOICE (V.O.)|"Password affirmative. Thank you,
Doctor."|speech
23||"Emma puts down receiver.  Hangs a cardboard outside the phone box.  Then presses
button bakelite box.
A second's wait.  A coin from the slot.  Then a HUM as --"|stage direction
24||8	INSIDE PHONE BOX|location
25||"the floor lowers automatically.  Emma disappears.  Hanging outside the box, a notice
now reads ""Out of Order.""
Next to the call box we notice a sign: an arrow pointing into the desert:  ""London 84
miles."""|stage direction
26||9	INT.  LABORATORY|location
27||"underground.  Emma descends on the lift platform; steps into a research lab in retro hi
tech.  Walks past assistants, down long pink and orange steel corridors, Werner von
Braun goes disco.  Nears a door, marked:  ""Prospero Project -- Authorized Personnel
Only."" Logo with lightning emerging from a cloud."|stage direction
28||10      FROM AIRLOCK DOOR|location
29||"A man enters, older.  In matching leather suit: like an astronaut.  Early 40's, handsome,
charismatic, with swept-back silver-black hair.  His name tag: DR. PETER PEEL."|stage direction
30|PETER|Ready, darling?|speech
31||"Peter fixes her name tag: DR. EMMA PEEL; runs a finger down over her breast.  She
smiles."|stage direction
32|EMMA|Ready as I'll ever be ...|speech
33||Mutual erotic, intellectual attraction.  Peter takes her hand and they walk down:|stage direction
34||11      LONG CORRIDOR|location
35||"air-lock doors: a series of sealed chambers inside a hitech Labyrinth --
A man joins them.  A shyer, bespectacled, less handsome version of Peter.  On his name
tag: DR. VALENTINE PEEL -- brother and partner.
In b.g., a countdown starts, ECHOING thru the lab"|stage direction
