|character|text|type
0||"""BACKDRAFT""
Screenplay by
Gregory Widen
SHOOTING DRAFT"|unknown
1||INT. FIRE STATION 17 - STORAGE ROOM - 20 YRS. EARLIER|location
2||"Darkness. Then the GLINT of a flashlight. Its beam rocks
crazily to and fro across the inside of a small storage room
as we hear two children arguing."|stage direction
3|OLDER KID|You're doing it wrong.|speech
4|YOUNGER KID|Shut up.|speech
5|OLDER KID|You're doing it wrong.|speech
6||"It's hard, but we get a sense of the room in the whipping
beam of light. Huge, dark coats lined up like sides of beef
on steel batons. Bent, stained helmets hung like African
masks.
Beneath them BRIAN, 7, and STEPHEN, 12, are trying to struggle
into a pair of the ludicrously massive coats over their
pajamas."|stage direction
7|STEPHEN|It doesn't go like that.|speech
8|BRIAN|Who asked you?|speech
9|STEPHEN|"If you do it like that it'll open in
the fire. Then you'll get burned and
DIE."|speech
10||"The door suddenly opens, morning sunlight roaring in. It's a
fire station storage room full of fire gear. A fireman stands
in the doorway, tall, athletic, their father; DENNIS
McCAFFREY."|stage direction
11|DENNIS|Who's going to die?|speech
12|STEPHEN|"Brian. He's not doing it right, dad.
He never does it right."|speech
13||"(gestures for them to
come out)"|location
14|DENNIS|Well, let's have a look.|speech
15||INT. FIRE STATION 17 - DAY|location
16||"The two boys tromp out of the closet. The rubber turn-out
boots are as high as their thighs. The ends of the coats
drag on the floor. They salute, Brian's arm just an empty
sleeve. Dennis kneels down and re-fastens Brian's coat."|stage direction
17|DENNIS|"Your brother's right. If you don't
fasten these correctly they could
open and you'd get burned."|speech
18|STEPHEN|And DIE!|speech
19|BRIAN|"You wouldn't let me die, would you,
Dad?"|speech
20|DENNIS|"McCaffreys are smarter than fire,
Brian."|speech
21||"(playfully slaps their
shoulders)"|location
22|DENNIS|How 'bout lunch, huh?|speech
23|STEPHEN|Fireman shit?|speech
24|DENNIS|"Hey, what's with the mouth? Where'd
you grow up, a barn?"|speech
25|STEPHEN|Firehouse.|speech
26|DENNIS|Cute.|speech
27||"-- The station suddenly fills with the BELLOW of an ALARM
KLAXON."|stage direction
28||(sighs)|location
29|DENNIS|Never fails...|speech
30||A young fireman, ADCOX, appears with the dispatch card.|stage direction
31|DENNIS|Big deal?|speech
32|AXE|Medium deal.|speech
33|DENNIS|"Want to come along, Brian? Watch the
old man earn his keep?"|speech
34||(pissed)|location
35|STEPHEN|Dad!|speech
36|DENNIS|"You've come along a dozen times,
Stephen, give your brother a chance.
We'll be back in a few minutes."|speech
37||(to Brian)|location
38|DENNIS|How 'bout it, sport?|speech
39|BRIAN|Sure!|speech
40||"Dennis scoops Brian up and loads him into the fire engine
cab. The other three firemen climb aboard and take their
places."|stage direction
41||EXT. FIRE STATION 17 - DAY|location
42||"There's a cough of diesel, a crunch of gears, and the engine
is pulling out of the station."|stage direction
43|DENNIS|Hit the button, Brian.|speech
44||"Brian stamps his foot on the siren button. The red light
snaps on, the siren growls and blares, and they're off down
the street. Brian turns around in his seat and, at the last
instant before the corner, makes eye contact with his older
brother.
They stick their tongues out."|stage direction
45||EXT. CHICAGO STREET - DAY - 20 YRS. EARLIER|location
46||"The engine howls its way through the city. Brian, sandwiched
between his father and Adcox, looks out in wonderment at
intersections zipping past like picket fences, at people on
sidewalks holding hands over their ears, at the red emergency
lights bouncing crazily off shop windows."|stage direction
47||EXT. BUILDING - DAY - 20 YRS. EARLIER|location
48||"Lazy smoke curls out the second story of a commercial block.
Medium deal. The engine pulls up and the firemen are jumping
off like ship rats. Dennis opens his door, hops down, and
pauses just long enough to point a serious finger at his
son."|stage direction
49|DENNIS|Stay near the truck.|speech
50||(winks)|location
51|DENNIS|"And keep an eye out for us, huh?
We're short handed today."|speech
52||"Brian nods vigorously, taking the command seriously. Dennis
smiles and is off, dragging a hoseline with his crew toward
a doorway they disappear into. Brian climbs down from the
cab."|stage direction
53|ENGINEER|Don't stray too far, little man.|speech
54||"Brian smiles to the pumper operator. He just wants a better
look. And he gets it: Smoke turned evil and dark now, taking
on purpose."|stage direction
55||EXT. BUILDING - DAY - 20 YRS. EARLIER|location
56||"There's a level of apartments above the storefronts. As Brian
watches, a window opens and out steps his father and Adcox
onto a small fire escape. Their attention's on the next window
over, out of reach, wrapped in leaky smoke.
Suddenly Dennis climbs up onto the fire escape railing, armed
with only an axe, and JUMPS across to the next metal balcony.
A ballsy, dangerous move. He kicks in the window, breaks out
the frame with his axe, and dives in.
A beat later he reemerges on the balcony with a terrified,
smudged little girl. He hands the little girl over the railing
to a fireman now coming up the more traditional way -- a
ladder.
Dennis's face lifts and grins at Brian; dirty, bigger than
life, invincible. He winks a wink only possible between
fathers and sons and he's gone again, back into the swirling
darkness. As Brian stands there, full of love, full of pride,
he sees a piece of awning along the roofline crack; releasing
a sickly yellow tongue of flame that slinks over the roof.
The flame seems to pause, to stare at Brian a beat. Shhh,
don't tell anyone. Brian is transfixed, his little head
staring up in astonishment.
Nobody else has noticed it.
Brian can see his father and Adcox through the window;
probing, looking for the flame lurking just above. Brian
starts to call out in a small, hesitant voice,"|stage direction
57|BRIAN|Dad...|speech
58||"He tries to call louder... But suddenly everything is
happening very fast in slow motion:
-- Brian can see Adcox testing the ceiling with a pike pole
as Brian steps forward, under the power of a flame that
beckons him as --
Dennis suddenly THROWS his body against Adcox, knocking him
clear just as a flame EXPLODES DOWNWARD from the ceiling
fully against him as -- All the building's windows BLOW OUT
and it's like the sky's erupted for Brian, a burning hailstorm
that falls and pelts the ground around him. Plaster, wood,
and something metal that cracks against the pavement and
spins slowly.
A fire helmet.
And Adcox is coming out the door now, blackened and torn,
hopeless tears streaming down his face."|stage direction
59|AXE|"Get us some backup! We need some
goddamn backup!"|speech
60||"And, spotting Brian, he runs towards him. And the helmet
spins and spins and Adcox keeps running, and the sky is
raining fire, and the flame on the roof has risen up now to
its full, horrifying size and it's laughing now, laughing at
the little boy as the helmet finally stops spinning, and we
read the printing on the neck guard.
MCCAFFREY
And Adcox is sobbing and has his arms around the boy,
protecting him from the fire, the world, but it's like Brian
doesn't see him. He pulls away from Adcox, walks up to his
father's helmet, And puts it on.
The scene EXPLODES with a flash as a photographer captures
the instant."|stage direction
61||INT. SEEDY APARTMENT - DAY|location
62||Sequence omitted from original script.|stage direction
63||INT. BRIAN'S CAR - DAY|location
