|character|text|type
0||BATMAN|location
1||"Screenplay by
Sam Hamm
Based on the Character Created by
Bob Kane"|unknown
2||FIRST DRAFT|location
3||October 20, 1986|unknown
4||FADE IN:|stage direction
5||EXT. CITYSCAPE - NIGHT|location
6||"The place is Gotham City. The time, 1987 -- once removed.
The city of Tomorrow: stark angles, creeping shadows,
dense, crowded, airless, a random tangle of steel and
concrete, self-generating, almost subterranean in its
aspect... as if hell had erupted through the sidewalks and
kept on growing. A dangling fat moon shines overhead, ready
to burst."|stage direction
7||EXT. CATHEDRAL - NIGHT|location
8||"Amid the chrome and glass sits a dark and ornate Gothic
anomaly: old City Cathedral, once grand, now abandoned --
long since boarded up and scheduled for demolition.
On the rooftop far above us, STONE GARGOYLES gaze down from
their shadowy, windswept perches, keeping monstrous watch
over the distant streets below, sightless guardians of the
Gotham night.
One of them is moving."|stage direction
9||EXT. GOTHAM SQUARE - NIGHT|location
10||"The pulsing heart of downtown Gotham, a neon nightmare of
big-city corruption, almost surreal in its oppressiveness.
Hookers wave to drug dealers. Street hustlers slap high-
fives with three-card monte dealers. They all seem to"|stage direction
11||know|location
12||"each other... with one conspicuous exception:
A TOURIST FAMILY, Mom, Dad, and little Jimmy, staring
straight  ahead as they march in perfect lockstep down the
main drag. They've just come out of a bit show two blocks
over; the respectable theatre crowd has thinned out, and
now -- Playbills in hand -- they find themselves adrift in
the predatory traffic of Gotham's meanest street."|stage direction
13|MOM|"For God's sake, Harold, can we
please just get a"|speech
14||taxi|location
15|DAD|I'm|speech
16||trying|location
17||"to get a --
(shouting)"|unknown
18|DAD|TAXI!!|speech
19||"Three cabs streak pass and disappear. MOM grimaces in
frustration as LITTLE JIMMY consults a subway map."|stage direction
20|JIMMY|We're going the wrong way.|speech
21||"Nearby, STREET TYPES are beginning to snicker. DAD surveys
them nervously, gestures toward the subway map."|stage direction
22|DAD|"Put that away. We'll look like
tourists."|speech
23||"TWO COPS lean on their patrol car outside an all-night
souvlaki stand, sipping coffee and chatting with a HOOKER.
The HOOKER smiles at JIMMY.  JIMMY smiles back. MOM yanks
him off down the street and glowers at DAD."|stage direction
24|DAD (cont.)|"We'll never get a cab here. Let's
cut over to Seventh."|speech
25|JIMMY|Seventh is|speech
26||that|location
27||way.|unknown
28|DAD|I know where we are!|speech
29||EXT. SIDE STREET - THAT MOMENT - NIGHT|location
