|text|type
0|"BATTLE: LOS ANGELES
Written by
Chris Bertolini
05/14/09"|unknown
1|FADE IN:|stage direction
2|EXT. PICO BLVD. - GROUND-LEVEL - DAY|location
3|CUT TO:|stage direction
4|INT. 1ST SERGEANT'S OFFICE / CAMP PENDLETON - DAY|location
5|(MORE)|stage direction
6|(LAUGHS)|stage direction
7|CUT TO:|unknown
8|FIVE MARINES|stage direction
9|Camo uniforms, NIGHT VISION GOGGLES on, stare into the DARK.|location
10|EXT. OFFICER'S GOLF COURSE / CAMP PENDLETON - NIGHT|location
11|PVT. LENIHAN|location
12|EXT. GOLF COURSE - LATER|location
13|"ADUKWU
(THICK ACCENT)"|stage direction
14|GIRL #1|stage direction
15|GIRL #2|stage direction
16|(TO ADUKWU)|stage direction
17|GIRL #3|stage direction
18|GIRL #1|stage direction
19|INT. BEDROOM / OFF-BASE APARTMENT - SAN CLEMENTE - MORNING|location
20|"ANNA
(OBVIOUSLY PROUD)"|stage direction
21|EXT. DRIVEWAY / OFF-BASE APARTMENT - LATER|location
22|ANNA|stage direction
23|(SIMULTANEOUS)|stage direction
24|EXT. TRAINING COURSE - MORNING|location
25|sweating as they RUN HILLS in FULL GEAR in the blazing sun.|location
26|(TO LENIHAN)|stage direction
27|INT. FLOWER SHOP DAY|location
28|CHERISE|stage direction
29|STAVROU:|stage direction
30|"CHERISE
(CALLS OVER)"|stage direction
31|INT. CAMP PENDLETON / PSYCHIATRIST'S OFFICE - DAY|location
32|PSYCHIATRIST|stage direction
33|PSYCHIATRIST|stage direction
34|"PSYCHIATRIST
(STILL WRITING)"|stage direction
35|EXT. PACIFIC OCEAN - RED BEACH, CAMP PENDLETON|location
36|(SMILES)|stage direction
37|EXT. TRAINING COURSE - DAY|location
38|INT. HUMVEE - MINUTES LATER|location
39|EXT. CAMP PENDLETON - MINUTES LATER|location
40|INT. HUMVEE - SAME|location
41|INT. DORM ROOM - BACHELOR ENLISTED QUARTERS - SAME|location
42|INT. HALLWAY / BASE COMMAND BUILDING - MOMENTS LATER|location
43|INT. ARMORY - DAY|location
44|(TREPIDATION)|stage direction
45|INT. BRIEFING ROOM / CAMP PENDLETON - LATER|location
46|CAPTAIN|stage direction
47|CAPTAIN|stage direction
48|CAPTAIN|stage direction
49|INT. ARMORY - LATER|location
50|THE TELEVISION:|stage direction
51|I|stage direction
52|THE TV:|stage direction
53|THE MARINES|stage direction
54|TELEVISIONS|stage direction
55|INT. HALLWAY / COMMAND BUILDING|location
56|TELEVISIONS|stage direction
57|INT. BRIEFING ROOM / CAMP PENDLETON - SAME|location
58|A TELEVISION:|stage direction
59|EXT. CAMP PENDLETON AIR FIELD - MINUTES LATER|location
60|INT. CH-46 TRANSPORT HELICOPTER - LATER|location
61|INT. CH-46 TRANSPORT HELICOPTER - LATER|location
62|CUT TO:|stage direction
63|EXT. SANTA MONICA AIRPORT/FORWARD OPERATING BASE - LATER|location
64|CAPTAIN|stage direction
65|CAPTAIN|stage direction
66|CAPTAIN|stage direction
67|CAPTAIN|stage direction
68|CAPTAIN|stage direction
69|CAPTAIN|stage direction
70|CAPTAIN|stage direction
71|EXT. STREET - LATER|location
72|EXT. 10TH STREET - LATER|location
73|ADUKWU|stage direction
74|(QUIETLY)|stage direction
75|(PANICKED)|stage direction
76|(SHOUTS)|stage direction
77|(SHOUTS)|stage direction
78|EXT. BACK YARD OF DIFFERENT HOUSE - SAME|location
79|INT. HOUSE - SAME|location
80|(TURNS)|stage direction
81|INT. BACK YARD OF DIFFERENT HOUSE|location
82|INT. DARK GARAGE - CONTINUOUS|location
83|EXT. ALLEY - SAME|location
84|(INTO RADIO)|stage direction
85|INT. GARAGE - SAME|location
86|EXT. STREET - SAME|location
87|INT. GARAGE - SAME|location
88|EXT. BACK YARD OF HOUSE - CONTINUOUS|location
89|EXT. SIDE STREET - MOMENTS LATER|location
90|EXT. STREET - LATER|location
91|MARINE|stage direction
92|MARINE|stage direction
93|MARINE|stage direction
94|(ON RADIO)|stage direction
95|EXT. PARK - MOMENTS LATER|location
96|INT. LOBBY OF COMMUNITY CENTER - CONTINUOUS|location
97|MICHELE|stage direction
98|EXT. ATHLETIC FIELD|location
99|CREWMAN|stage direction
100|CREWMAN|stage direction
101|(SMILES)|stage direction
102|CREW CHIEF|stage direction
103|EXT. COMMUNITY CENTER - CONTINUOUS|location
104|INT. COMMUNITY CENTER LOBBY - CONTINUOUS|location
105|ADUKWU|stage direction
106|(BEAT)|stage direction
107|INT. COMMUNITY CENTER LOBBY - MINUTES LATER|location
108|AMY|stage direction
109|RINCON|stage direction
110|RINCON|stage direction
111|MICHELE|stage direction
112|MICHELE|stage direction
113|EXT. COMMUNITY CENTER / BACK DOOR - MOMENTS LATER|location
114|INT. COMMUNITY CENTER LOBBY - SAME|location
115|44|stage direction
116|HECTOR|stage direction
117|MICHELE|stage direction
118|MICHELE|stage direction
119|MICHELE|stage direction
120|EXT. COMMUNITY CENTER ROOFTOP|location
121|(INTO RADIO)|stage direction
122|INT. SIDE ROOM / COMMUNITY CENTER - LATER|location
123|MICHELE|stage direction
124|EXT. COMMUNITY CENTER ROOFTOP - MINUTES LATER|location
125|INT. EXT. COMMUNITY CENTER - SAME|location
126|"CPL. CORREGGIO (V.0.)
.you're clear down 11th Street."|location
127|EXT. COMMUNITY CENTER ROOFTOP - SAME|location
128|INT. SIDE ROOM - LATER|location
129|ADUKWU|stage direction
130|ADUKWU|stage direction
131|ADUKWU|stage direction
132|EXT. STREET - SAME|location
133|EXT. ROOF - SAME|location
134|(INTO RADIO)|stage direction
135|INT. COMMUNITY CENTER SIDE ROOM - SAME|location
136|INT. HALLWAY / COMMUNITY CENTER - SECONDS LATER|location
137|(LOW)|stage direction
138|INT. / EXT. BUS - SAME|location
139|INT. LOBBY - CONTINUOUS|location
140|INT. BUS - SAME|location
141|INT. COMMUNITY CENTER LOBBY - SAME|location
142|(SHOCKED)|stage direction
143|(TO STAVROU)|stage direction
144|EXT. BUS (MOVING) - SIDE STREETS, SANTA MONICA|location
145|INT. BUS -SAME|location
146|"COMMAND
(FROM RADIO)"|stage direction
147|REALIZING)|stage direction
148|KIRSTEN|stage direction
149|EXT. STREET - CONTINUOUS|location
150|INT. BUS (STOPPED) - CONTINUOUS|location
151|EXT. STREET - CONTINUOUS|location
152|INT. BUS - CONTINUOUS|location
153|"MICHELE
(WHISPERING)"|stage direction
154|EXT. STREET BY GAS STATION - CONTINUOUS|location
155|INT. BUS (STOPPED) - CONTINUOUS|location
156|EXT. STREET - CONTINUOUS|location
157|INT. BUS (STOPPED) - SAME|location
158|(TO MARTINEZ)|stage direction
159|EXT. STREET BY FREEWAY - MINUTES LATER|location
160|INT. BUS (MOVING) - 10 FREEWAY - SAME|location
161|(TO STAVROU)|stage direction
162|MICHELE|stage direction
163|MICHELE|stage direction
164|HECTOR|stage direction
165|EXT. BUS ROOF|location
166|EXT. 10 FREEWAY - SAME|location
167|EXT. OFF-RAMP - 10 FREEWAY|location
168|INT. / EXT. BUS - 10 FREEWAY|location
169|ADUKWU|stage direction
170|MICHELE|stage direction
171|RINCON|stage direction
172|RINCON|stage direction
173|RINCON|stage direction
174|EXT. BUS ROOF|location
175|EXT. BUS ROOF|location
176|EXT. FREEWAY BY BUS|location
177|(TO NANTZ)|stage direction
178|EXT. BUS|location
179|(TRANSMITTING)|stage direction
180|(TRANSMITTING)|stage direction
181|EXT. OFF-RAMP. LOWER STREET - CONTINUOUS|location
182|EXT. STREET - MOMENTS LATER|location
183|INT. BIG 5 SPORTING GOODS STORE - CONTINUOUS|location
184|RINCON|stage direction
185|HECTOR|stage direction
186|RINCON|stage direction
187|RINCON|stage direction
188|RINCON|stage direction
189|RINCON|stage direction
190|RINCON|stage direction
191|RINCON|stage direction
192|RINCON|stage direction
193|MICHELE|stage direction
194|HECTOR|stage direction
195|NANTZ|stage direction
196|(URGENTLY NOW)|stage direction
197|"HECTOR
(CRYING)"|stage direction
198|EXT. ALLEY - CONTINUOUS|location
199|(BEAT)|stage direction
200|EXT. STREET - LATER|location
201|EXT. STREET - LATER|location
202|MICHELE|stage direction
203|INT. DESERTED FIRE STATION - MOMENTS LATER|location
204|HECTOR|stage direction
205|(BEAT)|stage direction
206|(SMILES)|stage direction
207|HECTOR|stage direction
208|EXT. SANTA MONICA AIRPORT RUNWAY - MINUTES LATER|location
209|(TO STAVROU)|stage direction
210|(FOLLOWING)|stage direction
211|INT. FIRE STATION - SAME|location
212|MICHELE|stage direction
213|MICHELE|stage direction
214|"MICHELE
(SMILES)"|stage direction
215|ADUKWU|stage direction
216|MICHELE|stage direction
217|MICHELE|stage direction
218|ADUKWU|stage direction
219|MICHELE|stage direction
220|ADUKWU|stage direction
221|INT. CONTROL TOWER - MOMENTS LATER|location
222|INT. FIREHOUSE - LATER|location
223|"NANTZ
(TRANSMITTING)"|stage direction
224|EXT. CONTROL TOWER - SECONDS LATER|location
225|INT. LAV - CONTINUOUS|location
226|EXT. STREET, NEAR SANTA MONICA AIRPORT - LATE NIGHT|location
227|INT. LAV - CONTINUOUS|location
228|EXT. STREET - LATER - NIGHT|location
229|INT. LAV - SAME|location
230|SGT NANTZ|stage direction
231|(GRINNING)|stage direction
232|CREW CHIEF|stage direction
233|CREW CHIEF|stage direction
234|INT. EVAC HELICOPTER - CONTINUOUS|location
235|CREW CHIEF|stage direction
236|CREW CHIEF|stage direction
237|CREW CHIEF|stage direction
238|HECTOR|stage direction
239|EXT. BUILDING ROOFTOP - CONTINUOUS|location
240|(MORE)|stage direction
241|(BEAT)|stage direction
242|EXT. STREET - MOMENTS LATER|location
243|INT. LAV - CONTINUOUS|location
244|(CALLING OUT)|stage direction
245|EXT. STREET - LATER|location
246|EXT. STREET - CONTINUOUS|location
247|INT. SUBWAY ENTRANCE - MOMENTS LATER|location
248|(QUIETLY)|stage direction
249|(TO IMLAY)|stage direction
250|INT. UNDERGROUND SERVICE HALLWAY - CONTINUOUS|location
251|(WHISPERING)|stage direction
252|INT. DIFFERENT PART OF UNDERGROUND SERVICE TUNNEL|location
253|INT. SUBWAY PLATFORM - MOMENTS LATER|location
254|(TRANSMITTING)|stage direction
255|EXT. DOWNTOWN LOS ANGELES STREET - MOMENTS LATER|location
256|(TO HIMSELF)|stage direction
257|(SMILES)|stage direction
258|(SMILES BACK)|stage direction
259|CUT TO:|stage direction
260|INT. MEDEVAC HELICOPTER|location
261|MARINES|stage direction
262|(SMILES)|stage direction
263|NANTZ|stage direction
264|MARINES|stage direction
265|ALL|stage direction
