|character|text|type
0||"""THE BOURNE IDENTITY""
by
Tony Gilroy
Based on the novel
by
Robert Ludlum
PARIS DRAFT 9/20/00"|unknown
1||"DARKNESS. THE SOUND OF WIND AND SPRAY.
MUSIC. TITLES."|stage direction
2||EXT. OCEAN -- NIGHT|location
3||"The darkness is actually water. A SEARCHLIGHT arcs across
heavy ocean swells. Half-a-dozen flashlights -- weaker beams --
racing along what we can see is the deck of an aging FISHING
TRAWLER.
FISHERMEN struggling with a gaff -- something in the water --
A HUMAN CORPSE."|stage direction
4||EXT. FISHING BOAT DECK -- NIGHT|location
5||"THE BODY sprawled there. The Sailors all talking at once --
three languages going -- brave chatter to mask the presence
of death --"|stage direction
6|SAILOR #1|-- Jesus, look at him --|speech
7|SAILOR #2|"-- what? -- you never saw a dead man
before? --"|speech
8|SAILOR #3|-- look, look he was shot --|speech
9||(nudging the body --)|location
10|SAILOR #1|-- don't, don't do that --|speech
11|SAILOR #2|-- he's dead, you think he cares? --|speech
12|SAILOR #1|-- so have some respect -- it's a --|speech
13||(stopping as --)|location
14||"THE BODY MOVES! -- convulsing -- coughing up sea water --
the Sailors -- freaked -- jumping back -- standing there, as --
THE MAN begins to breathe."|stage direction
15||INT. FISHING BOAT BUNK ROOM -- NIGHT|location
16||"A wreck. Too small for all the people in here right now --
SAILORS sweeping off the table -- rough hands laying THE MAN
down --
THE CAPTAIN -- brutal and impatient -- watching from the
door as --
GIANCARLO tears through the clutter -- searching for a medical
kit buried in the shambles. GIANCARLO is sixty. A bloodshot
soul."|stage direction
17|GIANCARLO|"-- it's here -- hang on -- it's here
somewhere -- give me a minute -- get
some blankets -- get some blankets
on him --"|speech
18||(finding the kit --)|location
19|GIANCARLO|-- here we go -- here it is --|speech
20||GIANCARLO with an old trunk -- just getting it open, as --|stage direction
21|THE CAPTAIN|Giancarlo.|speech
22||(Giancarlo turns back --)|location
23|THE CAPTAIN|"We pick him up? Okay, we have to
pick him up. But that's as far as it
goes."|speech
24|GIANCARLO|He needs a doctor.|speech
25|CAPTAIN|"Fuck that. He lives? He dies? I don't
care. We've wasted two hours on this
shit already. You do what you can,
but we're not going back."|speech
26||(pure steel now)|location
27|CAPTAIN|You understand me?|speech
28|GIANCARLO|Yes, sir.|speech
29||(to the rest of them)|location
30|CAPTAIN|Let's get back to work!|speech
31||"GIANCARLO watching them run out. Snagging a quick pull on a
pint of rum he's got stashed and --"|stage direction
32||INT. FISHING BOAT BUNK ROOM -- DAWN -- TIME CUTS|location
