|character|text|type
0||"Written by
Michael Butler, Dennis Shryack, Mike Gray & John Mason
Story by
Michael Butler & Dennis Shryack
SHOOTING DRAFT
1985"|unknown
1||EXT. CHICAGO - NIGHT TO DAWN|location
2||"Thundering north through the glass canyons of the Loop, the
elevated train SCREECHES through the city awakening. As it
races north across the river past ancient factories giving
way to high rise splendor, lights glistening against the
dawn, we see the complex business of bringing a city to life
in the morning.
On the Near North Side an assortment of revelers are winding
up their night on the town.
The pressmen loiter outside the Tribune loading docks, and
fishing boats are outbound through the Chicago River locks.
A streetsweeping crew moves through the Fulton Market,
Chicago's central meat and produce distribution center.
At the Merchandise Mart platform the elevated train picks up
two old cleaning ladies wearing babushkas."|stage direction
3||EXT. ALLEY - DAY|location
4||"The el train RUMBLES north past the aging tenements of Uptown
into the Belmont Avenue Station.
And down below, a garbage truck is slowly working its way up
the alley. A garbage man in city overalls WHISTLES to the
driver and the truck stops. He rolls a can to the grinding
jaw as the driver sits, tense and alert, scanning the street.
There's something odd about this driver. And the garbage man
too, for that matter."|stage direction
5||EXT. EL PLATFORM - DAY|location
6||"SPIDER, a nervous looking black man, steps out onto the
platform. As the train pulls away we see him reach into his
shirt pocket and CLICKS his ball point pen a couple of times.
He WHISPERS into it. It is a concealed radio transmitter."|stage direction
7|SPIDER|"Say, hey, Cub fans, I hope to hell
y'all down there cause we got a big
game today."|speech
8||He heads for the stairs and the street below.|stage direction
9||INT. TRUCK CAB - DAY|location
10||"The truck cab is equipped with a police radio. The driver,
RICH DONATO, adjusts the volume. Over the SPEAKER, HEAVY
WITH STATIC, we can hear the SOUND of the RECEDING EL TRAIN."|stage direction
11||(from radio)|location
12|SPIDER (V.O.)|The school bus be waitin.|speech
13||Donato motions for the garbage man.|stage direction
14||EXT. ALLEY - DAY|location
15||"EDDIE CUSACK jumps up on the truck's running board and sticks
his head in. On the seat beside Donato is a sledgehammer and
a sawed off automatic rifle. The two men stare at each other
as they concentrate on the CRACKLING RADIO."|stage direction
16||(from radio)|location
17|SPIDER (V.O.)|S'happenin, Doc?|speech
18||(from radio)|location
19|DOC (V.O.)|"Hey, I got it all right here, my
man. Jus be waitin on you."|speech
20||(from radio)|location
21|SPIDER (V.O.)|We ain't got far to go.|speech
22||EXT. EL STATION - DAY|location
23||"DOC is at the wheel of a late model Cadillac. Spider gets in
and they pull slowly away from the curb."|stage direction
24||EXT. EL STATION - DAY|location
25||"At the corner in a beat up Pontiac are officers MUSIC and
BRENNAN. The two rough looking detectives follow Doc's car
through half closed eyes.
They also HEAR Spider's TRANSMITTER. The quality of the
reception improves as Spider and his antennae clear the steel
support structure of the el platform."|stage direction
26||(from radio)|location
27|DOC (V.O.)|"This early bird shit just ain't my
style."|speech
28||(from radio)|location
29|SPIDER (V.O.)|"Dig it. Too close to real work for
me."|speech
30||Doc and Spider talk in a nervous false bravado.|stage direction
31||EXT. ALLEY - DAY|location
32||Eddie nods to Donato who grabs a walkie-talkie from the seat.|stage direction
33||(to walkie-talkie)|location
34|DONATO|O.K. Home Team. Ready in the bullpen.|speech
35||(from radio)|location
36|MUSIC (V.O.)|"Copy Shortstop. Double play. We're
with him now."|speech
37||(from radio)|location
38|SPOTTER (V.O.)|Center's in.|speech
39||SILENCE. Eddie looks at Donato.|stage direction
40|EDDIE|Where's Cragie?|speech
41||EXT. CEMETERY - DAY|location
42||"Two cops are against the wall separating the cemetery from
the El. CRAGIE, a weathered twenty-five year veteran; and
NICK KOSALAS, the new kid on the team. Cragie sits on a crate
with a styrofoam cup of coffee.
Kosalas is trying to maneuver his cup lid off, and still
hold on to his walkie-talkie."|stage direction
43||(from radio)|location
44|DONATO (V.O.)|Talk to me left field.|speech
45||(to mike)|location
46|KOSALAS|Ready sir. Left Field in position.|speech
47||"Cragie pulls a pint of whiskey from his pocket and sweetens
his coffee with a healthy shot. He notices Kosalas, who has
set down the thermos and is nervously moving from leg to
leg."|stage direction
48|CRAGIE|"Have a shot, kid. A little nerve
tonic."|speech
49|KOSALAS|What's the matter with you?|speech
50||"Cragie grins and raises his cup to drink. His hand shakes
and he has to steady it with the other.
The RADIO CRACKLES."|stage direction
51||(from radio)|location
