|character|text|type
0||"COMMANDO
Written by
Richard Tuggle
FINAL
April 18, 1985"|unknown
1|"""COMMANDO"""|"BLACK SCREEN. One word explodes towards us with cold
brutality: COMMANDO. It FADES... leaves us in darkness.
And we HEAR a growing ROAR... a frightening RUMBLE."|speech
2||EXT. SUBURBAN CUL-DE-SAC - DAY 1|location
3|FADE IN|"TIGHT ON the churning compactor of a garbage truck.
The CAMERA PULLS BACK and we SEE the truck, battered
and olive-grey. A bored garbage man with a kerchief
over his mouth hangs on the back of the truck as it
moves along the street."|speech
4||INT. BEDROOM - CLOSE ON THE BED - DAY 2|location
5|FADE IN|"As LAWSON awakes with a start. He's late 30's, a little
worn. He shakes his WIFE."|speech
6|LAWSON|What's that?|speech
7|"WIFE
(BARELY AWAKE)"|Unnn...sounds like...|speech
8|(STIFLING YAWN)|.the garbage men.|speech
9|LAWSON|On Tuesday?|speech
10|"WIFE
(YAWNING)"|"Maybe they changed the
schedule...
Lawson listens to the noise as it APPROACHES, finally
throws his feet into his bedroom slippers."|speech
11|LAWSON|Shit.|speech
12||INT. LAWSON'S HOUSE - PANTRY 3|location
13|LAWSON|"He runs into the pantry, dragging several ungainly
plastic trash bags."|speech
14||EXT. LAWSON'S HOUSE - DAY 4|location
15|"A85
2"|"The truck SOUND is CLOSER now. We can SEE it at the
end of the long driveway.
Lawson flings the green plastic bags into two battered
and half-full metal cans, starts running down the
driveway."|speech
16|"LAWSON
(SHOUTING)"|"Wait a minute, wait a minute!
END OF DRIVEWAY - DAY 5"|speech
17||The truck stops at the bottom of the driveway. Lawson|stage direction
18|"LAWSON
(SHOUTING)"|stumbles his way towards it, smiles.|speech
19||LAWSON|location
20|"LAWSON
(SHOUTING)"|I was afraid you'd miss me --|speech
21|REVERSE ANGLE 6|"COOKE -- The man behind the truck -- pulls an Ingram
submachine gun INTO VIEW. At the same moment, the cab
of the garbage truck is kicked open and DIAZ, the
driver, leans out, similarly armed."|speech
22|COOKE|"Don't worry-we won't.
And they cut Lawson down, the bullets raking across his
body and the cans."|speech
23|LONG SHOT 7|"Lawson falls back, spread-eagled. The garbage cans,
pierced and leaking, roll TOWARD THE CAMERA, blocking
our view just as Cooke moves close to administer a
coup de grace."|speech
