|text|type
0|"THE CROW: CITY OF ANGELS
Written by"|unknown
1|David S Goyer & James O'Barr|location
2|EXT. LIMBO - DAY/NIGHT|location
3|EXT. DOCS, COMMERCIAL WATERFRONT - NIGHT|location
4|EXT. OCEAN DEPTHS - NIGHT|location
5|EXT. CITY OF ANGELS - NIGHT|location
6|INT. SARAH'S LOFT - NIGHT|location
7|INT. SARAH'S LOFT, SLEEPING AREA - NIGHT|location
8|EXT. DOCKS, COMMERCIAL WATERFRONT - NIGHT|location
9|INT. SARAH'S LOFT - NIGHT|location
10|EXT. SARAH'S LOFT, STREET - DUSK|location
11|EXT. GRAY GARGOYLE TATTOO SHOP - NIGHT|location
12|INT. GRAY GARGOYLE TATTOO SHOP - NIGHT|location
13|EXT. GRAY GARGOYLE, - NIGHT|location
14|INT. SARAH'S GALAXY - NIGHT|location
15|EXT. GRAY GARGOYLE, ALLEYWAY - NIGHT|location
16|EXT. CITYSCAPE - NIGHT|location
17|EXT. JUDAH'S TOWER, CAMPANILE - NIGHT|location
18|INT. JUDAH'S TOWER, CAMPANILE - NIGHT|location
19|INT. SARAH'S LOFT - NIGHT|location
20|EXT. UNDERWATER REALM - NIGHT|location
21|INT. SARAH'S LOFT - NIGHT|location
22|EXT. DOCKS, COMMERCIAL WATERFRONT - NIGHT|location
23|INT. ASHE'S GARAGE - NIGHT/DAY (MEMORIES)|location
24|EXT. RIVER STYX BRIDGE - NIGHT|location
25|EXT. UNDER WATER - NIGHT|location
26|EXT. DOCKS, COMMERCIAL WATERFRONT - NIGHT|location
27|EXT. UNDER WATER - NIGHT|location
28|EXT. DOCKS, COMMERCIAL DISTRICT - NIGHT|location
29|EXT. UNDER WATER - NIGHT|location
30|EXT. DOCKS COMMERCIAL WATERFRONT - NIGHT|location
31|EXT. DOCKS, COMMERCIAL WATERFRONT - NIGHT|location
32|EXT. DOCKS, COMMERCIAL WATERFRONT - NIGHT (PRESENT)|location
33|INT. SARAH'S LOFT - DUSK|location
34|EXT. DOCKS, COMMERCIAL WATERFRONT - NIGHT (FLASHBACK)|location
35|INT. SARAH'S LOFT - DUSK|location
36|EXT. SARAH'S LOFT - NIGHT|location
37|INT. SARAH'S LOFT - NIGHT|location
38|EXT. BRIDGE/GARAGE - NIGHT|location
39|INT. GARAGE - NIGHT|location
40|INT. GARAGE - NIGHT (FLASHBACK)|location
41|EXT. GARAGE - NIGHT (FLASHBACK)|location
42|EXT. DOCKS, COMMERCIAL WATERFRONT - NIGHT (FLASHBACK)|location
43|INT. GARAGE - NIGHT (PRESENT)|location
44|EXT. FREEWAY OVERPASS - NIGHT|location
45|INT. SPIDER MONKEY'S WAREHOUSE LAB - NIGHT|location
46|EXT. SPIDER MONKEY'S WAREHOUSE LAB - NIGHT|location
47|INT. GRAY GARGOYLE - NIGHT|location
48|EXT. SPIDER MONKEY'S WAREHOUSE LAB - NIGHT|location
49|INT. JUDAH'S TOWER, CAMPANILE - NIGHT|location
50|EXT. PEEP-O-RAMA PORN SHOP - NIGHT|location
51|INT. BUDDY BOOTH - NIGHT|location
52|INT. PEEP-O-RAMA BUDDY BOOTH - NIGHT|location
53|INT. PEEP-O-RAMA, HALLWAY - NIGHT|location
54|EXT. PEEP-O-RAMA - NIGHT|location
