|character|text|type
0||"Written by
Jonathan Nolan & Christopher Nolan
Story by
Christopher Nolan & David S. Goyer"|unknown
1||BLACK SCREEN.|stage direction
2|THE DARK KNIGHT RISES|"GORDON (V.O)
Harvey Dent was needed. He was
everything Gotham has been crying
out for. He was...a hero. Not the
hero we deserved - the hero we
needed. Nothing less than a knight,
shining..."|speech
3||"The sound of cracking. Splintering. A shape appears, in ice.
The shape of a BAT. The ice disintegrates..."|stage direction
4||EXT. GOTHAM STREET - DAY|location
5||Gordon stands before a massive picture of Harvey Dent.|stage direction
6|GORDON|"But I knew Harvey Dent. I was...his
friend. And it will be a very long
time before someone inspires us the
way he did."|speech
7||"Gordon, choked with emotion, gathers the papers of his
eulogy."|stage direction
8|GORDON|I believed in Harvey Dent.|speech
9||And we FADE TO BLACK.|stage direction
10||Racing along a cratered dirt road, and we are -|stage direction
11||INT. LAND CRUISER JOSTLING OVER UNEVEN TERRAIN - DAY|location
12||"Three Hooded Men guarded by East European Militia. A third
Militia drives. Next to him is a nervous, bespectacled man."|stage direction
13||EXT. AIRSTRIP, EASTERN EUROPE - DAY|location
14||"An airstrip overlooking a grey city rocked by artillery
fire. A bland CIA Operative, flanked by Special Forces Men,
stands in front of a commuter plane. CIA Man watches the
Land Cruiser pull up, hard. The Militia Men jump out of the
vehicle.
The Driver shoves the bespectacled man in front of the CIA
Man."|stage direction
15|CUT TO:|2.|speech
16|CIA MAN|Dr. Pavel, I'm CIA.|speech
17||"Dr. Pavel nods, nervous. CIA Man hands the Driver a
briefcase."|stage direction
18|DRIVER|He wasn't alone.|speech
19||"CIA Man, confused, spots the Hooded Men. He turns to Dr.
Pavel."|stage direction
20|CIA MAN|"You don't get to bring friends.
DR. PAVEL"|speech
21|(SHAKEN)|They are not my friends.|speech
22|DRIVER|Don't worry, no charge for them.|speech
23|CIA MAN|Why would I want them?|speech
24|DRIVER|"They were trying to grab your
prize. (Smiles.) They work for the
mercenary. The masked man."|speech
25|"CIA MAN
(EXCITED)"|Bane?|speech
26||The Driver nods. CIA Man turns to his Special Forces Men.|stage direction
27|CIA MAN|Get 'em on board - I'll call it in.|speech
28||EXT. SKIES OVER MOUNTAIN RANGE - DAY|location
29||The commuter plane struggles over snow-capped mountains.|stage direction
30||INT. MAIN CABIN, COMMUTER PLANE - CONTINUOUS|location
31||"The three Hooded Men kneel by the cargo door, handcuffed.
CIA Man grabs Hooded Man 1."|stage direction
32|CIA MAN|"What are you doing in the middle of
my operation?
3."|speech
33||Hooded Man 1 says nothing. CIA Man pulls out a handgun.|stage direction
34|CIA MAN|"The flight plan I just filed with
the Agency lists me, my men, and
Dr. Pavel here. But only one of
you."|speech
35||"CIA Man opens the cargo door. Special Forces hang Hooded Man
1 out into the howling wind - CIA Man shouts above the wind."|stage direction
36|CIA MAN|"FIRST ONE TO TALK GETS TO STAY ON
MY AIRCRAFT! (Cocks weapon.)
SO...WHO PAID YOU TO GRAB DR.
PAVEL?!"|speech
37||"Nothing. CIA Man fires out the open door and the Special
Forces yank Hooded Man 1 back in, clubbing him quiet."|stage direction
38|CIA MAN|"HE DIDN'T FLY SO GOOD! WHO WANTS TO
TRY NEXT?!"|speech
39||The Soldiers grab Hooded Man 2, hang him out the door.|stage direction
40|CIA MAN|"TELL ME ABOUT BANE! WHY DOES HE
WEAR THE MASK?!"|speech
41||"The prisoner says nothing. CIA Man presses the gun to the
man's hood - he cocks the gun...nothing."|stage direction
42|CIA MAN|"LOT OF LOYALTY FOR A HIRED GUN!
THIRD PRISONER (O.S.)
Or he's wondering why someone would
shoot a man before throwing him out
of an aeroplane."|speech
43||CIA Man turns to the Third Prisoner. Shuts the cargo door.|stage direction
44|CIA MAN|"Wiseguy, huh? At least you can
talk. Who are you?"|speech
45|THIRD PRISONER|"We are nothing. We are the dirt
beneath your feet. And no one cared
who I was until I put on the
mask..."|speech
46||"CIA Man, wary, approaches the Third Prisoner - pulls off his
hood, revealing a dark mask with a breathing apparatus. The
eyes behind it are cold. Still. This is Bane."|stage direction
47|THIRD PRISONER|4.|speech
48|BANE|"Who we are does not matter. What
matters is our plan."|speech
49|"CIA MAN
(FASCINATED)"|If I pull this off, will you die?|speech
50|BANE|It would be extremely painful.|speech
51|CIA MAN|You're a big guy -|speech
52|BANE|For you.|speech
53|"CIA MAN
(UNNERVED)"|Was being caught part of your plan?|speech
54|BANE|"Of course. Dr. Pavel refused our
offer in favor of yours. We had to
know what he told you about us.
DR. PAVEL
Nothing! I said nothing!"|speech
55|CIA MAN|Why not just ask him?|speech
56|BANE|He would not have told us.|speech
57|CIA MAN|You have methods.|speech
58|BANE|"Him, I need healthy. You present no
such problem."|speech
59||"CIA Man laughs for the Special Forces' benefit. A heavy bass
tone is rising. The Sergeant looks out the window."|stage direction
60||EXT. SKIES OVER MOUNTAIN RANGE - CONTINUOUS|location
61||"The commuter plane is dwarfed by a massive transport plane
looming over it, dangerously close..."|stage direction
62|BANE|5.|speech
63||INT. MAIN CABIN, COMMUTER PLANE - CONTINUOUS|location
64||The plane lurches. The noise is building.|stage direction
65|SERGEANT|Sir?|speech
66|CIA MAN|"Well congratulations, you got
yourselves caught. What's the next
step of your master plan?"|speech
67|BANE|Crashing this plane...|speech
68||EXT. MOUNTAINS - CONTINUOUS|location
69||"The ramp of the transport opens... Four men leap out on
tethers - dropping towards the commuter plane, two each
side..."|stage direction
70||INT. MAIN CABIN, COMMUTER PLANE - CONTINUOUS|location
71||"The Spacial Forces react to the turbulence from the plane
above. CIA Man looks at Bane."|stage direction
72|"BANE
(RISING)"|With no survivors.|speech
73||"A Special Forces soldier spins around - an Armed Man is
outside the window. Bang -"|stage direction
74||EXT. SKIES OVER MOUNTAIN RANGE - CONTINUOUS|location
75||"Two men shoot through the windows, the other two attach
grapples to the fuselage - give the thumbs up - hoists start
to pull and the tail of the commuter plane is lifted,
unnaturally."|stage direction
76||INT. COCKPIT, COMMUTER PLANE - CONTINUOUS|location
77||The Pilots battle the controls as the plane tilts forward.|stage direction
78|"BANE
(RISING)"|6.|speech
79||INT. MAIN CABIN, COMMUTER PLANE - CONTINUOUS|location
80||"Like lightning, Bane has the CIA Man is his handcuffed arms,
legs wrapped around a seat back, The entire cabin upends.
Tumbling chaos - Soldiers falling - Bane cracks CIA Man's
neck and drops him onto the Sergeant - they tumble down the
plane, smashing into the cockpit door with a terminal thud.
Dr. Pavel, strapped in, pushes against the seat in front of
him - the plane vibrates, trying to tear itself apart."|stage direction
81||EXT. ATLAS MOUNTAINS - CONTINUOUS|location
82||"The men climb the tail of the smaller plane as it dangles
helplessly above the mountains. Its wings shear off."|stage direction
83||INT. MAIN CABIN, COMMUTER PLANE - CONTINUOUS|location
84||"Bane breaks his handcuffs as if they were plastic, then
opens his legs and drops down the cabin, somersaulting
gracefully and using his arms to stop himself halfway down,
by Dr. Pavel."|stage direction
85||EXT. SKIES OVER MOUNTAIN RANGE - CONTINUOUS|location
86||"The men attach explosives to the tail, then jump away,
swinging out as the tail explodes."|stage direction
87||INT. MAIN CABIN, COMMUTER PLANE - CONTINUOUS|location
88||"An explosion takes off the rear door of the cabin - the
Armed Men drop through the smoke on cables.
A body bag is lowered into the cabin. Bane lies it on the
seat backs next to Dr. Pavel and unzips it to reveal a body
the same age and build as Dr. Pavel.
Bane rips Dr. Pavel's sleeve - pulls out a length of
surgical tubing - pushes a needle into Dr. Pavel's arm -
runs the tube to the body's arm... Dr. Pavel watches,
horrified, as Bane starts compressions on the body's chest,
drawing Dr. Pavel's blood across the tube and into the
body...
An Armed Man pulls Hooded Man 1 up through the cabin and
out. Bane stops Hooded Man 2."|stage direction
89|"BANE
(RISING)"|7.|speech
90|BANE|"Friend. They expect one of us in
the wreckage."|speech
91||The man nods, unhooks himself, takes Bane's arm.|stage direction
92|HOODED MAN 2|Have we started the fire?|speech
93|"BANE
(NODS)"|The fire rises.|speech
94||"Hooded Man 2 hands Bane his line. Bane clips it around Dr.
Pavel, takes out a knife and cuts Dr. Pavel's seat belt. Dr.
Pavel panics, flails. Bane takes his arms. Gentle."|stage direction
95|BANE|"Calm, Doctor. Now is not time for
fear..."|speech
96||"Bane slides Dr. Pavel out of his seat. They hang in the
vertical, windblown cabin. Bane takes out a detonator."|stage direction
97|BANE|That comes later.|speech
98||"Bane presses the detonator - the cabin drops from around
them, revealing the terrifying drop to the peaks below. Dr.
Pavel screams as they are hoisted up towards the transport,
and we -"|stage direction
99||EXT. GOTHAM - EVENING|location
100||Drifting over the vast city...|stage direction
101|CUT TO:|"MAYOR (V.O.)
Harvey Dent Day may not be our
oldest public holiday..."|speech
102||...moving past the enormous Gotham Bridge...|stage direction
103|CUT TO:|"MAYOR (V.O.)
But we're here tonight because it's
one of the most important..."|speech
104||...over the Gotham river to the Palisades on the far side...|stage direction
105|CUT TO:|"8.
MAYOR (V.O.)
Harvey Dent's uncompromising stand
against organized crime and, yes,
ultimately, his sacrifice, have
made Gotham a safer place than it
was at the time of his death, eight
years ago..."|speech
106||"...finding a party in the grounds of Wayne Manor. The Mayor
addresses the wealthy and powerful of Gotham."|stage direction
107|MAYOR|"This city has seen a historic
turnaround. No city is without
crime. But this city is without
organized crime because the Dent
Act gave law enforcement teeth in
its fight against the mob. Now
people are talking about repealing
the Dent Act. And to them I
say...not on my watch."|speech
108||Enthusiastic applause as the Mayor wraps up.|stage direction
109|MAYOR|"I want to thank the Wayne
Foundation for hosting this event.
I'm told Mr. Wayne couldn't be here
tonight, but I'm sure he's with us
in spirit..."|speech
110||High above, on a darkened balcony, a lone figure. Watching.|stage direction
111|MAYOR|"MAYOR (O.S)
Now I'm going to give way to an
important voice..."|speech
112||"Down below at the bar, Commissioner Gordon examines some
sheets of densely written paper. A Congressman muscles in."|stage direction
113|CONGRESSMAN|Commissioner.|speech
114|GORDON|Congressman.|speech
115|CONGRESSMAN|"Ever lay eyes on Wayne at one of
these things?"|speech
116||"Gordon shakes his head. Gordon's Deputy Commissioner, Foley,
cuts in."|stage direction
117|CONGRESSMAN|9.|speech
118|FOLEY|"No one has. Not in years.
MAYOR (O.S)
He can tell you about the bad old
days, when the criminals and
corrupt ran this town with such a
tight grasp that people put their
faith in a murderous thug in a mask
and a cape. A thug who showed his
true nature when he betrayed the
trust of this great man - (Turns to
picture of Dent.) And murdered him
in cold blood."|speech
119||"The Congressman watches a tray of canapés breeze past, then
grabs the ass of the maid carrying them. She freezes."|stage direction
120|CONGRESSMAN|"Sweetheart, not so fast with the
chow."|speech
121|MAID|"(turns, tight smile)
Shrimp balls?"|speech
122||"The Congressman grabs two. The Maid moves off. The
Congressman glances down at Gordon's papers."|stage direction
123|MAID|"MAYOR (O.S)
Jim Gordon can tell you the truth
about Harvey Dent..."|speech
124|CONGRESSMAN|"Jesus, Gordon, is that your speech?
We're gonna be here all night."|speech
125|GORDON|"Maybe the truth about Harvey isn't
so simple, Congressman.
MAYOR (O.S)
But I'll let him tell you himself -
Commissioner Gordon?"|speech
126||"Applause. Gordon approaches the mike. Looks down at his long
speech. Thinks."|stage direction
127|GORDON|The truth...?|speech
128||"INSERT CUT: Harvey Dent, face half destroyed, threatens
Gordon's son with a handgun."|stage direction
129|GORDON|10.|speech
130||Gordon surveys the audience. Deciding.|stage direction
131|GORDON|"I have written a speech telling the
truth about Harvey Dent..."|speech
132||Gordon folds up his speech.|stage direction
133|GORDON|Maybe the time isn't right...|speech
134||"Gordon stuffs the papers inside his jacket. The Congressman
mutters under his breath."|stage direction
135|CONGRESSMAN|Thank Christ for that...|speech
136|GORDON|"Maybe right now all you need to
know is that there are a thousand
inmates in Blackgate Prison as a
direct result of the Dent Act.
These are violent criminals,
essential cogs in the organized
crime machine that terrorized
Gotham for so long. Maybe, for now,
all I should say about Harvey
Dent's death is this...it has not
been for nothing."|speech
137||"The figure on the balcony turns back into the mansion.
People clap as Gordon leaves the mike. Gordon approaches
Foley."|stage direction
138|GORDON|The second shift reports in?|speech
139|FOLEY|"On your desk. But you should put in
some more time with the Mayor -"|speech
140|GORDON|That's your department.|speech
141||Gordon heads for the line of town cars in the gravel drive.|stage direction
142|CONGRESSMAN|Anyone shown him the crime stats?|speech
143|FOLEY|"He goes by his gut, and it
continues to bother him, whatever
the numbers."|speech
144|CONGRESSMAN|"Must be popular with the wife.
11."|speech
145|FOLEY|"Not really. She took the kids and
moved to Cleveland."|speech
146|CONGRESSMAN|"He'll have plenty of time for
visits. Mayor's dumping him in the
spring."|speech
147|FOLEY|Really? He's a hero.|speech
148|CONGRESSMAN|"War hero. This is peacetime. Stay
smart, the job's yours."|speech
149||INT. KITCHENS, WAYNE MANOR - MOMENTS LATER|location
150||"Our Maid dives into the bustle of Wayne Manor below stairs -
Caterers and Maids, Wait Staff. She overhears another Maid."|stage direction
151|MAID 2|"They say he never leaves the East
Wing."|speech
152|MAID 3|"I heard he had an accident - that
he's disfigured."|speech
153||"The other Maids signal her to be quiet. All the chatter has
died. Alfred has entered the kitchen."|stage direction
154|ALFRED|"Mr. Till, why are your people using
the main stairs?"|speech
155||"Alfred places a glass of water on a tray next to a covered
plate. Picks up the tray, looks around the chaotic kitchen."|stage direction
156|ALFRED|Where's Mrs. Bolton?|speech
157|MAID|"She's up at the bar, sir. Can I
help?"|speech
158||Alfred looks at the Maid. Hands her a key and the tray.|stage direction
159|ALFRED|"The East drawing room. Unlock the
door, place the tray on the table,
lock the door again. Nothing more.
12."|speech
160||The Maid nods. Takes the tray.|stage direction
161||INT. HALL, WAYNE MANOR - MOMENTS LATER|location
