|character|text|type
0||"DARKMAN
Written by"|unknown
1|unknown|Joshua & Daniel Goldin, Sam & Ivan Raimi and Chuck Pfarrer|speech
2||February 1989|unknown
3||INT. PIER BUILDING - DAY|location
4|unknown|"BANG!!
A shock chord as we cut from black to a harshly toplit"|speech
5|CLOSE SHOT:|"A man is talking into a cellular phone. He is a paunchy
but powerful looking black man, bald with a gray fringe.
His baldness makes his head look muscular; he is a tough
man whose life has been shaped by the violence of the docks.
His name is EDDIE BLACK.
In the distance a foghorn moans.
We are pulling back."|speech
6|BLACK|"Yeah. .'Cause he's an asshole. Tell
him no... Tell him no too... Him, tell
fuck you... Yeah... Uh huh...
The continuing pull back shows that we are inside a huge
empty pier building. Black is leaning against the roof of
his car, which is parked in the middle of the vast empty
space.
The room is lit by bare bulbs, its farthest reaches
falling into darkness."|speech
7|BLACK|"No, I'll be a few minutes here. Guy
comin' up, thinks he's gonna muscle me
outs my property... Does it matter?
Just another tough guy...Yeah, okay...
Another hard-looking man is approaching."|speech
8|CONTINUED|2.|speech
9|"1 CONTINUED
MAN"|"They're drivin' up.
Black nods."|speech
10|BLACK|"Get their pieces. We got a surprise
for those fuckers."|speech
11|2|"2 EXT WHARF - DAY
We are tracking towards a chain link fence which is
swinging open to admit two midnight blue Lincoln
Continentals.
The cars stop in the foreground and eight men get out,
eerily backlit in the mist of the riverfront."|speech
12|3|"3 SLOW TRACKING - ROBERT G. DURANT
is a well-dressed and immaculately groomed man of forty."|speech
13|4|"4 SLOW TRACKING - RUDY GUZMAN
wears a powder blue, polyester leisure suit. His nose has
been broken several times from his years in the Mexican
boxing league. He was almost a contender."|speech
14|5|"5 SLOW TRACKING - SKIP NATICK
walks with a pronounced limp."|speech
15|6|"6 SLOW TRACKING - TRUMAYNE JOHNSON MC SAM
is a large black man with a quiet, studied cool."|speech
16|7|"7 SLOW TRACKING - RICK
is a wiry twenty-year old who looks about in short, jerky
motions. He huddles in behind the others. He is
stylishly dressed, with slicked back, black hair. His
protruding Adams apple bobs as he swallows.
3.
B SLOW TRACKING - SMILEY 8
wears a permanent psychotic smile.
9 SLOW TRACKING - PAULY 9
is middle-aged and balding. His spare tire hangs over the
edge of his suit pants. He subdues a belch. He raises a
bottle of Maalox and slugs down fifty cents worth. A ring
of white chalky fluid coats his lips.
10 SLOW TRACKING - CORKY CORCORAN 10
has a thatch of blond hair, he spits out tobacco juice
between his wide spaced front teeth.
11 They are approached by a group of fifteen dock workers, 11
Black's men, with massive shoulders and grain-sack bellies.
Looks like they just got off their shift and now they're
ready to kick some ass."|speech
17|DOCK WORKER|"Okay, against the car, ladies. You're
c gonna stand for a search.
12 The eight visitors assume the position, placing their 12
hands on the roof of their car. The dock workers pat them
down and haul off iron -- lots of it."|speech
18|DOCK WORKER #2|Bunch a cuties.|speech
19|DOCK WORKER #3|"Put skirts on 'em, I'd marry one.
From the other Dock Workers, hearty male laughter. The
visitors bare up in silence.
13 INT PIER BUILDING -- NIGHT 13
As the visitors are led in, into the beams of the car
headlights, escorted by the dock workers. The Dock
Workers take up positions around Durant and his men.
4."|speech
20|"14
14 BLACK"|stands waiting for them. He eyes Skip, the limper.|speech
21|BLACK|Bum leg?|speech
22|SKIP|No leg.|speech
23|"BLACK
(CONVERSATIONALLY)"|"I was engaged to a girl with a wooden
leg once.
Skip brightens."|speech
24|"SKIP
(INTERESTED)"|Yeah? What happened?|speech
25||I hadda break it off.|stage direction
26||15|location
27|BLACK|"15 The dock workers laugh. Black indulges his wens'
laughter, then cuts"|speech
28|BLACK|"okay, let's cut the crap here.
Durant, I got just three things to say
to you. One
He holds up a chubby finger."|speech
29|BLACK|"I ain't selling my property.
He flashes a second finger."|speech
30|BLACK|"Two. Nobody muscles Eddie Black
Especially a bunch of fucks.
He flashes a third finger."|speech
31|"BLACK
PPY"|"Number three, if you guys is unha
with that, which I can already
is, then we can cutcha balls of f
if that'll be more satisfactory.
6."|speech
32|"19
19 CONTINUED"|"The last shot echoes away to leave silence -- except for
the arhythmic echoing scuffle of Skip's one shoe, as he
continues to hop in place for balance.
Smiley, after a watchful pause to make sure everyone is
dead, sticks out his left arm at waist level.
Skip grabs the arm for support, stops hopping, and there
is now...total silence.
ROBERT G. DURANT
the elegantly suited leader, takes out a cigar and a
gold-plated cigar trimmer. SNIP--he trims the and of
the cigar, and sticks it in his mouth.
As he walks towards the dumbly apprehensive Black:"|speech
33|DURANT|"Now let's consider my points, one by
one..."|speech
34|GUZMAN|"puts a full nelson on Black. Trumayne, grabs Black's
right hand and holds it out, fingers splayed, towards
Durant."|speech
35||DURANT|location
36|GUZMAN|One...|speech
37||He slips one of Black's fingers into his cigar trimmer.|stage direction
38||DURANT|location
39|GUZMAN|".1 try not to let my anger get the
better of me.
SNIP! Black screams. As Durant goes for another finger:"|speech
40|DURANT|"...Two: I don't always succeed.
SNIP! Black screams. Reaching for another finger:"|speech
41|DURANT|"...Three: I've got seven more points.
7."|speech
42|20|2 0 EXT WHARF - DAY - LONG SHOT|speech
43||"Looking down on the lonely waterfront building, we hear
Black's screams."|stage direction
44||"CUT TO:
21 -"|location
45|20|"21 INT WESTLAKE LAB - DAY - AN ENORMOUS EYE
Making jerky little movements this way and that.
EYE'S POV: AN ENORMOUS NOSE
We pull focus through the nose, then back to sharp focus
again. The nose fills the screen, every pore a cavern,
every blemish a mountain."|speech
46|EYE|Blinking.|speech
47|NOSE|The nostrils flare slightly.|speech
48|EYE|Looking.|speech
49|NOSE|"Still. Suddenly it is hit by a flash of light as -- B-
DEEEE -- we hear the automatic wind of a camera and its
strobe recharging.
B-DEEEEE! B-DEEEE! We get rapid-fire left and right
nose profiles."|speech
50||"We are in a lab. DR. PEYTON WESTLAKE, an earnest
scientist in his early thirties, is straightening up from
behind a futuristic looking, tripod-mounted camera. He front the camera and instantly
hits a button nt of ut.
thenfro eof o"|stage direction
51||"THREE PRINTS
CONTINUED"|location
52|"22
22 WIDER"|S.|speech
53|22 CONTINUED 22|"The nose belongs to YAKITITO YANAGITA a Japanese graduate'
student wearing a lab smock and glasses with thick, coke
bottle lenses."|speech
54|PEYTON|"Now, if everything goes according to
plan, in a couple of months your nose
will be on the lips of every
American...
He is feeding the prints into the input slot of a
computer.
22P ON THE COMPUTER SCREEN: 22P
The nose is broken down into thousands of points. As each
point of the nose is removed from the screen, a number is
assigned."|speech
55|"23 PEYTON 23
PEYTON"|"We've finally got the Imager working
how we want it.
24 We pan to the Holographic Imaging Cylinder. The glass 24
cylinder, wired to the computer, glows to life.
24P A three dimensional holographic image of Yakatito's nose 24P
rotates within.
25 Peyton glances from the Imager to the computer. He types 25
on the computer keyboard."|speech
56|PEYTON|"Bio-press checks out okay...
He glances to..."|speech
57|26 THE BIO-PRESS 26|"As it hums to life. It is a box containing linear rows of
densely packed pins. Tiny servo-motors beneath the pins
allow each pin to rise or fall individually, per computer
command. A smooth synthetic substance is being sprayed
evenly atop the surface of the pins. The sprays halts; the
wet substance glistens. The densely packed pins rise to
programmed heights, molding the solidifying synthetic
substance into an exact replica of Yakatito's nose.
9."|speech
58|"27
YAKITITO
27"|No more bunching. Looks perfect.|speech
59|PEYTON|"I don't know about perfect, but it
looks like your nose. Down to the
millimole... No, the bio-press won't
be a problem. It's the synthetic"|speech
60|WOULD|skin's instability. If the|speech
61||A SKINU|location
62|WOULD|"just hold up -- Y give me
victim and a photograph of his old
face -- he'll get more than a nose.
We're talking complete reconstruction"|speech
63|MAYBE EVEN|"damaged skin tissue.
make him better looking. Hey, what's
the time?"|speech
64|YAKITITO|fumbles for the stopwatch that hangs around his neck.|speech
65|YAKITITO|Ninety-eight minute and change.|speech
66|PEYTON|Let's check in our friends.|speech
67|PEYTON|moves to a microscope.|speech
68|27P|"27P MICROSCOPE P.O.V.
Cells swimming in an agar-protoplasm bath."|speech
