|character|text|type
0||"DEEP COVER
Written by"|unknown
1||Michael Tolkin and Henry Bean|location
2||"Story by
Michael Tolkin
SHOOTING DRAFT"|unknown
3||EXT. CLEVELAND STREET - NIGHT (1970)|location
4||"Rain. Christmas lights. A rusted out '56 Lincoln rattles
down the bleak boulevard. In it: JOE STEVENS, an angry, black
man in his late 20's, beside him his 10-year-old son, JOE
JR.
Joe Jr. stares out the window at passing: boarded buildings,
whores with raincoats over their heads trying to flag down a
john, a black Santa, a knot of drinkers. Breaking the silence:"|stage direction
5|JOE STEVENS|Your mother okay?|speech
6|JOE JR.|Yes, sir.|speech
7||"They stop at a light. Joe Stevens tries to furtively snort a
little something. He spots Joe Jr. watching."|stage direction
8||(firm, without irony)|location
9|JOE STEVENS|"Don't you do this shit, boy. Don't
you ever fuckin' touch it, you hear
me?"|speech
10||Joe Jr. stares, silent; Joe Jr.'s about to hit him.|stage direction
11||(continuing)|location
12|JOE STEVENS|You hear me, goddam it?|speech
13||"The boy nods. Satisfied, Joe Sr. draws in the stuff. It makes
him feel good, strong, worried and determined all at once."|stage direction
14||"(continuing; charged
up)"|location
15|JOE STEVENS|What do you want for Christmas?|speech
16|JOE JR.|I don't know.|speech
17||"(light changes; he
accelerates)"|location
18|JOE STEVENS|"You don't know?? You gotta know what
you want, boy, if you ever expect to
get it."|speech
19||"A sudden charm to his bravado. Joe Jr. smiles uncertainly.
Joe Sr. grins back, pulls up in front of a liquor store."|stage direction
20||(continuing)|location
21|JOE STEVENS|Wait here. This won't take a minute.|speech
22||"Joe Jr. doesn't notice or doesn't remark that his father,
just before entering the store, draws a handgun from beneath
his coat.
The boy gazes dreamily at the street. The lunatic Black Santa
marches by, ranting to himself (""Then the white man say..."").
The RAIN HAMMERS on the roof and windshield. Joe Jr. breathes
on the glass, fogging the scene.
From the store: MUFFLED GUNFIRE.
Joe Jr. looks that way. Another GUNSHOT, then:
His father comes out the door clutching money in one hand.
He strides toward the car with a reckless pride. He doesn't
notice:
The liquor store door opens behind him.
A SHOTGUN BLAST. Joe Stevens' guts splatter onto the car
windshield. A look of terrible amazement; he sinks to his
knees."|stage direction
23|JOE JR.|Daddy!!|speech
24||"He jumps from the car, kneels by his father.
The STORE OWNER (47, Slavic) drags the gun toward them,
bleeding profusely."|stage direction
25||"(enraged, almost to
tears)"|location
26|STORE OWNER|Fuckin' niggers... fuckin' niggers...|speech
27||"JOE STEVENS
looks at the money in his hand: two 20's, two 5's."|stage direction
28|JOE STEVENS|Fifty bucks... fifty goddam bucks.|speech
29||(looks up at his son)|location
30|JOE STEVENS|I'm sorry...|speech
31||"He stuffs the blood-soaked bills in the boy's shirt pocket
and dies. Joe Jr. looks up at...
THE STORE OWNER
Bloody, nearly unconscious, he aims the shotgun at the boy
who is too frightened to move."|stage direction
32|JOE JR.|Please, Mister...|speech
