|character|text|type
0||"""DRAGONSLAYER""
Screenplay by
Hal Barwood and Matthew Robbins
SHOOTING DRAFT"|unknown
1||"FADE IN:
CASTLE - NIGHT
Now comes the moon riding over the horizon. Upon a hill at
the edge of the wood squats a castle, its crude stonework
bathed in cold silvery light. Queer carvings and runes
decorate the ponderous gate. Heavy vines are climbing up the
walls. The castle is old, its unfamiliar form testament to
an ancient mind and an ancient craft. Flickering candle light
dances on a leaded windowpane.
Inside, the corridors are dark and silent. Under low arched
ceilings the uneven floors are paved with stone blocks.
Perched over lintels and crouched in niches are icons with
strange animal heads.
HODGE
A sleep on a straw palette in a room strewn with vegetables
and crockery is Hodge, a wrinkled old retainer. A flickering
candle and empty jug are beside the bed. He is snoring gently.
CONJURING ROOM
This circular chamber at the heart of the castle is stuffed
with parchments, scrolls, dusty books, bronze braziers, glass
retorts, chemical salts, birds both stuffed and caged. An
iron candelabra stands on a work table, tapers burning. In
the soft glow it seems that the room is unoccupied, but no,
moving in the background is a shadowy figure, preparing for
a magical deed. Feet are positioned carefully within a
pentagram chiseled into the floor. A scroll is consulted; up
comes an arm and a voice blurts out:"|stage direction
2|VOICE|"Omnia in duos: Duo in Unum: Unus in
Nihil: Haec nec Quattuor nec Omnia
nec Duo nec Unus nec Nihil Sunt."|speech
3||Nothing happens.|stage direction
4|VOICE|Come on, candles, out!|speech
5||"But the little flames stand at attention without so much as
a tremble."|stage direction
6|VOICE|"In Volunta Divina et Verbum Magi:
Lux! Exstinguat!"|speech
7||"It's no use. There is a sigh and the figure moves forward
into the light. Revealed in the glow is the discouraged face
of Galen Bradwardyn, sorcerer's apprentice.
TOWER
Carrying the candelabra, the youth trudges up a circular
staircase.
TURRET
The highest point of the castle is a turret, open to the
stars and the night air. Here, more magic is afoot. An old
enchanter, Ulrich, Magister Ipsissimus, pours water from a
silver ewer into a stone bowl. As the surface ripples
disappear he leans forward and gazes into the pool. All at
once his face hardens as the distant sounds of screams and
thunder reach his ears. Lights and shadows, reflected from
within the basin, play across his face. His frown deepens as
the sound of his own voice comes to him from the vision in
the water -- Draco draconis -- suddenly squelched by the
roar of flame and an ugly snarl.
At that moment Galen reaches the top of the steps and holds
up the candelabra."|stage direction
8|GALEN|"Vide, Magister. There's something
wrong."|speech
9||"Ulrich, startled from his trance, slaps the water out of the
basin and turns to confront his student. Galen is taken aback
by the old man's grim countenance."|stage direction
10|GALEN|What's the matter? What's happened?|speech
11|ULRICH|"I've just seen something. Something
of consequence to you."|speech
12|GALEN|To me?|speech
13||(calm)|location
14|ULRICH|Yes. My own death.|speech
15||"With a distracted gesture he causes the flames to extinguish
themselves."|stage direction
16|ULRICH|"Perhaps we had better hasten your
training."|speech
17||CUT TO:|unknown
18||"BARNYARD - DAY
Outside the castle wall Hodge is feeding the chickens and
ducks. He straightens up and squints through the early morning
mists. On a distant hillock two figures are moving toward
the woods.
ULRICH AND GALEN
Hobbling slowly with the aid of a pair of canes, Ulrich guides
his pupil across a wooden bridge and along a stream into the
forest."|stage direction
19||(stern and troubled)|location
20|ULRICH|"This wood, these leaves, the birds,
the very dome of heaven, once they
all rang with one great chord: and
philosophers like me kept it all in
tune. Now, new voices are singing
new songs."|speech
21||(sharply)|location
22|ULRICH|"Have you mastered the threefold
transmutation?"|speech
23|GALEN|Of course.|speech
24||(skeptical)|location
25|ULRICH|You have?|speech
26|GALEN|Well, almost.|speech
27|ULRICH|"It's very difficult. Have you
committed to memory undying the Codex
de Profundis?"|speech
28||(a shrug)|location
29|GALEN|The first two chapters.|speech
30|ULRICH|"It's long. And what about the Ritual
of Banishment as prescribed by my
late master Balisarius?"|speech
31|GALEN|"To tell the truth, I haven't dared
try it. What's the point, anyway?"|speech
32|ULRICH|"The point? The point is you don't
know it, and you're no magician
without it. It was my hope to school
you, to mold your faculties and
wits... I still believe you have
some talent. Somewhere."|speech
33|GALEN|"I hate books. I hate drill. I want a
real task."|speech
34|ULRICH|"There's no time now. When I'm gone,
half the powers in the universe will
vanish with me. And what's the use
of a few lingering skills if they're
left in the hands of a child?"|speech
35||(pause)|location
36|ULRICH|Listen!|speech
37|GALEN|I don't hear anything.|speech
38||"Ulrich gauges the young man standing before him and makes a
decision. Reaching under his cloak he lifts off a fine silver
chain with an amulet dangling from it. He drapes it around
Galen's neck."|stage direction
39|ULRICH|Here, wear this.|speech
40||"Galen instinctively wraps his hand around the jewel. He cocks
an ear."|stage direction
41|GALEN|Voices, singing on the road.|speech
42||"He hastens forward to a promontory, eager to have a look.
Ulrich does not follow. Instead, doffing his cloak, he whirls
it before him, where it magically floats a few feet off the
ground. Awkwardly, the old man clambers aboard."|stage direction
43|GALEN|I don't see anything.|speech
44||"He turns back, but the wizard is gone. A shadow falls over
him. He looks up. There, two hundred feet above the tree
tops his master is soaring on the wind.
AIRBORNE
The old conjurer squints into the distance. Miles away and
far below a company of drab walkers winds along the margins
of the forest. They are singing a mournful round.
GALEN
He gawks skyward. Suddenly, the old man leans down and
addresses him."|stage direction
45||(a shout)|location
46|ULRICH|We have visitors!|speech
47||CUT TO:|unknown
48||"ROTUNDA - NIGHT
Clustering together in the center of a wide reception hall
is a contingent of weary peasants, awkward amidst the dusty
rugs, drapes and heavy furniture. Their leader is a fineboned
youth, not yet twenty. Like the others, he is uneasy; his
name is Valerian. Hodge enters and sets a tray of mead before
them. He leaves without a word. The visitors stare glumly at
the refreshment, but are too timorous to go near it.
CONJURING ROOM
Galen helps Ulrich prepare for the audience. The sorcerer
peers at himself in a full-length mirror, adjusting the hem
of a black robe."|stage direction
49|ULRICH|"Looks forbidding enough, don't you
think?"|speech
50|GALEN|Here are your sticks.|speech
51|ULRICH|"No -- they'll think me infirm. You
know, Balisarius wore this whenever
he changed lead into gold. He could
really do that, you know. I never
could. Too bad -- you'd stand to
inherit some real wealth."|speech
52|GALEN|"You're in a morbid frame of mind.
What's all this about dying? You
don't even look sick."|speech
53||(tying on a sash)|location
54|ULRICH|You still wearing that amulet?|speech
55||(Galen nods)|location
56|ULRICH|"Good. Don't lose it. It still belongs
to me."|speech
57||"He backs away from the mirror and fits a silver coronet onto
his head."|stage direction
58|ULRICH|"Now, adeptus minor, get yourself a
handful of that sulphurous ash over
there..."|speech
59||"The sorcerer starts down a circular stone staircase.
THE ROTUNDA
The visitors watch warily as a door swings open and Galen
makes his entrance, his face expressionless and hands pressed
together. He looks rather young to be the famous Ulrich.
Galen allows a moment to go by, then throws his arms wide.
Ka-whump! and Ulrich appears in the doorway in a smoky
fireball. Alarmed, the visitors retreat."|stage direction
60|ULRICH|Nunc habeus lux!|speech
61||Pffst! around the room candles flare in their niches.|stage direction
62|ULRICH|Et calor!|speech
63||"In the fireplace, the birch logs are suddenly ablaze. Ulrich
totters to the hearth and extends long bony fingers toward
the warmth."|stage direction
64|ULRICH|"Welcome to Cragganmore. I am Ulrich.
Which one of you calls himself
Valerian?"|speech
65||"The travelers are suitably dazzled by the magician's
performance. The young leader of the party screws up his
courage and speaks."|stage direction
66|VALERIAN|"That would be me. We are here on
behalf..."|speech
