|character|text|type
0||"EVIL DEAD II
BY
Sam Raimi
Scott Spiegel"|unknown
1||"SEVENTH DRAFT - May 5, 1986
FADE IN:"|location
2||"DE LAURENTIIS ENTERTAINMENT GROUP LOGO
FADE OUT."|unknown
3||FADE IN:|location
4||"RENAISSANCE PICTURES LOGO
FADE OUT."|unknown
5||00    BLACKNESS                                             00|location
6||"A sound is building.  Like a living wind.  A
thousand screams in agony.
From the blackness, gusts of smoke pull together
quickly, forming the Main Title against black:"|stage direction
7||"""EVIL DEAD"""|unknown
8||"Then beneath it, the Roman Numeral ""II.""
A SLOW ZOOM brings it toward us.  And as the screams
reach their sharp crescendo the title zooms through us.
FADE IN:"|stage direction
9||1     ANGLE - STOP MOTION ANIMATION                         1|location
10||"Whisping smoke against a black background. EERIE
MUSIC.  In the distance, through the smoke, a
small object. It fans toward us quickly, filling the
frame. It is an ancient skin covered volume, with
the outline of a human face on it's cover. This is
the Book of the Dead."|stage direction
11|NARRATOR|"Legend has it, that it was written by
the dark ones:"|speech
12||"NECRONOMICON
EX
MORTES"|location
13|NARRATOR|Roughly translated...The Book of the Dead.|speech
14||"The face on the cover of the book pulls away from its
skin binding and leans toward the camera. EYES
on the book blink open and peer at us. It's mouth
opens and emits a hideous scream. The CAMERA races
into the blackness of the screaming mouth."|stage direction
15||DISSOLVE THRU TO:|unknown
16||"1P    PLATE FOR PREVIOUS SCENE - SMOKE                      1P
2     A SPINNING VORTEX - (3 PAINTINGS ON AN ANIMATION      2"|location
17||"STAND) - 12 SEC. PLATE
Spiraling downward."|stage direction
18|NARRATOR|"To trace the origin of the Book, we
must go back...back...to a day when
spirits ruled the earth."|speech
19||"Wispy shapes of animated ghosts move through this
vortex, coming toward the CAMERA with WAILING and
MOANING  and then are gone."|stage direction
20|NARRATOR|When the seas ran red with blood.|speech
21||DISSOLVE THRU TO:|unknown
22||"2P    PLATE FOR PREVIOUS SCENE - ROD PUPPET GHOSTS          2P
3     STOCK FOOTAGE - (OPTICALLY COLOR SEPARATED)           3"|location
23||"A raging ocean of blood.  Great waves rise and swell
as if before a storm."|stage direction
24|NARRATOR (V.O.)|"It was this blood that was used to ink
the book."|speech
25||DISSOLVE THRU TO:|unknown
26||4     AN OPEN COPY OF THE BOOK OF THE DEAD - ANIMATION      4|location
27||"STAND - BLUE SCREEN IN BG
Through animation, the blank pages of the Book are
scripted in a strange hieroglyphic by an invisible hand.
Faster and faster the pages turn on the Book as the
blood red ink is scrawled across them. The pages flip
furiously until the Book snaps shut, reveal ing its
gruesome face on the cover.
The book flaps violently away from camera."|stage direction
28|NARRATOR (V.O.)|"The Book of the Dead was last seen
in 1300 A.D."|speech
29||DISSOLVE THRU TO:|unknown
30||"4A    OMIT                                                  4A
4AP   OMIT                                                  4AP
4B    OMIT                                                  4B
4C    OMIT                                                  4C
4D    OMIT                                                  4D
4P    STOCK FOOTAGE - THE RIFT                              4P
5     EXT. KANDAR CASTLE - DUSK - 4 WARRIORS - 4 HORSES     5"|location
31||"CAMERA panning down to reveal a magnificent newly built
castle of stone.  Bright banners fly from its turrets.
An ox grazes nearby.  4 Warriors on horseback in the BG."|stage direction
32|NARRATOR (V.O.)|"It was then that the dark spirits
again rose up to battle the living."|speech
33||"The ground in front of the castle begins to split apart.
A red glow and smoke pour from the growing crevice.
Something evil is being unleashed.  A strong wind kicks
up blowing sand in a furious rage."|stage direction
34||5A    EXT. KANDAR CASTLE - DUSK                             5A|location
35||"TRACKING SHOT - ASH
Through the blowing silt, a lone figure appears.  An
image of power and light.  His clothing is ragged,
and he holds what appears to be a jagged toothed
longsword.  Two massive columns of stone stand on
either side.  CAMERA slowly moves closer, but his face
is still hidden by the darkness and blowing sands."|stage direction
