|character|text|type
0||FACE/OFF|unknown
1||"Mike Werb & Michael Colleary
Revised 9/10/96"|unknown
2||"FADE INTO:
SEPIA-TONE FOOTAGE
of a pig chasing a lion chasing a dinosaur chasing an
elephant.  Noah's Ark going round... and round... and
round..."|stage direction
3||EXT. GRIFFITH PARK CAROUSEL - DAY|location
4||"Disjointed CALLIOPE MUSIC as the wheel of fate and
fortune goes around until we PULL BACK to reveal:
JON ARCHER (30) rising winged Pegasus.  On the adjacent
unicorn is his son MATTHEW (5).  Clutching a balloon,
Matty waves at his dad.  A happy moment, like so many
certain to follow -- until we realize we are watching
them THROUGH...
SNIPER'S RIFLE SCOPE - SNIPER'S EYES
wait until the child clears his aim -- Archer is the
target.  They round the bend and disappear...
MATTHEW
Loses his grip on the unicorn.  Archer reaches over and
pulls him into his lap.  They happily ride together...
As the horses sweep back INTO VIEW... exposing Archer...
Now we see the sniper.  CASTOR TROY is cool, efficient,
aggressive, sexual.  His finger closes around the
trigger.
BOOM!  A BULLET RIPS into Archer's back.  Bleeding... he
drops off his horse... and sinks to the deck of the
carousel.  His eyes desperately searching... searching...
searching... until he sees --
Matthew lies on his back -- still.  Slowly, Archer
reaches out and takes Matthew's hand... and now we see
COLOR for the first time...
Blood red... as bleeding father touches bleeding son...
TILT UP TO the winged Pegasus flying by -- now in full
color and UP UP UP TO Matthew's red balloon... floating
away.
HANDEL'S MESSIAH OVER a SERIES OF SHOTS:
FBI BRIEFING ROOM
Gazing out the window as dawn breaks over the city below
is Jon Archer... older... unshaven... fatigued... his
eyes reveal a man in the grip of obsession.
CAROUSEL HORSE
sweeps by, as if marking time itself...
HOLY PLACE
Smoky, spiritual... dominated by a gleaming, golden
cross.  A priest kneels before it -- deep in prayer.  The
glimmering cross comes INTO FOCUS... but it's just a
light-reflection... off the casing of a large bomb.  This
is no chapel... but an atrium.  Somewhere.
And as the ""priest"" rubs out his cigarette we see it's
Castor Troy -- carefully installing this complex device.
ANOTHER CAROUSEL HORSE
sweeps by...
ARCHER
pockets his FBI badge, then holsters his gun...
CASTOR
sets the bomb timer -- then replaces a wall panel in
front of it.  Totally hidden.
BRIEFING ROOM - CASTOR'S MUGSHOT
is on a computer screen.  His criminal dossier scrolls by
endlessly:  bombings, assassinations, mercenary
kidnappings, terrorism-for-hire...
Rookie agent LOOMIS studies the details carefully.  Other
agents -- including BUZZ and WANDA scan computer grid-
maps, man phones, etc. amid the take-out cartons and
coffee cups.  These people are on high alert."|stage direction
5|ARCHER|"Any follow-up from L.A.P.D.
Intelligence?"|speech
6|BUZZ|No, sir, nothing yet.|speech
7|ARCHER|"Get them on the phone -- now.
What about S.I.S. and our airport
teams?"|speech
8|WANDA|"We've had everything from psychics
to satellites on this.  Even if
Castor was here... he must have
slipped the net by now..."|speech
9|ARCHER|"He's here!  And we're going to
keep looking until we find him!"|speech
10||"A silence descends on the chastised team.  As they go
back to work, veteran agent TITO BIONDI takes Archer
aside."|stage direction
11|TITO|"Jon, these people have been
working round the clock -- you
gotta cut them some slack..."|speech
12||Archer considers his best friend's advice -- then...|stage direction
13|ARCHER|"I'll cut them some slack when I
cut myself some slack."|speech
14||Archer marches out -- slamming the door behind him.|stage direction
15||INT. CORRIDOR - DAY (MORNING)|location
16||"Castor quietly shuts the security door behind him.  An
Hispanic voice startles him."|stage direction
17|JANITOR|What are you doing?|speech
18||(in perfect Spanish)|location
19|CASTOR|"Thank goodness, I feel like Icarus
in the labyrinth -- where's the
men's room?"|speech
20||(in Spanish)|location
21|JANITOR|This area is off limits, Padre.|speech
22||(re:  security door)|location
23|JANITOR|How did you get in that room?|speech
24||"Realizing the JANITOR is already too suspicious, Castor
puts a priestly arm around him -- and leads him down the
hall."|stage direction
25|CASTOR|"Okay... I have a confession to
make, but you aren't gonna like
it.  I was planting a bomb."|speech
26|JANITOR|Bomb?|speech
27|CASTOR|You know -- boom --|speech
28||(patting his|location
29||neck)|unknown
30|CASTOR|Oh, never mind...|speech
31||"The Janitor suddenly twitches, his eyes rolls up in his
head.  As he gasps his last -- Castor heaves him down a
stairwell.  Now we see the needle-thin custom stiletto in
Castor's hand.
Castor kicks the Janitor's mop and bucket down the stairs
-- making everything look like an accident."|stage direction
32||INT. SAME BUILDING - MAIN FLOOR - DAY (MORNING)|location
33||"The children's church choir -- 200 strong -- sing ""Behold
the Lamb of God.""  Clergy and lay persons listen
reverently.
""Father"" Castor strolls by the singers -- casually
heading for the exit.  As he passes the risers, a teenage
girl drops her sheet music at his feet.
Returning it -- he whispers in her ear -- so close he's
practically licking it."|stage direction
34|CASTOR|"I've never enjoyed 'The Messiah.'
But your voice makes even a hack
like Handel seem like a genius."|speech
35||"He pats her behind and leaves.  Although a little shaken,
she's also drawn by Castor's sexual magnetism."|stage direction
36||EXT. LA CONVENTION CENTER - DAY (MORNING)|location
37||"The marquee proclaims:  INTERNATIONAL CHURCH CHOIRS 18th-
21st:  AMERICAN BAR ASSOCIATION.
Castor exits -- politely holding the door for a beat cop."|stage direction
38||INT. ARCHER'S OFFICE - DAY (MORNING)|location
39||"The office is a monument to obsession:  photographs,
clues, newsclips, totems of Castor Troy surround a pacing
Archer."|stage direction
40||(on phone)|location
41|ARCHER|"... I don't have time to get a
warrant from some hung-over judge.
Just give me the go-ahead, Victor,
and I promise -- as soon as this
is over -- you can brand my butt
with the Fourth Amendment."|speech
42||The instant Archer hangs up -- the INTERCOM BUZZES.|stage direction
43|KIM (V.O.)|"Sir, your wife's on line one...
S.I.S. on two..."|speech
44|ARCHER|Tell her to hang on --|speech
45||As Archer punches up line two -- Tito bursts in.|stage direction
46|TITO|"A jet was chartered at Anderson
Airfield.  Guess who just showed
up to pay for it?  Pollux Troy."|speech
47|ARCHER|"Scramble the Reaction Team --
we're moving out.  And get one of
our people on that plane."|speech
48|TITO|"But there's still no sign of
Castor..."|speech
49|ARCHER|"Where one brother goes, the
other's sure to follow..."|speech
50||"They rush our... the hold button on line 1 still
blinking."|stage direction
51||EXT. PRIVATE AIRPORT - ESTABLISHING - DAY|location
52||"A sleek Cadillac pulls in... stopping next to a Land
Rover.
LARS MUELLER -- a muscular, crystal-eyed jar-head -- gets
out of the Caddy.  An instant later -- LUNT MUELLER --
emerges from the Rover.  They are identical twins.
The men scan the airport carefully, then open the rear
doors of their respective vehicles.  Castor emerges from
the Caddy -- Armani clad.
Exiting the Rover is Castor's younger brother POLLUX TROY
-- skittish, brilliant, paranoid -- a human hummingbird."|stage direction
53|POLLUX|"You're 26 minutes late.  The
casing didn't fit -- right?  I
knew that cheap-shit Dietrich
would rip us off..."|speech
54|CASTOR|Oh, God -- !|speech
55|POLLUX|What!?|speech
56|CASTOR|"I forgot to turn the damn thing
on!"|speech
57||POLLUX|unknown
58|CASTOR|You're kidding, right?|speech
59||(to the twins)|location
60|CASTOR|He's kidding...|speech
61||(grabs Castor|location
62||by throat)|unknown
63|CASTOR|... are you fucking kidding!?|speech
64||Castor hugs Pollux lovingly.  Pollux squirms like a kid.|stage direction
65|CASTOR|Bro -- everything went fine.|speech
66|POLLUX|I hate when you call me bro.|speech
