|character|text|type
0||"FEAST
Written by
Patrick Melton & Marcus Dunston
Revised Draft
5/3/2004"|unknown
1||FADE IN:|stage direction
2||EXT. DESERT -- DAY|location
3||"The white sun beats down on the rocky terrain. There's not a
cloud in the blue sky and the wind is at a standstill.
Far in the distance, a MEDIUM SIZED FLAT-BED TRUCK makes its
way to the entrance of a large cavern opening. Two VULTURES
perched on a barren tree watch the intruders."|stage direction
4||EXT. DESERT -- DAY|location
5||"The truck screeches to a dusty stop. Three men in matching
coveralls and hard hats jump from the cab: CHIEF (42, stocky,
weary), LANKY (32, withered) and COLLEGE BOY (23, clean cut
and naive).
Chief holds a map and glares into the howling black mouth
before them."|stage direction
6|CHIEF|This is it.|speech
7|LANKY|Why did it have to be these caves...|speech
8|COLLEGE BOY|Is something wrong?|speech
9||(to College Boy)|location
10|LANKY|Don't mind me, buddy. It's nothin'.|speech
11||"Chief grabs a flashlight and moves to the back of the truck.
The logo on the rear gate reads ""WIGWAM WASTE MANAGEMENT."""|stage direction
12|CHIEF|Let's get that first barrel.|speech
13||"The gate drops revealing their full load of YELLOW BARRELS
bearing the familiar BIOHAZARD WASTE symbol."|stage direction
14||INT. CAVERN -- MOMENTS LATER|location
15||"College Boy and Lanky steer a cart loaded with the first
barrel inside. Chief's lone beam of light leads the men."|stage direction
16|COLLEGE BOY|What's with the awkward silence?|speech
17|LANKY|You don't know?|speech
18||"College Boy shakes his head ""no"" and they set the cart down."|stage direction
19|CHIEF|"Last winter, a man kidnapped a little
girl and holed up in one of these
caves. The cops had him pinned down
and began to move in. This guy started
shooting... but he wasn't aiming at
the officers..."|speech
20||(getting closer)|location
21|CHIEF|...he was firing at something inside.|speech
22||College Boy is rapt.|stage direction
23|CHIEF|"When the dust cleared, all they found
was the little girl's shoes."|speech
24||(beat)|location
25|CHIEF|With the feet still in 'em.|speech
26||Something GRABS College Boy's ankles, causing him to jump.|stage direction
27|COLLEGE BOY|Ahh!!!|speech
28||"Lanky's on his knees, having grabbed him from behind. The
two men mockingly laugh. College boy settles, embarrassed."|stage direction
29|COLLEGE BOY|Assholes.|speech
30|CHIEF|"Hey, relax, I nearly shit myself
when my boss pulled that one on me."|speech
31|LANKY|I went well beyond nearly.|speech
32||Then, a sound. All eyes turn.|stage direction
33|CHIEF|What was that?|speech
34|COLLEGE BOY|Once was plenty, fellas.|speech
35|CHIEF|Shhhh...|speech
36||"As Chief moves forward, pulling out his pick-axe.
Instantly, the cave is illuminated by a white floodlight. A
group of GREENPEACE HIPPIE ACTIVISTS stand in the cave,
CHAINED TOGETHER at the waist, startling the men into screams.
MEAN GREEN (35, crooked glasses on a face that has launched
a thousand craps) barks into a MINI BULLHORN that hangs around
her neck. She charges towards Chief."|stage direction
37|MEAN GREEN|"Stop it right there! You will not
rape Mother Nature one more day!"|speech
38||Panicked, Chief drops his pick-axe and stumbles back.|stage direction
39|CHIEF|Whoa! Whoa! Whoa!|speech
40||In unison, the hippies start CHANTING.|stage direction
41|HIPPIE GROUP|"Mother Nature is not a whore/Don't
dump in her any-more/Mother Nature
is not a whore/Don't dump in her any-
more..."|speech
42||"A BEARDED CAMERAMAN with a huge KEY RING on his belt, films
the whole event. The three men are stopped in their tracks."|stage direction
43|CHIEF|Take it easy! We have a permit!|speech
44||(handing a document)|location
45|MEAN GREEN|"And we have an injunction from the
State to prevent any dumping in these
caverns! This is virgin land! The
aqueducts in these caves bring
drinking water to our families, and
its piping provides drainage for our
farms that enrich this barren land!
And it won't be tainted by waste of
any kind! Not now! Not ever!"|speech
46||Chief, shaken, confirms the injunction and hands it back.|stage direction
47|CHIEF|Fine, just back off!|speech
48||He snaps his fingers, motioning to the barrel.|stage direction
49|CHIEF|Let's roll... Now-now-now!|speech
50||Backing away, looking to Mean Green.|stage direction
51|CHIEF|"How do you guys always know where
we're going?"|speech
52||(with a smirk)|location
53|MEAN GREEN|I'll tell ya next time! NOW MOVE IT!|speech
54||Hastily, the men roll the barrel out of the cave.|stage direction
55|MEAN GREEN|Score one for the green team!!!|speech
56||"The hippies let out a spirited cheer. One pulls out a
tambourine, drums the beat for KUM BI YA. The rest join in
the victorious chant as they watch the three men hop in their
truck and peel away."|stage direction
57|BEARDED CAMERAMAN|"Hey, man, that was righteous, but I
need a shot with the sign up."|speech
58||"At the end of the human chain, an earthy woman, FUZZY, moves
to hang a GREENPEACE sign. Mean Green strokes the cave wall."|stage direction
59|MEAN GREEN|We saved you today, ol' gal.|speech
60||"Fuzzy hammers the sign in, but hits too hard, causing a breach
in the rock wall."|stage direction
61|FUZZY|Oh, fuck!|speech
62|MEAN GREEN|"Sister, why do you always swing for
the fences?"|speech
63||(eyeing breach)|location
64|FUZZY|"It's okay, but I... I think I see
something in there... something shiny."|speech
65||"Fuzzy puts her face up to the hole for a closer look. The
rest of the hippie-chain moves in closer."|stage direction
66|FUZZY|Oh my, it looks like diamonds!|speech
