|character|text|type
0|unknown|"The Fifth Element
An original script
by
Luc Besson
Revisions by
Luc Besson
and
Robert Mark Kamen
August 1995 Draft
Gaumont and Les Films du Dauphin"|speech
1||"FADE IN:
1	EXT.  DESERT  NILE RIVER  VALLEY - DAY"|stage direction
2||"Somewhere in the Nile at the edge of the desert.
CREDITS  ROLL
WRITTEN:	EGYPT 1913
OMAR and his mule zigzag along the bottom of sun scorched dunes."|location
3||2	EXT.  TEMPLE  EXCAVATION - DAY|stage direction
4||The mule and the boy finally reach a camp.  A few tents dwarfed by a huge|location
5||"temple door jutting out of the sand.  The camp is deserted except for
some kids by the temple entrance holding large mirrors, reflecting light
into the temple."|stage direction
6||Omar leaves his mule in the shade, seizes two goatskins and slips inside|location
7||"the temple.
3	INT.  TEMPLE - DAY"|stage direction
8||Omar makes his way uneasily down a pillared corridor that opens into a|location
9||"vast room where an old scientist stands on a small wooden ladder in front of
the wall across the room.  PROFESSOR MASSIMO PACOLI. A young man is beside
him, BILLY MASTERSON, age 25, an American student. He has a large sketchpad in
his hands.  Behind them AZIZ, age 10, whose job is to hold the last
mirror which shines light into the expansive room."|stage direction
10||(deciphering)|unknown
11|PROFESSOR|"""..when the three planets are in eclipse.."""|speech
12||His fingers trace across the wall which is covered with symbols and|location
13||strange hieroglyphs as he deciphers.|stage direction
14|PROFESSOR|"""..the black hole like a door is open...
Evil comes ... sowing terror and chaos...""
See?  The snake, Billy.  The Ultimate Evil
... make sure you get the snake!"|speech
15||The Professor points emphatically to the snake, the symbol of Evil,|location
16||"coming through the door between the three planets in eclipse.  C.U.
Billy's hand sketches the snake quickly.  He is a natural artist."|stage direction
17|BILLY|"And when is this door opening snake act
supposed to occur?"|speech
18||The Professor's fingers touch the signs.|location
19|PROFESSOR|..if this is the five..and this the thousand..|speech
20||He calculates.|location
21|PROFESSOR|Every five thousand years..|speech
22||(kidding)|unknown
23|BILLY|So I have some time..|speech
24||"He reaches for the pad.
ANGLE ON:  Omar.  Standing at the entrance to the chamber with the water"|location
25||"bag, entranced by the sight.  A skeletal hand falls on his shoulder.  Omar
turns to an ancient PRIEST in a rough milled black cannock."|stage direction
26|PRIEST|I will take it to them my son.|speech
27||Startled but obedient, Omar gives the water bag to the Priest.|location
28|PRIEST|Go with God.. be safe from Evil..|speech
29||The Priest makes the sign of the Cross on the boy's forehead, dismissing|location
30||him.|stage direction
31||"As soon as he is gone, the Priest turns a worried eye to the Professor.
ANGLE ON:  The Professor is back to translating, Billy to sketching."|location
32|PROFESSOR|"""..then arrange the elements of life against
the Terror just so.."""|speech
33||His fingers run on.|location
34|PROFESSOR|"""..Water..fire..earth..air..four
elements around the fifth.."""|speech
35||His fingers fall on the one element that has a human shape, surrounded by|location
36||all the others.|stage direction
37||The Priest opens the water skin and begins to pour a vial of powder into|location
38||the skin.|stage direction
39||ANGLE ON:  Aziz falling asleep.  The mirror falls, the light fails.|location
40|PROFESSOR|Aziz!  Light!|speech
41||The boy struggles to stay awake.  The mirror comes up.|location
42|PRIEST|"Lord forgive me.. they already know too,
much.."|speech
43|PROFESSOR|"""..in which all the history of the Universe resides
..all the strength..all the hope..Protect us from"|speech
44||"Evil.."""|stage direction
45|PRIEST (V.O.)|Amen..|speech
46||The Professor turns to the Priest who is pouring water into a tin cup|location
47||from the skin.|stage direction
48|PROFESSOR|"Father.. it in the most extraordinary thing..
the greatest find in history..can you imagine
the implications."|speech
49|PRIEST|"Only too well... here you must be
parched.."|speech
50||He hands the cup to the Professor.  The Professor takes it, has it almost|location
51||to his lips when..|stage direction
52|PROFESSOR|I mean look.. it is like a battle plan..|speech
53||In his excitement he does not drink, much to the Priest's chagrin.|location
54|PROFESSOR|Here the Good.. Here the Evil..|speech
55||As the Priest looks up, Aziz the mirror  boy, tips his mouth under the|location
56||water skin, drinking the leakage.|stage direction
57|PROFESSOR|Here..|speech
58||He points to the Five Elements.|location
59|PROFESSOR|"A weapon against evil.  Amazing!  I am
going to be famous."|speech
60|PRIEST|Then let us toast to your fame!  Here Billy..|speech
61||The Priest hands Billy a cup.|location
62|PRIEST|Drink!|speech
63|PROFESSOR|To fame.. salud..|speech
64||The Professor raises the cup to drink, and then...|location
65|PROFESSOR|"We cannot toast with water.. Billy !
In my sack.. the Grappa!"|speech
66||The Priest watches, disconsolate, as the Professor tosses away his water.|location
67||"Billy finishes his cup before running off into the tunnel.
4	EXT.  COLONNADE - DAY"|stage direction
68||A muffled SOUND grows steadily louder. Outside, a monstrous linear shadow|location
69||"disturbs the kid's game and gradually darkens the temple entrance.
5	INT.  TUNNEL - DAY"|stage direction
70||Billy is looking for the grappa in the Professor's bag.  He comes upon a|location
71||"machine pistol.  When the muffled SOUND suddenly grabs his attention.  He
leans toward the corridor and sees part of a spaceship appear.  Billy is
paralyzed.
6	INT.  TEMPLE  ROOM - DAY"|stage direction
72||The Professor keeps reading over the inscription.|location
73|PROFESSOR|"""..this perfect person.. this perfect
being.."" I do not understand this.. perfect?"|speech
74|PROFESSOR|Where is that boy? Billy!|speech
75||7	INT.  TUNNEL - DAY|stage direction
76||Billy presses himself against the wall, in the shadows, terrified, but|location
77||"sketching away like mad, as large shadowed figures lumber past him.  He
begins to blink, feeling the effects of the Priest's potion..
8	INT.  TEMPLE  ROOM - DAY"|stage direction
78||The Professor reads the wall.|location
79|PROFESSOR|"And this divine Light they talk
about.. what is Divine light?"|speech
80||At that moment, the reflection from Aziz's mirror drops again.  The light|location
81||fails.|stage direction
82||(without turning)|unknown
83|PROFESSOR|Aziz light!|speech
84||The room is flooded with light all of the sudden.|location
85|PROFESSOR|"Better.. this is the most unbelievable thing
I have ever seen.."|speech
86||The Professor turns around, and is stunned speechless to find himself|location
87||"face to face with two MONDOSHAWANS.  A dozen others fill the hall manning
the source of the light, large luminous globes.  Aziz is fast asleep."|stage direction
88||(uncomprehending)|unknown
89|PROFESSOR|...Uh, yes?|speech
90||The Professor is lifted up and carried off to the side by the aliens.|location
91||"The KOMMANDER stops in front of the Priest who is still on his knees, face
to the ground."|stage direction
92|PRIEST|"Master... He was about to discover everything,
but I had the situation under control."|speech
93||The two MONDOSHAWAN GUARDS hold the professor three feet off the ground.|location
94||(in a panic)|unknown
95|PROFESSOR|"Who are you?  Are you Germans?  Sprechen
Sie Deutsch?"|speech
96||9	INT.  TUNNEL|stage direction
97||Billy staggers forward, a machine pistol in his hand.|location
98||10	INT.  TEMPLE  ROOM|stage direction
99||The KOMMANDER holds out his hand to the Priest.|location
100|PRIEST|What did I do wrong?|speech
101||The Priest jumps to his feet excitedly.|location
102|KOMMANDER|"Servant, you and the thousand guards
before you... You have done your work well,
but we have to recover the elements. War will
soon engulf your planet. We must keep them safe."|speech
103||The Kommander goes over to the wall and seems to be looking for a lock.|location
104||"He finds it and slides in his metallic finger which is more intricate
than a key to a safe.  He turns his hand, activating a mechanism that opens
the wall."|stage direction
105|PROFESSOR|Unbelievable!!!|speech
106||"The Kommander turns around and crooks a finger.  One of the MONDOSHAWANS
waves his hand, puts the professor to sleep and heads down the hallway"|location
107||"revealed by the opening.  He is followed by his men.  The Priest slips in
behind them.
11	INT.  ROOM 2  TEMPLE - DAY"|stage direction
108||The Kommander steps into a vast room.  The ceiling is very high, pyramid-|location
109||"shaped.  In each corner of the room, four vessels contain four
rectangular twelve-inch stones-, the four elements.  In the middle, an
opaque sarcophagus rests on an altar.  The Kommander stops and
contemplates it a moment."|stage direction
110||(to himself)|unknown
111|PRIEST|The Fifth Element...|speech
112|KOMMANDER|Take them and put them in a safe place.|speech
113||His men carry out his order.|location
114||12	INT.  ROOM 1  TEMPLE - DAY|stage direction
115||Billy staggers across the floor, struggling to stay awake.|location
116||13	INT.  ROOM 2  TEMPLE - DAY|stage direction
117||The Kommander opens a case.  His men come and put the four, precious|location
118||stones in it, one by one.|stage direction
119||(moved)|unknown
120|PRIEST|"Will the elements be gone now forever
from this place?"|speech
121|KOMMANDER|"When mankind comes to its senses.
We will return."|speech
122|PRIEST|Knowing mankind as I do, that could take|speech
123||centuries!|unknown
124|KOMMANDER|"Time is of no importance, only life
is important."|speech
125||"The Priest nods and lowers his eyes.
Angle on:  Billy staggering forward, raising his pistol, blinking his"|location
126||eyes to focus..|stage direction
127||"A MONDOSHAWAN puts the fourth element in the case The Kommander shuts the
case and looks at the Priest."|location
128|KOMMANDER|When EVIL returns so shall we.|speech
129||(head lowered)|unknown
130|PRIEST|We will be ready, Lord.|speech
131||Billy suddenly staggers into the room, brandishing his gun.|location
132|BILLY|Stop.|speech
133||Billy trips, the gun goes off.  He empties the clip.  The Mondoshawan|location
134||"carrying the case crumples to the ground.  The wall immediately begins to
close.  Billy fires wildly, unable to control the powerful kicking gun."|stage direction
135|PRIEST|No!!!  Don't!!!|speech
136||The Priest rushes Billy.  The weapon has such a kick to it that Billy|location
137||"starts shooting into the air, backs up, then stumbles and knocks himself
out.  The Priest is on the ground, seriously wounded.  So is the Kommander.
The WARRIORS are in a panic."|stage direction
138|CLERK|Hurry, Kommander!  The wall's closing!!!|speech
139||The wall continues to close.  Sand pours in from everywhere.  The vast|location
140||room fills up like an hourglass.|stage direction
141|KOMMANDER|"A mission is a mission, Savoia.
You'll learn that."|speech
142||The Kommander picks up the case and reaches the wall but can't get|location
143||through it.  His|stage direction
144||armor is too bulky, the opening too small.  He manages to get his arm and|location
145||the case through.|stage direction
146|KOMMANDER|My apologies to General Kroi -- and my wife..|speech
147||"The wall closes, crushing his arm.  The CLERK scoops up the case and runs
through the huge piles of sand."|location
148||14	EXT.  COLONNADE - DAY|stage direction
149||The CLERK boards the ship carrying the case.  Omar hides in a corner,|location
150||"frightened to death, hugging Billy's bag of drawings.
15	INT.  TEMPLE  ROOM - DAY"|stage direction
151||The room fills with sand.  The Priest's body is soon buried.|location
152||16	EXT.  DESERT - DAY|stage direction
153||The huge ship's main hatch closes.|location
154||17	EXT.  TEMPLE - DAY|stage direction
155||The ship lifts off and speeds away. Omar emerges from the temple gaping|location
156||"at the ship as it vanishes in the sky.
18	EXT.  PYRAMIDS"|stage direction
157||A gigantic shooting star flashes above the pyramids.|location
158||19	EXT.  EARTH  ORBIT|stage direction
159||The ship passes in front of us and heads for the stars disappearing at|location
160||unbelievable speed.  The background is a star-spattered cosmos.|stage direction
161||"WRITTEN:	500 YEARS LATER
Another, more modern, spaceship, fills the screen.  A warship belonging"|location
162||"to the Federal Army.
20	INT.  SPACESHIP  CONTROL  ROOM"|stage direction
163||CU of a digital control screen.  Three planets projecting three straight|location
164||"lines that crisscross at one point.  Identical to the one observed by the
professor on the temple wall.  GENERAL STAEDERT looks out through the
ship's window at one of the three huge planets in eclipse."|stage direction
165|STAEDERT|"Don't you have anything?  Not even
a temperature?"|speech
166|CAPTAIN|"The thermo-analyzers have jammed.
One of them reads over a million degrees,
the other's at minus 5000...
Never seen anything like it."|speech
167|TECHNICIAN|It's taking shape.|speech
168||21	EXT.  SPACE|stage direction
169||In the middle of the shadows, a door to the nightmare has just opened.|location
170||Evil is back.  A round, moving mass, continually changing color.|stage direction
171||(in awe)|unknown
172|CAPTAIN|What the hell can it be?|speech
173|TECHNICIAN|"Hook-up with the president in one
minute, General."|speech
174||General Staedert remains calm.|location
175|STAEDERT|...Send out a probe.|speech
176||22	INT.  PRESIDENT'S  OFFICE  MANHATTAN|stage direction
177||LINDBERG, 50, the president of the United Federations, his features lined|location
178||"and worn by various delegations, mainly military, enters his office.
There's a crisis in the air.  The President's AIDE leans down to his ear."|stage direction
179|AIDE|On air in 30 seconds.|speech
180||In the middle of the group is a Priest whose appearance reminds us of|location
181||"Egypt.  A younger man DAVID, 18, shy, a priest-in-training attends the old
man.
23	INT.  CONTROL  ROOM / PRESIDENT'S  OFFICE"|stage direction
182|CAPTAIN|President on line sir..|speech
183||General Staedert leans over his screen and seems surprised to see the|location
184||room but not the president.|stage direction
185|PRESIDENT (O.S.)|Staedert, do you read me?|speech
186|STAEDERT|"I can hear you, Mr. President, but I
can't see you ."|speech
187||The President grabs the mini-camera on his desk and yanks it around to|location
188||face him.|stage direction
189||His face fills the screen.|location
190||(exasperated)|unknown
191|PRESIDENT|Is that better?|speech
192|STAEDERT|Perfect, Mr. President.|speech
193|PRESIDENT|"I have to address the Supreme Council
in 10 minutes.
Just the facts, General."|speech
194|STAEDERT|"There are no results from the chemical
and molecular analysis as of yet, all the
calibers are overshot..we're hoping a
thermo nucleatic imaging.."|speech
195|PRESIDENT|"(exasperated)
What you are saying is you don't know
what this..thing..is."|speech
196||Consternation reigns in the President's office.|location
197|STAEDERT|"Not yet Sir..The only thing we know is
it just keeps getting bigger!"|speech
198|PRESIDENT|Options.|speech
199|STAEDERT|Wait or act.|speech
200|PRESIDENT|Recommendations.|speech
201|STAEDERT|"My philosophy Mr. President is shoot first
ask questions later.
I don't like uninvited guests."|speech
202|PRESIDENT|Gentlemen?|speech
203|HEAD CHEMISTS|"I think it would be foolish to shoot at an
organism that seems alive, without first
taking the time to study it more!
Besides, it has shown no signs of hostility."|speech
204||(worried)|unknown
205|PRESIDENT|No... it's just getting bigger.|speech
206|HEAD CHEMISTS|"So do people, but that's no reason to shoot
them."|speech
207||(exasperated)|unknown
208|PRESIDENT|"The security of the Federated Territories is
and remains number one priority."|speech
209||(to the military)|unknown
210|PRESIDENT|"I suppose General Staedert's ""philosophy"" is
acceptable to you?"|speech
211||"All the Generals nod ""yes"""|location
212|PRESIDENT|All right, then! Staedert?|speech
213|PRIEST (O.S.)|Mr. President?|speech
214||The President scans the room. Staedert remote controls the camera toward|location
215||the room.|stage direction
216|PRESIDENT|...Yes?|speech
217||The camera moves up the Priest and we finally discover his face.  He is|location
218||in his sixties, a shrewd look in his eyes.|stage direction
219||Around his neck hangs the Kommander's finger, the key to the temple.|location
220|PRIEST|"Cornelius, Vito Cornelius. 50th level parish.
I have a different theory to offer you,
Mr. President."|speech
221|PRESIDENT|I'm listening.|speech
222|CORNELIUS|"Imagine for a moment that this. thing is not
anything that can be identified because it prefers
not to be, because it is the antithesis of all we are.
Because it is evil.. TOTAL EVIL."|speech
223||(a little sarcastically)|unknown
224|PRESIDENT|One more reason to shoot first eh?|speech
225||All the Generals nod in agreement.|location
226|CORNELIUS|"Evil begets evil, Mr. President.
Shooting would only make it stronger."|speech
227||24	INT.  SPACESHIP|stage direction
228|TECHNICIAN|"The probe will attain its objective in
five seconds."|speech
229||Staedert moves closer to the ship's window.|location
