|character|text|type
0||"F I G H T   C L U B
by Jim Uhls
based on a novel by Chuck Palahnuik
2/16/98
SCREEN BLACK"|stage direction
1|JACK (V.O.)|"People were always asking me, did I
know Tyler Durden."|speech
2||FADE IN:|stage direction
3||INT.  SOCIAL ROOM - TOP FLOOR OF HIGH RISE -- NIGHT|location
4||"TYLER has one arm around Jack's shoulder; the other hand
holds a HANDGUN with the barrel lodged in JACK'S MOUTH.
Tyler is sitting in Jack's lap.
They are both sweating and disheveled, both around 30; Tyler
is blond, handsome; and Jack, brunette, is appealing in a
dry sort of way.  Tyler looks at his watch."|stage direction
5|TYLER|One minute.|speech
6||(looking out window)|location
7|TYLER|"This is the beginning.  We're at
ground zero.  Maybe you should say a
few words, to mark the occasion."|speech
8|JACK|... i... ann....iinn.. ff....nnyin...|speech
9|JACK (V.O.)|"With a gun barrel between your teeth,
you only speak in vowels."|speech
10||Jack tongues the barrel to the side of his mouth.|stage direction
11||(still distorted)|location
12|JACK|I can't think of anything.|speech
13|JACK (V.O.)|"With my tongue, I can feel the
rifling in the barrel.  For a second,
I totally forgot about Tyler's whole
controlled demolition thing and I
wondered how clean this gun is."|speech
14||Tyler checks his watch.|stage direction
15|TYLER|It's getting exciting now.|speech
16|JACK (V.O.)|"That old saying, how you always hurt
the one you love, well, it works both
way."|speech
17||Jack turns so that he can see down -- 31 STORIES.|stage direction
18|JACK (V.O.)|"We have front row seats for this
Theater of Mass Destruction.  The
Demolitions Committee of Project
Mayhem wrapped the foundation columns
of ten buildings with blasting
gelatin.  In two minutes, primary
charges will blow base charges, and
those buildings will be reduced to
smoldering rubble.  I know this
because Tyler knows this."|speech
19|TYLER|Look what we've accomplised.|speech
20||(checks watch)|location
21|TYLER|Thirty seconds.|speech
22|JACK (V.O.)|"Somehow, I realize all of this -- the
gun, the bombs, the revolution -- is
really about Marla Singer."|speech
23||"PULL BACK from Jack's face.  It's pressed against TWO LARGE
BREASTS that belong to...BOB, 45, a moose of a man.  Jack is
engulfed by Bob in an intense embrace.  Bob weeps openly."|stage direction
24|JACK (V.O.)|Bob had bitch tits.|speech
25||PULL BACK to wide on...|stage direction
26||INT. CHURCH MEETING ROOM - NIGHT|location
27||"Men are paired off, hugging, talking in emotional tones.
Near the door, a SIGN on a stand: ""REMAINING MEN TOGETHER."""|stage direction
28|JACK (V.O.)|"This was a support group for men with
testicular cancer.  The big moosie
slobbering all over me was Bob."|speech
29|BOB|We're still men.|speech
30|JACK|Yes.  We're men.  Men is what we are.|speech
31|JACK (V.O.)|"Six months ago, Bob's testicles were
removed.  Then hormone therapy.  He
developed bitch tits because his
testosterone was too high and his
body upped the estrogen.  That was
where my head fit -- into his huge,
sweating tits that hung enormous, the
way we think of God's as big."|speech
32|BOB|"They're gonna have to open my pec's
again to drain the fluid."|speech
33||Bob hugs tighter; then looks with empathy into Jack's eyes.|stage direction
34|BOB|Okay.  You cry now.|speech
35||Jack looks at Bob.|stage direction
36|JACK (V.O.)|Wait.  Back up.  Let me start earlier.|speech
37||INT. JACK'S BEDROOM - NIGHT|location
38||Jack lies in bed, staring at the ceiling.|stage direction
39|JACK (V.O.)|For six months.  I could not sleep.|speech
40||INT. COPY ROOM - DAY|location
41||"Jack, sleepy, stands over a copy machine.  His Starbucks cup
sits on the lid, moving back and forth as the machine copies."|stage direction
42|JACK (V.O.)|"With insomnia, nothing is real.
Everything is far away.  Everything
is a copy of a copy of a copy."|speech
43||"Other people make copies, all with Starbucks cups, sipping.
Jack picks up his cup and his copies and leaves."|stage direction
44||INT. JACK'S OFFICE - SAME|location
45||"Jack, sipping, stares blankly at a Starbucks bag on the
floor, full of newspapers and FAST FOOD GARBAGE."|stage direction
46|JACK (V.O.)|"When deep space exploration ramps up,
it will be corporations that name
everything.  The IBM Stellar Sphere.
The Philip Morris Galaxy.  Planet
Starbucks."|speech
47||"Jack looks up as a pudgy man, Jack's BOSS, enters, Starbucks
cup in hand, and slides a stack of reports on Jack's desk."|stage direction
48|BOSS|"I'm going to need you out-of-town a
little more this week.  We've got
some ""red-flags"" to cover."|speech
49|JACK (V.O.)|"It must've been Tuesday.  he was
wearing his ""cornflower-blue"" tie."|speech
50||(listless management speak)|location
51|JACK|"You want me to de-prioritize my
current reports until you advise of
a status upgrade?"|speech
52|BOSS|"You need to make these your primary
""action items."""|speech
53|JACK (V.O.)|"He was full of pep.  Must've had his
grande latte enema."|speech
54|BOSS|"Here are your flight coupons.  Call
me from the road if there are any
snags.  Your itinerary..."|speech
55||Jack hides a yawn, pretends to listen.|stage direction
56||INT. BATHROOM - JACK'S CONDO - NIGHT|location
57||"Jack sits on the toilet, CORDLESS PHONE to his ear, flips
through an IKEA catalog.  There's a stack of old Playboy
magazines and other catalogs nearby."|stage direction
58|JACK (V.O.)|"Like everyone else, I had become a
slave to the IKEA nesting instinct."|speech
59||(into phone)|location
60|JACK|"Yes.  I'd like to order the Erika
Pekkari slip covers."|speech
61||"Jack drops the open catalog on the floor.
MOVE IN ON CATALOG -- ON PHOTO of COFFEETABLE SET..."|stage direction
62|JACK (V.O.)|"If I saw something like clever coffee
table sin the shape of a yin and
yang, I had to have it."|speech
63||PAN TO PHOTO of ARMCHAIR...|stage direction
64|JACK (V.O.)|"Like the Johanneshov armchair in the
Strinne green stripe pattern..."|speech
65||INT. LIVING ROOM/DINING AREA/KITCHEN|location
66||The armchair APPEARS.  PAN OVER next to armchair...|stage direction
67|JACK (V.O.)|"Or the Rislampa wire lamps of
environmentally-friendly unbleached
paper."|speech
68||The lamps APPEAR.  PAN OVER to wall...|stage direction
69|JACK (V.O.)|"Even the Vild hall clock of
galvanized steel, resting on the
Klipsk shelving unit."|speech
70||The clock APPEARS as the shelving unit APPEARS on the wall.|stage direction
71|JACK (V.O.)|"I would flip through catalogs and
wonder, ""What kind of dining set
defines me as a person?""  We used to
read pornography.  Now it was the
Horchow Collection."|speech
72||"A dining room set APPEARS.  Jack, the cordless phone still
glued to his ear, walks INTO FRAME and continues."|stage direction
73|JACK|"No, I don't want Cobalt.  Oh, that
sounds nice.  Apricot."|speech
74||Jack opens a cabinet, takes out a plate.|stage direction
75|JACK (V.O.)|"I had it all.  Even the glass dishes
with tiny bubbles and imperfections,
proof they were crafted by the
honest, simple, hard-working
indigenous peoples of wherever."|speech
76||"He rummages through the refrigerator.  It's practically
empty.  Jack takes out a jar of mustard, opens it and uses
a butter knife to eat it."|stage direction
77||INT. DOCTOR'S OFFICE - DAY|location
78||"Jack, eyes puffy, face pale, sits before an INTERN, who
studies him with bemusement."|stage direction
79|INTERN|No, you can't die of insomnia.|speech
80|JACK|"Maybe I died already.  Look at my
face."|speech
81|INTERN|You need to lighten up.|speech
82|JACK|Can't you give me something?|speech
83|JACK (V.O.)|"Red-and-blue Tuinal, lipstick-red
Seconals."|speech
84||(overlapping w/ above)|location
85|INTERN|"You need healthy, natural sleep.
Chew valerian root and get some more
exercise."|speech
86||The Intern ushes Jack to the door.  They step into the...|stage direction
87||INT. HALLWAY|location
88||The Intern walks away from Jack, picks up a chart.|stage direction
89|JACK|I'm in pain.|speech
90||(facetious)|location
91|INTERN|"You want to see pain?  Swing by First
Methodist Tuesday nights.  See the
guys with testicular cancer.  That's
pain."|speech
