|character|text|type
0||"FLASH GORDON
Written by
Lorenzo Semple Jr."|unknown
1||FADE IN:|stage direction
2||EXT. WIDE AFRICAN LANDSCAPE - MORNING|location
3||"At first only darkness, then the rising sun paints in an
endless savanna from horizon to horizon. We hear savage drums
beating in the distance coming from some unknown place.
The sun clears the horizon. Suddenly it changes amazingly:
the white disc goes through a rapid series of color
transitions, from yellow to green to purple to an incredible
BLOOD RED. From it shoots a RED LIGHTNING BOLT.
The sky echoes with THUNDER.
We hear a HOWLING ethereal wind, but not a twig of the brush
stirs as bolt after bolt of RED LIGHTNING rips the sky, with
each one a TITLE or CREDIT appearing.
Under FINAL CREDIT snow is beginning to fall on the burning
blood-red savanna."|stage direction
4||EXT. PLANE IN FLIGHT - DAY|location
5||"I's a Twin Otter with the logo of some commuter airline. It
buzzes along over pleasant countryside, through a sky that's
almost unnaturally serene and filled with fleecy white clouds."|stage direction
6||INT. PLANE IN FLIGHT - DAY|location
7||"There are just two passengers in the cabin. One is DALE ARDEN,
a great looking dark-haired girl sitting by herself and
reading a book entitled ""KARATE FOR THE SINGLE GIRL.... A
Guide to Survival In The City."" A few rows forward, near the
open door into the pilots' compartment, is FLASH GORDON.
He's studying a football play-sheet, one of those diagrammed
things with X's and 0's for the players and dotted-line arrows
indicating the directions of movement.
Suddenly the plane makes a violent bump. It almost knocks
the book from DALE'S hand. She looks out the window with
sudden fright, tossing hair out of her eyes, in a gesture
that's habitual to her in moments of stress.
There's nothing to see outside but the pretty clouds. She
looks forward again and watches FLASH standing up easily,
leaning in t..e cockpit doorway to speak to the PILOTS."|stage direction
8||INT. PLANE/ COCKPIT - CONTINUOUS|location
9||(CO-P:ILOT, DALE, FLASH, PILOT)|stage direction
10|FLASH|"What was that, fellas?
2."|speech
11|PILOT|Clear-air turbulence, is all. Nothing|speech
12|"SERIOUS
CO-PILOT"|"But nothing you'd want to toss a
third-down pass through either --
(Grinning back at"|speech
13|FLASH)|"Can I have an autograph for my kid,
Mr. Gordon?"|speech
14|FLASH|Sure -- my pleasure.|speech
15||"As FLASH takes a bit of paper from the CO-PILOT, the plane
takes another jolt, even more violent than the first."|stage direction
16|PILOT|"Wow. Call Westchester Approach, see
what they've got."|speech
17|FLASH|"I sure hope we don't have to turn
back. I mean this is first day of
training camp, I wouldn't want to be"|speech
18|"LATE --
PILOT"|Seat-belt time.|speech
19||"FLASH starts back to his seat. The plane jumps again, shudders
violently. He holds on, calls up front:"|stage direction
20|FLASH|Maybe it'd be smoother if you went|speech
21|"HIGHER --
DALE"|"Will you SHUT UP?
(as FLASH's head"|speech
22|SWIVELS)|"Look, Mister Flash Gordon, they have
their hands full -- just let 'em
drive."|speech
23||INT. PLANE - CONTINUOUS|location
24||"(DALE, FLASH)
The plane buffets. FLASH is sent reeling, catches hold of
the rack above DALE, lowers himself into the seat next to
her. He buckles fast, takes out a candy bar and offers it
to her."|stage direction
25|SWIVELS)|3.|speech
26|FLASH|"When you're nervous, it can help to
chew on something"|speech
27|DALE|"Thanks a lot -- I look dumb enough
to take candy from a stranger?"|speech
28|FLASH|"I'm not a stranger exactly -- You
know my name."|speech
29|DALE|"Who doesn't. Number one draft pick,
cover of PEOPLE mag -- what'd the
GIANTS sign you for, eighty-nine
million? Big deal!"|speech
30|FLASH|Of course.|speech
31|DALE|"God, I hate flying -- I'm Dale Arden
it's crazy of me to hate flying --
I'm a travel agent, you see? -- I've
just been checking out a little hotel
in Vermont -- can I still have that
candy bar?
(and in the same breath)
Are we going backward?"|speech
32|FLASH|Backwards?|speech
33|DALE (GASP)|Holy cow! Look at the clouds!|speech
34||EXT. SKY - POV FROM PLANE WINDOW - DAY|location
35||"The pretty white clouds are changing above and beginning to
surround the airplane. Over the engines we HEAR that same
ethereal wind rising which we heard in the opening. Slowly
and terrifyingly, the sun starts turning BLOOD RED. The clouds
race faster, faster, until they are actually streaming past
the plane from behind."|stage direction
36||INT. PLANE - DAY|location
37||"FLASH and DALE -- faces bathed in the eerie light. Speechless-
DALE grasps the football player's hand with all her strength."|stage direction
38||EXT. A FANTASTIC GREENHOUSE - DAY|location
39||"It is a huge and rambling, antique, standing in semiruinous
isolation in a pretty country landscape. The sun has turned"|stage direction
40|DALE (GASP)|4.|speech
