|character|text|type
0||"Rev. April 26, 1971
THE FRENCH CONNECTION
by
ERNEST TIDYMAN and WILLIAM FRIEDKIN"|unknown
1||"DIRECTOR: William Friedkin
PRODUCER: Philip D'Antoni"|stage direction
2||EXT. LE VALLON|location
3||"Opening shot - High angle on Lincoln along small bay with
boats.
Ext. Bar - Waist to full figure Pan Right to Left.  Detective
comes out eating pizza, looking around.  He crosses street
and stops against wall of impasse Michael.
He looks O.S. left,
His POV - L.S. of Lincoln behind fishing nets.
Waist shot of Detective looking and eating.
M.S. of Lincoln.
C.S. of Detective looking O.S. Left.
Pan Right to Left with Charnier coming out from Fonfon with
three friends and they walk to the Lincoln.
Pan Left to Right with Lincoln passing in front of the
Detective."|stage direction
4||EXT. CAFE LA SAMARITAINE|location
5||"High angle from balcony.  Zoom on Detective seated at the
cafe, reading a newspaper.
Cut on Lincoln along sidewalk of the cafe, then zoom back to
discover Detective seated."|stage direction
6||EXT. MARSEILLE STREETS|location
7||"Low angle from stairs Rue des Repenties and Pan Left to
Right to Rue Sainte Francoise following the Detective.
Pan Left to Right with Detective from Rue des Repenties to
Rue Baussenque.
Low angle between Rue des Moulins and Rue des Accoules with
Detective passing by.
Ext. Rue du Panier - The Detective comes out from the bakery
camera Right and starts to climb up Rue des Moulins with his
bread."|stage direction
8||EXT. STREET|location
9||"High angle - on No. 50 Rue des Moulins.  Pan Left to Right
with Detective coming up the street with his bread and going
inside his house, starting to open his letter-box."|stage direction
10||2.|unknown
11||INT. CORRIDOR|location
12||"High angle - complete reverse.  As the Detective starts to
open his letter-box in B.G. a hand pointing a gun moves in
foreground and blows off half of the French Detective's head
with the first shot.
Cut to Nicoli C.S. who just fired."|stage direction
13||EXT. A BAR IN BED-STUY - DAY|location
14||"A large man in a Santa Claus suit and white beard is
entertaining a group of black children.  He leads them in
the singing of a Christmas Carol (Hark the Herald Angels
Sing).  The man is DETECTIVE FIRST GRADE JIMMY DOYLE.  His
attention is split between the children and the activity
inside the bar."|stage direction
15||INT. THE BAR - DOYLE'S POV - DAY|location
16||"The place is crowded with mid-day drinkers.  Dimly outlined
at the far end of the bar are TWO BLACK MEN involved in some
kind of transaction in which a package is exchanged for
money.  As the transaction seems to be completed, cut to"|stage direction
17||EXT. THE BAR - DAY|location
