|character|text|type
0||"HACKERS
Written by
Rafael Moreu"|unknown
1||"SEATTLE 1988
EXT. FRONT YARD.  DAY."|location
2||"Slow motion. Armed troops in black uniforms pour out of
unmarked vans and swarm across a lawn in a middle class
residential neighborhood. Yuppie neighbours look on in
shock, confused. Two of the troops carry a battering ram
to the front door of a white two-storey house. A leashed
Rottweiler snarls and barks. In position, their comrades
point M-16s into first-floor windows, ready to be
ambushed. Pan into a window in the kitchen. An
attractive woman in her thirties is making breakfast.
Now, in regular motion, the battering ram breaks open the
front door. The woman, startled, drops her spatula."|stage direction
3||INT. MURPHY RESIDENCE. DAY.|location
4|"WOMAN
(screams)"|Oough! Ahhh!|speech
5|"SECRET SERVICE AGENT
(to others)"|Upstairs.|speech
6||Troops pour into the house.|stage direction
7|WOMAN|"What's going on? What's the matter?
Who are you?"|speech
8||"The troops, and one or two trenchcoated agents, continue
entering the house and heading upstairs, still with rifles
ready."|stage direction
9|WOMAN|Hey!|speech
10||"Upstairs, crowded in the narrow hallway, the troops
descend on a bedroom."|stage direction
11|"WOMAN
(off camera)"|Dade! Dade!|speech
12|AGENT|Knock it down.|speech
13||The battering ram knocks down a bedroom door.|stage direction
14||INT. COURTROOM.|location
15||"The prosecutor, a woman of about forty, gives her closing
argument blandly. She'd rather be somewhere else."|stage direction
16|PROSECUTOR|"The defendant, Dade Murphy, who calls
himself ""Zero Cool"", has repeatedly
committed criminal acts of a malicious
nature. This defendant possesses a
superior intelligence, which he uses to a
destructive and antisocial end. His
computer virus crashed one thousand five
hundred and seven computer systems,
including Wall Street trading systems,
single handedly causing a seven point drop
in the New York Stock Market."|speech
17||"As she speaks, the camera pans across the court, panning
down and stopping on the defendant: eleven year old Dade
Murphy.
Fast forward to the sentencing."|stage direction
18|JUDGE|"Dade Murphy, I hereby fine your family
forty-five thousand dollars..."|speech
19||The court gasps, Dade's father winces|stage direction
20|JUDGE|"...and sentence you to probation, under
which you are forbidden to own or operate
a computer or touch tone telephone, until
the day of your eighteenth birthday."|speech
21||"Now Dade winces, in fact we almost expect him to cry.
Opening credits roll to a backdrop of Dade and his family
and lawyer fighting through a gaggle of journalists and
photographers, in slow motion, and driving away."|stage direction
22||SEVEN YEARS LATER.|unknown
23||"Aboard a jetliner, Dade Murphy is staring blankly out the
window, wearing headphones. Exterior view from the
aircraft of approaching New York City. The view becomes a
direct overhead of the buildings and streets of the city,
which then metamorphoses (through animation) into chips
and digital signals on a stylised computer board. The
title logo."|stage direction
24||INT. DADE'S ROOM.|location
25||"Segue to Dade Murphy, now 18, wearing mirrorshades indoors
and at night, working on his new computer. His mother
calls him."|stage direction
26|"MRS. MURPHY
(off camera)"|Dade?|speech
27|DADE|Yeah, mom?|speech
28|MRS. MURPHY|What are you doing?|speech
29|"DADE
(after a semi-pregnant pause)"|I'm taking over a TV network.|speech
30|MRS. MURPHY|"Finish up, honey, and get to sleep. And happy
birthday."|speech
31||INT. OTV STUDIOS.|location
32||"In the OTV Studios security department, a phone rings, a
man answers nervously."|stage direction
33|NORM|Security, uh Norm, Norm speaking.|speech
34|DADE|"Norman? This is Mr. Eddie Vedder, from
Accounting. I just had a power surge here at
home that wiped out a file I was working on.
Listen, I'm in big trouble, do you know
anything about computers?"|speech
35|NORM|Uhhmmm... uh gee, uh...|speech
36|DADE|"Right, well my BLT drive on my computer just
went AWOL, and I've got this big project due
tomorrow for Mr. Kawasaki, and if I don't get
it in, he's gonna ask me to commit Hari
Kari..."|speech
37|NORM|Uhhh.. ahahaha...|speech
38|DADE|"Yeah, well, you know these Japanese management
techniques."|speech
39|(pause)|"Could you, uh, read me the number on the
modem?"|speech
40|NORM|Uhhhmm...|speech
41|DADE|"It's a little boxy thing, Norm, with switches
on it... lets my computer talk to the one
there..."|speech
42|NORM|212-555-4240.|speech
43||"Dade goes to work on OTV. He closes his eyes and a flurry
of half-second video clips from old TV shows flashes by.
He opens his eyes. His screen says ENTERING ARPS 331 and
then wipes to another screen. Automated Record Playback
System. There is a graphic representation of the
station's automatic videotape changer. Dade turns on his
TV set and turns to OTV. It is running a Rush-Limbaugh
type TV show."|stage direction
44|"COMMENTATOR
(on TV)"|"...so-called American Indians, Latinos and
Blacks come from a genetically mediocre
stock..."|speech
45|DADE|Yak yak yak. Get a job!|speech
46||"Dade presses a key on his keyboard. The Video Changer
diagram lights up in red. At the station, a robotic arm
selects a videotape from a huge rack of thousands of
tapes.  The ""America First"" tape slides out of the VTR and
is replaced by an episode of ""The Outer Limits"" as Dade
watches, drinks Coke and smiles, full of himself."|stage direction
47|TV|"You are about to experience the awe and
mystery, which reaches from the inner mind,
to... The Outer Limits."|speech
48|DADE|Yesssss!|speech
49||"Suddenly, the ARPS screen is replaced by an ominous
message:"|stage direction
50||"U HAVE TREAD
UPON MY DOMAIN &
MUST NOW SUFFER
WHO R U?"|unknown
51|DADE|Hey! What?|speech
52||He starts to type ZERO...|stage direction
53|DADE|No, wait.|speech
54||Dade types:|stage direction
55||"CRASH OVERRIDE.
WHO WANTS TO KNOW?"|unknown
56||Dade's screen dissolves into:|stage direction
57||ACID BURN|unknown
58|DADE|Unbelievable. A hacker!|speech
59||Then the screen changes again:|stage direction
60||"ACID BURN
SEZ LEAVE B 4
U R EXPUNGED"|unknown
61||"""The Outer Limits"" suddenly flashes off."|stage direction
62|DADE|"Yeah, okay ""Acid Burn"", that's enough."|speech
63||"Dade starts hacking. Apparently so does Acid Burn. The
tape changer machines at OTV are swamped, sometimes
fighting over the same tape. The program on TV keeps
changing.
The message comes up on Dade's computer screen:"|stage direction
64||"I WILL
SWAT U LIKE
THE FLY U R"|unknown
65||"More dueling tape changers, more half second video clips.
Another message."|stage direction
66||"I WILL
SNAP YOUR BACK
LIKE A TOOTHPICK"|unknown
67||As the duel continues, Dade types back a taunt of his own:|stage direction
68||"MESS WITH THE BEST
DIE LIKE THE REST"|unknown
69||One last from Acid Burn:|stage direction
70||"YOU ARE
TERMINATED"|unknown
71||"Then his own computer confirms for him that the connection
is terminated."|stage direction
72|DADE|Shit on me!|speech
73||"Next morning. Mrs. Murphy is unpacking. Dade emerges
from his room in a housecoat. He makes a beeline (dodging
moving boxes) for the fridge."|stage direction
74|MRS. MURPHY|Good morning. You unpack your stuff yet?|speech
75|DADE|Mm-hmm.|speech
76|MRS. MURPHY|Up all night again, huh?|speech
77|DADE|"Can this wait until both my eyes are open,
please?"|speech
78||"Dade's mom picks up the phone, mocking a call to the
building superintendent."|stage direction
79|MRS. MURPHY|"Can I cut the electricity to his room so he'll
sleep normal hours? He's been playing with
his computer all night for a solid week."|speech
80|(pause)|"Well yes, he could be playing with himself.
Mmm hmm. Yes I'll ask. Dade, you like girls,
don't you?"|speech
81|DADE|"Well, yeah, I just haven't found one as
charming as you yet."|speech
82|MRS. MURPHY|"You haven't been doing anything stupid, right,
Dade?"|speech
83|(louder)|Right, Dade?!|speech
84|DADE|Right, mom. And I'm still a virgin!|speech
85||"Dade slams the bathroom door. Mrs. Murphy quickly checks
his room. Dade is showering."|stage direction
86|"MRS. MURPHY
(angry, through the bathroom door)"|"You hooked it up to the phone, didn't you?
Dade! Turn the shower off! You screw up
again and you won't get into college!"|speech
87||She pauses and regains some of her cool.|stage direction
88|MRS. MURPHY|"I'm sorry we had to move in your senior year.
I didn't want to sell the house but I had to
take this new job, you know that. You're
going to love New York, it's the city that
never sleeps!"|speech
89||EXT. NEW YORK CITY.|location
90||"We enjoy several views of New York, the morning sun
shining between skyscrapers, neon signs that stay lit day
and night. Dade emerges from the ground-floor apartment
on rollerblades and skates down the street to school."|stage direction
91||INT. HIGH SCHOOL.|location
92||"At school, hundreds of teenagers converse, move around,
head to class.  Dade looks lost among them. He walks up
to a skinny latino kid in a faux leopard-skin muscle
shirt. The kid is on a pay-phone, speaking in Spanish."|stage direction
93|DADE|Excuse me.|speech
94|KID|Yo, chill man, I'm talking to Venezuela.|speech
95|DADE|"Yeah, I'm sorry, I was just looking for the
principal's office."|speech
96|KID|Sorry, I can't help you, okay?|speech
97||"Now Dade really looks lost. He heads off in search of the
office."|stage direction
98||INT. OFFICE.|location
99||Dade is filling out a form.|stage direction
100|GIRL|Do you have your transfer forms?|speech
101||"Dade stares at her, stunned. The girl has a decidedly
unconventional appearance, yet is a first-rate beauty."|stage direction
102|GIRL|It's a relatively straightforward question.|speech
103||"Dade notices her lips, and in his imagination launches
into a flurry of half-second video clips and art bites,
all involving lips and kissing."|stage direction
104|GIRL|Do you speak English?|speech
105|DADE|Sorry, you wanted...?|speech
106|GIRL|I wanted transfer forms.|speech
107||He gives them to her.|stage direction
108|GIRL|Thank you.|speech
109||She starts leaving. He doesn't.|stage direction
110|GIRL|Are you coming?|speech
111||"Dade clues in, gets up and follows her. She takes him on
a brief tour."|stage direction
112||INT. HIGH SCHOOL CORRIDOR.|location
113|GIRL|"The gym is through there, and the cafeteria is
through there."|speech
114|DADE|Great. Cool.|speech
115|(pause)|What's your name?|speech
116|GIRL|Kate. Kate Libby.|speech
117||They arrive at a classroom.|stage direction
118|KATE|Here's your class.|speech
119|DADE|My... class. You mean I'm not in your class?|speech
120|KATE|No, you're not in my class.|speech
121||Kate starts away.|stage direction
122|DADE|Give me time!|speech
123||A guy in the halls notices Dade.|stage direction
124|GUY|Hey, you new?|speech
125|DADE|Yeah.|speech
126|GUY|Tell him about the pool, Kate.|speech
127|DADE|Pool?|speech
128|KATE|"Yeah, there's an Olympic size swimming pool up
on the roof. Take the stairs over there."|speech
129|DADE|Yeah! Sure.|speech
130||Kate starts away again.|stage direction
131|DADE|Thanks!|speech
132||EXT. SCHOOL ROOFTOP.|location
133||"Dade enters, and lets the door slam behind him. Across the
roof, a dozen or so geeky looking kids are looking over
the edge, apparently trying to get someone's attention.
One of them notices Dade."|stage direction
134|GEEK|Hey! Hold the door!|speech
135||He's too late. The geeks look pretty angry. There is no pool.|stage direction
136|"Dade
(realizing he's been had)"|No pool.|speech
137||"Dade tries the door but it's locked. He hammers it with
his palm, furious. Above, thunder roars and it begins
raining."|stage direction
138||INT. SCHOOL CORRIDOR.|location
139||"Dade is soaking wet, and trudges among his classmates
leaving a muddy trail. A three-second video clip rolls
through his mind: it is a screaming woman being strangled
in an old movie. He walks past Kate, who giggles."|stage direction
140|KATE|Oh my God! He found the pool.|speech
141||INT. SCHOOL COMPUTER LAB.|location
142||"The kids are all seated at computer workstations. Dade
is hacking, the latino kid who was on the phone to
Venezuela is running a demo involving dirty-dancing
skeletons."|stage direction
143|TEACHER|"I'm Mr. Simpson. And I'm subbing for Ms.
Bayliss who was arrested at the anti-fur
rally. I know some of you kids got computers
at home. But these are school property,
people, and I don't want to see any gum stuck
to 'em. Chapter 1. Designing graphical
interface..."|speech
144||"Meanwhile, the latino kid notices that Dade has been
looking up Kate Libby's school records. And hacking
himself into her advanced English class."|stage direction
145||EXT. SCHOOL QUAD.|location
146||"It's after school, kids are heading home, Dade too. The
latino kid notices Dade and catches up with him."|stage direction
147|KID|"So, um, what's your interest in Kate Libby,
eh? Academic? Purely sexual?"|speech
148|DADE|Homicidal?|speech
149|KID|What's up, man? I'm the Phreak!|speech
150||The name rings no bells with Dade.|stage direction
151|PHREAK|"The Phantom Phreak? The king of Nynex? I
know you play the game."|speech
152||"Another kid, younger and a little geeky looking, runs up
to Dade and The Phantom Phreak."|stage direction
153|JOEY|"Phreakphreakphreakphreakphreak,
dudedudedudedudedudedude... I gotta..."|speech
154|"PHREAK
(slaps Joey)"|Joey, Joey...|speech
155|JOEY|What? whatwhatwhat?|speech
156|PHREAK|"One more ""dude"" out of you and I'm gonna slap
the shit outa you, okay? Now I'm trying to
save you from yourself but you gotta stop
letting your mama dress you, man!"|speech
157|(To Dade):|Check it...|speech
158||Phreak starts to hand Dade a flyer.|stage direction
159|"JOEY
(interrupting)"|"I need a handle, man. I don't have an
identity until I have a handle."|speech
160|PHREAK|You know, you're right about that.|speech
161|(to Dade)|Check it, Friday.|speech
162||Phreak hands Dade a flyer for Cyberdelia.|stage direction
163|JOEY|"Alright. How about the Master of Disaster,
huh?"|speech
164|PHREAK|You're hopeless, man, utterly hopeless.|speech
165||Phreak walks away.|stage direction
166|JOEY|Ultra Laser.|speech
167|(desperate)|Doctor Doom!|speech
168||EXT. NEW YORK CITY STREET VILLAGE. NIGHT.|location
169||"Dade rolls in on rollerblades.  Street vendors hawk
computer parts and bootleg software. A bootleg music
vendor catches Dade's attention."|stage direction
170|CEREAL|"Check this out, each and every one of you.
Compilation tape, of my own making. I call
this the ""Greatest Zooks Album"". Featuring
artists like, well I got some Hendrix on
there, some Joplin, Mama Cass, Belushi... all
great artists that asphyxiated on their own
vomit!"|speech
171||The small crowd around him finally gets the joke.|stage direction
172|CEREAL|Can't get this in stores, man, I made it!|speech
173||"Dade wheels into Cyberdelia, which just happens to be
equipped with a ramp down to its main floor for the
benefit of skaters. The place pounds with loud, bassy
techno music and coloured light. Video monitors with
psychedelic patterns complete the atmopshere. There is a
video game with a huge screen.  Phreak is at a pay phone."|stage direction
174|"OPERATOR
(on phone)"|"Please deposit five dollars for the first
minute."|speech
175||"Phreak holds a small box up to the receiver, presses a
button, and the box emits a series of tones."|stage direction
176|OPERATOR|Thank you.|speech
177|PHREAK|Nonono, thank YOU!|speech
178||"Dade checks out the scene. Kate is playing the big video
game. Dade skates up to her. She loses her last man.
She's got the high score, in fact her name dominates the
top-10 list."|stage direction
179|DADE|That's a nice score for a girl.|speech
180|"KATE
(irritated by Dade's presence)"|Think you can do better?|speech
181|DADE|I'll give it a shot.|speech
182||"Kate yields the controls to Dade, who begins playing.
Kate's boyfriend looks on from a mezzanine several feet
above."|stage direction
183|CURTIS|Is this kid bothering you, Kate?|speech
