|text|type
0|"HANCOCK
Written by"|unknown
1|Vincent Ngo & Vince Gilligan|location
2|EXT. SKY - NIGHT|location
3|We are in the eye of a STORM, an angry mass of clo uds raging|stage direction
4|INT. APARTMENT - NIGHT|location
5|INT. SUBWAY TUNNEL - NIGHT|location
6|INT. APARTMENT - NIGHT|location
7|INT. BEDROOM - NIGHT|location
8|"Horns strikes
a He-man pose, his
biceps in the
wind.
He removes the Police apparel,
plastic. Proceeds to put it on."|stage direction
9|INT. RED|location
10|SUPERHERO|stage direction
11|INT. BEDROOM - NIGHT|location
12|INT. AARON'S ROOM - NIGHT|location
13|INT. HALLWAY - NIGHT|location
14|Mary inches closer - passion oozes from every pore. She nestles|stage direction
15|Horus stands uncoordinated, pressing his hands against her back.|stage direction
16|Mary caresses his neck. Moves her lips to his ear, enraptured|stage direction
17|She marches back into the kitchen. Horus stares at his feet.|stage direction
18|"He settles for the door, grabs hisjac ke , coffee thermos. A
look at Mary and he's out thedoo rt"|stage direction
19|INT. KITCHEN - NIGHT|location
20|"pop a boner inoud e
And while the storm rages outside, Mary burns in a feverish"|stage direction
21|Mary gazes out at the wet abyss, possessed by some inner|stage direction
22|INT. MOTEL ROOM (7F) - NIGHT|location
23|of bodily discharge. No self-rem n� g maggot would want to be|stage direction
24|EXT. SHEEPSHEAD BAY - DAY|location
25|INT. KITCHEN - DAY|location
26|"his shirt.
_the complete morning routine. Her maternal h'ahdf
Stay inside.
AARON
(IRRITATED)
I don't need you walking
me to school."|stage direction
27|"MARY
not listening
.Lalalala...
AARON
(in disbelief)
I got the only mother
does this. in the world that
I'm not lisMARY g. Lalalala..,"|stage direction
28|INT. WATANABE'|location
29|"S SHOPPING EMPORIUM - THI
RD FLOOR - DAY"|stage direction
30|It dances over the consoles of H|stage direction
31|, his flashli ht , stereo|stage direction
32|"s the stairs g - down. howrooms
Horus passes the
second floor."|stage direction
33|INT. FIRST FLOOR - DAY|location
34|"Horus crosses the floor
to the back,. to where"|stage direction
35|in a deep|stage direction
36|The badge and uniform reveal|stage direction
37|is your uncle lostjck sexuallytdeviant|stage direction
38|"CHSTICK
Horns stands over Roheim's slumpne ss. Removes a
from his own pocket. handkerchief"|stage direction
39|INT. RED EYE MOTEL (7F) - DAY|location
40|EXT. WATANABE'S SHOPPING EMPORIUM - DAY|location
41|EXT. ROOFTOP - DAY|location
42|EXT. SHEEPSHEAD BAY - DAY|location
43|EXT. STREET - DAY|location
44|INT. NICK'S MARKET - DAY|location
45|Artichokes! Mary handles an artichoke, contemplating. NICK (30),|stage direction
46|grimy, rebuilt carb in uretor He's|stage direction
47|EXT. STREET - DAY|location
48|INT. BANK - DAY|location
49|EXT. BANK - DAY|location
50|INT. BANK - DAY|location
51|INT. CLASSROOM - DAY|location
52|Class.is in session, captained by ravishing MS. MILLIS (28).|stage direction
53|INT. BANK - DAY|location
54|INT. BANK - DAY|location
55|EXT. BANK - DAY|location
56|INT. BANK - DAY|location
57|INT. BANK DAY|location
58|EXT. BRADLEY ELEMENTARY - DAY|location
59|EXT. BANK - DAY|location
60|INT. BANK - DAY|location
61|EXT. BANK - DAY|location
62|INT. BANK - DAY|location
63|EXT. BANK - DAY|location
64|INT. BANK - DAY|location
65|EXT. BANK - DAY|location
66|INT. BANK - DAY|location
67|INT. BANK SAFE - DAY|location
68|INT. BANK - DAY|location
69|EXT. ALLEY - DAY|location
70|- his body eternally locked within the stranglehold of SPENGLER|stage direction
71|EXT. BANK - DAY|location
72|EXT. STREET - DAY|location
73|EXT. APARTMENT - DAY|location
74|EXT. BUILDING - DAY|location
75|EXT. OPPOSITE BUILDING - DAY|location
76|EXT. STREET - DAY|location
77|INT. APARTMENT - NIGHT|location
78|INT. BROWNSTONE - NIGHT|location
79|EXT. STREET - NIGHT|location
80|CUT TO:|stage direction
81|EXT. ALLEY - NIGHT|location
82|INT. WATANABE'S SHOPPING EMPORIUM - NIGHT|location
83|INT. APARTMENT - NIGHT|location
84|INT. BAR - NIGHT|location
85|EXT. BAR - NIGHT|location
86|INT. BEDROOM - NIGHT|location
87|EXT. SKY - NIGHT|location
88|INT. BEDROOM - NIGHT|location
89|EXT. ALLEY - NIGHT|location
90|INT. BEDROOM - NIGHT|location
91|EXT. ALLEY - NIGHT|location
92|CUT TO:|stage direction
93|EXT. STREET - DAY|location
94|EXT. ALLEY - DAY|location
95|EXT. SCHOOLYARD - DAY|location
96|EXT. ROOFTOP - DAY|location
97|EXT. STREET - DAY|location
98|INT. BEDROOM - NIGHT|location
99|INT. LIVING ROOM - DAY|location
100|INT. KITCHEN - NIGHT|location
101|INT. KITCHEN - NIGHT|location
102|INT. KITCHEN - NIGHT|location
103|INT. APARTMENT - NIGHT|location
104|EXT. APARTMENT - NIGHT|location
105|INT. DONUT SHOP - NIGHT|location
106|INT. AARON'S BEDROOM - NIGHT|location
107|CUT TO:|stage direction
108|EXT. SHEEPSHEAD - NIGHT|location
109|INT. WATANABE'S SHOPPING EMPORIUM - NIGHT|location
110|EXT. ROOFTOP - NIGHT|location
111|EXT. SOMEWHERE - NIGHT - DREAM SEQUENCE|location
112|INT. RED EYE MOTEL - NIGHT|location
113|CUT TO:|stage direction
114|INT. WATANABE'S SHOPPING EMPORIUM -DAY|location
115|EXT. WATANABE'S SHOPPING EMPORIUM - DAY|location
116|EXT. APARTMENT - DAY|location
117|EXT. SCHOOLYARD DAY|location
118|EXT. SKY - DAY|location
119|EXT. STREET - DAY|location
120|EXT. LIQUOR STORE - DAY|location
121|EXT. STREET - DAY|location
122|EXT. STREET - DAY|location
123|EXT. STREET - DAY|location
124|CUT TO:|stage direction
125|EXT. STREET - DAY.|location
126|EXT. ALLEY - DAY|location
127|EXT. ALLEY - DAY|location
128|INT. BEDROOM - DAY|location
129|EXT. STREET - DAY|location
130|INT. APARTMENT - NIGHT|location
131|INT. BEDROOM - NIGHT|location
132|INT. APARTMENT - NIGHT|location
133|INT. APARTMENT - NIGHT|location
134|INT. APARTMENT - NIGHT|location
