|character|text|type
0||"by
Gregory Widen
1  EXT. STREET - NIGHT                                               1
Garish purple light spills out of side-street porno houses,
illuminating a silhouette, and little else, of a MAN leaning
against an alley wall.
He is waiting.
Another silhouetted FIGURE appears and approaches the first.
They size each other up as best they can."|unknown
1|FIRST MAN|MacLeod.|speech
2||"The second nods.
The first without hesitation raises a sword, the intended
thrust interrupted by his own death as the second with a flash
of metal severs the agressor's head.
2  INT. HUTCH - MORNING                                              2
A 15th century Scottish home.
A haggard WOMAN, her small CHILD clinging to a tattered apron,
stands hunched over a glowing hearth.  Her veined hands drag
a wooden spoon around and around through a soot-covered pot
of grey soup.
From an adjoining room CONOR MACLEOD, a young man dressed up
in his best traditional Celtic tartan, enters."|unknown
3|MOTHER|"My, but are you the
picture."|speech
4|CONOR|"(surveying himself)
It's a bit tight."|speech
5||His FATHER enters with a pail of milk.|unknown
6|FATHER|"Ah, Conor, how you look
a man."|speech
7|MOTHER|"Have you time for some-
thing to eat?"|speech
8|CONOR|"No, Mother.  They'll be
here shortly."|speech
9||Conor's father looks him over with pride.|unknown
10|FATHER|"Your grandfather wore
that in his service to
the King, and I to fight
for the Duke."|speech
11|MOTHER|Must he go?|speech
12|FATHER|"Aye.  It is his duty.  All
of ours."|speech
13|MOTHER|But Ian, he's still but a boy.|speech
14|FATHER|He's a MacLeod.|speech
15|CONOR|I'll be fine Mother.|speech
16||"3  EXT. HUTCH - MORNING                                              3
Several HORSEMEN gallop up through the early morning fog to
the cottage door.
Conor's father steps out to meet them.
4  EXT. HILLTOP - MORNING                                            4
A massive KNIGHT sits astride his horse, moorish dew cling-
ing to his helmet and breastplate.  A CLANSMAN hikes up the
heather-carpeted slope to him."|unknown
17|CLANSMAN|They march.|speech
18|KNIGHT|Is the boy among them?|speech
19|CLANSMAN|Aye.|speech
20||"5  EXT. ALLEY - NIGHT                                                5
The second kneels to examine the headless body of the first.
With a CLACK a window, high on the alley wall, closes.
6  EXT. HIGHLAND PLAIN - MORNING                                     6
The DUKE is leading a brigade of CLANSMEN out onto the plain.
Mounted VASSALS ride back and forth inspecting the line.  The
low fog makes it impossible to see beyond a few yards.  There
is an erie, smothering silence."|unknown
21|VASSAL #1|Is a bad day for this.|speech
22|VASSAL #2|"The Duke has been compro-
mised.  He will have his due."|speech
23|VASSAL #1|"By day's end he will have
our heads."|speech
24|VASSAL #2|"We ride against the Suther-
lands.  That is all that
matters."|speech
25|VASSAL #1|This makes no sense to me.|speech
26||"CONOR
And a friend are marching through the moist heather."|unknown
27|FRIEND|"The fog is bad.  We cannot
even see the sides of our
own ranks."|speech
28||Conor's nervousness is showing.|unknown
29|FRIEND|Is this your first?|speech
30|CONOR|Aye.|speech
31||SHOUTING is heard on the plain.|unknown
32|FRIEND|It's begun.|speech
33||"7  EXT. HILLTOP - MORNING                                            7
The Knight, above the fog, hears the battle commence below.
He spurs his horse and starts down into the mist.
8  EXT. PLAIN - MORNING                                              8
The two opposing clans are now one confused mass of tartan
and clashing swords.  The air is charged with SHOUTS of ex-
citement, agony, and the SHRILL of bag pipes.
The fog has made each man's battle his own, each isolated with
his opponent.
THE KNIGHT
Rides calmly through the fracas.  He strikes and kills those
that assault him, but appears disinterested in battle.
He is looking.
CONOR
Is standing above the twitching body of his friend.
Alone and confused, Conor has become seperated from the clan.
He stumbles through the fog, seeking help.
Suddenly he is alone with the Knight.
The face of iron locks its gaze onto the boy.  His fear turned
to panic, Conor turns and flees.
The Knight, his resolve steeled in a raised sword, kicks his
horse into persuit.
Conor is easily overtaken and on his first pass the Knight
brings his blade down hard into Conor's shoulder, slicing
open most of the boy's back and knocking him face-first into
the heather.
As Conor watches his own blood spew forth, he rolls over in
time to see the Knight dismount and start for him.
THE KNIGHT
Leans down next to Conor, his metal face nearly against the
boy's.  His voice slithers out of the iron in almost a whisper."|unknown
34|KNIGHT|There can be but one.|speech
35||"A CLANSMAN
Charges out of the fog and attacks the Knight, who cuts him
nearly in half.  ANOTHER wanders in and meets the same fate.
The battle is shifting to where they are.
Not finished yet with Conor, the Knight is finding himself
forced into retreat from an ever increasing number of assail-
ants.
A VASSAL
Sees his men being hacked apart trying to stop the now-mounted
Knight."|unknown
36|VASSAL #1|Leave him!|speech
37||"The clansmen obey.
With the slap of an armored gauntlet against his steed, the
Knight disappears into the fog.
The Vassal surveys the carnage before him.  His eyes fall a
moment on the moaning, gurgling Conor.
The Vassal turns and leaves the boy for dead.
9  EXT. ALLEY - NIGHT                                                9
A patrol car pauses at the mouth of the alley.
The figure considers his situation, then quickly shoves his
sword into a near-by drain.  He straightens up and waits.
AN OFFICER
Steps out of his unit and cautiously walks forward.  His PARTNER
switches on the patrol car's side lamps, bathing the alley
in a harsh glare.
MAN IN ALLEY
For the first time we can see his face.  RICHARD TAUPIN, clad
in a well-cut business suit, looks exactly like Conor.
The police officer, upon seeing the body, grabs instinctively
for his pistol.  He yells to his partner now coming into the
alley."|unknown
38|OFFICER #1|Kevin!  Get is a backup.|speech
39|TAUPIN|"I was merely walking by
when-"|speech
40|OFFICER #1|Don't move.|speech
41||"The officer has his pistol out and leveled.
His partner runs up, shotgun in hand."|unknown
42|OFFICER #2|They're on their way.|speech
43||His voice cuts short as the blood flows against his shoe.|unknown
44|OFFICER #2|Christ.|speech
45||10  INT. HUTCH - NIGHT                                              10|unknown
46||"Conor lies moaning on a cot.  Makeshift bandages wrap his
body, stained and pasted by thick, dried blood.
The family surrounds their dying son.
A PRIEST is delivering the last rites."|stage direction
47|PRIEST|"...Libera Domine Animan
servi tui sicut libertasi
David de manu regis Saul..."|speech
48||His sobbing mother holds a compress to Conor's forehead.|stage direction
49|PRIEST|"...In mamus tuas domine
commendo spiritum meum..."|speech
50||11  EXT. HUTCH - NIGHT                                              11|unknown
51||"A Vassal rides up to the hutch, dismounts, and approaches a
CLANSMAN standing in the open doorway."|stage direction
52|VASSAL #1|Has the boy died?|speech
53|CLANSMAN|"He is having the last rites
now.  It should be over by
morning."|speech
54|VASSAL #1|"Never seen anybody cut as
bad live so long.  He should
have died on the field."|speech
55|CLANSMAN|"Tonight or tomorrow, it's
all the same."|speech
56||"The Vassal peers inside at the priest administering the
sacraments."|stage direction
57|PRIEST|"...Auditorium nostrum in
nomine domini..."|speech
58|VASSAL #1|This has been a dark day.|speech
59|PRIEST|...Requiescant in pace...|speech
60||12  EXT. ALLEY - NIGHT                                              12|unknown
61||"There is a bustle of activity.  Setting up barricades, uni-
formed OFFICERS are trying to keep NEW CREWS and curious
ONLOOKERS at a distance.
DETECTIVE LT. MORAN
Lean, fortyish, and comfortable with the gore in front of him,
is inspecting the corpse with a MEDICAL EXAMINER."|stage direction
62||(studying body)|unknown
63|EXAMINER|"Real clean.  No sawing
action at all.  Whatever
it was did it in one
swipe."|speech
64||(looks up at Moran)|unknown
65|EXAMINER|Like the other one.|speech
66||Moran gestures to a sword, wrapped in plastic, lying nearby.|stage direction
67|MORAN|What about that?|speech
68|EXAMINER|Hasn't any blood on it.|speech
69||(looking around)|unknown
70|MORAN|"About the only thing
that doesn't."|speech
71|EXAMINER|"I'll give it a closer
look when I get back."|speech
72||"BRENNA CARTWRIGHT
Pretty but not beautiful, thirtyish, she exudes a sort of
insolent intelligence.
An OFFICER sees her duck under a police barricade."|stage direction
73|OFFICER #3|"Come on Brenna, you know
better than that."|speech
74|BRENNA|I'm invited.|speech
75||"She walks to where the medical examiner is organizing his
equipment."|stage direction
76||(greeting)|unknown
77|BRENNA|Mr. Levine...|speech
