|character|text|type
0||"INDIANA JONES IV
a.k.a. Indiana Jones and the Monkey King
a.k.a. Indiana Jones and the Garden of Life
A Screenplay by
Chris Columbus
FIRST DRAFT
2/10/95"|unknown
1||"UNDERWATER - CLOSE-UP: A brightly colored FLY, attached to a dangling,
fishing line. A large SALMON swims to the fly. The salmon EXAMINES the
fly, deciding whether or not to bite.
CAMERA PANS UPWARD, tracking the line and moving OUT OF THE WATER. We
PASS the crooked boards of a small ROWBOAT and continue to PAN UPWARD.
A MAN reclines in the boat. NAPPING. His hands gently grip a WOODEN
FISHING POLE. He is handsomely dressed in SPORTSMAN'S trousers and a
blazer. His green, tweed fishing hat is lowered OVER HIS FACE. Its
brim is filled with various types of TACKLE and BAIT.
It is DUSK. A warm, SUMMER evening. The boat rests on a calm lake,
surrounded by MOORS. Thick night FOG has begun to settle over the
entire area.
TITLE: SCOTLAND. 1937.
Suddenly, the man's fishing line becomes TAUT. The wooden pole
BUCKLES. The man STIRS. He SITS UP, moving the hat from his face.
CAMERA DOLLIES FORWARD, into a CLOSE UP of the man. It is INDIANA
JONES. His face ANXIOUS... HOPEFUL... Indy begins to REEL in his
catch.
A VOICE interrupts. In the DISTANCE."|stage direction
2|MACGOWAN (O.S.)|Doctor Jones!... Doctor Jones !...|speech
3||"Indy TURNS to the direction of the sound, still STRUGGLING with the
line.
INDIANA'S POV
Countless ORANGE FLAMES sparkle across the moors. The TORCHES are
being carried by several members of a small village. The VILLAGERS are
gathered behind a group of SIX POLICEMEN. The policemen are headed by
INSPECTOR ANGUS MACGOWAN, a plump, balding fellow, with a veiny,
bulbous nose, beady green eyes and a thick, curled red moustache.
MacGowan SHOUTS to Indy."|stage direction
4|MACGOWAN|We need your assistance!|speech
5||"(struggling with the
fishing line)"|location
6|INDIANA|"C'mon, Mac... It's the first bite
I've had all week..."|speech
7|MACGOWAN|Please... It's very importantl...|speech
8||"Indiana STRUGGLES a bit longer with the line. But his conscience
prevails and Indy DROPS the fishing pole. With a GRUMBLE, he ROWS back
to shore.
THE MOORS - SEVERAL MINUTES LATER
NIGHT has fallen. It is very DARK. A RELUCTANT Indiana has joined the
Inspector and the other Policemen. They LEAD the townspeople along the
foggy moors. Slowly, carefully, the villagers SEARCH... CREEPING...
their faces tense, many unable to hide their FEAR. A summer wind sends
an eeire HOWL whistling through the night air. Blue MOONLIGHT bathes
the moors, creating stark, frightening shadows.
An expression of ANGER and ANNOYANCE cover Indiana's face. He GRUMBLES
to MacGowan."|stage direction
9|INDIANA|Do you value our friendship, Mac?|speech
10|MACGOWAN|More than me' nightly pint.|speech
11|INDIANA|"Then this better not be some wild
goose chase..."|speech
12|MACGOWAN|"T'ain't wild geese we're after,
Doctor Jones. You got me' word on
that..."|speech
13||(sincere)|location
14|MACGOWAN|"...and a MacGowan's word is truer
than an angel's kiss!"|speech
15||"There is a sudden SCREAM! One of the villagers STUMBLES UPON
something. Everyone GATHERS around the villager.
A CORPSE lies before them. The body has a somewhat rubbery appearance,
as if all of its bones had been BROKEN. The man's pale, greenish face
is FROZEN in a hideous grimace. Indiana and MacGowan STARE in shock.
The villagers WHISPER among themselves."|stage direction
16|YOUNG MAN|Scotty Ferguson.|speech
17|OLD WOMAN|He's the eighth.|speech
18|MAN|"Just like the others...all his bones
busted...crushed..."|speech
19|OLD MAN|"Whatever's killin' people around
here ain't human."|speech
20||(pointing OFFSCREEN)|location
21|WOMAN|It's there! Again!|speech
