|character|text|type
0||"""THE ITALIAN JOB""
Screenplay by"|unknown
1||Donna Powers and Wayne Powers|location
2||"Based on the 1969 screenplay by
Troy Kennedy-Martin
December 21, 2001"|unknown
3||FADE IN:|stage direction
4||EXT. THE PORT OF GENOA, ITALY - NIGHT|location
5||"Forklifts RUMBLE. Workers WIPE FRAME. All the bustle and
cacophony of a major seaport.
We FIND ourselves focusing on ONE LARGE CRATE. With the
GRINDING of gears, a crane lifts it off the dock and carries
it onto a ship."|stage direction
6||INT. HOTEL ROOM - SAME TIME|location
7||"Through night-vision binoculars, CHARLIE CROKER, 28, watches
the mysterious crate. Charlie is young to run his own crew
but he's a born leader."|stage direction
8|CHARLIE|Lyle?|speech
9||"SWISH PAN TO: LYLE, 21, brilliant and punctilious, fingering
the keyboard of his strap-on supercharged laptop."|stage direction
10|LYLE|"I've got the orbital data and SV
clock corrections for each satellite
that gets the signal. That'll make
my reading as solid as the Precise
Positioning Service that only the
D.O.D. can use. We're talkin' 100
meter horizontal accuracy, 156 meter
vertical accuracy, .340 nanoseconds
time accuracy."|speech
11||"SWISH PAN TO: STEVE, 30, bearded. Steve has an arrogant
confidence mixed with the hint of a smile."|stage direction
12|STEVE|Why can't he talk like a person?|speech
13|CHARLIE|...Because he's not.|speech
14|LYLE|I do need one more thing, Charlie.|speech
15|CHARLIE|What's that?|speech
16|LYLE|"Someone to turn the goddamn homing
device on. No signal, no score."|speech
17||(to Steve)|location
18|CHARLIE|Where're the Italians?|speech
19|STEVE|Patience.|speech
20||INT. HUMVEE (MOVING) - SAME TIME|location
21||"The driver is HANDSOME ROB, 30. Riding shotgun is HALF-EAR,
35, immersed in a book: Albert Einstein Creator & Rebel.
Half-Ear is a large black man with a Southern accent and a
hearing aid."|stage direction
22|HANDSOME ROB|What's that shit?|speech
23|HALF-EAR|"A book. It's called reading. You
should try it some time."|speech
24||Handsome Rob holds up three fingers.|stage direction
25|HANDSOME ROB|"You wanna read something. Read between
the lines."|speech
26|HALF-EAR|"Well here's something even you can
relate to. Albert got a lotta trim.
That genius thing is a babe magnet."|speech
27|HANDSOME ROB|Lemme see that book.|speech
28||INT. HOTEL JEWELRY SHOP - SAME TIME|location
29||"The final member of the crew, JOHN BRIDGER, 50s, is a tasteful
man buying a very tasteful, and very expensive, diamond
necklace. The saleswoman wraps it up as he dials a number on
his cell phone."|stage direction
30|STELLA (V.O.)|Hello?|speech
31|JOHN BRIDGER|Hi, sweetie.|speech
32||INT. STELLA'S CONDO - PHILADELPHIA - INTERCUT|location
33||"STELLA BRIDGER, 27, crushingly attractive, has just stepped
out of the shower, hair still wet, body wrapped in a towel."|stage direction
34|STELLA|Daddy. How are you?|speech
35|JOHN BRIDGER|I'm sending you something.|speech
36|STELLA|Really? Does it smell nice?|speech
37|JOHN BRIDGER|No. But it's sparkly.|speech
38|STELLA|Does it come with a receipt?|speech
39|JOHN BRIDGER|"I'm having it sent to you from the
store."|speech
40||(toweling her hair)|location
41|STELLA|"Why not bring it by yourself? We
could have dinner."|speech
42||He leaves the store and heads for the HOTEL ELEVATOR.|stage direction
43|JOHN BRIDGER|Be a long trip. I'm in Genoa.|speech
44||She doesn't like the sound of that.|stage direction
45|STELLA|"Let me guess. Checking out the
birthplace of Christopher Columbus."|speech
46|JOHN BRIDGER|Something like that.|speech
47|STELLA|With your parole officer's approval.|speech
48||He steps into the elevator. Rides up.|stage direction
49|JOHN BRIDGER|"I think I've paid my P.O. my last
visit. I liked the guy, but we never
really connected."|speech
50|STELLA|"What are you into, Dad? Don't break
my heart. You told me you were
through."|speech
51|JOHN BRIDGER|After this, I swear to you, I am.|speech
52|STELLA|"You promised me. Daddy, don't do
this."|speech
53||"The elevator door opens, Bridger steps out and starts down
the hall."|stage direction
54|JOHN BRIDGER|"Everything's going to be fine. I've
got to go now. I love you. Bye."|speech
55||He clicks off then uses his card key to step into the --|stage direction
56||INT. HOTEL ROOM - CONTINUOUS|location
57||He eyes Charlie, who looks pretty tense.|stage direction
58|JOHN BRIDGER|Italians?|speech
59|CHARLIE|Not yet.|speech
60|STEVE|"Don't worry, they'll come through.
You can trust these guys."|speech
61|JOHN BRIDGER|"I trust everyone. It's the devil
inside them that I don't trust."|speech
62||(then, to Charlie)|location
63|JOHN BRIDGER|Got a sec?|speech
64|CHARLIE|My office.|speech
65||INT. HOTEL BATHROOM - NIGHT|location
66||They step inside, Charlie closing the door.|stage direction
67|JOHN BRIDGER|How you feeling, boss?|speech
68|CHARLIE|Fine. I'm fine, fine.|speech
69||Bridger seems amused by that answer.|stage direction
70|JOHN BRIDGER|"You know what fine, stands for, don't
you? Fucked-up, Insecure, Neurotic,
and Emotional."|speech
71|CHARLIE|"You've become quite the philosopher
since you quit drinking."|speech
72|JOHN BRIDGER|You don't like me sober?|speech
73|CHARLIE|"No, I'm glad. Makes you a better
thief."|speech
74||"Bridger pulls out a fine cigar, still in its wrapper, hands
it to Charlie."|stage direction
75|JOHN BRIDGER|For after the haul.|speech
76|CHARLIE|"Hope I get to fire it up. If Steve's
Italians are a no-show, it's three
months prep down the shitter and
I've dragged you out of retirement
for nothing."|speech
77|JOHN BRIDGER|"This is kinda nice. You being the
boss with all the worries, me just
along for the ride."|speech
78|CHARLIE|Ain't you sweet...|speech
79||From the other side of the door, they HEAR --|stage direction
80|STEVE (O.S.)|Charlie!|speech
81||INT. HOTEL ROOM - NIGHT|location
82||"Charlie takes the binoculars from Steve. He SEES TWO ITALIAN
CUSTOMS INSPECTORS climbing onboard the ship."|stage direction
83|CHARLIE|Your Italians.|speech
84|STEVE|Yup. Dixie cups.|speech
85|CHARLIE|Dixie cups?|speech
86|STEVE|"I toss 'em away if there's a problem
down the road."|speech
87||EXT. SHIP - NIGHT|location
88||"In ITALIAN, the Inspectors quiz the NERVOUS CAPTAIN about
the mysterious crate.
One Inspector takes a crowbar and yanks out several strips
of plywood, REVEALING unmarked cardboard boxes inside. The
other Inspector pulls out one of the boxes and tears it open.
It is filled with tomatoes. He takes a bite out of one.
Nods. Everything seems to be order. The Captain looks
relieved. The inspector closes the cardboard box but...
Watch carefully now, because as he does this, he hits a power
button on a small HOMING DEVICE and stuffs it in with the
tomatoes..."|stage direction
89||INT. HOTEL ROOM - SAME TIME|location
90||"On Lyle's computer screen, a pulsating dot appears, BEEPING,
sending out precise longitude and latitude."|stage direction
91|LYLE|"For those about to rock, we salute
you."|speech
92||Charlie dials his cell phone.|stage direction
93||INT. HUMVEE (MOVING) - INTERCUT|location
94||Handsome Rob answers.|stage direction
95|HANDSOME ROB|Yeah.|speech
96|CHARLIE|Let's get rich.|speech
97||"Handsome Rob pulls over. They're at the port. They can see
the mysterious crate being lowered into the ship's hold.
Half-Ear climbs out, taking a large duffel bag with him."|stage direction
98||CUT TO:|unknown
99||EXT. SHIP (DOCKED) - LATER, NIGHT|location
100||"The Captain is doing his final checks before launch. OUR
CAMERA DROPS to --
BENEATH THE WATER
where we FIND Half-Ear, in scuba gear, applying Nitramon
explosive primer to the hull of the ship."|stage direction
101||INT. HUMVEE (MOVING) - NIGHT|location
