|character|text|type
0||"""THE LONG KISS GOODNIGHT""
by
Shane Black
REVISED DRAFT
February 24, 1995"|unknown
1||"A WINDOWPANE
Assaulted from without by SNOWFLAKES. Wind tossed.
INSIDE, a bed, dappled with moon shadow. A LITTLE GIRL, fast
asleep. The wind whistles and sighs outside. She DREAMS...
Eyelids closed, eyes roving beneath... then suddenly they
SNAP open. A stifled cry. She thrashes for her STUFFED BEAR,
as a soft voice says:"|stage direction
2|VOICE|Shhhhh.|speech
3||"And there's MOM, kneeling beside her. Vague shape in the
dimness. The full moon throws light across one sparkling
eye."|stage direction
4|LITTLE GIRL|Mommy, the men on the mountain...!|speech
5|MOM|Shhhh. Gone, all gone now.|speech
6||(strokes her hair)|location
7|MOM|"I'm here. Mommy's always here and no
one can ever hurt you. Safe now...
safe and warm... snug as a bug in a
rug."|speech
8||(beat)|location
9|MOM|"I'll sit with you, think you can
sleep?"|speech
10|LITTLE GIRL|Turn on the nightlight.|speech
11||"The mother nods. Passes her left hand gently over the girl's
forehead."|stage direction
12|MOM|Close your eyes now. I love you.|speech
13||"The child subsides, breathing steady. Eyes closed. The mother
rises. Regards her through the dimness. Slowly turns, heads
for the door. Flicks on a Winnie the Pooh NIGHTLIGHT --
Her entire right forearm is slicked with blood. More blood
on her Czech-made MP-5 machine gun.
She staggers just a little... barely noticeable. Passes out
on the light. Into darkness. Sits beside her daughter's bed.
The child sleeps peacefully. Outside snow slithers at the
glass.
FADE OUT. Pause. Blackness.
FADE IN:
It's snowing in southwestern Ohio. Before us, nestled in the
rolling hills: a postcard slice of suburbia. SUPER the legend:"|stage direction
14||"UPPER SANDUSKY, OHIO.
Three Weeks Earlier."|unknown
15||"Peaceful. Serene. It's the town in the glass bubble, the one
God shakes to watch it snow..."|stage direction
16||EXT. SUBURBAN STREET - DAY|location
17||"CHILDREN, dozens of them, bursting from houses. Slapping of
screen doors. A HORSE-DRIVEN SLEIGH is rattling down Main
Street. Flanked by kids. Christmas carols, droning from
loudspeakers.
HAPPY, LAUGHING SANTA waves howdy, chortling his ""Ho's"" in
groups of three, meanwhile he's really a grizzled old fire
marshall named EARL, freezing his nuts off.
Beside him sits MRS. CLAUS, about whom we notice two things:
First, she's the June in this June/December pair -- and
second, she's to kill for, an effortlessly beautiful woman.
For the record, meet SAMANTHA CAINE."|stage direction
18|SAMANTHA|How you holdin' up?|speech
19|EARL|Freezing my nuts off.|speech
20||Santa produces a bottle of Seagrams. Starts to open it.|stage direction
21|SAMANTHA|*Put that away*.|speech
22||"Earl complies, grumbling. Some teenage burnouts howl from a
street corner:"|stage direction
23|BURNOUT|Ow! Mrs. Claus is HOT!|speech
24||Samantha squirms in her seat, scowling.|stage direction
25|SAMANTHA|"I can't take it, Earl, this dumb
costume is giving me a wedgie. Driving
me crazy, but there's these *kids*
here --"|speech
26|EARL|Right, you don't wanna be rootin' --|speech
27|SAMANTHA|"In front of little Billy, age four,
yeah. ""Look, Mommy, Mrs. Claus chooses
to go butt-mining."""|speech
28|EARL|This is little Billy talking?|speech
29|SAMANTHA|Age four, kid's unbelievable.|speech
30||(sighs)|location
31|SAMANTHA|I'm too old for this, Earl.|speech
32|EARL|"Yeah, yeah. Spare me, I got a prostate
the size of a melon."|speech
33||Samantha stares at him.|stage direction
34|EARL|"Seriously, half my life's a doctor's
hand up my ass, I should marry the
fucker."|speech
35|SAMANTHA|"Say that a little louder, there's a
kid in back didn't catch it."|speech
36|EARL|"It's not that fucking little Billy
again, is it?"|speech
37||"SERIES OF SHOTS:
Throughout the following NARRATION, we watch Sam: 1) Rallying
the varsity CHEERLEADERS; 2) Showing off a GERBIL to her
seventh graders; 3) Kneeling in church with her HUSBAND,
blessing herself; 4) Absently fingering a silver KEY which
she wears round her neck; and finally 5) Probing at a tiny
ridged SCAR under her hairline."|stage direction
38|SAMANTHA (V.O.)|"Eight years. I keep hiring detectives,
but they never find anything."|speech
39||(beat)|location
40|SAMANTHA (V.O.)|"I was born 3000 days ago on the beach
in New Jersey. I entered the world
fully grown, wearing clothes I don't
remember buying. Nothing in the
pockets but a single key, filed
smooth."|speech
41||(beat)|location
42|SAMANTHA (V.O.)|"I'm married now. Nice guy, early
forties. I stand naked in the mirror
and try to guess my age. Thirty-five,
maybe. I have lots of scars."|speech
43||EXT. SNOWY SUBURBAN STREET - AFTERNOON|location
44||"Samantha walks with her husband HAL. Late thirties. Balding.
Coming out of St. Paul's Episcopal Church."|stage direction
45|SAMANTHA|"Hal, I gotta tell you, of all the
Christmas pageants I've seen, this
was by far the most recent."|speech
46|HAL|"Aw, honey, I had teenage girls playing
the wise men, what'd you expect?"|speech
47|SAMANTHA|Teenage boys?|speech
48|HAL|Well, I thought they did fine.|speech
49|SAMANTHA|"Just fine? Come on, it was ground
breaking stuff. The first Nativity
where Joseph stares at the wise men's
tits all night."|speech
50||"She hugs him good-naturedly. As they near their house, an
eight year-old GIRL drops from a TREEHOUSE and comes running,
leaps into Mommy's arms --"|stage direction
51|SAMANTHA|Hey, you!|speech
52||The kid leaps into her arms, as we HEAR:|stage direction
53|SAMANTHA (V.O.)|"Her name is Caitlin. She's my daughter
and when I woke up on that long-ago
day, she was two months grown in my
belly. I don't know who put her there.
I may never. I just know she's mine,
and she's about to turn eight."|speech
54||"The family troops up the driveway to their SUBURBAN HOME.
Chipper little A-frame. Christmas lights abound. Behind the
house, a vast frozen POND. It is idyllic."|stage direction
55||INT. ELEMENTARY SCHOOL - NIGHT|location
56||"PARTY in progress. Laughter. Mingling. In the corner, CAITLIN
puts pipe cleaner antlers on the gerbil. Samantha shepherds
her home room class past the punchbowl. She is radiant. EARL
surreptitiously nips from a silver flask."|stage direction
57|SAMANTHA (V.O.)|"3000 days. I teach now, fifth grade.
I have the key, I wear it around my
neck for luck. Except for that, and
my name, all traces of my prior life
are lost."|speech
58||(beat)|location
59|SAMANTHA (V.O.)|"Was I in love ever...? Did someone
look in my eyes, did I say, ""Darling,
I'll never forget you...?"""|speech
60||(beat)|location
61|SAMANTHA (V.O.)|Because fuck me, darling, I managed.|speech
62||"ACROSS THE ROOM -- Her daughter CAITLIN hangs with two young
girls. Shows off a plush TEDDY BEAR, says:"|stage direction
63|CAITLIN|"His name is Mr. Perkins, my Mom named
him for me."|speech
64||GIRL #1 points, whispers excitedly:|stage direction
65|GIRL #1|That's her?|speech
66||Caitlin nods. Kid #2:|stage direction
67|GIRL #2|That's who?|speech
68||(excitedly)|location
69|GIRL #1|Her Mom, she's got amnesia.|speech
70|GIRL #2|Swear?|speech
71|CAITLIN|Swear.|speech
72|GIRL #2|Too weird.|speech
73||A voice interrupts their reverie:|stage direction
74|SAMANTHA|Excuse me.|speech
75||"The girls whirl around, startled -- Samantha is leaning on
the desk behind them. Busted. She smiles amiably:"|stage direction
76|SAMANTHA|"Hello, girls. Caitlin, I'm going to
help Dad with the refreshments."|speech
77||(leans in, whispers)|location
78|SAMANTHA|Which one's Dad? I forget.|speech
79||The girls look at her like she's grown a tail.|stage direction
80|SAMANTHA|*Kidding*.|speech
81||CUT TO:|unknown
82||A DOOR KICKED OPEN, WHAM-! Splintered. Lock shattered.|stage direction
83||INT. MOTEL ROOM - AKRON, OHIO - NIGHT|location
84||"A NUDE COUPLE on the bed. They look up, startled -- as three
men burst through the door. The LEADER: a haggard-looking
man sporting a soup-stain on his tie, whoops, that's the
design, sorry. MITCH HENESSEY, private investigator and con
man extraordinaire. He flashes a phony badge:"|stage direction
85|YOUNG MAN|POLICE. DON'T MOVE.|speech
86|MAN ON BED|What the hell is this...?!!|speech
87|YOUNG MAN|"Don't give me an attitude, sir. You're
assuming I won't shoot your sorry
ass, and everyone knows when you
make an assumption, you make an ass
out of u and mption. I'm Sergeant
Madigan, Vice, and if you cop a 'tude,
jerkoff, I will see to it you spend
the next ten years in prison getting
ass-fucked, and if the case is thrown
out because my arrest is too violent,
then I will personally HIRE men to
ass-fuck you for ten years. So if
you're an ass-fucking fan, go ahead
and mouth off, but meanwhile you're
under arrest for the crime of
prostitution, now shut the fuck up
before I cut out your kneecaps and
use 'em as ashtrays."|speech
88||(beat)|location
89|YOUNG MAN|Officer Donleavy, read him his rights.|speech
90||"Donleavy looks pale, pasty. He stutters a few words. Loses
interest. Wanders away across the room."|stage direction
91||(a trifle confused)|location
92|MAN ON BED|"Please, this is my first, I... I've
never done this before, I'll do
anything...!"|speech
93|YOUNG MAN|"Sir, listen to me. I understand you're
not a wealthy man, but in light of
the damage this arrest will cause
you, we might be able to make an
arrangement --"|speech
94||"Donleavy plops in a chair. Belches. Grins foolishly. The man
in bed points to him:"|stage direction
95|MAN IN BED|Is he all right...?|speech
96||"THE REMAINING COP is swaying on his feet. Like a tree in a
hurricane. Donleavy pukes all over the floor. We CUT TO:"|stage direction
97||INT. BARREN GREY OFFICE - NIGHT|location
98||"THERE'S THE GIRL. The one in bed moments ago. She and Henessey
are dividing a wad of bills."|stage direction
99|GIRL|We gotta stop using bums.|speech
100||(lights a smoke)|location
101|MITCH|"Forget it. They looked like cops. We
pulled it off, didn't we?"|speech
102|GIRL|It was embarrassing.|speech
103|MITCH|"You want I should hire actors, for
Chrissake? These guys are cheap,
they work for food."|speech
104|GIRL|"Uh-huh. So, when they puke all over
you is that, like, a refund?"|speech
105|MITCH|"Trin, I'm pissin' myself over here,
you're so funny. What's this?"|speech
106||"He indicates an envelope earmarked for him. Labeled in magic
marker: SAMANTHA CAINE."|stage direction
107|TRIN|"New case, honest to God chick with
amnesia. You want the job?"|speech
108||"Henessey opens the envelope. Extracts a black and white HEAD
SHOT of Samantha, says immediately:"|stage direction
109|HENESSEY|Yep. Yep, yep, yep.|speech
110||Stares, mesmerized. Trin peers over his shoulder:|stage direction
111|TRIN|"Wasn't there a lady on TV named
Samantha? Had a magic nose or
something."|speech
112|HENESSEY|"'Bewitched', yeah. Good show. Chick
lived with a faggy guy, then in the
last season it was a different faggy
guy. Okay. Here's what we do; get on
the horn to amnesia chick, tell her
yes. Then tell her in 1967 she
promised to give me a blow job. Worth
a try, right?"|speech
113||EXT. ELEMENTARY SCHOOL - NIGHT|location
114||"SAMANTHA and HAL bid goodnight to their friends and neighbors.
Hal steers her away from a middle-aged teacher."|stage direction
115|HAL|"Christ, guy's all over you like a
cheap suit."|speech
116|SAMANTHA|"That's funny, there's a cheap suit
all over him like a cheap suit."|speech
117||"She notices EARL sitting in the bushes by the side of the
building. He is speaking intently to the gerbil."|stage direction
118|HAL|"Oh, boy. Someone's gotta take my
father home. I'm plowed."|speech
119||"Samantha takes the keys from him. Breathes deeply of the
chill night air. Smiling. Surveys the scene... their friends.
The neighborhood. Sighs:"|stage direction
120|SAMANTHA|This is all I ever wanted.|speech
121||At which point, young Caitlin says:|stage direction
122|CAITLIN|How would you know?|speech
123||"ESTABLISHING SHOT - STATE PRISON - OHIO - NIGHTTIME
Switch gears: A grim, grey building. Guarded. Patrolled."|stage direction
124||INT. PRISON - TELEVISION VIEWING ROOM - EVENING|location
125||"A tired TV set drones to an audience of one. Let's call him
ONE-EYED JACK. In fact, let's give him one eye, the other
replaced by a PATCH. He smokes cigarettes, stubs them out on
the chair's armrest. Throws offhand glances at the TV screen."|stage direction
126|NEWS ANCHOR (ON T.V.)|"...So much for the flame-swallowing
Santa of Boone County. Meanwhile,
KTVA news journeyed to Upper Sandusky,
where Santa's own *Mrs*. Kringle
turned out to celebrate her hubby's
worldwide tour. After one look at
her, I'm thinking Santa got what he
wanted this Christmas."|speech
127||"The happy news chatter continues. Jack isn't listening. Jack
isn't talking or breathing either. He's simply STARING at
the TV screen, jaw slack..."|stage direction
128|ONE-EYED JACK|"Gotta be fuckin' kidding. No. No
way. SHIIIT!!"|speech
129||He SCREAMS as we CUT TO:|stage direction
130||EXT. WOODLANDS - WITH SAMANTHA - DRIVING|location
131||"If you had to pick a night to die horribly, you'd be hard
pressed to find a nicer one. A country highway. Bathed in
moonlight. Crusted with snow. Pontiac Sunbird, wending its
way through the wooded slopes."|stage direction
132||INT. SUNBIRD - SAME TIME|location
133||"SAMANTHA drives while Earl (the SANTA we saw earlier)
reclines, still drunk."|stage direction
134|EARL|"You're married what now, five
years...?"|speech
135||He makes a thumb circle. Jabs his finger in and out of it:|stage direction
136|EARL|You and Hal, how often you two...?|speech
137|SAMANTHA|"Stick our fingers in out hands and
pull them out again? Every chance we
get. Shut your piehole."|speech
138|EARL|Don't get all snippy...|speech
139|SAMANTHA|"Earl, do me a favor. Every few words
say ""hic"" and have bubbles come out
your mouth, okay?"|speech
140|EARL|"Goddamnit, I'm not drunk. Would a
drunk man have this much raw talent?"|speech
