|character|text|type
0||"THE LOSERS
Written by
Peter Berg & James Vanderbilt
February 2007"|unknown
1|unknown|FADE IN ON:|speech
2||"THE DESERT. Sizzling dunes. Harsh. Unforgiving.
Afghanistan - Three Years Ago
We hear faint SCREAMS. A man BEGGING..."|stage direction
3|unknown|"MAN (O.S.)
No... please... There's no way..."|speech
4||Sand dunes stretch to the horizon. Nowhere to run...|stage direction
5|unknown|"MAN (O.S.) (CONT'D)
Nothing... can defeat..."|speech
6||"A SHADOW FALLS across the sand. Then a second. One looks
like a Dog's Head. The other like..."|stage direction
7|unknown|"MAN (O.S.) (CONT'D)
Gojira."|speech
8||"HAND PUPPET SHADOWS. LAUGHTER from OTHER MEN. ""Godzilla""
pursues ""Dog Head"", catches him, and begins HUMPING HIM."|stage direction
9|unknown|"MAN (O.S.) (CONT'D)
Ooooh, Gojira! You the best! Me
love you long time!
SECOND MAN (O.S.)
C'mon Jensen, you in or not?"|speech
10||"WHIP PAN to the Puppeteer and FREEZE-FRAME ON:
Jensen. 20's, Lennon glasses, wild blonde hair, shirt
open. Bald eagle tattoo on his chest. RESUME SPEED:"|stage direction
11|JENSEN|And get cheated again?|speech
12||"WHIP PAN to and FREEZE-FRAME ON:
Pooch. Mid 30's, black and solid. Eagle tattoo on right
bicep, his NINE MONTH OLD DAUGHTER'S FACE tattooed on his
left. Currently mock offended. RESUME SPEED:"|stage direction
13|POOCH|"The Pooch don't cheat. The Pooch
may lie, the Pooch may steal--
2."|speech
14|JENSEN|"--the Pooch may refer to himself
in the third person--"|speech
15|POOCH|--but the Pooch will not cheat.|speech
16|JENSEN|"The Pooch can rest easy, I was
referring to Cougar."|speech
17||"WHIP PAN and FREEZE FRAME ON:
Cougar. Age unknown. Tan camo cowboy hat pulled low
over his eyes, long hair. Sniper Rock-God. He doesn't
say or move much. Ain't no rattling him. RESUME SPEED:"|stage direction
18|JENSEN|"ROQUE (O.S.)
It's Liar's Poker, Jensen, how in
the hell is the man gonna cheat
you at Liar's Poker?"|speech
19||"WHIP PAN as he asks the question and FREEZE FRAME ON:
Roque. 30's. Close cropped black hair. If Lance
Armstrong bred with Darth Vader. Doesn't smile much, but
he's smiling now. The four are in"|stage direction
20||EXT. HUMVEE -- DAY|location
21||"Open air, the guys sit in the back. In the middle of the
desert with nothing to do but wait. Roque holds the deck."|stage direction
22|ROQUE|Cards.|speech
23||"The four take them. Lick the back, slap them to their
foreheads -- two deuces (Jensen and Roque), a three
(Pooch), and an eight (Cougar). Pitiful cards."|stage direction
24|JENSEN|Got a feeling about this one, Roque.|speech
25|ROQUE|Your mama had that feeling too.|speech
26||"At which point, JENSEN PULLS A KNIFE...
...and tosses it into the center of the circle. HIS BET.
Roque responds by tossing a .357 MAGNUM from his belt in."|stage direction
27|ROQUE|3.|speech
28|ROQUE (CONT'D)|Raise you.|speech
29|"POOCH
(INTRIGUED)"|That the one with the hollow points?|speech
30|ROQUE|Yup.|speech
31|POOCH|Oh, shit, I'm definitely in then.|speech
32||"He puts in a Desert Eagle. Jensen pulls a second, meaner
looking knife. Twirling it."|stage direction
33|JENSEN|This even me up?|speech
34|ROQUE|"Exactly how many knives do you
have, anyway?"|speech
35||Jensen grins and STABS IT down into the pot.|stage direction
36|POOCH|Cougar - your bet.|speech
37||"The Silent Man stares at the others. Two deuces and a
three. He shakes his head at them. Before he can bet..."|stage direction
38|POOCH|"VOICE (O.S.)
Hey, losers!"|speech
