|character|text|type
0||FADE IN:|unknown
1||EXT. A JAIL IN MEXICO - DAY|location
2||"It's an early Friday morning and a patrol car drives up an
unpaved road and parks next to a gutted police car on cinder
blocks. The camera pans with the OFFICER as he exits his car
and walks up to a ramp leading to the babay blue JAIL HOUSE.
He is carrying a greasy bag of fast food."|stage direction
3||INT. JAIL LOBBY - DAY|location
4||"The Officer enters the lobby, tosses the bag of food to his
PARTNER who is sitting at a desk. He grabs a tin cup and
walks over to barred entrance to Block A. Twenty or so
CRIMINALS, from drunks to drug dealers are sleeping
peacefully in their cell on Block A. The Officer rattles the
tin cup between the entrance bar."|stage direction
5||INT. JAIL CELLS - DAY|location
6||"The inmates stir, rubbing their dirty faces and trying to sit
up. The camera dollies slowly down the narrow hallway of the
block which has three cells: Two small ones side by side, and
one bigger cell that faces the block entrance. The sound of
scribbling and business dealing can be heard from inside the
cell. It is AZUL jottin ginto a business ledger while
chatting on his cellular phone. His cell is equipped with a
small desk and a refridgerator. He hangs up the phone and
continues writing."|stage direction
7||INT. JAIL LOBBY - DAY|location
8||"The Officer with the tin cup sits in a couch across from his
partner, who is now eating, and reads a magazine."|stage direction
9||INT. JAIL CELLS - DAY|location
10||"Azul picks up his phone and makes another call. He talks
business. In the other cell, prisoners are getting up and
looking around. Azul hangs up the phone and writes."|stage direction
11||EXT. EL MOCO'S RANCH - DAY|location
12||"A gorgeous, bikini-clad BABE struts slowly into a tighly
framed glamour shot. She pauses, takes a deep breath, then
dives a 'perfect ten' dive into a house-side moat. She swims
long, slow motion strokes around the moat as the camera
tracks alonside her, lovingly admiring her tan lines and
hydrodynamic build. She slides out of the water and walks up
a cobble stone walk, dripping as she passes a seated
GENTLEMAN in a white suit. His face is unrevealed. As she
enters the house, he sets his drink down by a phone. He lifts
up the receiver and dials."|stage direction
13||2.|unknown
14||INT. JAIL CELLS - DAY|location
15||"Azul's phone rings. He looks up at it, startled, as if no one
has ever called him before. He glances at his watch, and then
back at the phone, hesitating to answer it. He looks around
the cell block as if someone might be playing a trick on him.
Finally he answers it, pausing before saying hello. It is El
Moco."|stage direction
16|MOCO (V.O.)|"Good morning, Azul. Do you know who this
is?"|speech
17||(into phone)|location
18|AZUL|"Moco... What the hell do you want after
all these years?"|speech
19||EXT. EL MOCO'S RANCH - DAY|location
20||MOCO is sitting on his porch drinking tequila.|stage direction
21||(into phone)|location
22|MOCO|"We've got a lot to talk about. I'm just a
few town away with a whole new gang. I
heard you were nearby so I thought I'd
give you a call, amigo."|speech
23|AZUL (V.O)|"That's sweet of you, asshole. I don't
suppose you could get me out of there,
and then maybe hand me over my share of
money."|speech
24||(into phone)|location
