|character|text|type
0||"MISSION IMPOSSIBLE 2
By
Robert Towne
Revised. 12/4/99"|unknown
1||"NOTE: THE HARD COPY OF THIS SCRIPT CONTAINED SCENE NUMBERS
AND SOME ""SCENE OMITTED"" SLUGS. THEY HAVE BEEN REMOVED FOR
THIS SOFT COPY.
FADE IN:
A WORN SATCHEL (MOVING - DAY)
is being carried by a world weary middle European wearing a black
armband.  VLADIMIR NEKHORVICH exits a gleaming building, pausing
for a moment, under a motto clearly visible above his head,"|stage direction
2||"'Where the future is now'
.  He checks the time."|unknown
3||"INSERT - WATCH
set in"|stage direction
4||"Countdown Mode.
It's at 19 hours forty-seven minutes and"|unknown
5||"sixteen seconds and dropping, 19:37.15,  :14,  :13,  :12 etc.
O.S. children are singing:"|stage direction
6||Ring a ring a rosy/a pocketful of posy/|unknown
7|unknown|a tissue a tissue/we all fall down.|speech
8||"Nekhorvich looks to see children at play outside the adjacent
Natural History Museum.  They are moving in and around an odd
freeform sculpture.
POV - SCULPTURE AND CHILDREN
a blur where the sculpture seems to be distorting the children,
almost like mirrors in a fun house.
NEKHORVICH
wipes his eyes, a horn honks.  He looks toward the sound.
MOVING SHOT - SATCHEL (INT. AIRPORT SECURITY - DAY)
on the belt that takes it thru X-Ray.  On the other side a guard
opens the satchel and pokes thru a few toilet articles, personal
items, books, a battleship gray digital camera and - in a small
plastic container marked 'S.G.' - a small, square shiny object,
hi-tech and at odds with the other items.  She pulls out an urn-
shaped vessel."|stage direction
9|GUARD|What's this, then?|speech
10||(handing her documents)|location
11|NEKHORVICH|"The ashes of a colleague, I'm taking them
to his family.  If you wish to open it,
please be careful."|speech
12||"COMPUTERIZED SCREEN DISPLAY (INT. PLANE - MOVING - DAY)
on the cabin wall displays a colorful map showing the flight
point of departure in Sydney, continuously updating distance,
direction and time to its ultimate destination, Atlanta, Georgia."|stage direction
13|CAPTAIN'S VOICE|"- folks, we're a little over two and a
half hours from touchdown in Atlanta, but
if you look out your windows on either
side of the aircraft, we'll soon be
crossing the southern section of the Rocky
Mountains, a range which includes more
than 50 peaks rising above 14,000 feet.
The chain's loftiest point, Mount Elbert,
at 14, 433 feet should be coming into view
as we pass over central Colorado shortly.."|speech
14||"NEKHORVICH (INT. CABIN - DAY)
seems intent on the map, its changing times and distance.  He
checks his watch - the countdown has gone from 20 to three hours
and 32 minutes as Nekhorvich is mesmerized by the descending
seconds whipping by.
ETHAN HUNT sits into shot on the vacant first class aisle seat
beside Nekhorvich."|stage direction
15|ETHAN|"You keep staring at that watch as if your
life depended on it, Doctor.."|speech
16|NEKHORVICH|Well, yes.  I suppose I am a bit anxious.|speech
17|ETHAN|"They're ready and waiting.  You'll soon be
with old friends."|speech
18||(meaning Ethan)|location
19|NEKHORVICH|I'm with an old friend now, Dmitri.|speech
20|ETHAN|"Sorry it couldn't be under happier
circumstances."|speech
21|NEKHORVICH|"Yes, I'm sorry too.. 'You're sorry and I'm
sorry..'"|speech
22||(bemused laughter, then looks at Ethan)|location
23|NEKHORVICH|- you do know Gradski thought the world of you.|speech
24||"Nekhorvich is overcome.  Ethan puts a comforting hand on his
shoulder:"|stage direction
25|ETHAN|"He was quite a man.  Did he know before
the end you two had succeeded?"|speech
26|NEKHORVICH|Yes, he knew.  Just..|speech
27|ETHAN|..not in time to save him.|speech
28|NEKHORVICH|No.  After you've lived with|speech
29||"Chimera
for"|unknown
30|NEKHORVICH|"twenty hours, nothing can save you.  Not
even..."|speech
31||Bellerophon.|unknown
32||Nekhorvich pats the satchel.|stage direction
33|ETHAN|You carry them together?  Safely?|speech
34||With an almost impish grin and a wink:|stage direction
35|NEKHORVICH|"Yes, and you'll get us to a safe place
with them, thank god!..left to my own
devices, I'm an old fart too inept to read
a railroad timetable!.."|speech
36||"Good-natured laughter.  Cut off by a flight steward who passes
by, giving a sidelong silence in Ethan and Nekhorvich's direction.
Oxygen masks suddenly deploy from the ceiling.  Passengers are
puzzled and alarmed."|stage direction
37|CAPTAIN'S VOICE|"You Captain again.  We've experienced a
slight but abrupt drop in cabin pressure.."|speech
38||"A passenger struggling with his mask.  As Nekhorvich fumbles with
the strap on his mask he notes that the display screen shows
their altitude is below 30,000 feet and dropping.  He checks the
countdown time on his watch again.  Nekhorvich looks around him.
The flight attendants are conspicuously absent and all the
passengers who have on oxygen masks are passed out.
INT - COCKPIT
The flight crew now wearing their oxygen masks."|stage direction
39||(into radio)|location
40|CAPTAIN|"Pan, pan, pan, Denver Center.  This is
Trans Pac Flight two-two-zero-seven, 747
heavy.  We are not reading you.  We're
unable to maintain cabin pressurization.
We have initiated a descent to one six
thousand."|speech
41||"The Co-pilot is working on the plane's altitude when his hands
slip off the controls.  His eyes flutter, then:"|stage direction
42|CO-PILOT|Captain, I don't..can't..|speech
