|character|text|type
0||"MISSION
IMPOSSIBLE"|location
1||"FINAL SHOOTING SCRIPT
16TH AUGUST 1995"|unknown
2||"NOTE: THE HARD COPY OF THIS SCRIPT CONTAINED SCENE NUMBERS
AND SOME ""SCENE OMITTED"" SLUGS. THEY HAVE BEEN REMOVED FOR
THIS SOFT COPY."|stage direction
3||INT. KIEV APARTMENT - NIGHT|location
4||"We're in a large closet.  JACK KIEFER, an athletic American
in his late thirties wearing a headset, is wedged into a
corner, staring at a television screen.
The television shows a surveillance view of the living room
that lies outside the confines of the closet.  The TV image
is in black and white.  JACK shifts, trying like hell to get
comfortable but he's been there a while
ON THE SCREEN
A bare bulb shines down on the contents of a shabby hotel
room.  Directly under the blub a man, GENNADY KASIMOV, sits
in a straight backed wooden chair in his blood-stained T-
shirt.  There are a couple of THUGS and a stray HOOKER in the
room behind him.  A legend:"|stage direction
5||"KASIMOV is sobbing.  Uncontrollably.  A MAN enters the room,
ANATOLY, an imperious Russian in his forties, a Russian
godfather.  The THUGS and HOOKERS are ushered out.  ANATOLY
looks down at KASIMOV pitiously and urges him to go and sit
by him in a chair he picks up for him.  KASIMOV does as he is
bid, looking gratefully up at ANATOLY.  They speak in Russian
which is subtitled."|stage direction
6|ANATOLY|"Kasimov, Kasimov, good that you called
us."|speech
7||(sobbing)|unknown
8|KASIMOV|"I don't remember what happened!  We were
at the bar, drinking, laughing -- having
fun."|speech
9||"ANATOLY gets up out of the chair and goes to a bed across the
room.  A WOMAN lies half under the sheets.  She's lying in an
unnatural position on the bed, and the sheets are smeared
with blood.  She's dead.  ANATOLY lifts her eyelid."|stage direction
10|KASIMOV|"I don't even know how I got here.
I swear, Anatoly, I never touched her!  I
didn't lay a finger on her."|speech
11||ANATOLY moves away from the WOMAN.|stage direction
12|ANATOLY|Kasimov.  Don't flounder.|speech
13||"IN THE CLOSET
JACK, impatient, checks his watch."|stage direction
14|JACK|"Jesus, she's been under too long.  Come
on, come on!"|speech
15||ON THE SCREEN|stage direction
16|KASIMOV|You're the only one who can help me.|speech
17||"Desperately he tugs at ANATOLY'S jacket.  But ANATOLY hits
his hand away and smacks him around the head.
IN THE CLOSET
JACK reacts.
ON THE SCREEN
ANATOLY bends close to KASIMOV."|stage direction
18|ANATOLY|C'mon, c'mon, tell the truth...c'mon.|speech
19|KASIMOV|They'll kill me.|speech
20||ANATOLY paces up the room, away from KASIMOV.|stage direction
21|ANATOLY|You asked for my help.  You|speech
22||asked|location
23||for|unknown
24||my|location
25|ANATOLY|help...come on...|speech
26|KASIMOV|You're right, of course.|speech
27||"IN THE CLOSET
JACK leans forward."|stage direction
28|JACK|The name pal...give us the name.|speech
29||ON THE SCREEN|stage direction
30|KASIMOV|"The contact in Minsk..the contact in
Minsk..works in a travel agency."|speech
31||IN THE CLOSET|stage direction
32|JACK|Come on!|speech
33||ON THE SCREEN|stage direction
34|ANATOLY|Come on!|speech
35|KASIMOV|His name is.....Dimitri Miediev.|speech
36|ANATOLY|Dimitri Miediev...Dimitri Miediev...|speech
37||IN THE CLOSET|stage direction
38|JACK|Got him.|speech
39||"ON THE SCREEN
Back on screen, ANATOLY places a hand on KASIMOV'S shoulder
as if he had just anointed him.
IN THE CLOSET
In the closet, JACK types the name into a computer and cross
checks -- ""MIEDIEV"" comes up, then ""posting/American
consulate/Kiev.""
JACK turns and nods to a WHOREHOUSE WAITRESS in costume in
the closet next to him, dressed in traditional Russian tunic
and virtually no bottom.  She quickly leaves."|stage direction
40||INT. SHABBY ROOM - NIGHT|location
41||"We enter the room for the first time as the WAITRESS does.
She's carrying a tray with a bottle of vodka and two shot
glasses."|stage direction
42|ANATOLY|Now, we drink.|speech
43||He pours them out and hands one to KASIMOV.|stage direction
44|ANATOLY (CONT'D)|To friends.|speech
45|KASIMOV|Yes, Anatoly, yes.|speech
46|JACK|Cheers.|speech
47||"He drinks.  He blinks.  Something felt funny about that.
Dizzied, KASIMOV swoons and passes out on the floor. ANATOLY
moves to the closet door and opens it.
IN THE CLOSET
ANATOLY reaches up to his face --"|stage direction
48||"and tears away a mask of flesh
.  He's no middle aged"|location
49||"Russian mobster, he's ETHAN HUNT, an American in his early
thirties.  He gestures to KASIMOV contemptuously.  JACK hands
ETHAN a hypodermic kit and he goes quickly back into the
room."|stage direction
50||(in English now)|unknown
51|ETHAN|Get rid of this scum.|speech
52||"Immediately, there is activity, and PEOPLE everywhere.  TWO
OTHERS come into the room and carry KASIMOV out.
ETHAN goes quickly to the body of the dead woman. He cheeks
the pulse in her neck, shines a penlight in her eye. He
strips the adrenalin kit and jabs the long needle into the
dead woman's thigh.  He checks her pulse again, checking a
stopwatch.  In about ten seconds, the woman's eyes open.
CLAIRE is her name, a French woman of thirty or so. She half
rolls over, GROANS, and wipes some of the blood from her
mouth."|stage direction
53|CLAIRE|Did we get it?|speech
54|ETHAN|We got it.  On your feet.|speech
55|CLAIRE|I want to sleep.  Can I sleep here.|speech
56|ETHAN|Walk, just walk.  Start walking.|speech
57|CLAIRE|I'm walking.|speech
58|ETHAN|Talking's good, walking's better.|speech
59|CLAIRE|Sleeping's better.|speech
60||"Meanwhile, MEN in overalls take apart the room.  The ceiling
lifts right off the walls, and the walls themselves start to
come down, revealing the ""hotel room"" to be an elaborate set
in the middle of an empty warehouse.
JACK comes into the room from the closet.  He hands CLAIRE
her jewelry, including a watch and a wedding ring.  ETHAN
stops what he's doing, noticing.  She looks up at him
questioningly."|stage direction
61|CLAIRE|Are|speech
62||you|location
63||all right Ethan.  What's wrong|unknown
64|CLAIRE|with you?|speech
65|ETHAN|"If you're gonna do this again Claire,
It's not gonna be on my watch."|speech
66|CLAIRE|Oh yeah?|speech
67||"JACK comes into the room from the closet.  He hands CLAIRE
her jewelry, including a watch and a wedding ring.  ETHAN
stops what he's doing, noticing.  She looks up at him,
questioningly."|stage direction
68|JACK|Claire.|speech
69|ETHAN|Jack.|speech
70||"She almost unconsciously slips the wedding ring onto her
finger.  ETHAN notices.  He turns and SHOUTS to the room at
large."|stage direction
71|ETHAN|"IS THERE ANY PARTICULAR REASON WE'RE NOT
OUT OF HERE YET?!"|speech
72|JACK|Just waiting for you, tubs.|speech
73||"He walks across the room and out the door.  CLAIRE, worried,
clutches her hands together, glancing down at her wedding
ring.
We move in on it --"|stage direction
