|character|text|type
0||"SHOOTING SCRIPT
May 5, 1967
REVISED:
05/11/67
05/16/67
05/23/67
06/09/67
06/15/67
06/22/67
07/06/67
07/27/67"|unknown
1||FADE IN|stage direction
2||1	EXT. CONSTELLATION OF ORION - NIGHT|location
3||"Stars glitter like diamonds on the black velvet backdrop of space.
The Belt of Orion is center screen, but much nearer and larger
than ever seen by an Earth-bound astronomer.
A speck of light appears in the lower left corner of the screen.
No spaceship can be seen, but only a glowworm, a solitary sperma-
tosoan gliding through the womb of the universe. Over this we HEAR
the voice of an astronaut. He is concluding a report."|stage direction
4|"ASTRONAUT'S VOICE
(o.s.)"|"So ends my last signal until we reach
our destination. We are now on automatic,
a mere hundred and five light years from
our base ... and at the mercy of com-
puters. I've tucked in my crew for the
long sleep. I'll join them presently."|speech
5||2	INT. CABIN OF SPACESHIP - ESTABLISHING SHOT - NIGHT|location
6||"The cabin is neither cramped nor spacious, but about the size of the
President's cabin in Air Force One. In the immediate f.g. is a console
of dials and switches flanked by four chairs. Only one of the chairs
is occupied. The astronaut's back is to CAMERA. There is a ladder
amidships which leads to an escape hatch. The after Dart of the cabin
is obscured in darkness. We hear the MUSIC of a Mozart sonata emanating"|stage direction
7||"from a phonograph of stereotape. The astronaut is speaking into a
microphone."|unknown
8|ASTRONAUT|"Within the hour we shall complete
the sixth month of our flight from
Cape Kennedy. By our time, that is ..."|speech
9||He pauses, looking up at:|stage direction
10||3	TWO LARGE CLOCKS - ON CABIN WALL|location
11||"One clock is marked SELF TIME, but instead of twelve numerals it has
twenty-four. One of the needles is moving very slowly.
The other clock is labeled EARTH TIME, and its units, like those of a"|stage direction
12||tachometer, are given by hundreds and thousands.|unknown
13||The largest needle of this clock makes one revolution every second.|stage direction
14||Over this we hear:|unknown
15|"ASTRONAUT'S VOICE
(o.s.)"|"But according to Dr. Hasslein theory of
time in a vehicle traveling at close to
the speed of light, old Mother Earth has
aged a few thousand years since our de-
parture -- while we have scarcely aged
at all."|speech
16||4	CLOSE ON ASTRONAUT|location
17||This is TAYLOR. He wears simple dungarees (or Churchill suit) and|stage direction
18||comfortable boots. He seems calm and pensive. Extracting the butt of|unknown
19||a cigar from the breast pocket of his dungarees, he lights it, then|stage direction
20||continues:|unknown
21|TAYLOR|"It may be so. This much is probable: the
men who sent us on this journey have long
since been moldering in forgotten graves;
and those, if any, who read this message
are a different breed. Hopefully, a
better one."|speech
22||He begins to roll up his left sleeve.|stage direction
23|TAYLOR|"I leave the twentieth century without
regret. Who was it? Marshall? ... said
'Modern man is the missin 'a link between
the ape and the human being.'"|speech
24||"He removes the cigar from his mouth, turns to look out through one
of the portholes into the astral night."|stage direction
25|TAYLOR|"One final thought -- nothing scientific,
purely personal. Seen from up here,
everything looks different ... Time bends
and space is boundless. It squashes a
man's ego. He begins to feel like no more
than a mote in the eye of eternity. And
he is nagged by a question: ahat if any-
thing, will greet us on the end of man's
first journey to a star? Are we to believe
that throughout these thousands of galaxies,
these millions of stars, only one, that
speck of solar dust we call Earth, has
been graced -- or cursed -- by human life?"|speech
26|(pause)|I have to doubt it.|speech
27||"He extracts a hypodermic needle from his breast pocket and injects
it into the vein of his forearm. He continues speaking."|stage direction
28|"TAYLOR
(sardonically)"|"That's about all. I wonder if Man, that
marvel of the universe, that glorious
paradox who has sent me to the unknown...
still makes war against his brother., and
lets his neighbor's children starve."|speech
29||"Taylor withdraws the hypodermic needle from his vein and secures it in
a drawer of the console."|stage direction
30|TAYLOR|"Well then, Earthmen: A missing link
salutes you. Bless you, my descendants."|speech
31||Taylor snuffs out the cigar butt and places it in the drawer beside the|stage direction
32||hypodermic. Then, flicking a switch Au cut off the Mozart, he rises and|unknown
33||looks up again at:|stage direction
34||5	THE CLOCK MARKED EARTH TIME|location
35||"The longest needle of this clock now makes nearly two revolutions per
second. The shortest needle points to the numeral 2105."|stage direction
36||6	INT. CABIN - TRACKING WITH TAYLOR|location
