|character|text|type
0||by|unknown
1||December 22, 1983|unknown
2||"FADE IN:
TITLE SEQUENCE"|stage direction
3||EXT.  V.A. HOSPITAL - DAY|location
4||"A drab GREEN SEDAN with U.S. ARMY printed on the door
stops at the steps of a fortress-like colonial-style
building.
Iron bars cover the windows.
The lawn sprinklers snap mindlessly to themselves.
A CRT-style printout appears at the bottom of FRAME:"|stage direction
5|James Cameron|"D-MINUS 117 HRS
FAYETTEVILLE, NORTH CAROLINA"|speech
6||"ANGLE ON SEDAN
as the doors open and TWO POWERFUL MPs, one of whom was
driving, emerge.  The other opens the rear door for
COLONEL SAMUEL TRAUTMAN who stands, eyeing the imposing
facade of the hospital.
Trautman is in his early fifties and wears the mantle of
command sternly but without arrogance.
He takes the stairs with purposeful strides, the MPs
falling in behind him.
HOLD ON THE SIGN above the main door as they go inside:"|stage direction
7|James Cameron|VETERANS ADMINISTRATION HOSPITAL|speech
8||INT.  HOSPITAL|location
9||"A gray metal door bearing the sign ""NEUROPSYCHIATRIC WING""
bangs open and a massive ORDERLY in white passes through.
He is followed by the two MPs, Trautman, and a SHORT
DOCTOR who hustles to keep up with the others.
LOW ANGLE DOLLY PRECEDING the entourage as they stride
forward.
The MPs are grim-faced and walk in step.
Trautman and a doctor SINGLETERRY silently walk through
the corridor.
They pass the open day-room where somnambulistic patients
sit like statuary watching ""The Young and the Restless"" or
watching the wallpaper fade.
Bleak light from an overcast day filters through the
barred window.
The vets seem older than their years and although some
show the physical scars of combat, there is no doubt that
the greatest trauma for these men is behind the eyes.
As they pass the open doors of the rooms of the ""chronic
ward"", haunted eyes turn toward them.
As they approach the nurse's station for the ""chronic
ward"" the orderly nods.
The HEAD NURSE turns to her console.
INSERT - AS NURSE'S HAND
hits a button on the console.
TIGHT ON SECURITY DOOR
as a solenoid-operated bolt snaps back with a loud BUZZ
CLACK.
The orderly's good hand shoves the door open."|stage direction
10||"INT.  ""VIOLENT"" WARD"|location
11||"The entourage enters a long narrow corridor lined with
locked doors.
POV DOLLYING ALONG CORRIDOR
Occasionally faces appear at the safety-glass windows set
in the doors.  Men whose souls have fled.
Their eyes track us as we move past.
An emaciated MAN in an untied hospital smock and bare feet
stands as if lost in the center of the corridor.
REVERSE ON GROUP
DOLLYING as they detour around the man, whose clawlike
hand catches at Trautman's tunic.
A hoarse, demented SHOUTING issues from one of the doors,
a desperate WAILING from another."|stage direction
12||INT.  STAIRWELL|location
13||"CLOSE ON DOOR LATCH as keys RATTLE and the door opens.
WIDER as the group enters a dark service stairwell.  The
single fluorescent light flickers stroboscopically, a
pulsing twilight."|stage direction
14|LEWIS|"Shit.  Maintenance never gets down
here."|speech
15||"They descend two flights to a door of steel bars on a
sliding track.
The MPs flank Lewis as he unlocks the door."|stage direction
16|SINGLETERRY|"So what am I supposed to do?  Can't
transfer him to Leavenworth.  He's
civilian.  So I put him in an
isolation cell that hasn't been used
since the Spanish Inquisition."|speech
17||"TIGHT ON BARRED DOOR
rolling aside on metal tracks.  CLANG."|stage direction
18||INT.  CORRIDOR|location
19||"This area of the hospital's basement has been used for
little but storage in recent years.
Stacks of obsolete equipment gathers dust, leaving only a
narrow walkspace.
The steel doors of the isolation cells yawn open, except
for the last one."|stage direction
20|TRAUTMAN|"Maybe you should have tried cutting
him some slack."|speech
21||"Lewis opens a cabinet near the single locked cell and
removes a SMALL RIFLE.  He feeds a SYRINGE-LIKE SHELL into
the single-shot bolt action."|stage direction
22||(continuing)|location
23|TRAUTMAN|What's that?|speech
24|SINGLETERRY|"Tranquilizer syrette gun.  Borrowed
it from the Animal Control
Department."|speech
25||"Trautman pushes the barrel aside with a contemptuous snort
and steps up to the cell door."|stage direction
26|TRAUTMAN|Gimme a break.|speech
27||(nods toward door)|location
28|TRAUTMAN|Open it.|speech
29||"The two MPs flank the door.  One pulls on the latching
lever.  Bolts slide.  The door swings open, revealing
blackness."|stage direction
30||(muttering)|location
31|LEWIS|"Thinks he's the fucking Prince of
Darkness."|speech
32||"One MP tries the switch beside the cell, flicking it
several times.  Nothing.
He glances apprehensively at the other MP and they step
into the dark cell."|stage direction
33||INT.  CELL|location
34||"TIGHT ON A HAND, dimly outlined, as it twists a light bulb
a half-turn in its socket.
In the sudden light the MPs face an imposing figure.
JOHN RAMBO, wearing only a pair of filthy jeans, stands
""ready"" before them.  The single light bulb on the low
ceiling sends glistening highlights over his taught body.
A nasty piece of machinery.
Long, matted hair coils onto his shoulders, and an unkempt
beard heightens the cheekbones beneath eyes which are
deep, reptilian.  Intense.
His position, though not overtly threatening, suggests a
willingness to strike without warning which gives the
M.P.'s pause.
Trautman steps forward between the MPs."|stage direction
35|TRAUTMAN|At ease, Rambo.|speech
36||"MED. ON RAMBO
rising from his slight crouch to stand composed,
balanced... parade rest."|stage direction
37||(continuing to MPs)|location
38|TRAUTMAN|Wait outside.|speech
39||He closes the door until it latches.|stage direction
40|TRAUTMAN|Hello, John.|speech
41|RAMBO|Colonel.|speech
42|TRAUTMAN|Mind if I sit down?|speech
43||"Rambo motions to the narrow bunk, dropping into an
Oriental squat himself as the Colonel sits.
Trautman's manner with Rambo is familiar, somehow
paternal.  A bit of an ironic grin twitches briefly."|stage direction
44||(continuing)|location
45|TRAUTMAN|I hear you're not enjoying it here.|speech
46|RAMBO|I could take it or leave it.|speech
47||Trautman sighs and leans back.|stage direction
48|TRAUTMAN|"Seems like I'm always pulling you
out of some goddamn toilet or other,
doesn't it?"|speech
49|RAMBO|Am I out of here?|speech
50|TRAUTMAN|That depends on you.|speech
51||(pause)|location
52|TRAUTMAN|"Christ, look at you.  I give you
this easy duty until I can get you
an assignment... all you have to do
is eat ice cream and watch soap
operas... and you have to make it
Rambo's last stand."|speech
53|RAMBO|"There were treating me like a
headcase."|speech
54|TRAUTMAN|"Hard to believe.  You shoot up one
little town in Oregon with a fifty
caliber machine gun... one little
dogpatch town... and everybody
figures your wrapper's broken.  No
sense of humor."|speech
55||(pause)|location
56|TRAUTMAN|"What did you expect?  An engraved
plague from the chamber of commerce?"|speech
57||"Rambo looks at his hands.  When he finally speaks his
voice seems distant, disembodied."|stage direction
58|RAMBO|"In 'Nam I flew gunships.  Million
dollar equipment.  Back here nobody
trusts me to park cars.  I keep
thinking it's going to be okay...
but I've been out six years and it's
not okay.  Sometimes I feel like I'm
coming right out of my skin."|speech
59||"The colonel nods slowly.  He notices a battered shoebox on
the floor beside the bed.  The cell is absolutely devoid
of personal articles otherwise."|stage direction
60|TRAUTMAN|This your stuff?|speech
61|RAMBO|That's it.  My life.|speech
