|character|text|type
0||SCOTT PILGRIM VS. THE WORLD|location
1||"Written by
Edgar Wright & Michael Bacall
Based On The Graphic Novels by
Bryan Lee O'Malley
May 13, 2010"|unknown
2|unknown|"1 EXT. TORONTO RESIDENTIAL STREET - DAY 1
Snowy suburbs of Toronto. From a nondescript house we hear:
KIM PINE (O.S.)
Scott Pilgrim is dating a high schooler?
2 INT. STEPHEN STILLS' KITCHEN - DAY 2
Four twenty-somethings lounge around a small kitchen table.
STEPHEN STILLS, 25, shaggy hair, Canadian Cowboy chic."|speech
3|STEPHEN STILLS|"Really? Is she hot?
KIM PINE, 22, cute, bitter, sweatshirt with a zipper."|speech
4|KIM PINE|"How old are you now, Scott? Like
twenty-eight?"|speech
5|SCOTT|I'm not playing your little games.|speech
6|KIM PINE|"So you've been out of high school
for like, 13 years and-
SCOTT (O.S.)
I'm twenty-two. Twenty-two!"|speech
7|STEPHEN STILLS|"And you're dating a high school
girl? Not bad, not bad.
YOUNG NEIL, 20, simple mind, layered T-shirts."|speech
8|YOUNG NEIL|"Like, did you guys 'do it' yet?
SCOTT PILGRIM, 22, fresh faced and charmingly cocky with an
unruly yet adorable mop of hair."|speech
9|SCOTT|"We have done many things. We ride
the bus. We have meaningful
conversations about how yearbook
club went and about her friends
and, um...you know...drama."|speech
10|STEPHEN STILLS|Yeah, okay, have you even kissed her?|speech
11||INTEGRATED FINAL 1A.|stage direction
12|"2 CONTINUED: 2
SCOTT"|"We almost held hands once, but then
she got embarrassed."|speech
13||INTEGRATED FINAL 2.|stage direction
14|"2 CONTINUED: (2) 2
KIM PINE"|Well. Aren't you pleased as punch?|speech
15|STEPHEN STILLS|So, what's her name?|speech
16|SCOTT|"(pleased as punch)
Knives Chau. She's Chinese."|speech
17|STEPHEN STILLS|"(under his breath)
Chinese...
Young Neil pauses his Nintendo DS."|speech
18|YOUNG NEIL|Wicked! How'd you meet her?|speech
19|SCOTT|"I believe I mentioned the bus?
Scott Pilgrim prepares to tell an amazing story:
3 INT. THE BUS - NIGHT 3
KNIVES CHAU, 17, cute and innocent with clothes to match,
sits next to her mother, MOTHER CHAU, 45, demanding."|speech
20|MOTHER CHAU|"You are seventeen year old! Time to
get interested in boy!"|speech
21|KNIVES CHAU|"Mom!
Knives DROPS her bag, books scattering everywhere."|speech
22|MOTHER CHAU|"You drop book.
Knives crouches down to pick up her books, grumbling.
SCOTT (O.S.)
Hey...
Knives looks up to see the cute and gallant SCOTT PILGRIM
holding her books. TEXT appears in an on-screen box:
""SCOTT PILGRIM, 22 YEARS OLD, RATING: AWESOME.""
Stars appear in Knives's eyes. Scott grins heroically. Scott
winks at Knives. Scott winks at the camera."|speech
23||INTEGRATED FINAL 2A.|stage direction
24|MOTHER CHAU|"4 INT. STEPHEN STILLS' KITCHEN - DAY 4
Back in the kitchen, everyone looks at Scott..."|speech
25|KIM PINE|Is that seriously the end of the story?|speech
26||INTEGRATED FINAL 3.|stage direction
27|"4 CONTINUED: 4
SCOTT"|"Yes. It is.
Young Neil unpauses his Nintendo DS."|speech
28|STEPHEN STILLS|So when do we get to meet her?|speech
29|KIM PINE|"Oh please. Let it be soon.
DINGY DONG! The doorbell rings. Scott smiles broadly."|speech
30|SCOTT|"That's for me.
5 INT/EXT. STEPHEN STILLS' HOUSE - DAY 5
An eager Knives stands outside. Scott opens the door a crack."|speech
31|SCOTT|You promise to be good?|speech
32|KNIVES CHAU|Of course I'll be good!|speech
33|SCOTT|No, really. Please be good.|speech
34|KNIVES CHAU|"Am I normally not?
Stephen Stills comes to the door and peers through."|speech
35|SCOTT|"Oh, hey. Knives, this is Stephen
Stills. He's the talent."|speech
36|STEPHEN STILLS|"Hey.
STILLS shuts the door on a confused Knives."|speech
37|STEPHEN STILLS|Is she gonna geek out on us?|speech
38|SCOTT|She'll just sit in the corner, man.|speech
39|STEPHEN STILLS|I mean, I want her to geek out on us.|speech
40|SCOTT|"She'll geek. She geeks. She has the
capacity to geek."|speech
41||INTEGRATED FINAL 3A.|stage direction
42|5 CONTINUED: 5|Stephen Stills quickly opens the door and waves Knives in.|speech
43||INTEGRATED FINAL 4.|stage direction
44|"5 CONTINUED: (2) 5
STEPHEN STILLS"|"You're good.
6 INT. STEPHEN STILLS' HOUSE - DAY 6
Knives enters, looking around the rehearsal pad with awe:
Bare bulb, ratty rug, drums, guitar, bass, LAME BRAND amps."|speech
45|KNIVES CHAU|Wow.|speech
46|SCOTT|"Knives, that's Kim. Lemme get your coat.
Scott throws Knives' coat on the floor. Knives waves."|speech
47|KNIVES CHAU|"Hi, sorry, what was your name?
KIM PINE (O.S.)
Kim."|speech
48|KNIVES CHAU|"You play the drums?
REVEAL Kim sitting behind the drumset, sticks in her hands."|speech
49|KIM PINE|...yes.|speech
50|KNIVES CHAU|That is so awesome.|speech
51|SCOTT|Knives, that's Young Neil.|speech
52|KNIVES CHAU|Hi. What do you play?|speech
53|YOUNG NEIL|"Uh, wow...Zelda...Tetris...that's
kind of a big question.
Knives stares blankly at Young Neil, who finally gets it."|speech
54|YOUNG NEIL|"Oh. I'm not in the band. I just
live here.
Sex Bob-Omb has geared up. Amps hum to life."|speech
55|SCOTT|Let's start with Launchpad McQuack.|speech
56|STEPHEN STILLS|That's not the actual title of the-|speech
57||INTEGRATED FINAL 5.|stage direction
58|"6 CONTINUED: 6
KIM PINE"|"WE ARE SEX BOB-OMB! 1-2-3-4!
Kim BASHES the kit and Sex Bob-Omb EXPLODE INTO ROCK! GUITAR
AND BASS LEADS LEAP INTO THE AIR, SPELLING OUT OUR TITLE...
SCOTT PILGRIM VS THE WORLD
TITLES continue over the song as the small rehearsal space
seems to GROW with the music. Stephen Stills barks
unintelligable lyrics.
Knives watches, jaw ajar. The song ends, feedback lingering."|speech
