|character|text|type
0||"""THE SIEGE""
Screenplay by
Lawrence Wright, Menno Meyjes & Edward Zwick
Story by"|unknown
1||"1998
SHOOTING DRAFT"|unknown
2||FADE IN:|stage direction
3||EXT. TYRE, LEBANON - DAY|location
4||"A coast road. Date palms. Burnt-out hulks that once were
Russian T-54 TANKS have long ago been left to rust in the
sun. A 4-door MERCEDES hurtles down the ancient road."|stage direction
5|DEVEREAUX (V.O.)|We're online for exactly two minutes.|speech
6||"A SATELLITE VIEW
Of the same scene. A grainy IMAGE of the car, and some
distance away, a moving cluster of animals. They are:
HERD OF SHEEP
As seen at ground level. Two SHEPHERDS goad them forward. In
the distance, the MERCEDES approaches.
FLASH CUT -- NEWS FOOTAGE (STOCK)
U.S. Army medics and rescue workers frantically sift through
the rubble of a collapsed barracks."|stage direction
7|CNN REPORTS (V.O.)|"""...the single worst casualty in the
history of American military --"""|speech
8||"BACK TO -- THE COAST ROAD
The Mercedes barrels down the road, doing at least 80 mph.
THE SATELLITE VIEW
Shows that the car is fast approaching the point where the
herd of sheep are about to cross the road.
FLASH CUT -- NEWS FOOTAGE (STOCK)
Amidst the rubble, the dead are zipped into body bags."|stage direction
9|CNN REPORTS (V.O.)|"""-- the truck, carrying high
explosives is believed to have hit
the barracks --"|speech
10||"BACK TO -- THE COAST ROAD
The driver of the Mercedes hits his horn but doesn't slow
down. In addition to the driver and a bodyguard, an OLD MAN
WITH A HENNAED BEARD, a turban, and sunglasses sits in back.
THE SATELLITE VIEW
As the Mercedes closes with the sheep:"|stage direction
11|DEVEREAUX (V.O.)|Slow down.|speech
12||"BACK TO -- THE COAST ROAD
As if on command, the Mercedes finally slows as the sheep
move lazily across the road.
FLASH CUT -- NEWS FOOTAGE (STOCK)
President Clinton addresses reporters in the White House."|stage direction
13|PRESIDENT CLINTON|"""To any lengths, anywhere in the
world, to bring these people to
justice."""|speech
14||"BACK TO -- THE COAST ROAD
Inside the Mercedes, they watch as the Shepherd urinates and
the sheep mill about in the middle of the road. The driver
rolls down his window to scream in Arabic at:
THE POOR SHEPHERD
Who hurries to button his fly. It is only as we look closer
that we see the silenced muzzle of:
COLT COMMANDO RIFLE
Protruding from the sleeve of his jhallabah. And then:
THE HERD OF SHEEP
Fill the frame, blocking our view of the Mercedes, and for a
moment, all we can HEAR is their gentle bleating. But as
they clear frame, we can see that:
THE MERCEDES
Has been turned into an abattoir, its windshield shattered
and bloody. The driver slumps over the steering wheel, the
bodyguard is half out of the window. And in the distance:
WITH A MAGICIAN'S ALACRITY
One Shepherd pulls a BLACK HOOD over the Sheik's head while
the other injects him with a HYPODERMIC. The first Shepherd
activates a SATCHEL CHARGE and swings it into the Mercedes
while the second straps the Sheik into a HARNESS... A BALLOON
self-inflates and hurtles aloft, pulling a cable attached to
the Sheik's harness.
AN MC-130 COMBAT TALON AIRCRAFT
Its ""Whiskers"" in the nose of the aircraft snag the cable
without slowing and roars off, the Sheik dangling unconscious
beneath -- just as the satchel charges EXPLODE the Mercedes.
THE SATELLITE VIEW
Records impassively for a moment, then breaks up into static."|stage direction
15|DEVEREAUX|Gotcha.|speech
16||"IN A SAFE HOUSE -- SOMETIME LATER
A pale, diminished Sheik sits at a steelcase table. A STEEL
COT and a STEEL TOILET. Closed-circuit cameras in the corner.
Opposite him: the man, whose voice we have only heard: GENERAL
WILLIAM DEVEREAUX -- and though he wears a civilian suit,
his bearing betrays his pedigree. His considerable charm and
habitual skepticism are as much a product of self-discipline
as his close-order drill."|stage direction
17|DEVEREAUX|"Nobody knows you're here. Not your
people. Not even my President. You'll
die here alone and be buried unknown --
barring some miracle."|speech
18||The SHEIK speaks a few words in Arabic.|stage direction
19|DEVEREAUX|-- God? GOD?|speech
20||(looks at him)|location
21|DEVEREAUX|"What you eat. Whether you eat. Sleep.
Pain. Absence of pain. I decide. I
make the day and the night. Even the
way you got here -- a hand that
reached down from the sky?"|speech
22||(looks at him)|location
23|DEVEREAUX|God? I am your new God.|speech
24||DISSOLVE TO:|unknown
25||INT. MOSQUE - DAWN|location
26||"A MUEZZIN climbs a spiral staircase, enters a turret-like
room, CLICKS ON a microphone and CHANTS the call to prayer."|stage direction
27|MUEZZIN|Allahuh Akbar...|speech
28||"HUNDREDS OF BELIEVERS prostrate themselves on prayer rugs.
At the door, hundreds of SHOES are lined up, work boots,
expensive loafers, a range of social classes represented.
ON THE STREET
Shopkeepers pause to kneel and pray. In Arab homes, parents
and children do the same. And as we PULL BACK from:
THE MINARET
Of the Mosque, we DISCOVER not an Arab city, but instead the
unmistakable skyline of:
DOWNTOWN MANHATTAN
The World Trade Ctr, Wall Street, The Federal building.
IN THE FBI SITUATION ROOM
Two AGENTS hurry through the bullpen. TINA OSU, 32, sharp,
and FRANK HADDAD, Lebanese with an insouciant grin."|stage direction
29|TINA|"Brooklyn South issued a code blue
less than two minutes ago. They think
hostages are involved."|speech
30|FRANK|Black-and-whites on the scene?|speech
31|TINA|Setting up a perimeter now.|speech
32|FRANK|Residence or business?|speech
33|TINA|A bus.|speech
34||"Sequence omitted from original script.
THE 99 BUS -- SEEN FROM ABOVE
Surrounded by a phalanx of Black-and-Whites.
BACK TO -- THE SITUATION ROOM
They have been joined by Anthony Hubbard, the ASAC."|stage direction
35|HUB|SWAT?|speech
36|FRANK|On the way.|speech
37|HUB|Negotiator?|speech
38|TINA|Rolling.|speech
39|HUB|Bomb squad?|speech
40||"THE 99 BUS
The BOMB SQUAD approaches. We SEE terrified PASSENGERS inside.
BACK TO -- HUB AND FRANK, EXITING THE FEDERAL BUILDING"|stage direction
41|HUB|How soon can we get there --?|speech
42|FRANK|In this traffic, maybe tomorrow.|speech
43||"BACK TO -- THE 99 BUS
As a police TECHIE inserts a dentist's mirror through a
drilled hole in the bus's door, the L.E.D. begins to BLINK
and the passengers SCREAM and dive for cover. An EXPLOSION.
BACK TO -- HUB AND FRANK, IN THE CAR
Frank is listening to a cell phone."|stage direction
44|FRANK|Oh, fuck. It just blew.|speech
45||"BACK TO -- THE 99 BUS
The doors hang off their hinges. As the PASSENGERS tumble
off, we SEE they are covered in BLUE PAINT.
BACK TO -- HUB AND FRANK, IN THE CAR"|stage direction
46|HUB|-- What?!|speech
47|FRANK|-- That's what they're telling me.|speech
48|HUB|-- And nobody's hurt?|speech
49||Frank nods. Hubs closes his eyes in gratitude.|stage direction
50|HUB|Thank God.|speech
51||CUT TO:|unknown
52||"THE JOINT FBI/NYPD TERRORISM TASK FORCE - FEDERAL BLDG
They're listening to a tape-recording, altered by a VO-CORDER:"|stage direction
53|TAPED VOICE|-- our first and last warning.|speech
54||"As the MESSAGE continues, we PAN the faces: MIKE JOHANNSON,
squad supervisor, and DANNY SUSSMAN, representing NYPD."|stage direction
55|TAPED VOICE|"We expect our demand to be met. There
will be no negotiation. That is all."|speech
56|TINA|Demand for what? You hear any demand?|speech
57|MIKE|You sure this is all they got?|speech
58|SUSSMAN|That's it.|speech
59|FRANK|Maybe it's performance art.|speech
60||"Sussman shoots him a look. Clearly Haddad enjoys pushing his
buttons. Finally, Hub stands up."|stage direction
