|character|text|type
0||SOMEONE TO WATCH OVER ME|location
1||"by
Howard Franklin
Danilo Bach
David Seltzer"|unknown
2||Revisions by Danilo Bach|location
3||"REVISED
December 4, 1986"|unknown
4||FADE IN:|stage direction
5||INT.  MIKE'S HOUSE - QUEENS - EARLY EVENING|location
6||"Winter.  A celebration.  Close friends, cop friends,
family all here to celebrate patrolman MIKE KEEGAN'S
promotion to detective, NYPD.
The party spills through the house -- front room, dining
room, kitchen, with a small fenced backyard visible beyond
that.  A community of cops on their off-hours, their
wives, kids.  A mix of generations, all the way from
MIKE'S kid, TOMMY, and his FRIENDS, playing among the
adults, to an elderly woman observing quietly from her
chair at the side.  The mood's warm, spirited; there's a
lot of friendship here.
ANGLE:  MIKE, in the dining room, posing for a photo with
his ten-year-old son, TOMMY, proudly displaying his new
gold detective's SHIELD pinned to his jersey."|stage direction
7||(calling to his|location
8||"wife, for a family
portrait)"|unknown
9|MIKE|Ellie!  C'mon!  Over here!|speech
10||"ANGLE:  ELLIE, MIKE'S wife of fifteen years, a local
product, bright and lively, and clearly proud as hell of
her man.  She frees herself from the crush of friends,
hurrying to join him.
ANGLE:  MIKE, ELLIE giving him a full-mouthed smack on the
lips as he hooks her into his arms.
The picture's snapped, to a chorus of hoots and hollers.
Behind, a banner and poster blowup of Mike in gun and
uniform read:  ""FINALLY THEY'VE RECOGNIZED YOU, DETECTIVE
KEEGAN.""
SCOTTY, a patrolman with the 117th and one of MIKE'S best
pals, puts his hand vigorously, in congratulations, on
MIKE'S SHOULDER."|stage direction
11||(to Mike)|location
12|SCOTTY|"No joke?  You're being transferred
to the 19th as your first
assignment?  Who the hell loves your
ass downtown?"|speech
13||(naively)|location
14|ROOKIE|What's the 21st?|speech
15||BROOKLYN, a cop about Mike's age, joins in.|stage direction
16|SCOTTY|What d'you care?  You'll never know.|speech
17|BROOKLYN|"Manhattan.  The Upper East Side,
East 59th to 96th."|speech
18||The ROOKIE stares, impressed.|stage direction
19||(to the others)|location
20|SCOTTY|"Remember Curran from the Sixteenth?
He posted a coupla months there on a
floater outside the French embassy.
He met Jackie Kennedy."|speech
21|BROOKLYN|"Curran, that fuckin' noodlehead.  He
probably wrote her up for letting
her dog dump on Rockefeller's
doorstep."|speech
22||"ANGLE ON MIKE, trying to swallow a mouthful of potato
salad as a plump and pretty middle-aged woman (HELEN
GREENING) pulls him into a bear hug, planting a kiss on
him."|stage direction
23|HELEN|"Mmmmmm-glimmmeee-kisss!  I'm so
proud of you!  What the hell took
you so long?"|speech
24|MIKE|"Hey, don't ask me.  Ask the man who
put in the good word."|speech
25||"ANGLE ON T.J. GREENING, Helen's husband, Mike's best
friend.  He's forty, stocky, looks up, horsing around with
some of the kids in the next room."|stage direction
26|MIKE|"If T.J. didn't push for me, I never
would've made it."|speech
27|BROOKLYN|"Bet your ass... I give you six weeks
before you're back on the beat,
Keegan, they got no room for hero
cops..."|speech
28|MIKE|"Appreciate, that vote of confidence,
Brook."|speech
29|BROOKLYN|Hey, am I supportive, or what?|speech
30||"ANGLE ON TOMMY:  in the hallway, trying to show SCOTTY'S
date -- a ""real"" BIMBO, who's spilling out of her woolly
sweater and tight jeans -- how to stand on his SKATEBOARD.
She shrieks a laugh, toppling off.  HELEN, passing by with
an empty platter, catches the action."|stage direction
31||INT.  KITCHEN - SAME|location
32||ELLIE, another WIFE at the sink, wives all; HELEN enters.|stage direction
33|HELEN|He left Elaine for that?|speech
34|WIFE #1|And what about little Scotty?|speech
35||"ELLIE continues washing the dishes as HELEN and the WIFE
dry.  MIKE enters to get more beers."|stage direction
36||(still staring)|location
37|HELEN|I'd like to tie her tits together.|speech
38|ELLIE|That wouldn't be too difficult.|speech
39||(overhearing)|location
40|MIKE|"I bet you think she doesn't have a
brain in her head.  I bet you think
the only thing he sees in her is one
incredible, dynamite body..."|speech
41||"He GRINS at their blank stares... ELLIE'S EYES wryly
following... as he moves on out with his beers."|stage direction
42|HELEN|"I love your husband, Ellie, but he's
a real dork."|speech
