|character|text|type
0||"Story by
Rick Berman & Brannon Braga
& Ronald D. Moore
Screenplay by
Brannon Braga & Ronald D. Moore
First Draft
September 29, 1995
1   A BLACK VOID                                                 1"|unknown
1||"We can hear movement. Strange skittering sounds, like
razor-claws on metal... the hiss of pneumatic hoses...
the whirr and click of servos... liquid gurgling... an
eerie, alien cacophony."|stage direction
2||2   EARTH                                                        2|unknown
3||"appears, hanging now in the starry blackness. The
alien noises continue, and far in the distance we hear
the muffled THUMP of what could be a distant explosion.
Alien TEXT suddenly appears next to Earth, and we
REVEAL we are in --"|stage direction
4||3   INT. BORG RECON CENTER                                       3|unknown
5||"The image of Earth is actually on a monitor, which is
only one of DOZENS of MONITORS covering a huge wall.
We don't see anything of the rest of the room, but the
technology in view is distinctly alien and bizarre --
a mixture of organic and mechanical elements.
Circuitry and optical cabling are side-by-side with
what looks almost like arteries and organs. We can
still hear the creepy skittering and gurgling noises.
Occasionally, a SHADOWY FORM sweeps past the camera,
vaguely humanoid but we can't tell who or what it is.
All of the monitors are active, and they present myriad
IMAGES and SOUND -- all related to EARTH HISTORY. The
screens show everything from written Chinese... to
Renaissance paintings... to black and white newsreel
footage of World War Two... to what look like clips of
space battles from the 24th century. The entire range
of human history dancing across the monitors. The
effect is dizzying -- we get the feeling that whoever
is watching this is studying the human race.
There is another THUMP and the wall of monitors
SHUDDERS slightly. We hear the VOICE of what we will
come to know as the BORG COLLECTIVE -- thousands of
voices speaking at once :"|stage direction
6|BORG|"Restrict search parameters to 1-9-
9-8 through 2-0-8-4."|speech
7||"The images on the monitors now change to show us images
from 21ST CENTURY Earth history.
Again, it's a collection of still photography, video
footage, text, artwork, etc. We hear snippets of sound-
bites, music, speeches from the period. A lot of
enticing details. As the images race across the
monitors, we should learn the following.
-- The turn of the 21st century brought chaos.
Regional wars, the collapse of the United Nations.
Societal break-down. Crime, starvation, desperation.
-- A Third World War. Nuclear explosions,
environmental disasters, tens of millions dead. The
United States ceases to exist. All political authority
vanishes. Humanity teetering on the edge of the Second
Dark Age.
-- The image of a single man -- ZEPHRAM COCHRANE. A
visionary scientist. He see the spacecraft he created
out of a nuclear missile. He flies the first warp
test, breaking the light barrier. It changes history.
-- Grainy black and white images of a VULCAN SCOUT SHIP
landing on Earth. They saw Cochrane's flight, followed
him back to Earth, and made First Contact with the
human race.
-- Humanity turns the corner. First Contact with an
alien civilization brings the planet together as never
before. Humans and Vulcans working together, beginning
to solve long-standing problems with new technology.
We see an early replicator producing food for the
starving millions. A new World Government is formed.
-- People from planet Earth and people from Vulcan form
an Alliance. They call it the United Federation of
Planets. And they commission a fleet of starships for
protection and exploration. They call it Starfleet.
-- These are images recounting the birth of the Star
Trek universe.
Another muffled EXPLOSION, this one stronger, SHAKES
the entire wall. One of the monitors BLOWS OUT in a
shower of sparks. And now a new voice, a woman's
voice, low, threatening, with a slight metallic
inflection, speaks for the first time:"|stage direction
8|WOMAN'S VOICE|"Stop search. Calculate temporal
coordinates. J-Fourteen."|speech
9||Another explosion ROCKS the room and it takes us to:|stage direction
