|character|text|type
0||EXT. SPACE|location
1||A vast sea of stars severas as a backdrop for the Main Title, following by a rollup, whcih crawls into infinity.|stage direction
2||PAN UP to reveal the amber city planet of Coruscant. A yellow Naboo Fighter flies OVER CAMERA toward the planet, followed by a large Royal Cruiser and two more Fighters.|stage direction
3||EXT. CITYSCAPE, CORUSCANT - DAWN|location
4||The ships skim across the surface of the city landscape. The sun glints off the chrome hulls of the sleek Naboo spacecraft as they navigate between the buildings of the capital planet.|stage direction
5||EXT. CORUSCANT, LANDING PLATFORM - DAWN|location
6||"Two Naboo Fighters land on one leaf of a three-leaf-clover landing platform. The Royal Starship lands on the central lead, and the third Fighter lands on the remaining plaform.
A small GROUP OF DIGNITARIES waits to welcome the Senator. One of the members of the group os a well dressed JAR JAR BINKS, a member of the Galactic Representative Commission, and DORME, Senator Amidala's handmaiden.
One of the FIGHTER PILOTS jumps from the wing of his ship and removes his helmet. He is CAPTAIN TYPHO, SENATOR AMIDALA'S Security Officer. He moves over to a WOMAN PILOT.
CAPTAIN TYPHO
We made it. I guess I was wrong,
there was no danger at all.
The ramp ;pwers. TWO NABOO GUARDS appear. SENATOR AMIDALA, ONE HANDMAIDEN (VERSE) and FOUR TROOPERS descend the ramp. AMIDALA is more beautiful now than she was ten years earlier when, as Queen, she was freeing her people from the yoke of the Trade Federation.
The DIGNITARIES start to move forward. SENATOR AMIDALA reaches the foot of the ramp, when suddenly there is a blinding FLASH and a huge EXPLOSION. The DIGNITARIES and PILOTS are hurled to the ground as the starship is destroyed.
Klaxons blare, alarms sound! CAPTAIN TYPHO and the TWO ESCORT PILOTS get up and run to where SENATOR AMIDALA lies dying. Beyond, ARTOO DETOO drops down from the Naboo Fighter and rolls toward the wreckage. The FEMALE ESCORT PILOT kneels by SENATOR AMIDALA and takes off her helmet, revealing SENATOR PADME AMIDALA."|stage direction
7|PADMÉ|Cordé...|speech
8||She gathers up her decoy double in her arms. Cordé's eyes are open. She looks up at her.|stage direction
9|CORDÉ|... I'm sorry, m'lady... I'm... not sure I...|speech
10||CORDÉ dies. PADMÉ hugs her.|stage direction
11|AMIDALA|No!... No!... No!...|speech
12||PADMÉ lowers CORDÉ to the ground. She gets up and looks around at the devastation. There are tears in her eyes.|stage direction
13|AMIDALA|I should not have come back.|speech
14|CAPTAIN TYPHO|M'Lady, you are still in danger.|speech
15||Amidala says nothing.|stage direction
16|CAPTAIN TYPHO|"This vote is very important. You did
your duty and Cordé did hers. Now
come. (she doesn't respond) M'Lady,
please!"|speech
17||She turns. They walk away. ARTOO lets out a small whimper and rolls off after them.|stage direction
18||EXT. SENATE BUILDING - DAY|location
19||The massive Senate Building glistens in the afternoon sun. Small patches of fog have still to burn off.|stage direction
20||INT. SENATE CHAMBER - DAY|location
21||The vast rotunda is buzzing with chatter. MAS AMEDDA, the Supreme Chancellor's majordomo, tries to quiet things down as PALPATINE confers with an AIDE, UV GIZEN, riding a small one man floating scooter.|stage direction
22|MAS AMEDDA|"Order! We shall have order! The motion
for the Republic to commission an army
takes precedent, and that is what we
will vote on at this time."|speech
23||Everything quiets down. The AIDE disperses, and SUPREME CHANCELLOR PALPATINE steps to the podium.|stage direction
24|PALPATINE|"...My esteemed colleagues, excuse
me... I have just received some
tragic and disturbing news. Senator
Amidala of the Naboo system... Has
been assassinated!"|speech
25||There is a shock silence in the vast arena.|stage direction
26|"PALPATINE
(continued)"|"This grievous blow is especially
personal to me. Before I became
Chancellor, I served Amidala when
she was Queen. She was a great
leader who fought for justice, not
only in this honourable assembly,
but also on her home planet. She
was so loved she could have been
elected queen for life. She
believed in public service, and
she fervently believed in
democracy. Her death is a great
loss to us all. We will all mourn
her as a relentless champion of
freedom... and as a dear friend."|speech
27||There is a moment of silence. ASK AAK, the SENATOR of MALASTARE, moves his pod into the centre of the arena.|stage direction
28|SENATOR ASK AAK|"How many more Senators will die
before this civil strife ends! We
must confront these rebels now,
and they need an army to do it."|speech
29||"A second pod moves into the centre of the area with DARSANA, the
AMBASSADOR OF GLEE ANSELM."|stage direction
30|AMBASSADOR DARSANA|"Why weren't the Jedi able to stop
this assassination? We are no
longer safe, under their protection."|speech
31||Senator ORN FREE TAA swings forward in his pod.|stage direction
32|ORN FREE TAA|"The Republic needs more security
now! Before it comes to war."|speech
33|PALPATINE|"Must I remind the Senator from
Malastare that negotiations are
continuing with the separatists.
Peace is our objective here... not
war."|speech
34||The SENATORS yell pro and con. MAS AMEDDA tries to calm things down. SENATOR PADME AMIDALA, with CAPTAIN TYPHO, JAR JAR, and DORME, manoeuvre her pod into the centre of the vast arena.|stage direction
35|AMIDALA|"My noble colleagues, I concur with
the Supreme Chancellor. At all
costs, we do not want war!"|speech
36||"The Senate goes quiet, then there is an outburst of cheering and
applause."|stage direction
37|PALPATINE|"It is with great surprise and
joy the chair recognises the
Senator from Naboo, Padmé Amidala."|speech
38|PADMÉ|"Less than an hour ago, an
assassination attempt was made
against my life. One of my
bodyguards and six  others were
ruthlessly and senselessly
murdered. I was the target but,
more importantly, I believe this
security measure before you, was
the target. I have led the
opposition to build an army... but
there is someone in this body who
will stop at nothing to assure it's
passage..."|speech
39||Many of the SENATORS boo and yell at SENATOR AMIDALA.|stage direction
40||(continuing)|location
41|PADMÉ|"I warn you, if you vote to create
this army, war will follow. I
have experienced the misery of war
first-hand; I do not wish to do it
again."|speech
42||There is sporadic yelling for and against her statements.|stage direction
43|PADMÉ|"Wake up, Senators... you must wake
up! If you offer the separatists
violence, they can only show us
violence in return! Many will
lose their lives. All will lose
their freedom. This decision
could very well destroy the very
foundation of our great Republic.
I pray you do not let fear push
you into a disastrous decision.
Vote down this security measure,
which is nothing less than a
declaration of war! Does anyone
here want that? I cannot believe
they do."|speech
44||There is an undercurrent of booing... and groaning. SENATOR ORN FREE TAA moves his pod next to AMIDALA.|stage direction
45|ORN FREE TAA|"My motion to defer the vote must
be dealt with first. That is the
rule of law."|speech
46||AMIDALA looks angry and frustrated. PALPATINE gives her a sympathetic look.|stage direction
47|PALPATINE|"Due to the lateness of the hour
and the seriousness of this
motion, we will take up these
matters tomorrow. Until then, the
Senate stands adjourned."|speech
48||EXT. EXECUTIVE QUARTERS BUILDING - DAY|location
49||The giant towers of the Republic Executive Building seem to reach the heavens. Traffic clogs the smoggy sky.|stage direction
50||INT. CHANCELLOR'S OFFICE - DAY|location
51||CHANCELLOR PALPATINE sits behind his desk with TWO RED-CLAD ROYAL GUARDS on either side of the door. YODA, PLOT KOON, KI-AD-MUNDI, and MACE WINDU sit acress from him.|stage direction
52|PALPATINE|"I don't know how much longer I can
hold off the vote, my friends.
More and more star systems are
joining the separatists."|speech
53|MACE WINDU|If they do break away -|speech
