|character|text|type
0||"THE EMPIRE STRIKES BACK
Written by
Lawrence Kasdan
and
Leigh Brackett
From a story by George Lucas"|unknown
1||EXT. GALAXY - PLANET HOTH|location
2||"A Star Destroyer moves through space, releasing Imperial probe robots
from its underside.
One of these probes zooms toward the planet Hoth and lands on its ice-
covered surface.  An explosion marks the point of
impact."|stage direction
3||EXT. HOTH - METEORITE CRATER - SNOW PLAIN - DAY|location
4||"A weird mechanical sound rises above the whining of the wind.  A
strange probe robot, with several extended sensors, emerges from the
smoke-shrouded crater.  The ominous mechanical probe floats across the
snow plain and disappears into the distance."|stage direction
5||EXT. PLAIN OF HOTH - DAY|location
6||"A small figure gallops across the windswept ice slope.  The bundled
rider is mounted on a large gray snow lizard, a Tauntaun.  Curving
plumes of snow rise from beneath the speeding paws of the two-legged
beast.
The rider gallops up a slope and reins his lizard to a stop.  Pulling
off his protective goggles, Luke Skywalker notices something in the
sky.  He takes a pair of electrobinoculars from his utility belt and
through them sees smoke rising from where the probe robot has crashed.
The wind whips at Luke's fur-lined cap and he activates a comlink
transmitter.  His Tauntaun shifts and moans nervously beneath him."|stage direction
7||(into comlink)|location
8|LUKE|"Echo Three to Echo Seven.  Han,
old buddy, do you read me?"|speech
9||After a little static a familiar voice is heard.|stage direction
10||(over comlink)|location
11|HAN|Loud and clear, kid.  What's up?|speech
12||(into comlink)|location
13|LUKE|"Well, I finished my circle.  I
don't pick up any life readings."|speech
14||(over comlink)|location
15|HAN|"There isn't enough life on this
ice cube to fill a space cruiser.
The sensors are placed, I'm going
back."|speech
16||(into comlink)|location
17|LUKE|"Right.  I'll see you shortly.
There's a meteorite that hit the
ground near here.  I want to check
it out.  It won't take long."|speech
18||"Luke clicks off his transmitter and reins back on his nervous lizard.
He pats the beast on the head to calm it."|stage direction
19|LUKE|"Hey, steady girl.  What's the
matter?  You smell something?"|speech
20||"Luke takes a small device from his belt and starts to adjust it when
suddenly a large shadow falls over him from behind.  He hears a
monstrous howl and turns to see an eleven-foot-tall shape towering over
him.  It is a Wampa Ice Creature, lunging at him ferociously."|stage direction
21|LUKE|Aaargh!|speech
22||"Luke grabs for his pistol, but is hit flat in the face by a huge white
claw.  He falls unconscious into the snow and in a moment the terrified
screams of the Tauntaun are cut short by the horrible snap of a neck
being broken.
The Wampa Ice Creature grabs Luke by one ankle and drags him away
across the frozen plain."|stage direction
23||EXT. HOTH - REBEL BASE ENTRANCE - DAY|location
24||"A stalwart figure rides his Tauntaun up to the entrance of an enormous
ice cave."|stage direction
25||INT. HOTH - REBEL BASE - MAIN HANGAR DECK|location
26||"Rebel troopers rush about unloading supplies and otherwise securing
their new base.  The rider, Han Solo, swings off his lizard and pulls
off his goggles.
He walks into the main hangar deck toward the Millennium Falcon, which
is parked among several fighters.  Mechanics, R2 units, and various
other droids hurry about.  Han stops at the Millennium Falcon where his
Wookiee copilot, Chewbacca, is welding on a central lifter.  Chewie
stops his work and lifts his face shield, growling an irritated
greeting to his boss."|stage direction
27|HAN|Chewie!|speech
28||The Wookiee grumbles a reply.|stage direction
29|HAN|"All right, don't lose your temper.
I'll come right back and give you
a hand."|speech
30||"Chewbacca puts his mask back on and returns to his welding as Han
leaves."|stage direction
31||INT. HOTH - REBEL BASE - COMMAND CENTER|location
32||"A makeshift command center has been set up in a blasted area of thick
ice.  The low-ceilinged room is a beehive of activity. Controllers,
troops, and droids move about setting up electronic equipment and
monitoring radar signals.
General Rieekan straightens up from a console at Han's approach."|stage direction
33|RIEEKAN|Solo?|speech
34||"No sign of life out there, General.
The sensors are in place.  You'll
know if anything comes around."|stage direction
35|RIEEKAN|Commander Skywalker reported in yet?|speech
36|HAN|"No.  He's checking out a meteorite
that hit near him."|speech
37||(indicates radar|location
38|screen)|"With all the meteor activity in this
system, it's going to be difficult
to spot approaching ships."|speech
39||Taking a deep breath, Han blurts out what is on his mind.|stage direction
40|HAN|"General, I've got to leave.  I
can't stay anymore."|speech
41||"Princess Leia, standing at a console nearby, is dressed in a short
white combat jacket and pants.  Her hair is braided across her head in
a Nordic fashion.  She overhears their  conversation and seems somewhat
distressed."|stage direction
42|RIEEKAN|I'm sorry to hear that.|speech
43|HAN|"Well, there's a price on my head.
If I don't pay off Jabba the Hut,
I'm a dead man."|speech
44|RIEEKAN|"A death mark's not an easy thing
to live with.  You're a good
fighter, Solo.  I hate to lose you."|speech
45|HAN|Thank you, General.|speech
46||He turns to Leia as Rieekan moves away.|stage direction
47||(with feeling)|location
48|HAN|"Well, Your Highness, I guess this
is it."|speech
49|LEIA|That's right.|speech
50||"Leia is angry.  Han sees she has no warmth to offer him.  He shakes his
head and adopts a sarcastic tone."|stage direction
51||(cooly)|location
52|HAN|"Well, don't get all mushy on me.
So long, Princess."|speech
53||"Han walks away into the quiet corridor adjoining the command center.
Leia stews a moment, then hurries after him."|stage direction
54||INT. HOTH - REBEL BASE - ICE CORRIDOR|location
55|LEIA|Han!|speech
56||Han stops in the corridor and turns to face Leia.|stage direction
57|HAN|Yes, Your Highnessness?|speech
58|LEIA|I thought you decided to stay.|speech
59|HAN|"Well, the bounty hunter we ran
into on Ord Mantell changed my
mind."|speech
60|LEIA|Han, we need you!|speech
61|HAN|We?|speech
62|LEIA|Yes.|speech
63|HAN|Oh, what about you need?|speech
64||(mystified)|location
65|LEIA|"I need?  I don't know what you're
talking about."|speech
66||(shakes his head,|location
67|fed up)|You probably don't.|speech
68|LEIA|"And what precisely am I supposed
to know?"|speech
69|HAN|"Come on!  You want me to stay
because of the way you feel about
me."|speech
70|LEIA|"Yes.  You're a great help to us.
You're a natural leader..."|speech
71|HAN|"No!  That's not it.  Come on.
Aahhh - uh huh!  Come on."|speech
72||Leia stares at him, understanding, then laughs.|stage direction
73||You're imagining things.|stage direction
74|HAN|"Am I?  Then why are you following
me?  Afraid I was going to leave
without giving you a goodbye kiss?"|speech
75|LEIA|I'd just as soon kiss a Wookiee.|speech
76|HAN|"I can arrange that.  You could use
a good kiss!"|speech
77||Angrily, Han strides down the corridor as Leia stares after him.|stage direction
78||INT. HOTH - REBEL BASE - ANOTHER ICE CORRIDOR|location
79||"A familiar stream of beeps and whistles herald the approach of Artoo-
Detoo and See-Threepio, who appear around a corner and move along an
ice wall toward the main hangar."|stage direction
80|THREEPIO|"Don't try to blame me.  I didn't
ask you to turn on the thermal
heater.  I merely commented that it
was freezing in the princess'
chamber.  But it's supposed to be
freezing.  How are we going to dry
out all her clothes?  I really don't
know."|speech
81||Artoo beeps a stream of protesting whistles.|stage direction
82|THREEPIO|Oh, switch off.|speech
83||INT. HOTH - REBEL BASE - MAIN HANGAR DECK|location
84||"The two robots stop at Han Solo's space freighter.  Han and Chewie are
struggling with their central lifters."|stage direction
85||(to Chewie)|location
86|HAN|"Why do you take this apart now?
I'm trying to get us out of here
and you pull both of these."|speech
87||Chewie grumbles in irritation.|stage direction
88|THREEPIO|Excuse me, sir.|speech
89||(to Chewie)|location
90|HAN|Put them back together right now.|speech
91|THREEPIO|"Might I have a word with you,
please?"|speech
92|HAN|What do you want?|speech
93|THREEPIO|"Well, it's Princess Leia, sir.
She's been trying to get you on
the communicator."|speech
94|HAN|"I turned it off.  I don't want to
talk to her."|speech
95|THREEPIO|"Oh.  Well, Princess Leia is wondering
about Master Luke.  He hasn't come
back yet.  She doesn't know where he
is."|speech
96|HAN|I don't know where he is.|speech
97|THREEPIO|Nobody knows where he is.|speech
98|HAN|"What do you mean, ""nobody knows""?"|speech
99||"Han glances at the fading light at the entrance of the ice cave as
night slowly begins to fall on the planet."|stage direction
100|THREEPIO|Well, uh, you see...|speech
101||Han jumps down off the lift, as Threepio follows him.|stage direction
102|HAN|Deck Officer.  Deck Officer!|speech
103|THREEPIO|Excuse me, sir.  Might I inqu...|speech
104||"Han abruptly puts his hand over Threepio's mouth as the deck officer
approaches."|stage direction
105|DECK OFFICER|Yes, sir?|speech
106|HAN|"Do you know where Commander
Skywalker is?"|speech
107|DECK OFFICER|"I haven't seen him.  It's possible
he came in through the south entrance."|speech
108|HAN|"It's possible?  Why don't you go
find out?  It's getting dark out there."|speech
109|DECK OFFICER|Yes, sir.|speech
110||"The deck officer leaves hurriedly, as Han takes his hand off Threepio's
mouth."|stage direction
111|THREEPIO|"Excuse me, sir.  Might I inquire
what's going on?"|speech
112|HAN|Why not?|speech
113|THREEPIO|"Impossible man.  Come along, Artoo,
let's find Princess Leia.  Between
ourselves, I think Master Luke is
in considerable danger."|speech
114||INT. HOTH - REBEL BASE - MAIN ICE TUNNEL|location
115||"The deck officer and his assistant hurry toward Han as he enters the
tunnel."|stage direction
