|character|text|type
0||"BELLE
Written by
Misan Sagay
An intricate piano piece - GEORGE FREDERICK HANDEL...
INTERCUT WHITE ON BLACK CREDITS WITH BELOW..."|unknown
1||1   INT. RUSTIC STUDIO OF AN ARTISAN. DAY 1                         1   *|location
2||"A series of shots.
Blue sky through shabby windows.
Run down walls. A paint splashed pine floor.    Tens of paint
brushes soaking in stained jars.
An artisan's hands - weather-worn, swirling a paint brush
in dirty water that sways at the bottom of one of the jars.
A canvas - the sketched face of a woman - blonde, blue eyed
as the artisan strokes paint into her features - a poster
girl for 18th century portraiture. (We will later
recognise her as ELIZABETH MURRAY)
CAPTION: ENGLAND 1766"|unknown
3||2   EXT/INT. DOCKS/SLUM ROOM. ENGLAND - DAY. 2                      2   *|location
4||"A swallow cuts across a red tinged sky.   SOUND of footsteps
trudging through mud.
EXTREME CLOSE UP: a small figure being dressed by someone -
a shoulder, an arm, little hands. We do not see a face.
CLOSE: heavy naval boots move at sombre pace through slums.
Against a stone floor, a child's feet are laced into boots.
A starving dog barks , darts between tradesmen, sailors.
Hold this image as Handel comes to an END."|unknown
5||3   INT. SLUM ROOM - DAY. 2                                         3   *|location
6||"A CHILD'S POV as the door opens. We see a gentleman in
ceremonial naval dress - CAPTAIN SIR JOHN LINDSAY,
aristocratic, handsome...alarmed at the sight before him.
His eyes close with some sad, internal pain and as they re-
open...We see what he sees...
A fragile girl...around six years old stands in shabby
surroundings. Her terrified eyes stare back, leaving
LINDSAY at a loss. He takes in her features - delicate
with a full mouth that underlines her ethnicity.
She is DIDO ELIZABETH BELLE...part black, part white.
2.
He speaks quietly- words almost as fragile as she is.
CAPTAIN SIR JOHN LINDSAY
Hello little girl...Little Dido.
(pause)
I am your father.
Silence. Then a tear rises to the surface and as her
confused tears spill, so too do LINDSAY'S.
His POV: a POOR BLACK WOMAN oversees DIDO from afar.
CAPTAIN SIR JOHN LINDSAY (CONT'D)
(re. Dido)
How lovely she is. So much of her
mother.
(his eyes sting)
I tried...but how...how could I
separate a mother from her child?
(he restrains tears)
And now nature has deprived me of
such a dilemma.
He composes himself - feeling futile...
CAPTAIN SIR JOHN LINDSAY (CONT'D)
Thank you..for taking her.
He reaches into his pocket, holds out money to the woman.
CAPTAIN SIR JOHN LINDSAY (CONT'D)
You may leave us.
The WOMAN hesitates, scurries to DIDO, placing her lips to
the child's head in a prolonged kiss. Then she is gone.
DIDO is left frightened and stunned!
CAPTAIN SIR JOHN LINDSAY (CONT'D)
Do not be afraid sweet thing. I
am to take you to a good life.
The life you were born to.
He takes out a cube of chocolate, shows it to her. She is
reluctant. He takes a bite - delicious! DIDO moves
forward. He puts the chocolate in her hand. She tastes
it. Sweet cocoa and sugar..and now her tiny mouth is
filled. It makes LINDSAY laugh out loud."|unknown
7||4   EXT. DOCKS - DAY. 2                                          4    *|location
8||"A driver, HARRY - seated at a fine carriage.
As HARRY becomes alarmed - from his POV LINDSAY moves
towards us - the mulatto child in arms.
3."|unknown
9||5   EXT. KENWOOD HOUSE. LAWNS. DAY. 2                            5    *|location
10||"Silence, except bird song - the splendor of the English
countryside - A neoclassical estate stretches before us.
The figure of a LITTLE GIRL running across the lawns - her
giggle fills the air, her outline faded by the sun.
At French doors to the nursery, a furious greying woman -
LADY MARY MURRAY (40s), waves a wooden spoon and yells...
LADY MARY"|unknown
11||"Elizabeth Murray, bring yourself
back here this very moment!"|stage direction
12||"The child crashes to the grass in fits of laughter. She is
no more than 6 years old - Hair the colour of bleached hay
and delicate pale skin.
She rolls on to her back, squinting at the sunlight as...
The SOUND of horse and carriage at the front of the house.
ELIZABETH bolts upright. Her POV: As CAPTAIN SIR JOHN
LINDSAY guides DIDO from the carriage.
WIMBRIDGE, the butler, steps out to receive them."|unknown
13||6   INT.   KENWOOD HOUSE. DRAWING ROOM. DAY. 2                   6    *|location
14||"LADY MANSFIELD (40s), the years have been kind. She is
beautiful, regal - stares ahead in shock...
LORD MANSFIELD (50's) - a majestic man, white wigged and
low brows, is incandescent, his sister, LADY MARY, frozen.
LORD MANSFIELD"|unknown
15||What in God's name have you done!!|stage direction
16||"Their POV - LINDSAY and little DIDO stand.
LADY MANSFIELD"|unknown
17||She...she is black.|stage direction
18||"LINDSAY is pained.
CAPTAIN SIR JOHN LINDSAY"|unknown
19||She is my blood.|stage direction
20||LADY MARY|unknown
21||But she IS black!|stage direction
22||LORD MANSFIELD|unknown
23||A detail you chose NOT to share.|stage direction
24||CAPTAIN SIR JOHN LINDSAY|unknown
25||Uncle? You assured me!|stage direction
26||"4.
LORD MANSFIELD
(fury)"|unknown
27|unknown|"Captain Sir John Lindsay, do you
find me a fool? She is a MULATTO!"|speech
28||"LORD MANSFIELD'S blood boils, he rages towards LINDSAY. LADY
MANSFIELD restrains him. LINDSAY is red with humiliation."|location
29|CAPTAIN SIR JOHN LINDSAY|"I have no wife to take her...In a
few hours I am to captain a
voyage to the Indies on a
longitude experiment."|speech
30||(strained)|unknown
31|CAPTAIN SIR JOHN LINDSAY|"From there, who knows!!! It is
not in my gift to question the
King and his Royal Navy."|speech
32|LORD MANSFIELD|"You keep in mind my position..?
My reputation...?"|speech
33|CAPTAIN SIR JOHN LINDSAY|Sir...|speech
34|LORD MANSFIELD|"Then have some sense of propriety
boy...and understand what you are
asking."|speech
35||LINDSAY lowers his voice, shielding DIDO.|location
36||SIR JOHN LINDSAY|unknown
37|LORD MANSFIELD|"Her mother is dead! My wishes may
not be orthodox but they ARE
necessary!"|speech
38|LORD MANSFIELD|How do we raise her...?|speech
39|SIR JOHN LINDSAY|"I beg you, uncle...love her - as
I would, were I here."|speech
40||(sadly)|unknown
41|SIR JOHN LINDSAY|"And ensure that she is in receipt
of all that is due to her as a
child of mine."|speech
42||LADY MARY gasps, under...|location
43|LADY MANSFIELD|That is simply impossible.|speech
44|SIR JOHN LINDSAY|"What is right can never be
impossible."|speech
45||5.|unknown
46||"His firm gaze holds his aunt and uncle to account. A long
beat. LADY MANSFIELD stands conflicted."|location
47|LADY MANSFIELD|What has she been named?|speech
48|SIR JOHN LINDSAY|"She is Belle...after her mother.
Dido Elizabeth Belle...Lindsay."|speech
49|LORD MANSFIELD|She takes your name?|speech
50|SIR JOHN LINDSAY|I am not ashamed.|speech
51||LINDSAY stands his ground.|location
52|LADY MARY|"We cannot have another
Elizabeth in the household."|speech
53||"LADY MANSFIELD regards the child, then looks to her
husband, gravely. He turns his back - aggrieved."|location
54|LADY MANSFIELD|We...we will call her Dido.|speech
55||(off Lindsay's nod)|unknown
