|character|text|type
0||"THE BROTHERS BLOOM
Written by"|unknown
1||"1   EXT. DIRT ROAD - SUNRISE                                      1
Dawn with her rose-red fingers rises over a dusty country
road. A car chugs over the horizon.
NARRATOR
As far as con man stories go,
I think I've heard them all.
Of grifters, ropers, faro fixers,
tales drawn long and tall.
But if one bears a bookmark in
the confidence man's tome,
twould be that of Penelope,
and of the brothers Bloom.
2   EXT. COUNTRY HOUSE - MORNING                                  2
The car deposits two shabby boys (10 & 13) in front of a
country house.
Both in black.   Each with a suitcase.
NARRATOR
At ten and thirteen Bloom and
Stephen (the younger and the old)
3   INT. KITCHEN (FLASHBACK)                                      3
The two brothers and an oafish FOSTER FATHER sit eating
breakfast.
NARRATOR
had been through several foster
families.
The FOSTER FATHER slaps Bloom upside the head. Stephen
LAUNCHES across the table, tackling the dad and beating the
crap out of him.
NARRATOR (cont'd)
Thirty eight, all told.
4   INT. CHILD WELFARE OFFICE - DAY                               4
CLOSE ON - A CHILD WELFARE FILE COVER
""Bloom"" stamped on it. It opens, and dozens of reports flip
by. Under the ""REASON FOR RETURN OF MINORS"" field we catch
different entries: ""BEHAVIOR INAPPROPRIATE"", ""UNMANAGEABLE"",
""MOLESTED CAT"", ""SOLD OUR FURNITURE"", ""CAUSED FLOODING"".
2
4   CONTINUED:                                                  4
NARRATOR
Mischief moved them on in life, and
moving kept them close.
5   EXT. COUNTRY HOUSE PORCH                                     5
The brothers on the porch, suitcases in hand.
NARRATOR
For Bloom had Stephen, Stephen
Bloom, and both had more than most.
The front door opens, and a pair of FOSTER PARENTS eye the
brothers suspiciously.
6   EXT. SMALL TOWN SQUARE - LATER THAT DAY                      6
A wide dusty Main Street, which the two brothers survey.
NARRATOR
Another home, another main street.
Stephen looked around,
then summed the burgh up thusly:
STEPHEN
Bloom, we've hit a one hat town.
NARRATOR
One theater. One car wash. One
cafe. One park. One cat. Which,
through some mishap, had one leg.
The cat sits on a roller skate, rowing itself down the street
with its one leg.
STEPHEN
Sweet Jesus. Look at that.
7   EXT. SCHOOL - DAY                                            7
A group of children flee the school joyfully.
NARRATOR
One school, which meant one tight-
knit group of local well-off kids.
3
8    EXT. CANDY SHOP                                                 8
The children run out of the candy store, all slurping Rocket
Pops.
NARRATOR
Their pocket-change bought rocket
pops,
9    INT. CANDY SHOP                                                 9
The brothers at the counter. Bloom watches the children go,
while Stephen counts out pennies.
NARRATOR
The brothers,
Stephen slaps the change down angrily and points with a
scowl.
STEPHEN
Pixie Stix.
10   EXT. PARK                                                   10
The children play, resplendent with their Rocket Pops.
NARRATOR
They were the `they'. All well
loved, rooted, happy as you please.
Bloom and Stephen sit off to the side of the park, none too
happy nursing their Pixie Stix.
NARRATOR (cont'd)
Always there. In every town.
Stephen glares, flicks the Stix away like a cigarette.
STEPHEN
The playground bourgeoisies.
He storms off.    Bloom lingers, staring silently at the
children.
4
11   EXT. FOREST                                                  11
The brothers amble down a wooded path.     Bloom stops, staring
into the trees.
Through the dense thicket of foliage... the children playing.
And one gleaming eye framed perfectly through a small open
patch in the leaves.
Bloom pushes the leaves aside. A girl. Golden curls.
Summer dress. Standing in the distance on a wide lawn.
Bloom gazes.    Stephen places his hand on Bloom's back.
12   EXT. PARK - CONTINUOUS                                       12
Bloom stumbles from the trees (very much as if he's been
shoved) and regains his footing and freezes, not shielded at
all now from the playing kids and the girl.
NARRATOR
Could he simply
STEPHEN (O.S.)
Talk to her!
NARRATOR
Just drop his fears and go? Leave
his brother in the woods, and join
the children?
The girl makes eye contact, twisting a daisy chain between
her tiny fingers. Bloom's adam apple convulses.
He turns tail and runs back into the woods."|unknown
2||"No.
13   INT. BEDROOM - NIGHT                                         13
Brothers in bed. Bloom gazes window-ward. Stephen gazes Bloom-
wise, shuffling a pack of cards.
BLOOM
What's doing?"|unknown
3||"What?
5
13   CONTINUED:                                                    13"|unknown
4|BLOOM|"You shuffle when you're thinking
something through. So whatcha
thinking?"|speech
5|STEPHEN|Not a thing.|speech
6|NARRATOR|"This wasn't really true.
Cause in the root of Stephen's
psyche, something now began.
A seed of grand epiphany. A hook.
A tale."|speech
7||14   EXT. WOODS - DAY                                                14|unknown
8|STEPHEN|A plan.|speech
9||"Stephen spreads out a hand-drawn flowchart on a stump, and
talks Bloom through it."|unknown
