|character|text|type
0||"CRAZY LOVE
Written by
Carol Watson
REVISED 3/10/04"|unknown
1||FADE IN:|stage direction
2||INT. BEDROOM - APARTMENT - DAY|location
3||"The sweet silence of slumber. Suddenly, an alarm clock on a
nightstand SHRIEKS the operatic tones of Maria Callas.
A well-manicured hand, nails painted pink, slaps the snooze
button and mutes Maria. A few seconds reprieve.
Then, another clock, stationed on a dresser, broadcasts the
FORTISSIMO POUNDING of the ""William Tell Overture."" Toes,
also painted pink, swing out of bed and run to the dresser.
LETTY MAYER, late 20s and beautiful, turns off the music.
She opens a dresser drawer and surveys panties that are
arranged by color, from white to beige to black. Behind the
panties are rows of bras, also organized by color. Letty
pulls out some taupe undergarments, checks them against her
nails and replaces them in favor of a pink bra and panties.
Letty goes to her closet and removes a tailored, pink linen
suit. She lays it on the bed. Beast, her cat, jumps on the
bed and settles into the jacket. Letty swoops the animal off
her clothes and brushes cat hair from the suit."|stage direction
4||LETTY|location
5||"Listen, Beast. What have I told
you about linen?"|unknown
6||"The scolding is cut short by an ""Urge Overkill"" song that
SCREAMS OUT from another room. On cue, Letty heads down the
hall, dressing as she goes. She CLUCKS for Beast to follow."|stage direction
7||INT. KITCHEN - SAME|location
8||"Letty turns off the alarm clock that BLASTS ""Urge Overkill""
from the counter and checks the time against her watch.
She swings open a cupboard to look at cans of cat food
arranged by type. Seafood on the left, chicken in the
middle, then, naturally, beef. Letty reaches for a can."|stage direction
9||LETTY|location
10||"(looking at Beast)
It's liver saute."|unknown
11||Letty considers the cat a moment, and chooses another can.|stage direction
12||LETTY|location
13||"Fine, then, chicken in gravy. But
you're going to have to eat the
liver tomorrow.
2."|unknown
14||INT. BATHROOM - SAME|location
15||"Letty puts the finishing touches on her make-up and pulls
back her hair, plastering an errant curl into place with hair
spray. Yet another alarm clock sounds, this time BLARING the
voice of shock jocks MARK AND BRIAN."|stage direction
16||INT. ENTRY HALL - SAME|location
17||"Letty hurries down the hall and turns off the clock, which is
mounted near the front door. She bends down to kiss the cat
good-bye, grabs a briefcase and leaves."|stage direction
18||EXT. HALLWAY - CHASEN ELEMENTARY SCHOOL - DAY|location
19||"A school bell BUZZES. Grade-schoolers, clutching lunch
pails, scurry past Letty, who stands outside an office door.
She straightens her jacket, takes a deep breath and starts to
turn the handle.
Letty is stopped cold when CHANDRA, 7, the victim of a bloody
nose, runs up to her, bawling."|stage direction
20|CHANDRA|Miss Mayer. Miss Mayer.|speech
21||Letty looks quickly at Chandra, her watch, the door.|stage direction
22||(to Chandra)|unknown
23|LETTY|"Goodness, this is a bad one.   Tip
your head back."|speech
24||"She bends down and pushes back Chandra's head. Chandra, off
balance, places one very bloody hand on Letty's jacket lapel,
staining it for all eternity.
Letty, grimacing, takes the bloody hand firmly in her own and
guides Chandra down the hall, coaxing the child as she goes."|stage direction
25|LETTY|"Come on. Pinch it, Chandra. Pinch
it."|speech
26||INT. PRINCIPAL'S OFFICE - CHASEN ELEMENTARY SCHOOL - LATER|location
27||"PRINCIPAL GAIL LAUER, 40s, sits in uncomfortable silence with
BILL JOHANSEN, the 50-something school Superintendent. Also
present are MRS. MONTES, who is a School Board Member, and
two other BOARD MEMBERS.
Principal Gail glances at the clock. Mrs. Montes taps her
foot. Johansen clears his throat."|stage direction
28||3.|unknown
29|JOHANSEN|"Well, I have a full calendar today,
and I'm afraid..."|speech
30||"The door bursts open. Letty stumbles into the room. She
clutches her briefcase to her chest, trying to cover her
blood-smeared lapel."|stage direction
31|LETTY|"Mr. Johansen, hello. I'm so sorry
I'm late. It's very nice to meet
you."|speech
32||"Letty continues to hug the briefcase while awkwardly bending
down to shake hands with Johansen and the others."|stage direction
33|PRINCIPAL GAIL|"The Superintendent was just getting
ready to leave."|speech
34|LETTY|"I do apologize.    A student had a
crisis."|speech
35|MRS. MONTES|A crisis, you say?|speech
36|LETTY|A bloody nose...|speech
37||"There is no response. Letty reluctantly lowers the briefcase
and reveals the stain."|stage direction
38|LETTY|A bloody nose of epic proportions.|speech
39||Johansen smiles.|stage direction
40|JOHANSEN|"OK, Miss Mayer. Ten minutes.     Wow
us."|speech
41||EXT. PLAYGROUND - CHASEN ELEMENTARY SCHOOL - LATER|location
42||"A bunch of BOYS play kickball in a haze of sawdust. Chandra
sits on a bench, clamping an ice pack to her nose. JENNY, a
limber 8-year-old, hangs upside down from the jungle gym.
Letty talks on her CELL PHONE. She glances around to monitor
her wards, eyes darting like a hawk's toward the kickball
game."|stage direction
43||4.|unknown
44||LETTY|location
45|JOHANSEN|No cherry drops, Jenny.|speech
46||(into the phone)|unknown
47|JOHANSEN|"Yes, hi. I'm calling for Paul
Lascher."|speech
48||(beat)|unknown
49|JOHANSEN|Could you tell him it's Letty?|speech
50||(beat)|unknown
51|JOHANSEN|"He can't? Um, well, tell him, tell
him that they went for my math
idea. Thanks."|speech
52||"Letty dials again. She sees two boys fighting over the ball
and moves in to break them up."|stage direction
53||LETTY|location
54||(to boys)|unknown
55|JOHANSEN|Not so rough, guys.|speech
56||(into phone)|unknown
57|JOHANSEN|"Mom? Hi. You'll never guess
what...I've got the best news."|speech
58||(beat)|unknown
59|JOHANSEN|No, about work. How about dinner?|speech
60||"Brawl averted, out of the corner of her eye, Letty catches
Jenny make the daring Cherry Drop back flip off the bar. She
blows a series of ANGRY, STACCATO NOTES on her whistle."|stage direction
61||LETTY|location
62||(to Jenny)|unknown
63|JOHANSEN|You're in trouble, young lady.|speech
64||(into the phone)|unknown
65|JOHANSEN|"I know, Mom. But it's the only
place I can call from."|speech
66||(beat)|unknown
67|JOHANSEN|Can you tell Ruth about dinner?|speech
68||(beat)|unknown
69|JOHANSEN|Paul's fine, just fine.|speech
70||The class bell BUZZES.|stage direction
71|LETTY|Got to go, Mom.   The monsters call.|speech
72||INT. RESTAURANT - NIGHT|location
73||"Tuxedoed waiters glide through the tony restaurant, where the
patrons dare speak only in hushed tones. Letty sits sipping
wine with her mother, MRS. MARTHA MAYER, immaculate in a
cream suit, young looking for her 50-odd years."|stage direction
74||5.|unknown
75||"Letty's sister RUTH--early 20s and pretty, with flyaway hair
and an ever-present smile--bounds into the restaurant, oozing
happiness. Letty discretely waves her over."|stage direction
76|RUTH|Sorry I'm late.|speech
77||Letty pours her a glass of wine.|stage direction
78|MRS. MAYER|"Letty was just getting ready to
tell me her good news."|speech
79||(to Letty)|unknown
80|RUTH|Tell, tell.|speech
81||(leaning toward Letty)|unknown
82|MRS. MAYER|"Letty, dear, is that a cat hair on
your blouse?"|speech
83||Letty removes the nasty hair from her blouse.|stage direction
84|LETTY|"So, I got the district to approve
my after-school math program."|speech
85||Ruth smiles at her, but vacantly.|stage direction
86||MRS. MAYER|location
87|LETTY|How wonderful, darling.|speech
88||(beat)|unknown
89|LETTY|What does that mean for you?|speech
90|LETTY|"I'll be running it three days a
week, and..."|speech
91|MRS. MAYER|Will you get time off to do that?|speech
92|LETTY|"Not now, but maybe later, if they
like the program."|speech
93||"Ruth stares around the restaurant, a shit-eating grin
plastered across her face."|stage direction
94||(to Ruth)|unknown
95|LETTY|What's up with you?|speech
96||"6.
RUTH"|unknown
97|LETTY|"Me? Nothing. Tell me more about
the job."|speech
98||(to Ruth)|unknown
99|MRS. MAYER|Not a job, a promotion.|speech
100|LETTY|"No, Mom, it's more of a prestige
thing."|speech
101||RUTH|location
102|LETTY|Mmmmmmm.|speech
103||Letty passes her hand in front of Ruth's eyes.|stage direction
104||LETTY|location
