|character|text|type
0||"HARD TO KILL
Revised Screenplay by
Steven Pressfield & Ronald Shusett & Steven Seagal
Story by
Steven Seagal & Ronald Shusett"|unknown
1|unknown|& Steven Pressfield & Bruce Malmuth|speech
2||"Based on an Original Screenplay by
Steven McKay
FOR EDUCATIONAL PURPOSES ONLY"|unknown
3||"FINAL DRAFT
February 17, 1989
Converted to PDF by SCREENTALK
www.screentalk.org
FADE IN:"|stage direction
4||EXT. HOLLYWOOD HILLS HOUSE - EARLY EVENING|location
5||"A modest but handsome home in the foothills above Gower.
SUPERIMPOSE: ""1983""
A young boy, SONNY STORM, rushes out -- excited but pouty
and a little peeved. He glowers at a 1981 Mercury, parked
at the curb -- then turns back toward the house."|stage direction
6||"SONNY
(calls back to
house)
Daddy! I don't want you to go!"|unknown
7||"MASON STORM
emerges from the house -- wearing a dark Gianni Versace
sport coat with a black vest underneath, carrying some
kind of case in his hand. He looks great -- a man of
action, not dandified at all by the snappy attire. He
squints down toward Sonny, proudly -- very much the family
man.
Mason's pretty wife, FELICIA, appears in the doorway."|stage direction
8||"FELICIA
(calls to Sonny)
Your father has work to do, Sonny
... but he'll be home soon. And
we'll all watch it together.
SONNY
You promise, Dad?
STORM
I promise."|unknown
9||"Storm and Felicia come down to car, his arm around her.
Sonny grabs his father's shirtsleeve."|stage direction
10||"SONNY
Daddy ...
(very serious)
Daddy, is E.T. gonna win?
STORM
He's got my vote."|unknown
11||Storm laughs and ruffles his son's hair.|stage direction
12||Converted to PDF by www.screentalk.org              2.|unknown
13||(tight to Storm)|location
14|FELICIA|"I want you back early. Tonight's
the night those little starlets are
crawling all over town."|speech
15||STORM|unknown
16|FELICIA|"Don't worry. I'll beat 'em off
with a stick."|speech
17||He kisses Felicia, ready to leave.|stage direction
18||SONNY|unknown
19|FELICIA|Daddy|speech
20||(wants him to|location
21||stay)|unknown
22|FELICIA|What about my joke?|speech
23||"Storm lifts Sonny up into his arms. He gives the boy
100% of his attention, speaks just for him."|stage direction
24||STORM|unknown
25|FELICIA|Knock knock.|speech
26||SONNY|unknown
27|FELICIA|Who's there?|speech
28||STORM|unknown
29|FELICIA|Old lady.|speech
30||SONNY|unknown
31|FELICIA|Old lady who?|speech
32|STORM|I didn't know you could yodel.|speech
33||"Sonny may not get the joke, but he laughs delightedly --
just because it's his dad telling it. Storm kisses him
and sets him down."|stage direction
34||(to Storm)|location
35|FELICIA|"Take my advice: Don't give up your
day job."|speech
36||TITLES BEGIN.|stage direction
37||INT. STORM'S CAR - MOVING - POV THROUGH WINDSHIELD NIGHT|location
38||"Freeway traffic. Smoke in the sky ... flames ... the oil
refineries south of Torrance. A police RADIO is on, LOW,
and we can hear the SQUAWKING COMMUNIQUES in the b.g.
We become aware of a black limousine, ahead in the traffic."|stage direction
39||Converted to PDF by www.screentalk.org                 3.|unknown
40||"REVERSE ANGLE - STORM
as he drives.    Intense now -- mind focused.    Radio handset
in his hand."|stage direction
41||"STORM
(into handset)
Karl ... wake up."|unknown
42||"INTERCUT POLICE STATION - DETECTIVES ROOM - NIGHT
KARL BECKER, Storm's partner, a nice guy in shirtsleeves
with a huge nautical-type wristwatch. He's wide awake
all right -- eager for this call."|stage direction
43||"KARL
(into radio)
I'm here, Mase. Where are you"|unknown
44||EXT. HARBOR FREEWAY - NIGHT|location
45||Storm's Mercury moves discreetly, tailing the limo.|stage direction
46||"STORM
On the Harbor ... south of Torrance.
I got Calabrese right in my
gunsights."|unknown
47||WITH STORM|stage direction
48||"STORM
If I had a Sidewinder missile, I
could save the taxpayers a lot of
money."|unknown
49||"Suddenly he is more alert, slowing the car.
LIMO
veers toward an upcoming exit ramp."|stage direction
50||"STORM (V.O.)
Here he goes. I'm shutting down
the radio, partner."|unknown
51||"ANGLE ON SIGN
PORT OF LOS ANGELES
SAN PEDRO TERMINAL
PIER 65"|stage direction
52||Converted to PDF by www.screentalk.org                4.|unknown
53||As the limo passes and, moments later, Storm's car.|stage direction
54||"KARL (V.O.)
Keep off the skyline, amigo.
(by the way)
Lou Gossett just won Best Supporting."|unknown
55||TITLES END.|stage direction
56||EXT. COMMERCIAL PIER - NIGHT|location
57||"The limousine  slowly moves   up beside a stand-alone shack
near the edge  of the wharf.    The shack is an open shelter
with a broad  overhang, and   various kinds of equipment
stored inside  it. A single    bulb illuminates it. The
limo comes to  rest, engine   off, no apparent activity in
or out of the  vehicle.
STORM'S CAR
pulls up at a distance, deep in shadow."|stage direction
58||INT. STORM'S CAR - NIGHT|location
59||"He switches OFF the RADIO, twists a telephoto night lens
onto a specially silenced 8mm surveillance film camera;
he primes a portable sound deck in the case he's been
carrying. A quick check of the .45 in his shoulder
holster, then he exits the car.
ON STORM
Moving carefully onto the wharf, keeping to shadow, using
cover."|stage direction
60||EXT. WHARF - NIGHT|location
61||"Stacks of huge shipping crates and Sea-Land containers
from a long wall along the cluttered dock. The towering
hulks of several ships loom close by. Storm finds a slot
between bulk containers: a good surveillance point."|stage direction
62||"STORM
Let's go, boys.     I'm missing the
Oscars."|unknown
63||"He is less than forty yards away, looking lengthwise down
the car from its rear. A beat, as Storm picks up the
sound before we do."|stage direction
