|character|text|type
0||"I LOVE YOU PHILLIP MORRIS
A true story of life,
love and prison breaks
Written by
Glenn Ficarra & John Requa
Based on the book by Steve McVicker
4.27.2008
1   EXT. SKY - DAY                                              1
Fluffy white CLOUDS drift across a clear blue sky.
TITLE CARD-
""This really happened""
FADE TO WHITE:
TITLE CARD-
""It really did""
A dull WHINE is heard building in volume until finally-
SMASH CUT TO:
2   INT. TEXAS STATE PENITENTIARY HOSPITAL WARD - 1998 - DAY    2
Startled, STEVEN RUSSELL (40) opens his eyes. Gaunt and
pale, he seems to be on death's door. The whine we once
heard is now the high-pitched ALARM of medical equipment.
The door BURSTS open. NURSES enter, rushing toward him.
The nurses pass him and attend to the PATIENT in the next
bed over, frantically administering CPR.
SUPER: ""TEXAS STATE PENITENTIARY INFIRMARY - 1998""
A DOCTOR appears and pushes the nurses aside.
DOCTOR
Where's the crash cart!?
He straddles the patient's chest and pushes down hard-
the sound of a sternum CRACKING can be heard.
Steven returns his gaze to the ceiling. A CHEERY VOICE
counterpoints the bleakness of this scene.
STEVEN (V.O.)
(upbeat and happy)
Love sure is a funny thing...
It makes you happy. Makes you sad. Makes
you do all sorts of things you never
thought you'd do before. Love's the
reason I'm here actually.
SMASH CUT TO:
""I Love You Phillip Morris""   Green Pages      5-23-08   2.
3   EXT. MARSHLAND - CHESAPEAKE BAY, VA - 1966 - DAY              3
A group of FOUR NINE YEAR OLDS lie in the grass atop a
hill. They stare up at the clouds, playfully arguing.
RED HAIRED BOY
I still don't see it.
LITTLE GIRL
It's right there.
A young STEVEN RUSSELL (9) is among them.
YOUNG STEVEN
It's really big.
STEVEN'S MOM (O.S.)
Steeeeeeeeeven...
Steven looks down the hill to see his mother calling.
STEVEN'S MOM (CONT'D)
Steeeeeeeeeven...
4   INT. LIVING ROOM CHESAPEAKE BAY, VA - 1966 - DAY              4
Young Steven sits in the middle of the couch. His PARENTS
and 11 year old BROTHER stand before him. He stares at
them- innocent and doe-eyed with a big smile on his face.
STEVEN'S MOM
Are you a happy little boy Steven?
Steven smiles and nods."|unknown
1||"You've always been such a happy little
boy.
(then)
Now Steven, we want to tell you something
very important, but I want you to
understand that it doesn't change a
thing.
Steven awaits, smiling.
STEVEN'S MOM (CONT'D)
We're still gonna love you, you're still
gonna be our happy little boy and you're
still gonna--
STEVEN'S BROTHER
You're adopted.
""I Love You Phillip Morris""   Green Pages     5-23-08     3.
YOUNG STEVEN
Shut up!
He glares at his brother, then turns back to his mother.
Her face says it all.
STEVEN'S MOM
It's true.
WHACK! She SWATS his brother in the head. Steven starts
putting things together.
STEVEN'S MOM (CONT'D)
Your brother overheard your Dad and I
talking and well, we didn't want you to
hear it from anybody but us.
(then)
It's true. You're a special little boy.
You know why? Because we chose you. Not
like your brother here who's natural.
STEVEN'S DAD
Your Mother's right. It's cause we love
you. So we put some money in a brown
paper bag and gave it to your real mom in
the hospital parking lot so you could
come home with us. Okay?
STEVEN'S MOM
It doesn't change a thing honey. We love
you just as much as we love your brother
here...
(best of intentions)
...and he's natural.
STEVEN'S DAD
So son, are you okay?
Steven smiles wide.
YOUNG STEVEN
Yes Daddy.
As his parents prattle on, Steven's VO comes full.
STEVEN (V.O.)
It hurt a bit, but I decided I wasn't
gonna let it get me down. No way. I was
gonna be the best son- No, the best
person I could be."|unknown
2||"""I Love You Phillip Morris""      Green Pages     5-23-08   4."|location
3||5    I/E. VIRGINIA BEACH CHURCH OF GOD - 1984 - DAY                  5|unknown
4||"A joyous Sunday. OPEN ON the LETTER BOARD of THE VIRGINIA
BEACH CHURCH OF GOD. The date reads, MARCH 1984.
A congregation packs the church to the rafters as a
Lawrence Welk-ish CHOIR praises Jesus to the tune of
Hallelujah! We Shall Rise.
Amidst this white-man's paradise sits a smiling and
healthy STEVEN- playing the organ with a happy-stick
planted firmly up his ass.
As the joyous flock whoops it up, Steven winks to his
wife (DEBBIE) and their 4 YEAR OLD DAUGHTER (STEPHANIE)
who sit in the first row.
Steven, oblivious, hits a sour note or two-- but keeps on
playing with happy abandon. The crowd continues to enjoy
the inspiring hymn."|location
5||6    I/E. VIRGINIA BEACH POLICE STATION FRONT DESK, 1984 - DAY 6|unknown
6||"A police receptionist (MANDI) at a switchboard in a small-
town police station answers the phone."|location
7|MANDI|"Virginia Beach Police Department, how may
I direct your call?"|speech
8||"Steven enters in UNIFORM, smiling wide. Mandi waves
happily. She covers the receiver and whispers."|location
9|MANDI (CONT'D)|Something came for you.|speech
10||"As he nods and moves on he's greeted by a VARIOUS
POLICEMEN. We can tell he's well liked."|location
11||STEVEN|unknown
12|MANDI (CONT'D)|Hey fellas.|speech
13|VARIOUS POLICEMAN|Hey Steve, Steve, mornin', etc...|speech
14||"Steven arrives at his desk to find a large FILE BOX. He
turns it around to reveal writing on the side. It reads,
""BASHAM, BRENDA"""|location
15||6A   INT. STEVEN'S HOUSE, VIRGINIA BEACH - 1984 - NIGHT          6A|unknown
16||Establishing of the empty parts of the home.|location
17||"""I Love You Phillip Morris""      Green Pages   5-23-08   5.
7   INT. STEPHANIE'S BEDROOM (VIRGINIA, 1984) - NIGHT             7
Steven switches off the small lamp beside Stephanie's
bed. He kisses her forehead.
STEVEN
Have lots of dreams..."|unknown
