|character|text|type
0||"INVENTING THE ABBOTTS
Screenplay by
Ken Hixon
From the Short Story by
Sue Miller
March 21, 1996 DRAFT
FOR EDUCATIONAL PURPOSES ONLY
INVENTING THE ABBOTTS
FADE IN:
1EXT. ABBOTT HOME - STREET (HALEY, ILLINOIS) - DAY                 1
(LATE SPRING, 1957)
OPENING CREDITS ROLL over a TENT MONTAGE -- ASSORTED
ANGLES of a group of men hard at work erecting a large
striped ""big-top"" style canvas tent, INCLUDING: The long
steel stakes being sledge-hammered into the lawn,
practiced hands rapidly rigging the lines, the tall
center poles being leveraged upright, the heavy rolled-up
sections of canvas being maneuvered into position, and
ENDING WITH the canvas being hoisted up the poles as the
tent assumes its full and finished form.
NEW ANGLE - TENT
-- on the front yard of the Abbott mansion. The
residence is on Main Street, four blocks from where the
commercial district begins. The mature, over-arching
trees makes this street of prosperous houses a grand
promenade.
2EXT. ABBOTT HOME - STREET - DAY                                   2
JACEY HOLT and DOUG HOLT walk along the sidewalk on their
way to school. Jacey is seventeen; he's as handsome and
seemingly self-confident as his younger brother is
rumpled and impulsive. Doug is fifteen, a popular
culture chameleon who takes on the colors and
affectations of whomever his ""hero"" is at the moment
(which presently happens to be Elvis Presley).
Jacey stops and stares with open-faced misery at the tent
on the Abbott's front yard (the installation of the tent
indicates that the Abbott's are having yet another of the
many parties they throw every year).
DOUG
Didn't get invited, huh?
JACEY
Go to hell.
DOUG
Who cares? I'm not going and I
got invited.
JACEY
Who invited you?
(CONTINUED)
INVENTING THE ABBOTTS - Rev. 2/16/96                     2.
2CONTINUED:                                                                2
DOUG
Pam, I guess. I don't know.
Didn't open the envelope. I mean,
come on, every time an Abbott girl
gets her period they have some
party.
JACEY
Oh, shut up.
DOUG
Kotex parties, Kotex party hats,
pin the Kotex on the...
JACEY
Shut up!
Jacey swats Doug's school books out from under his arm --
Doug charges his brother to retaliate but they are rudely
interrupted by a CAR HORN. They scurry out of the way as
LLOYD ABBOTT pulls his 1957 Cadillac out of the driveway
and cruises down the street. Lloyd is a well-dressed-
and-fed man in his mid-forties. A Midwestern burgher, he
exudes the status he enjoys as one of the preeminent
pillars of this community. Doug is embarrassed by
Lloyd's passing, but Jacey evidently experiences a deeper
humiliation -- he gives Doug a glance of betrayal, turns
and walks down the block.
3      OMITTED                                                         3
4INT. HIGH SCHOOL - CORRIDOR - DAY (SHORT TIME LATER)                      4
ELEANOR ABBOTT gathers some books from her locker.
Eleanor is sixteen, outgoing, sarcastic, and very
popular. She is the middle of the three Abbott
daughters. Eleanor closes her locker, turns and
discovers Jacey standing behind her. He follows her down
the busy hall.
JACEY
I tried to call you last night but
the line was busy.
ELEANOR
No it wasn't.
(CONTINUED)
INVENTING THE ABBOTTS - Rev. 3/20/96                    3.
4CONTINUED:                                                               4
JACEY
It was busy all night.
ELEANOR
Maybe you had the wrong number?
JACEY
Are you mad at me?
ELEANOR
No.   Are you mad at me?
JACEY
No.   Who said I was?
ELEANOR
I did.
JACEY
I just wanted to talk to you last
night.
ELEANOR
We can talk tonight at the party.
JACEY
I wasn't invited.
ELEANOR
Yes, you were.
JACEY
No, I wasn't.
ELEANOR
Well, now you are. But if you're
mad at me you don't have to come.
She gives him a sultry smile, turns and glides into a
classroom as the BELL RINGS. The corridor is quickly
vacated by all but Jacey -- he savors the aftertaste of
Eleanor's smile.
5      EXT. HOLT HOME - EVENING (MAGIC HOUR)                          5
ESTABLISHING ANGLE of the modest two-story clapboard
house in a working class neighborhood. A home-made ping-
pong table takes up so much room in the detached garage
that it forced the eviction of the family car, a 1950
Plymouth coupe, which is parked nearby on the driveway.
The garage doors are open and the garage light is on.
We hear (V.O.) DOUG SINGING bits and pieces of
""Heartbreak Hotel"" in his best Elvis fashion.
INVENTING THE ABBOTTS - Rev. 3/20/96                  3A/4.
6   INT. HOLT HOME - BATHROOM - EVENING (MAGIC HOUR)             6
Doug stands in front of the bathroom mirror (wearing a
coat and tie) still singing ""Heartbreak Hotel"" while he
carefully draws sideburns on his face with a wide-nib pen
and a bottle of India ink. Jacey's reflection appears in
the mirror behind Doug -- he's wearing a coat and tie too.
Jacey does a pained take on Doug's handiwork:
JACEY
Oh, Christ!
7   INT. DINING ROOM - EVENING (MAGIC HOURMINUTES LATER)         7
HELEN HOLT is seated at the dining table. She was
grading a stack of spelling tests with a red pencil when
Jacey and Doug came in to ask her to adjudicate the
matter at hand. She is an attractive but unostentatious
woman without interest in appearing to be anything other
than what she is: a forty-one-year-old widow raising two
teenage sons on a school teacher's salary. (She teaches
second grade at Haley Elementary School.)
JACEY
He has to wash it off, Mother.
You cannot let him go to the party
unless he washes it off.
DOUG
It'll look worse if I wash it.
It's India ink, it'll turn gray,
it'll look like dirt.
JACEY
He looks like such a clown and he
doesn't even know it! He doesn't
get how things work in this town.
I thought you weren't even going
to the party?
DOUG
Changed my mind.
HELEN
Doug, you do understand that you
may be the only person at this
party with artificial sideburns?
DOUG
Yeah.
HELEN
You do understand that your
sideburns don't look real?
Doug was hoping they didn't look that phony, but he
conceals his disappointment and nods:
(CONTINUED)
INVENTING THE ABBOTTS - Rev. 2/16/96                    5.
7CONTINUED:                                                           7
DOUG
Yeah.
HELEN
That they look, really, as though
you'd drawn them on?
DOUG
(swallows, then
shrugs)
Yeah.
She looks hard at Doug for a beat, then turns to Jacey.
HELEN
Well, darling, it seems he does
understand. Why don't you just go
on to the party and ignore Doug.
Just have a good time and pretend
you don't even...
Jacey curses under his breath and storms out the front
door before his mother can finish her sermon.
8EXT. ABBOTT HOME/TENT - STREET - LATER THAT NIGHT                    8
The curb is lined with parked cars. We hear a dance band
playing ""QUE SERA"" and the sounds of the party as Doug
lopes up the sidewalk sporting his India ink sideburns
and smoking a cigarette. He flicks the cigarette into
the street with well-rehearsed ease as he turns and walks
up the long driveway towards the glowing ""big-top"" tent.
Doug trails his hand over Lloyd Abbott's Cadillac,
caressing it from hood-to-trunk as he ambles by.
9INT. ABBOTT HOME/TENT - NIGHT                                        9
Doug enters the tent and surveys the gathering -- a
tuxedoed ten-piece band plays on the bandstand.
Despite his mother's advice, a nauseated grimace falls
over Jacey's face when he sees that his younger brother
has arrived. He is dancing with Eleanor.
(CONTINUED)
6.
9CONTINUED:                                                           9
They dance past a group of young men on the sidelines
(Jacey's senior classmates), they are all edgy with envy,
waiting like predators for their chance to dance with
Eleanor.
ELEANOR
I'm going out to the lake
tomorrow. Sandy wants to show-off
her dad's new boat. Why don't you
come?
JACEY
I have to work.
ELEANOR
Well, I guess you'll just have to
write me a letter.
JACEY
What do you mean?
ELEANOR
You said you wanted to talk to me
in private.
JACEY
I meant... just... we never get a
chance to be together, alone, you
know?
STEVE (one of the envious classmates) makes his move and
cuts in on Jacey and dances away with Eleanor. Jacey
handles it with aplomb but his true irritation at being
separated from the object of his desire reveals itself as
he observes Eleanor flirting with her new dance partner.
10       INT. ABBOTT HOME/TENT - BUFFET TABLE - DOUG                  10
-- sampling the hors d'oeuvres. He places the ones he
doesn't like back onto the platter. PAMELA ABBOTT steps
over to Doug. She is his age (fifteen), the youngest of
the Abbott girls, and the least stuck-up.
PAMELA
Hi.
u                DOUG
Hi.
She points at Doug's chest.
PAMELA
Like your tie.
(CONTINUED)
INVENTING THE ABBOTTS - Rev. 2/16/96                   7.
10     CONTINUED:                                                   10"|unknown
1||"Doug glances down at his tie and Pam flips her index
finger up across the tip of his nose. Doug scowls and
points at her bust."|location
2|DOUG|Can I borrow a Kleenex?|speech
3|PAMELA|Greaser.|speech
4||"(mouth full of
food)"|unknown
5|DOUG|Got any smokes around here?|speech
6||11   INT. ABBOTT HOME - BACK YARD - NIGHT                          11|unknown
7||"Doug and Pam smoke their cigarettes in the back yard.
The tent can be seen in the b.g. The band is playing
""MONA LISA."""|location
8|DOUG|"So, is this Peter guy Alice is
gonna marry rich?"|speech
9|PAMELA|"Of course. He's one of the Atlas
Steel Vanlaninghams. Pittsburgh.
He's a bully."|speech
