|character|text|type
0||LAST CHANCE HARVEY|unknown
1||Joel Hopkins|unknown
2||Sound of a piano being played. Sparse but beautiful.|stage direction
3||FADE IN:|unknown
4||INT. RECORDING ROOM - DAY|location
5||"HARVEY SHINE, mid-60's, sits at a piano in a scruffy
recording room, tinkering. We hold on his slightly sad,
intense gaze. Just then a shaft of crude light illuminates
him, accompanied by a knocking sound. From behind a studio
window, JOHNNIE, a young rocker type in his 20's beckons.
Harvey closes the piano lid."|stage direction
6||INT. STUDIO - DAY|location
7||"Johnnie, unpacking his lunch and turning on various buttons,
sits at a mixing desk. In front of him are 2 large TV
monitors. Harvey joins him."|stage direction
8|HARVEY|Put my score up first.|speech
9|JOHNNIE|They don't want to hear it, Harvey.|speech
10|HARVEY|"I know, but I want to hear it. Put
it up."|speech
11|JOHNNIE|I'm backed up already, Harvey.|speech
12||(interrupting)|location
13|HARVEY|"Johnnie, you were the one that was
late. Just put it up."|speech
14||"Johnnie reluctantly presses various buttons.
A `cheesy' commercial for a washing detergent plays. It is
accompanied by a jolly classical score. Harvey looks on
forlornly at his work. As it comes to an end with a flourish,
Harvey lowers his head. Beat. Johnnie glances at him."|stage direction
15|JOHNNIE|"Listen, Harvey. Marvin wants me to
present my ideas while your away."|speech
16||Harvey looks up, confused.|stage direction
17|HARVEY|Huh?|speech
18||2.|unknown
19|JOHNNIE|"Look, I'm not doing myself any
favours here, Harvey. But, I'd
watch your back."|speech
20||We hold on Harvey's tired, pensive face.|stage direction
21||INT. STUDIO CAR PARK / QUEENS - DAY|location
22||"Harvey hurriedly exits the studio, catching up with a man
walking to his car."|stage direction
23|HARVEY|Marvin? Hey, Marvin?|speech
24|MARVIN|"Hey, Harvey. Shouldn't you be in
London?"|speech
25|HARVEY|"Yeah, I'm heading there now. What's
going on?"|speech
26|MARVIN|Huh?|speech
27|HARVEY|"Johnnie said something about you
wanting him to present on Monday."|speech
28|MARVIN|"Oh yeah, No, I was just thinking
that, what with you being in London
- you should stay a while."|speech
29|HARVEY|What?|speech
30|MARVIN|"There's no need to rush back. Enjoy
your daughter's wedding."|speech
31|HARVEY|What?|speech
32|MARVIN|"Well, Johnnie can do it. I mean, he
can pitch the Samuelson account."|speech
33||3.|unknown
34|HARVEY|"No, I'm coming back. Those are my
connections. They have been for
years."|speech
35||MARVIN|unknown
36|HARVEY|"I know but... they've got new
people running things over there. I
think they're after something..."|speech
37||(beat)|location
38|HARVEY|...different.|speech
39|HARVEY|"I want to come back. I should be
there in person."|speech
40|MARVIN|"`There in person'? Harvey, nobody
cares."|speech
41|HARVEY|I have to stand behind my music!|speech
42|MARVIN|"They're demos! - They're already
pressed. No one needs to be there.
They're not looking for you,
they're not looking for me. They
just need a fucking track."|speech
43||(beat/sighs)|location
44|MARVIN|"Harvey, you haven't booked a top
line in 8 months."|speech
45|HARVEY|"You got me doing triangle chimes
for Christ's sake - give me
something to compose!"|speech
46|MARVIN|"That's what I'm trying to tell you!
It's not about composition! It's
different now!"|speech
47||Silence. Harvey looks at Marvin.|stage direction
48|MARVIN (CONT'D)|What?|speech
49||Beat.|stage direction
50|HARVEY|"I'm back on Monday, Marvin. I'm
coming back."|speech
51||4.|unknown
52||Beat.|stage direction
53||(sighs)|location
54|MARVIN|You got to land this one, Harvey.|speech
55||HARVEY|unknown
56|MARVIN|What are you saying?|speech
57||(beat)|location
58|MARVIN|Say it!|speech
59||MARVIN|unknown
60|MARVIN|"I'm saying there are no more
chances, Harvey."|speech
61||(beat)|location
62|MARVIN|Enjoy London.|speech
63||"And with that Marvin gets in and drives   off, leaving Harvey
standing alone in the car park. We hold   on his face - he's
tired. He looks about him, then down at   his raincoat draped
over his arm. He lifts it and drapes it   over the other arm."|stage direction
64||"CUT TO BLACK.
LAST CHANCE HARVEY"|unknown
65||"Sound of interior airborne plane. The seat-belt `ping'
chimes."|stage direction
66||CUT TO:|unknown
67||INT. PLANE - NIGHT|location
68||"Harvey, seated in a crowded economy cabin, looks down from
the now extinguished seat-belt light. He looks a little hot.
Reaching up to turn on the air, he knocks his tray - knocking
his drink into his lap."|stage direction
69||HARVEY|unknown
70|MARVIN|Shit!|speech
71||"An attractive middle-aged woman, seated next to him, looks
over."|stage direction
72||(to a passing Stewardess)|location
73|HARVEY (CONT'D)|"Miss? I'm sorry. I've spilt my
drink."|speech
74|STEWARDESS|I'll get you some napkins.|speech
75||5.|unknown
76||(to his neighbour)|location
77|HARVEY|Why's it always me?|speech
78||"The woman, perhaps wary of the length of the flight, smiles
noncommittally. The Stewardess returns."|stage direction
79|STEWARDESS|Shall I take that?|speech
80|HARVEY|Thanks... And could I get another?|speech
81|STEWARDESS|A whiskey, wasn't it?|speech
82|HARVEY|Yes. `Jamesons', no ice.|speech
83||"The Stewardess heads off. Harvey mops himself up. He places
the small mass of wet towels on his tray and sighs. Glancing
out the window, he then turns to the woman."|stage direction
84||HARVEY (CONT'D)|unknown
85|HARVEY|A holiday?|speech
86||The woman looks over.|stage direction
87|WOMAN|No. Business.|speech
88||Harvey nods.|stage direction
89||(feeling obliged)|location
90|WOMAN (CONT'D)|Yourself?|speech
91|HARVEY|My daughter's getting married.|speech
92|WOMAN|Congratulations.|speech
93||HARVEY|unknown
94||(smiles)|location
95|WOMAN|Thank you.|speech
96||(beat)|location
97|WOMAN|"She's marrying an American. But for
some reason we've all got to go
over to London."|speech
98||(smiling)|location
99|WOMAN|"I told her we had a perfectly good
wedding system here."|speech
100||"(MORE)
6."|unknown
101||(beat/expecting more of a|location
102||response)|unknown
103|HARVEY (CONT'D)|They both work there, you see.|speech
104||"The woman smiles again, then looks up as the Stewardess
returns with Harvey's drink."|stage direction
105||HARVEY (CONT'D)|unknown
106|HARVEY (CONT'D)|Thank you.|speech
107||"Harvey is about to continue speaking when the woman
interrupts."|stage direction
108|WOMAN|"I'm really sorry but I have a
meeting in the morning and I must
try and get some sleep."|speech
109|HARVEY|No... Of course. I'm sorry.|speech
110|WOMAN|"It's just, I'll be useless - unless
I get some sleep."|speech
111||HARVEY|unknown
112|WOMAN|Sure.|speech
113||"The woman covers herself in a blanket and turns out her
light, turning herself away from Harvey.
We hold on Harvey from a distance, spotlit in a sea of
darkness."|stage direction
114||FADE TO BLACK.|unknown
115||"Sound of a commercial London Radio Station. A `phone-in'
competition takes place."|stage direction
116||FADE IN:|unknown
117||EXT. SUBURBAN STREET - MORNING|location
118||"A radio hangs from a mail trolley. KATE, mid 40's, dressed in
a green uniform, turns into the path of a suburban house. She
passes a postman - who nods his head."|stage direction
119|POSTMAN|"Morning Kate. Looking lovely as
ever. If I was younger..."|speech
120||"7.
KATE
Careful Paddy.
(pointing to her cheek)
Blushing! Is she up?
POSTMAN
Oh yes."|unknown
121||Kate smiles before unlocking the front door.|stage direction
122||INT. HALLWAY - MORNING|location
123||"Kate comes through the door, picking up a small pile of mail
off the floor."|stage direction
124||"KATE
(calling out)
Mum. It's me - your daughter."|unknown
125||INT. KITCHEN - MORNING|location
126||"Kate puts the mail on a kitchen table. Just then MAGGIE,
Kate's mum, enters in her dressing gown."|stage direction
127||"MAGGIE
Hello, my daughter."|unknown
128||They kiss.|stage direction
129||"MAGGIE (CONT'D)
Have a cup of tea with me.
KATE
I can't, I'm running late."|unknown
130||"Maggie seems to ignore this piece of information and heads to
the kettle. Filling it up, she peers out the back window."|stage direction
131||"MAGGIE
He's at it again.
KATE
(looking through her bag)
Who? At what?
MAGGIE
The neighbour. Barbecuing or
something."|unknown
132||"We see her POV of her neighbour busying himself in his back
garden. Smoke rises from a small garden shed."|stage direction
133||8.|unknown
134|MAGGIE (CONT'D)|I heard he's from Poland.|speech
135||KATE|unknown
136||(pulling a small package|location
137||from her bag)|unknown
138|MAGGIE (CONT'D)|"So maybe Polish people like to
barbecue a lot. I'm leaving your
prescription on the table."|speech
139||(beat)|location
140|MAGGIE (CONT'D)|"You know, you don't have to keep
taking these - the Doctor said."|speech
141||MAGGIE|unknown
142|MAGGIE (CONT'D)|I like to. It makes me feel better.|speech
143||(beat)|location
144|MAGGIE (CONT'D)|"Its 8 o'clock in the morning. Who
barbecues at 8?"|speech
145||(looking at her watch)|location
146|KATE|"I've got to go. I'll call you
later."|speech
147||Kate's mum sighs and turns away from the window.|stage direction
148||MAGGIE|unknown
149|KATE|"Of course. Don't worry about me.
I'll be Ok."|speech
150||(beat)|location
151|KATE|"Have you got that date thing
tonight?"|speech
152|KATE|I don't know, maybe.|speech
153||(kisses her mother)|location
154|KATE|Bye Mum.|speech
155|MAGGIE|"`Time and tide', Kate, as your
father liked to say."|speech
156||Beat.|stage direction
