|character|text|type
0||"LES MISERABLES
Written by
William Nicholson
Alain Boublil, Claude- Michel Schönberg
and Herbert Kretzmer
Adapted from the Stage Musical
""Les Misérables""
Based on the novel by
Victor Hugo
May 20, 2012
BLACK SCREEN
SUPERIMPOSE CAPTION:"|unknown
1||"The year is 1815.
The French revolution is a distant
memory. Napoleon has been defeated.
France is ruled by a King again."|stage direction
2||A1   EXT. TOULON PORT - DAY                                     A1|location
3||"RISE UP out of the iron-grey surface of the ocean, seething
in the wind, towards the shore. Winter rain slices the air.
Ahead, the port of Toulon, home of the French navy. A forest
of tall masted warships.
The great ships heave at anchor, the wind whipping their
rigging.
Through the sea spray we see the great ribs of warships
under construction, and warships being refitted.
SUPERIMPOSE CAPTION:"|unknown
4||"Toulon
Home port of the French navy"|stage direction
5||1    EXT. TOULON DOCK - DAY                                        1|location
6||"Storm-lashed sea and driving rain. A great wave rises up
and hammers down. As it recedes we see the figures of men
heaving on great ropes, the sea water streaming down over
their faces. The harsh storm light catches glints of metal:
these men are CONVICTS, chained by manacles, heads shaved,
wearing red shirts with prison numbers crudely stitched
onto them.
Now we see that the ropes run up to a ship that is being
hauled ashore - a storm-damaged man-of-war, its masts
broken, rising and falling on the surge.
As yet another great wave rolls over the convicts, we
follow the straining ropes down into the base of the
slipway, and find the convict JEAN VALJEAN, up to his waist
in water, chained by two sets of manacles, as the rain and
spray and wind scream round him. A great brute of a man, he
seems to feel nothing.
2."|unknown
7||"The convicts sing in time with the rhythmic pulls on the
rope -"|location
8||CONVICTS|unknown
9|unknown|Ha - Ha -|speech
10|CONVICT 3|"Ha - Ha -
Look down, look down
Don't look them in the eye"|speech
11|CONVICTS|"Look down, look down
You're here until you die."|speech
12|CONVICT 4|"No God above
And Hell alone below"|speech
13|CONVICTS|"Look down, look down
There's twenty years to go."|speech
14||"The camera RISES UP to find JAVERT, the officer in charge
of the convict workforce, looking on, his face rain-lashed
and expressionless. He stands above the men on the top of
the dock, as lines of convicts labour beneath him on the
steep steps of the dock wall.
Behind Javert, through the storm rain we glimpse a forest of
half-built ships, their ribbed frames like great skeletons in
the mist.
FOREGROUND convicts are at work on another ship that is
almost completed, labouring in the crashing spray."|location
15|CONVICT 2|"I've done no wrong
Sweet Jesus, hear my prayer!"|speech
16|CONVICTS|"Look down, look down
Sweet Jesus doesn't care."|speech
17|CONVICT 5|"I know she'll wait
I know that she'll be true -"|speech
18|CONVICTS|"Look down, look down
They've all forgotten you."|speech
19|CONVICT 1|"When I get free
You won't see me
Here for dust!"|speech
20||3.|unknown
21|CONVICTS|"Look down, look down
Don't look'em in the eye."|speech
22|CONVICT 3|"How long, O Lord
Before you let me die?"|speech
23|CONVICTS|"Look down, look down
You'll always be a slave.
Look down, look down
You're standing in your grave."|speech
24||"With a last great heave the lines of convicts haul the
damaged ship onto the slipway.
CRACK! The stern flagpole of the ship snaps in a vicious gust
of wind and crashes down into the shallow water near Valjean.
Javert sees and points his stick at Valjean in silent
command. Valjean stares back for a beat, defying him. Then he
drops down into the seething water and re-emerges with the
great mast in his hands, held over his head. His head breaks
water with his bitter gaze still on Javert, as he throws the
mast ashore in a deliberate display of strength.
Javert nods to the guards, and they begin to form the
chained men into lines to return to their prison. The storm
is passing now, blown by the driving wind.
Javert approaches Jean Valjean."|location
