|character|text|type
0||"THE OTHER BOLEYN GIRL
Written by
Peter Morgan
Based on the novel by
Philippa Gregory
FEBRUARY 2006"|unknown
1||EXT. FIELD - DAY|location
2||1                                                                  1|unknown
3||We're moving through a cornfield. At speed. The sound of|stage direction
4||children's laughter. Excited shrieking.|unknown
5||A beautiful young girl, (MARY BOLEYN, 8), our heroine, runs|stage direction
6||"through the fields, being chased by her younger brother, GEORGE,
and sister, ANNE, (10)."|unknown
7||Touchingly, MARY is barely taller than the corn, her head|stage direction
8||skimming along the sheaves.|unknown
9||REVERSE ANGLE TO REVEAL: the children are being watched by their|stage direction
10||"parents, (SIR THOMAS and LADY ELIZABETH BOLEYN).
SIR THOMAS
I received a formal request for marriage
today for Anne.
(a beat)
From the Carey family.
SIR THOMAS indicates to"|unknown
11||"Intelligent. The obvious leader among the children.
LADY ELIZABETH
But that's wonderful.
SIR THOMAS
I turned it down."|unknown
12||LADY ELIZABETH turns...`What?'|stage direction
13||SIR THOMAS|unknown
14|ANNE; the eldest. Dark-haired.|And offered them Mary instead.|speech
15||SIR THOMAS indicates|unknown
16||"Pretty. Sweet-natured.
SIR THOMAS
Fnne's too good for William Carey. She
can do (better than a merchant's son.
LADY ELIZABETH"|unknown
17|MARY, the middle child. Fair-haired.|You underestimate Mary.|speech
18||SIR THOMAS|unknown
19|MARY, the middle child. Fair-haired.|Not true. I think she's..the kinder of|speech
20||"the two. Quite possibly the fairer.
The CHILDREN, meanwhile, have started a race.."|unknown
21||"But to get ahead in this world, you need
more than fair looks and a kind heart."|unknown
22||On the field, ANNE wins. She jumps up and down, holding her arms|stage direction
23||"aloft, as MARY flops to the floor. Vanquished.
2.
SIR THOMAS smiles, `See?' He walks towards ANNE..
SIR THOMAS
(applauding his favourite)
Bravo! Anne!"|unknown
24||EXT. BELL TOWER - TEN YEARS LATER|location
25||"2                                                                    2
Bells ring high up in the bell-tower of a country church."|unknown
26||INT. MARY'S BEDROOM - DAY|location
27||"3                                                                    3
MARY, ten years older, and grown into a heavenly bride is in her
room, surrounded by MAIDS and SEAMSTRESSES making final
adjustments to her dress. A knock at the door.
ANNE
May we come in..?
ANNE and GEORGE enter. GEORGE lets out a low whistle..
ANNE
Look at you..! Younger than me. More
beautiful than me. Married before me.
(a beat)
I am eclipsed. I am just the `Other
Boleyn Girl.'
MARY
Hardly.
GEORGE
No, is this it? This is the end of the
unholy trinity?
GEORGE extends her arms, wraps them around his two sister. An
intimate moment.
MARY
No, George. Never. I'll be married,
that's all..
(a beat)
Apart from that - it won't change a
thing.
The three of them hug together, tightly.."|unknown
28||INT. CHAPEL - DAY|location
29||"4                                                                    4
A packed country church. The PRIEST officiates in Latin. The air
is thick with incense. And winter cold..
3.
The entire BOLEYN FAMILY is assembled on one side. FATHER,
MOTHER, the DUKE and DUCHESS of NORFOLK, brother GEORGE, and
finally ANNE..
PRIEST
Confirma hoc, Deus, quod operatus es in
nobis..
The PRIEST sprinkles the ring with holy water. WILLIAM CAREY,
(35), puts it on MARY's finger."|unknown
30||few rows back, a young NOBLEMAN stares at ANNE. Looks at her|location
31||across the church. Obviously attracted. ANNE notices.|unknown
32||INT. BOLEYN HOME - NIGHT|location
33||"5                                                                 5
The party afterwards. MUSICIANS play. The bride and groom,
(WILLIAM and MARY), are dancing, surrounded by WELL-WISHERS and
other GUESTS..
WILLIAM
Are you happy?"|unknown
