|character|text|type
0||"THE PERKS OF BEING a WALLFLOWER
Written by
Stephen Chbosky
Final Draft
FADE IN:
1   EXT. TUNNEL - NIGHT                                             1
The titles begin over black. We hear the sound of an old
typewriter. Someone reaching out to us. The bell dings,
announcing the end of a line, and we see our title...
THE PERKS OF BEING A WALLFLOWER
Music begins, picture fades up, and we are in the city.
Downtown Pittsburgh. Looking out of the back window like a
child in the back of a station wagon.
We see lights on buildings and everything that makes us
wonder. We see the bridge. And the river below. And then
we enter...
The Tunnel.
We keep moving backwards, watching the lights. Golden,
alive, and hypnotic. The music carries us as we float out of
the tunnel. Onto another bridge. And over the highway.
We move into the night sky, back through the trees, through a
window, and into...
2   INT. CHARLIE'S BEDROOM - NIGHT                                  2
It is a neat and tidy little room. Few posters or books.
CHARLIE is 15. He is innocent, hopeful, awkward, and likable
to everyone but his classmates. He sits at his desk, writing
a letter in pencil as he tapes the title song through the
radio on his cassette boom box."|unknown
1|CHARLIE (V.O.)|"Dear Friend, I am writing to you because
she said you listen and understand and
didn't try to sleep with that person at
that party even though you could have.
Please don't try to figure out who she is
because then you might figure out who I
am, and I don't want you to do that. I
just need to know that people like you
exist. Like if you met me, you wouldn't
think I was the weird kid who spent time
in the hospital. And I wouldn't make you
nervous."|speech
2||"3   INT. CHARLIE'S HOUSE - MOMENTS LATER                            3
Charlie anxiously walks through the hallway of his suburban
split level house.
2.
CHARLIE (V.O.)
I hope it's okay for me to think that.
You see, I haven't really talked to
anyone outside of my family all summer.
Charlie moves to the living room where dad watches a football
game. Mom reads a page turner and sips her white wine.
Charlie waits for them to notice him. And waits. And waits.
4   INT. CHARLIE'S BEDROOM - NIGHT                                      4
Charlie sits at his desk, continuing his letter in pencil.
CHARLIE (V.O.)
But tomorrow is my first day of high
school ever, and I really need to turn
things around this year.
(hopeful)
So, I have a plan.
5   INT. MILL GROVE HIGH SCHOOL HALLWAY - LAST DAY                      5
We see it in Charlie's mind. Slow motion and wondrous. The
kids clear out their lockers by throwing their old papers in
the air like a New York confetti parade.
CHARLIE (V.O.)
As I enter the school for the first time,
I will visualize what it will be like on
the last day of my senior year.
Charlie walks down the hall.   Triumphant.   Confident.   Happy.
CHARLIE (V.O.) (CONT'D)
Unfortunately, I counted, and that's...
SMASH CUT TO:
6   INT. MILL GROVE HIGH SCHOOL HALLWAY - FIRST DAY                     6
Reality. The bell rings, and we see the chaotic maze from
Charlie's POV. A SENIOR BULLY leads the ritual, making
dozens of freshmen hop down the hall.
SENIOR BULLY
Hop, freshman toads. Hop!    Move it, boys!
As seniors grab more victims, Charlie moves to the wall.
CHARLIE (V.O.)
... 1,385 days from now.
VARSITY FOOTBALL PLAYERS pass, wearing their letter jackets.
3.
LINEBACKER
Man, you got big.
NOSE TACKLE
Worked out all summer.   Rock hard, dude.
At the front of the pack is BRAD HAYS (17), the quarterback.
He's good looking, charismatic, and friendly. The big man on
campus. Nice guy, too.
BRAD HAYS
Would you guys get a room?
They laugh. Charlie turns to the trophy case to avoid them.
Trying to make himself as small as possible.
CHARLIE (V.O.)
(trying to be optimistic)
Just 1,385 days.
7   INT. MILL GROVE HIGH SCHOOL - CAFETERIA - LUNCH                  7
Charlie moves down the lunch line with his sister. CANDACE
KELMECKIS is 17 and a beautiful type A, straight A priss.
CHARLIE (V.O.)
In the meantime, I'd hoped that my sister
Candace and her boyfriend Derek would
have let me eat lunch with their earth
club.
CANDACE
Seniors only.
(barks to Derek)
What are you doing with a plastic spork?
Candace turns to her boyfriend, DEREK, 17. Derek is such a
pussy, the most masculine thing about him is his pony-tail.
DEREK
I don't want to bring back silverware--
CANDACE
Derek, you're Earth Club Treasurer.
Derek takes the silverware like a beaten dog. Charlie
watches them move into the intimidating cafeteria.
8   INT. CAFETERIA - LATER                                           8
Charlie sits in the corner alone, observing everyone having a
great time with their friends. He sees a pretty girl with
blonde hair having the best first day. This is SUSAN, 14.
4.
CHARLIE (V.O.)
When my sister said no, I thought maybe
my old friend Susan would want to have
lunch with me.
Charlie catches her eye and waves, but she looks away.
CHARLIE (V.O.) (CONT'D)
In middle school, Susan was very fun to
be around, but now she doesn't like to
say hi to me anymore.
Charlie turns his attention to the quarterback, Brad Hays."|unknown
3||"And then there's Brad Hays, who's the
quarterback of our team. Before my
brother went to play football for Penn
State, he and Brad played together. So,
I thought maybe he'd say hi to me. But
Brad's a senior, and I'm me, so... who am
I kidding?
Brad catches Charlie staring at him.   Awkward.
9   INT. SHOP CLASS - DAY                                           9
Charlie sits by himself, watching the freshmen boys laugh as
a senior paints a goatee on his face with a grease pencil.
CHARLIE (V.O.)
On the bright side, one senior decided to
make fun of the teacher instead of the
freshmen. He even drew on Mr. Callahan's
legendary goatee with a grease pencil.
Meet PATRICK (18), full of confidence, mischief, and so over
high school. He is the class clown, performing a perfect
imitation of the teacher, Mr. Callahan.
PATRICK
Boys, the prick punch is not a toy. I
learned that in 'Nam back in '68.
""Callahan,"" the sergeant said, ""put down
that prick punch and go kill some gooks.""
The laughter suddenly dies as the real MR. CALLAHAN (57)
walks up behind the oblivious Patrick.
PATRICK (CONT'D)
But you know what happened? That prick
punch killed my best friend in a Saigon
whorehouse.
5."|unknown
4||Patrick suddenly feels Mr. Callahan behind him.   Oops.|stage direction
5|MR. CALLAHAN|"I heard you were going to be in my class.
Are you proud being a senior taking
freshman shop, Patty-Cakes?"|speech
6|PATRICK|"My name is Patrick. You call me Patrick
or you call me nothing."|speech
7|MR. CALLAHAN|Okay... Nothing.|speech
8||"The class laughs. Except Charlie.   He watches Patrick take
the long walk back to his seat."|stage direction
9|CHARLIE (V.O.)|"I felt really bad for Patrick. He wasn't
saying the impersonation to be mean or
anything. He was just trying to make us
freshmen feel better."|speech
10|MR. CALLAHAN|"Everyone open your safety guides.
Nothing... why don't you read first?"|speech
11||Patrick opens the book.|stage direction
12|PATRICK|"Chapter 1. Surviving your fascist shop
teacher, who needs to put kids down to
feel big."|speech
13||(to the class)|unknown
14|PATRICK|"Oh, wow. This is useful guys. We should
read on."|speech
15||Charlie smiles.   He loves him already.|stage direction
16||10   INT. ENGLISH CLASS - MORNING                                    10|unknown
17||"The kids pass back paperback copies of To Kill A Mockingbird.
Charlie opens his Trapper Keeper, takes a pencil out of the
plastic pouch, and writes... ""ENGLISH CLASS... DAY ONE."""|stage direction
18|CHARLIE (V.O.)|"My last class of the day is advanced
English, and I'm excited to finally start
learning with the smartest kids in the
school..."|speech
19||A SMART ASS FRESHMAN girl with braces smiles at him.|stage direction
20||"6.
SMART ASS FRESHMAN
(whispers)
Nice Trapper Keeper, faggot.
The kids around him laugh. Charlie's ears turn red. At the
blackboard, the teacher writes his name... Mr. Anderson. But
you can call him BILL (27). Bill is an idealist.
BILL
Shhh. I'm Mr. Anderson. And thanks to
Teach for America, I'm going to be your
teacher for freshman English. This
semester, we're going to be learning
Harper Lee's To Kill a Mockingbird.
Genius book. Now, who wants to get out
of the first pop quiz?
All hands go up.   Except Charlie's.   Bill paces the rows.
BILL (CONT'D)
I'm shocked. Alright. You can skip the
quiz if you tell me which author invented
the paperback book. Anyone?
As kids think, Bill confiscates contraband, removes hats.
BILL (CONT'D)
He's British. He also invented the
serial. In fact, at the end of chapter 3
of his first novel, he had a man hanging
off a cliff by his fingernails. Hence,
the term cliffhanger. Anybody?
FRESHMAN GIRL
Shakespeare.
BILL
That's a great guess, but no, Shakespeare
didn't write novels. Anybody else?
(off their silence)
The author was...
Bill is about to give the answer when he notices Charlie has
already written... Charles Dickens.
BILL (CONT'D)
... Charles Dickens. However, if you and
I had gone to a play in Shakespeare's
time, it would have cost 4 pennies. Can
you imagine that? We would have put
those pennies in a metal box, which the
ushers would lock in the office. And
that's where we get the term... anyone?
7."|unknown
21|KIDS (O.S.)|"""Office Depot!"" ""Office Supplies!"""|speech
22||"Charlie writes down Box Office, then looks up to find that
Bill is staring at him. Waiting for him to raise his hand."|stage direction
23|BILL|"I'll give you a free ""A"" on anything but
the final term paper if you get it right."|speech
24||Charlie looks down.   He's not going to answer.|stage direction
25|BILL (CONT'D)|Box office.|speech
26||"The kids groan. They should have known.     Charlie smiles to
himself. He's going to like this class."|stage direction
27||11   INT. ENGLISH CLASS - LATER                                      11|unknown
28||"The bell rings. The students chatter their way out of class.
The last to leave is Charlie."|stage direction
29|BILL|You should learn to participate.|speech
30||Charlie stops and turns to find Bill erasing the board.|stage direction
31|BILL (CONT'D)|Why didn't you raise your hand?|speech
32||(off Charlie's shrug)|unknown
33|BILL (CONT'D)|They call you teacher's pet? Freak?|speech
34||(off Charlie's nod)|unknown
35|BILL (CONT'D)|"I used to get spaz. I mean, come on,
spaz?"|speech
36||Charlie smiles.   Bill takes a moment.   Then...|stage direction
37|BILL (CONT'D)|"So, I heard you had a tough time last
year. But they say if you make one friend
on your first day, you're doing okay."|speech
38|CHARLIE|"Thank you, sir, but if my English teacher
is the only friend I make today, that
would be sort of depressing."|speech
39||BILL|unknown
40|CHARLIE|Yeah.   I could see that.|speech
41|CHARLIE|Don't worry, Mr. Anderson.     I'm okay.|speech
42||8.|unknown
43||"Bill nods and watches Charlie exit.   He gets swallowed up by
the hallway as the bell rings."|stage direction
44||12   INT. MILL GROVE HIGH SCHOOL - HALLWAY - DAY                     12|unknown
45||"Charlie looks through the thick office glass. He sees
Patrick use his charms on MRS. SMALL, (58) the Principal."|stage direction
46||(to Mrs. Small)|unknown
47|PATRICK|I would happily not take shop...|speech
48||Out of nowhere, the SENIOR BULLY grabs Charlie's book.|stage direction
49|SENIOR BULLY|Hey, Freshman Toad.|speech
50||"The bully rips the cover. He throws it on the ground as his
friends laugh and disappear down the hall. Charlie walks up
and picks up his book."|stage direction
51|CHARLIE (V.O.)|"Well, I have 1,384 days to go. And just
so I say it to someone, high school is
even worse than middle school."|speech
52||13   EXT. CHARLIE'S HOUSE - DAY                                      13|unknown
53||Charlie walks up the path to his house.|stage direction
54|CHARLIE (V.O.)|"If my parents ask me about it, I probably
won't tell them the truth because I don't
want them to worry that I might get bad
again."|speech
55||14   INT. CHARLIE'S HOUSE - AFTERNOON                                14|unknown
56||"Charlie tapes his book cover back together. He looks up as
his dad comes home from a long day. Charlie's mom hugs him."|stage direction
57|CHARLIE (V.O.)|"If my Aunt Helen were still here, I could
talk to her. And I know she would
understand how I am both happy and sad,
and I'm still trying to figure out how
that could be. I just hope I make a
friend soon. Love always, Charlie."|speech
58||15   INT. CHARLIE'S DINING ROOM - EARLY EVENING                      15|unknown
59||Charlie stands in the kitchen, pouring his milk.|stage direction
60||9.|unknown
61|MOTHER (O.S.)|Charlie, come on.|speech
62||"His family is seated around the table.    Candace's boyfriend,
Derek, is their special guest."|stage direction
63|DEREK|"Mmmm. This chicken paprikash is
delicious, Mrs. Kelmeckis."|speech
64||Charlie's father rolls his eyes, then reads his sports page.|stage direction
65|MOTHER|"Thank you, Derek. It's Charlie's
favorite. He was a little nervous about
starting high school, so I made it."|speech
66|FATHER|"You feel a little silly being nervous
now, huh, champ?"|speech
67||CHARLIE|unknown
68|FATHER|Yes, sir.    I sure do.|speech
69||"Charlie carries his milk back to the table.   He quickly sits,
hoping someone will change the subject."|stage direction
70|FATHER|"I told you. Just give 'em a smile and be
yourself. That's how you--"|speech
71|CANDACE|"""--make friends in the real world."""|speech
72|FATHER|You're cruisin' for a bruisin'.|speech
73|DEREK|"Freshman year is tough, but you really
find yourself."|speech
74||(deep eye roll)|unknown
75|FATHER|Thanks, Derek.|speech
76||16   INT. LIVING ROOM / ENTRY HALL - EVENING                          16|unknown
77||"Charlie's father and mother watch a local sports show.
Charlie passes by them with ice cream on his way downstairs."|stage direction
78|MOTHER|"I think you could be a little nicer to
Derek."|speech
79||"10.
FATHER"|unknown
80|MOTHER|"I'm sorry.     The kid's a pussy.   I can't
stand him."|speech
81||"Charlie moves to the entry hall. He looks through the screen
door to the porch where Candace kisses Derek's cheek goodbye.
As Derek walks to his mom's Mercedes, Candace joins Charlie."|stage direction
82||(waving from car)|unknown
83|DEREK|"I hope you love the mix I made.     The
cover is hand-painted."|speech
84||When he gets into his car, she hands Charlie the mix tape.|stage direction
85|CANDACE|Charlie, do you want this?|speech
86|CHARLIE|Are you sure?|speech
87|CANDACE|He gives me one every week.|speech
88||17   INT. CHARLIE'S BED ROOM - DUSK                                      17|unknown
89||"Charlie sits on his bed, reading To Kill a Mockingbird, the
cover taped back together. We see Derek's mix... Autumn
Leaves... rotate in his old tape recorder."|stage direction
90|DEREK (V.O.)|"Hey, Babe. This next one might be a
little sad, but it reminded me of your
eyes."|speech
91||"The first notes of The Smiths' ""Asleep"" begins.     As Morrissey
sings, Charlie keeps reading. And reading."|stage direction
92||"CUT TO:
18   INT. CHARLIE'S BEDROOM - DAY                                        18"|unknown
93||"The reading is done. Charlie proudly puts To Kill a
Mockingbird on his newly dubbed ""Shelf of Fame."""|stage direction
94||19   INT. MILL GROVE HIGH SCHOOL - HALLWAY - AFTERNOON                   19|unknown
95||"The songs continues as we see glimpses of Charlie's day to
day life over the next few weeks. Charlie exits his English
class. FRESHMEN BULLIES wait for him, led by..."|stage direction
96|SMART ASS FRESHMAN|Did you already do the term paper on To|speech
97||11.|unknown
98||"Silence. They grab and drag him into the boy's room.     We
hear the toilet flush for the swirly."|stage direction
99||20   INT. CHARLIE'S BEDROOM - DUSK                                       20|unknown
100||"Charlie looks at the new bottle of prescription Wellbutrin.
He puts a pill in his mouth and washes it down with RC cola."|stage direction
101||21   INT. CHARLIE'S LIVING ROOM - AFTERNOON                              21|unknown
102||"Charlie watches his brother and the Penn State Nittany Lions
on TV. He looks over at his father, but his dad is too busy
building Charlie's clock for shop class to notice him."|stage direction
103||22   INT. MILL GROVE HIGH SCHOOL - CAFETERIA - LUNCH                     22|unknown
104||"Charlie carries his tray through the intimidating cafeteria.
Not giving up. Looking for somewhere to sit."|stage direction
105||"CUT TO:
23   INT. MILL GROVE HIGH SCHOOL - CAFETERIA - LUNCH                     23"|unknown
106||"Charlie sits by himself in the corner. He looks around the
cafeteria, wanting to break in. Not knowing how. After a
moment, he returns to his book. The song ends."|stage direction
107||24   EXT. MILL GROVE HIGH SCHOOL - FOOTBALL STADIUM - NIGHT              24|unknown
108||"Friday Night Football in Western, PA. Charlie buys his Coke
and nachos and wanders to the bleachers. He sits alone,
trying to blend in by cheering with the rest of students.
When the Mill Grove Devils recover a fumble, he hears..."|stage direction
109|PATRICK|Come on Devils! Woooooo!|speech
110||"Charlie looks up at Patrick, cheering his head off.    TWIN
SENIOR GIRLS pass him, taunting."|stage direction
111|TWIN SENIOR GIRLS|Hey, Nothing. Hey, Nothing.|speech
112|PATRICK|Suck it, virginity pledges!|speech
113||"Charlie wants to go up to Patrick so badly. After driving
himself crazy, sitting up and down twice, he approaches."|stage direction
114|CHARLIE|Hey... Patrick.|speech
115||"12.
PATRICK
Hey! You're in my shop class, right?
How's your clock coming?
CHARLIE
My dad's building it.
PATRICK
Yeah. Mine looks like a boat.
(off Charlie's awkward silence)
You want to sit over here, or are you
waiting for your friends?
CHARLIE
No.   I'll sit if that's okay.
Patrick motions for Charlie to sit.   Charlie sits.   Elated.
PATRICK
Thanks for not calling me ""Nothing"" by
the way. It's an endless nightmare. And
these assholes actually think they're
being original.
Brad Hays puts on his helmet and rushes onto the field.
Charlie dries his hands on his pants. So nervous. A 5
second silence that feels like a year. Think of something to
say. Anything.
CHARLIE
So, uh... you like football?
PATRICK
Love it.
CHARLIE
Then, maybe you know my broth--
PATRICK
Hey, Sam.
Charlie looks up. Standing there is the prettiest girl he's
ever seen. SAM (17) would make every mother proud and every
father nervous. She is alive, adventurous, and a world class
flirt. Great attitude. Great taste. Great banter.
SAM
Question. Could the bathrooms here be
more disgusting?
PATRICK
Yes, they call it the men's room.
13.
Sam sits down, sandwiching Charlie between her and Patrick.
Charlie tries to remain casual. Hang in there, buddy.
SAM
Well, I finally got hold of Bob.
PATRICK
Party tonight?
SAM
No. He's still trying to shag that
waitress from the Olive Garden.
PATRICK
He's never tossing that salad.
Brad Hays marches the Devils offense down the field. The
kids clap. Sam looks at Charlie, then turns back to Patrick.
SAM
(about Charlie)
Patrick... who's this?
PATRICK
This is...
CHARLIE
Uh... Charlie... Kelmeckis.
PATRICK
Kelmeckis! No shit! Your sister dates
Pony Tail Derek, doesn't she?
CHARLIE
Is that what they call him?
SAM
Awww. Leave Pony Tail Derek alone.    You
put the ""ass"" in ""class,"" Patrick.
PATRICK
I try, Sam. I try.
SAM
It's nice to meet you, Charlie.    I'm Sam.
Sam extends her hand to Charlie. Every nail a different
color. They shake. Then, Sam grabs a nacho. Zoinks!
PATRICK
So, what's the plan, Sam? You want to go
to Mary Elizabeth's house?
14."|unknown
116|SAM|"Can't. She got caught watering down her
parent's brandy with iced tea. Let's
just go to Kings."|speech
117||(turns to Charlie)|unknown
118|PATRICK|"Hey... we're going to Kings after the
game if you want to come."|speech
119||"Charlie nods just as Brad Hays tosses a touchdown pass.   The
fans go crazy. Especially Patrick. Charlie smiles."|stage direction
120||25   INT. KINGS FAMILY RESTAURANT - NIGHT                             25|unknown
121||"The Devils' faithful cheer as Brad Hays and his guys enter!
The place is packed. Patrick and Sam drink coffee while
Charlie eats his brownie. They're all excited."|stage direction
122|SAM|Do you have a favorite band?|speech
123|CHARLIE|I think The Smiths are my favorite.|speech
124|SAM|"Are you kidding!? I love The Smiths!
The best breakup band ever. What's your
favorite song?"|speech
125|CHARLIE|"Asleep. It's from Louder Than Bombs. I
heard it on Pony Tail Derek's mix tape."|speech
126|PATRICK|That works on so many levels.|speech
127|CHARLIE|I could make a copy for you.|speech
128|SAM|"Thanks. What about Eide's?     You love
Eide's, right?"|speech
129||(never heard of it)|unknown
130|CHARLIE|Yeah. They're great.|speech
131|PATRICK|Not a band, Charlie.|speech
132|SAM|It's an old record store downtown.|speech
133||"15.
PATRICK
I used to be popular before Sam got me
some good music. So, watch out, Charlie.
She'll ruin your life forever.
CHARLIE
That's okay.
Brad Hays, the quarterback, passes with his posse.       Taunting.
NOSE TACKLE & LINEBACKER
Hey, Nothing. Hey, Nothing.
PATRICK
Let it go!     Jesus!   It's an old joke!
It's over!
Sam laughs.   She loves watching Patrick get riled up.
SAM
So, Charlie... what are you going to do
when you get out of here?
CHARLIE
My Aunt Helen said I should be a writer,
but I don't know what I'd write about.
SAM
You could write about us.
PATRICK
Yeah. Call it Slut and The Falcon.      Make
us solve crimes.
Sam laughs.   Charlie smiles.
CHARLIE
You guys look happy together. How long
have you been boyfriend and girlfriend?
(off their laughs)
What?
SAM
He's my step-brother. My mom finally
left my worthless dad and married his
nice dad 3 years ago.
PATRICK
But Sam's not bitter.     Make no mistake.
SAM
Absolutely. I'm not a bulimic.      I'm a
bulim-ist.
16."|unknown
134||"They laugh at their inside joke.    Charlie has no idea what's
so funny."|stage direction
135||CHARLIE|unknown
136|SAM|I'm sorry.     I don't know what that means.|speech
137|PATRICK|She just really believes in bulimia.|speech
138||(cracking up)|unknown
139|SAM|I love bulimia.|speech
140||26   EXT. CHARLIE'S HOUSE - NIGHT                                      26|unknown
141||Charlie hops out of Sam's old truck.    The music blares.|stage direction
142|PATRICK|Thanks for paying, Charlie.|speech
143||(so eager)|unknown
144|CHARLIE|"No problem. Thanks for the ride. Hey...
maybe I'll see you around in school?"|speech
145||(distracted - to Patrick)|unknown
146|SAM|"God, would you turn that down? You're
going to make us deaf. Bye, Charlie."|speech
147|PATRICK|Bye, Charlie.|speech
148||CHARLIE|unknown
149|PATRICK|Okay.   Bye.|speech
150||"Charlie waves as the truck leaves. The look on his face.
The happiness from one night of company."|stage direction
151||27   INT. CHARLIE'S HOUSE - NIGHT                                      27|unknown
152||"Charlie enters the house, excited to tell someone his news.
He runs up the stairs to find the living room empty. He
hears the TV playing downstairs in the basement."|stage direction
153||28   INT. DOORWAY TO BASEMENT - NIGHT                                  28|unknown
154||As Charlie approaches, he hears muffled sounds of fighting.|stage direction
155|DEREK (O.S.)|"I'm sorry. I can't do anything about it.
Please talk to me."|speech
156||17.|unknown
157|CANDACE (O.S.)|"Maybe your mom and I should have a ""drive
us to our hair appointment"" contest.
Then, I could spend a Saturday with you."|speech
158||Charlie looks through a slit in the open door to find...|stage direction
159|DEREK|There's nothing I can do--|speech
160|CANDACE|Do you always want to be a mama's boy?|speech
161|DEREK|I am not a mama's boy--|speech
162||CANDACE|unknown
163|DEREK|"Yes! You are! Every time I go to your
house--"|speech
164||DEREK|unknown
165|DEREK|Shhh.   Shut u--|speech
166|CANDACE|"-- your mom says, ""Don't go to Columbia
with Candace. Go to Pitt, Derek. Mommy
needs you to stay at home because she
can't drive herself."" She's only 51."|speech
167|DEREK|SHUT UP, CANDACE!|speech
168||29   INT. CHARLIE'S HOUSE - BASEMENT - CONTINUOUS                   29|unknown
169||"Charlie enters, wanting to stop the fight. Derek's neck is
red. Dangerous angry. Candace keeps digging."|stage direction
170||CANDACE|unknown
171|DEREK|"And you just stand there like a little
bitch dog."|speech
172||"SNAP! Out of nowhere, Derek slaps her across the face. It's
not a movie slap. It's a real slap. Dead sound. And after
it, silence. Candace turns and sees Charlie. It sobers her
up. Charlie moves at Derek. Candace stops him."|stage direction
173|CANDACE (CONT'D)|"Charlie, just go. I can handle it.   Just
don't wake up mom and dad."|speech
174||She pushes him out of the room and closes the door.|stage direction
175||"18.
30   INT. CHARLIE'S BEDROOM - NIGHT                                       30"|unknown
176||"Charlie sits at his desk. So disturbed. He hears a car
start outside. He moves to his window and looks down at
Derek and Candace near Derek's mother's Mercedes. Derek is
crying. Candace comforts. After a beat... they kiss.
Charlie stands frozen, a look creeping across his face."|stage direction
177|MOTHER (V.O.)|Hey, look who's here...|speech
178||"FLASHBACK TO:
31   INT. ENTRY HALL - NIGHT (FLASHBACK)                                  31"|unknown
179||"The door opens to reveal Charlie's mom and AUNT HELEN
entering the house. Aunt Helen carries a suitcase. The
children don't know where she's been or why she looks sad.
They just know they love her. Little Charlie stands at the
top of the stairs with his brother and sister in their Sunday
clothes. There are balloons. And streamers."|stage direction
180|LITTLE CANDACE|Welcome home, Aunt Helen!|speech
181||AUNT HELEN|unknown
182|LITTLE CANDACE|Oh.   Look at you all, dressed so nice.|speech
183||Aunt Helen smiles at Little Charlie on top of the stairs.|stage direction
184||"MATCH CUT TO:
32   INT. ENTRY HALL - NIGHT (PRESENT)                                    32"|unknown
185||"Charlie stands at the top of the stairs as Candace enters the
house. She is startled when she sees Charlie. They whisper."|stage direction
186|CHARLIE|What are you doing?|speech
187|CANDACE|"Look, I egged him on. You saw it. He's
never hit me before. I promise he'll
never hit me again."|speech
188||She's about to go back downstairs when...|stage direction
189|CHARLIE|Like Aunt Helen's boyfriends?|speech
190||A silence passes between them.   Then...|stage direction
191||19.|unknown
192|CANDACE|"Charlie... this is Pony Tail Derek.   I
can handle him. Will you trust me?
Please, don't tell mom and dad."|speech
193||"With a desperately confident nod, Candace goes downstairs.
Charlie stands in the entry hall, troubled."|stage direction
194||33   INT. GYMNASIUM - NIGHT                                          33|unknown
195||"The Homecoming Dance is in full swing. God bless everyone.
Especially Charlie. He's alone at the wall, dressed in his
Sunday suit. To us, adorable. To himself, in living hell.
Charlie watches his sister, slow dancing with Derek. As
happy as she looks, Charlie still isn't sure if he did the
right thing by keeping quiet. The song ends to applause.
After a beat, Charlie turns away. That's when he sees Sam
and Patrick at the punch bowl. We hear the first notes of
""Come On, Eileen"" by Dexy's Midnight Runners."|stage direction
196|SAM|Oh, my God. They're playing good music.|speech
197|PATRICK|"Holy shit. They are!   They're playing
good music!"|speech
